date_time,Bahrain_maxtempC,Bahrain_mintempC,Bahrain_totalSnow_cm,Bahrain_sunHour,Bahrain_uvIndex,Bahrain_moon_illumination,Bahrain_moonrise,Bahrain_moonset,Bahrain_sunrise,Bahrain_sunset,Bahrain_DewPointC,Bahrain_FeelsLikeC,Bahrain_HeatIndexC,Bahrain_WindChillC,Bahrain_WindGustKmph,Bahrain_cloudcover,Bahrain_humidity,Bahrain_precipMM,Bahrain_pressure,Bahrain_tempC,Bahrain_visibility,Bahrain_winddirDegree,Bahrain_windspeedKmph,Bahrain_location
2020-01-01,20,19,0.0,8.7,5,37,10:44 AM,10:33 PM,06:25 AM,04:57 PM,13,20,20,20,37,5,65,0.0,1015,20,10,325,26,Bahrain
2020-01-02,20,12,0.0,8.7,5,44,11:17 AM,11:24 PM,06:25 AM,04:57 PM,11,19,19,19,19,15,58,0.0,1018,20,10,257,14,Bahrain
2020-01-03,22,20,0.0,8.7,6,51,11:48 AM,No moonset,06:25 AM,04:58 PM,15,21,22,21,24,9,69,0.0,1017,22,10,128,15,Bahrain
2020-01-04,25,22,0.0,8.7,6,59,12:19 PM,12:15 AM,06:26 AM,04:59 PM,15,25,25,23,44,10,60,0.0,1012,25,10,196,23,Bahrain
2020-01-05,21,8,0.0,5.6,4,66,12:52 PM,01:07 AM,06:26 AM,05:00 PM,16,17,18,17,37,70,79,7.3,1012,21,9,337,27,Bahrain
2020-01-06,19,17,0.0,8.7,5,73,01:29 PM,02:00 AM,06:26 AM,05:00 PM,11,18,18,18,40,3,62,0.0,1019,19,10,337,29,Bahrain
2020-01-07,19,18,0.0,8.7,5,80,02:08 PM,02:56 AM,06:26 AM,05:01 PM,11,19,19,19,30,2,61,0.0,1020,19,10,332,22,Bahrain
2020-01-08,20,16,0.0,8.7,5,88,02:54 PM,03:54 AM,06:26 AM,05:02 PM,11,19,20,19,9,16,57,0.0,1017,20,10,173,7,Bahrain
2020-01-09,21,15,0.0,7.1,4,95,03:46 PM,04:54 AM,06:26 AM,05:03 PM,15,19,19,19,25,50,72,0.2,1013,21,10,162,18,Bahrain
2020-01-10,19,11,0.0,5.6,4,100,04:44 PM,05:55 AM,06:27 AM,05:03 PM,16,17,18,17,21,72,82,7.2,1010,19,10,257,15,Bahrain
