date_time,Barbados_maxtempC,Barbados_mintempC,Barbados_totalSnow_cm,Barbados_sunHour,Barbados_uvIndex,Barbados_moon_illumination,Barbados_moonrise,Barbados_moonset,Barbados_sunrise,Barbados_sunset,Barbados_DewPointC,Barbados_FeelsLikeC,Barbados_HeatIndexC,Barbados_WindChillC,Barbados_WindGustKmph,Barbados_cloudcover,Barbados_humidity,Barbados_precipMM,Barbados_pressure,Barbados_tempC,Barbados_visibility,Barbados_winddirDegree,Barbados_windspeedKmph,Barbados_location
2020-01-01,27,26,0.0,7.2,6,37,11:08 AM,11:15 PM,06:21 AM,05:43 PM,22,29,29,26,34,42,76,0.4,1013,27,10,92,25,Barbados
2020-01-02,27,21,0.0,8.7,6,44,11:44 AM,No moonset,06:21 AM,05:44 PM,22,28,28,25,33,51,76,1.0,1014,27,10,72,24,Barbados
2020-01-03,27,25,0.0,8.7,6,51,12:20 PM,12:01 AM,06:21 AM,05:44 PM,21,28,28,26,31,39,76,0.0,1015,27,10,82,23,Barbados
2020-01-04,27,25,0.0,8.7,6,59,12:57 PM,12:46 AM,06:22 AM,05:45 PM,21,28,28,26,22,45,73,0.2,1016,27,10,71,16,Barbados
2020-01-05,27,25,0.0,7.2,6,66,01:37 PM,01:34 AM,06:22 AM,05:46 PM,21,28,28,26,26,59,75,0.8,1014,27,10,65,19,Barbados
2020-01-06,27,25,0.0,4.2,6,73,02:18 PM,02:22 AM,06:22 AM,05:46 PM,22,28,28,26,36,77,80,5.8,1013,27,10,71,26,Barbados
2020-01-07,26,25,0.0,5.7,6,80,03:04 PM,03:15 AM,06:23 AM,05:47 PM,21,28,28,25,36,37,77,0.1,1014,26,10,75,27,Barbados
2020-01-08,27,24,0.0,5.7,6,88,03:55 PM,04:10 AM,06:23 AM,05:47 PM,22,28,28,26,38,55,78,1.4,1016,27,10,75,28,Barbados
2020-01-09,27,26,0.0,5.7,6,95,04:51 PM,05:08 AM,06:23 AM,05:48 PM,21,29,29,26,50,64,74,2.0,1016,27,10,72,37,Barbados
2020-01-10,27,26,0.0,7.2,6,100,05:51 PM,06:07 AM,06:23 AM,05:48 PM,21,28,28,26,55,55,72,0.5,1016,27,10,67,40,Barbados
2020-01-11,27,26,0.0,7.2,6,100,06:52 PM,07:05 AM,06:24 AM,05:49 PM,21,28,28,26,49,57,74,1.6,1016,27,10,67,36,Barbados
2020-01-12,26,24,0.0,8.7,6,83,07:54 PM,08:02 AM,06:24 AM,05:49 PM,21,28,28,26,49,51,75,1.9,1016,26,10,70,36,Barbados
2020-01-13,26,25,0.0,5.7,6,76,08:55 PM,08:54 AM,06:24 AM,05:50 PM,21,28,28,26,50,63,75,1.6,1015,26,10,71,37,Barbados
2020-01-14,27,25,0.0,4.2,6,69,09:53 PM,09:44 AM,06:24 AM,05:51 PM,21,28,28,26,47,59,76,1.3,1014,27,10,79,35,Barbados
2020-01-15,27,23,0.0,7.2,6,61,10:50 PM,10:30 AM,06:24 AM,05:51 PM,22,28,28,26,43,63,77,3.2,1014,27,10,79,31,Barbados
2020-01-16,27,25,0.0,8.7,7,54,11:45 PM,11:15 AM,06:25 AM,05:52 PM,22,28,28,26,34,35,78,0.0,1015,27,10,77,25,Barbados
2020-01-17,27,25,0.0,5.7,6,47,No moonrise,11:59 AM,06:25 AM,05:52 PM,22,28,28,26,31,63,80,1.1,1015,27,10,78,23,Barbados
2020-01-18,27,25,0.0,8.7,6,40,12:40 AM,12:44 PM,06:25 AM,05:53 PM,22,28,28,26,35,57,80,0.5,1015,27,10,66,27,Barbados
2020-01-19,26,24,0.0,5.7,6,32,01:36 AM,01:31 PM,06:25 AM,05:53 PM,21,28,28,25,44,63,77,0.1,1015,26,10,67,34,Barbados
2020-01-20,27,24,0.0,8.7,6,25,02:32 AM,02:19 PM,06:25 AM,05:54 PM,21,28,28,26,42,52,77,0.9,1014,27,10,81,31,Barbados
2020-01-21,26,25,0.0,4.2,6,18,03:29 AM,03:11 PM,06:25 AM,05:54 PM,22,28,28,26,37,70,78,3.0,1013,26,10,80,28,Barbados
2020-01-22,26,25,0.0,4.2,6,11,04:25 AM,04:04 PM,06:25 AM,05:55 PM,22,28,28,25,37,63,80,2.3,1012,26,10,81,28,Barbados
2020-01-23,27,25,0.0,4.2,6,3,05:20 AM,04:58 PM,06:25 AM,05:55 PM,22,28,28,26,32,55,79,1.3,1012,27,10,85,24,Barbados
2020-01-24,27,25,0.0,7.2,6,0,06:11 AM,05:52 PM,06:25 AM,05:56 PM,22,28,28,26,29,55,79,1.8,1013,27,10,77,21,Barbados
2020-01-25,27,25,0.0,7.2,6,0,07:00 AM,06:44 PM,06:25 AM,05:56 PM,21,28,28,26,27,54,77,1.1,1014,27,10,88,20,Barbados
2020-01-26,27,24,0.0,8.7,7,4,07:45 AM,07:34 PM,06:25 AM,05:57 PM,20,27,27,25,24,19,72,0.0,1014,27,10,94,17,Barbados
2020-01-27,27,24,0.0,8.7,6,11,08:26 AM,08:22 PM,06:25 AM,05:57 PM,21,28,28,25,26,45,77,0.1,1014,27,10,79,19,Barbados
2020-01-28,27,25,0.0,8.7,6,18,09:05 AM,09:09 PM,06:25 AM,05:58 PM,22,28,28,26,32,52,82,0.5,1014,27,10,83,24,Barbados
2020-01-29,27,26,0.0,8.7,7,26,09:42 AM,09:55 PM,06:25 AM,05:58 PM,22,29,29,26,32,53,80,0.1,1013,27,10,90,24,Barbados
2020-01-30,27,26,0.0,8.7,7,33,10:17 AM,10:40 PM,06:25 AM,05:58 PM,22,29,29,26,36,42,77,0.2,1014,27,10,95,27,Barbados
2020-01-31,27,26,0.0,7.2,6,37,10:54 AM,11:26 PM,06:25 AM,05:59 PM,22,29,29,26,35,56,77,1.4,1016,27,10,90,26,Barbados
2020-02-01,27,25,0.0,8.7,7,49,11:32 AM,No moonset,06:25 AM,05:59 PM,21,28,28,26,36,21,74,0.0,1015,27,10,91,27,Barbados
2020-02-02,26,23,0.0,11.6,7,57,12:11 PM,12:13 AM,06:24 AM,06:00 PM,20,27,27,25,34,42,74,0.5,1015,26,10,87,26,Barbados
2020-02-03,27,25,0.0,10.2,6,64,12:54 PM,01:03 AM,06:24 AM,06:00 PM,20,27,27,26,31,40,72,0.2,1017,27,10,86,24,Barbados
2020-02-04,26,25,0.0,11.6,6,72,01:42 PM,01:55 AM,06:24 AM,06:00 PM,20,27,27,25,35,41,74,0.4,1016,26,10,71,27,Barbados
2020-02-05,27,25,0.0,10.2,6,79,02:34 PM,02:50 AM,06:24 AM,06:01 PM,21,28,28,26,40,55,74,0.6,1016,27,10,77,30,Barbados
2020-02-06,27,25,0.0,11.6,6,87,03:31 PM,03:49 AM,06:24 AM,06:01 PM,21,28,28,26,44,40,73,1.0,1016,27,10,84,33,Barbados
2020-02-07,27,22,0.0,10.2,6,95,04:32 PM,04:47 AM,06:23 AM,06:02 PM,21,28,28,26,45,49,72,0.5,1016,27,10,81,33,Barbados
2020-02-08,27,25,0.0,10.2,6,100,05:36 PM,05:46 AM,06:23 AM,06:02 PM,21,28,28,26,43,51,75,0.9,1016,27,10,72,33,Barbados
2020-02-09,27,25,0.0,10.2,6,100,06:38 PM,06:41 AM,06:23 AM,06:02 PM,21,28,28,26,40,46,74,1.6,1016,27,10,92,30,Barbados
2020-02-10,27,22,0.0,10.2,6,83,07:40 PM,07:34 AM,06:23 AM,06:03 PM,20,27,27,25,41,49,72,0.6,1017,27,10,84,31,Barbados
2020-02-11,27,25,0.0,8.8,6,75,08:39 PM,08:23 AM,06:22 AM,06:03 PM,21,28,28,26,42,57,75,0.4,1016,27,10,79,32,Barbados
2020-02-12,27,21,0.0,10.2,6,68,09:37 PM,09:10 AM,06:22 AM,06:03 PM,21,28,28,25,41,49,74,0.5,1015,27,10,73,31,Barbados
2020-02-13,26,24,0.0,8.8,6,60,10:34 PM,09:56 AM,06:22 AM,06:04 PM,21,27,27,25,45,63,75,1.0,1015,26,10,70,34,Barbados
2020-02-14,27,25,0.0,11.6,7,53,11:31 PM,10:41 AM,06:21 AM,06:04 PM,21,28,28,26,44,47,72,0.4,1015,27,10,77,32,Barbados
2020-02-15,27,25,0.0,7.3,6,45,No moonrise,11:29 AM,06:21 AM,06:04 PM,21,28,28,26,43,55,75,0.5,1015,27,10,76,32,Barbados
2020-02-16,27,25,0.0,7.3,6,38,12:27 AM,12:17 PM,06:21 AM,06:04 PM,21,28,28,26,43,63,74,0.6,1013,27,10,90,32,Barbados
2020-02-17,27,24,0.0,11.6,6,30,01:25 AM,01:07 PM,06:20 AM,06:05 PM,21,28,28,26,40,53,76,0.9,1013,27,10,88,31,Barbados
2020-02-18,27,25,0.0,5.9,6,22,02:20 AM,02:00 PM,06:20 AM,06:05 PM,22,28,28,26,41,65,78,2.3,1014,27,10,86,31,Barbados
