date_time,Belarus_maxtempC,Belarus_mintempC,Belarus_totalSnow_cm,Belarus_sunHour,Belarus_uvIndex,Belarus_moon_illumination,Belarus_moonrise,Belarus_moonset,Belarus_sunrise,Belarus_sunset,Belarus_DewPointC,Belarus_FeelsLikeC,Belarus_HeatIndexC,Belarus_WindChillC,Belarus_WindGustKmph,Belarus_cloudcover,Belarus_humidity,Belarus_precipMM,Belarus_pressure,Belarus_tempC,Belarus_visibility,Belarus_winddirDegree,Belarus_windspeedKmph,Belarus_location
2020-01-01,-0,-7,0.0,5.8,1,37,12:49 PM,11:46 PM,09:28 AM,04:58 PM,-4,-7,-1,-7,37,43,83,0.1,1019,-0,9,307,24,Belarus
2020-01-02,2,-4,0.0,3.8,1,44,01:04 PM,No moonset,09:28 AM,04:59 PM,-1,-4,1,-4,35,71,87,0.0,1020,2,10,273,22,Belarus
2020-01-03,2,-4,0.0,5.8,2,51,01:18 PM,12:54 AM,09:28 AM,05:00 PM,-4,-4,0,-4,31,19,75,0.0,1017,2,10,254,17,Belarus
2020-01-04,2,-7,1.3,1.9,1,59,01:33 PM,02:03 AM,09:28 AM,05:02 PM,-1,-5,0,-5,36,89,90,2.3,1006,2,8,257,24,Belarus
2020-01-05,-1,-3,0.3,3.9,1,66,01:49 PM,03:13 AM,09:27 AM,05:03 PM,-5,-7,-2,-7,27,45,81,0.5,1017,-1,9,313,18,Belarus
2020-01-06,-1,-5,0.9,1.9,1,73,02:08 PM,04:24 AM,09:27 AM,05:04 PM,-3,-6,-2,-6,25,78,86,1.9,1025,-1,8,263,16,Belarus
2020-01-07,1,-5,0.0,1.9,1,80,02:31 PM,05:39 AM,09:27 AM,05:06 PM,0,-3,0,-3,19,93,96,0.3,1026,1,3,253,12,Belarus
2020-01-08,-1,-5,0.0,3.9,1,88,03:03 PM,06:53 AM,09:26 AM,05:07 PM,-3,-6,-1,-6,23,70,90,0.0,1024,-1,9,226,15,Belarus
2020-01-09,2,-5,0.0,2.0,1,95,03:46 PM,08:05 AM,09:25 AM,05:09 PM,1,-3,1,-3,24,90,97,2.4,1018,2,7,265,15,Belarus
2020-01-10,1,-3,0.0,2.0,1,100,04:42 PM,09:09 AM,09:25 AM,05:10 PM,0,-3,1,-3,22,99,98,8.1,1015,1,6,195,13,Belarus
