date_time,Belgium_maxtempC,Belgium_mintempC,Belgium_totalSnow_cm,Belgium_sunHour,Belgium_uvIndex,Belgium_moon_illumination,Belgium_moonrise,Belgium_moonset,Belgium_sunrise,Belgium_sunset,Belgium_DewPointC,Belgium_FeelsLikeC,Belgium_HeatIndexC,Belgium_WindChillC,Belgium_WindGustKmph,Belgium_cloudcover,Belgium_humidity,Belgium_precipMM,Belgium_pressure,Belgium_tempC,Belgium_visibility,Belgium_winddirDegree,Belgium_windspeedKmph,Belgium_location
2020-01-01,9,3,0.0,8.0,3,37,12:18 PM,11:27 PM,08:45 AM,04:47 PM,3,4,5,4,11,5,86,0.0,1032,9,10,146,7,Belgium
2020-01-02,7,2,0.0,3.0,2,44,12:36 PM,No moonset,08:45 AM,04:48 PM,3,1,4,1,25,52,87,0.0,1027,7,10,197,16,Belgium
2020-01-03,10,5,0.0,3.0,2,51,12:53 PM,12:32 AM,08:45 AM,04:49 PM,6,4,8,4,40,89,86,3.9,1021,10,8,257,25,Belgium
2020-01-04,7,3,0.0,4.9,2,59,01:10 PM,01:38 AM,08:45 AM,04:50 PM,3,2,5,2,25,63,86,0.4,1032,7,10,268,15,Belgium
2020-01-05,6,3,0.0,6.8,1,66,01:29 PM,02:45 AM,08:44 AM,04:51 PM,3,2,4,2,19,58,89,0.0,1034,6,9,220,11,Belgium
2020-01-06,6,4,0.0,8.1,2,73,01:52 PM,03:54 AM,08:44 AM,04:53 PM,2,1,5,1,24,23,81,0.0,1027,6,10,196,15,Belgium
2020-01-07,8,5,0.0,8.1,2,80,02:18 PM,05:05 AM,08:44 AM,04:54 PM,4,3,6,3,26,39,88,0.5,1026,8,9,228,15,Belgium
2020-01-08,12,6,0.0,3.0,3,88,02:53 PM,06:16 AM,08:43 AM,04:55 PM,9,8,10,8,35,97,93,0.4,1022,12,9,214,22,Belgium
2020-01-09,11,4,0.0,3.0,3,95,03:39 PM,07:25 AM,08:43 AM,04:56 PM,10,8,11,8,39,100,90,11.2,1014,11,6,207,25,Belgium
2020-01-10,7,4,0.0,3.1,2,100,04:36 PM,08:28 AM,08:42 AM,04:58 PM,4,3,7,3,36,78,82,6.3,1017,7,6,257,23,Belgium
2020-01-11,6,3,0.0,6.8,1,100,05:46 PM,09:22 AM,08:42 AM,04:59 PM,2,1,4,1,24,33,86,0.0,1031,6,10,214,15,Belgium
2020-01-12,8,4,0.0,3.2,2,83,07:05 PM,10:05 AM,08:41 AM,05:01 PM,4,1,5,1,42,68,88,0.1,1023,8,10,218,26,Belgium
2020-01-13,8,1,0.0,5.1,2,76,08:26 PM,10:39 AM,08:40 AM,05:02 PM,5,3,6,3,36,74,87,0.5,1016,8,9,199,23,Belgium
2020-01-14,10,3,0.0,3.2,2,69,09:49 PM,11:07 AM,08:40 AM,05:04 PM,6,5,9,5,58,94,78,8.4,1005,10,7,208,37,Belgium
2020-01-15,10,7,0.0,5.1,2,61,11:11 PM,11:31 AM,08:39 AM,05:05 PM,5,5,9,5,50,65,75,3.8,1010,10,10,217,31,Belgium
2020-01-16,9,4,0.0,8.7,2,54,No moonrise,11:52 AM,08:38 AM,05:07 PM,4,3,7,3,33,34,83,0.0,1022,9,10,180,19,Belgium
2020-01-17,10,7,0.0,3.3,2,47,12:30 AM,12:13 PM,08:37 AM,05:08 PM,5,5,8,5,39,69,81,10.4,1015,10,9,211,23,Belgium
2020-01-18,6,3,0.0,3.3,1,40,01:50 AM,12:35 PM,08:36 AM,05:10 PM,1,0,4,0,29,65,81,1.0,1025,6,10,269,18,Belgium
2020-01-19,7,3,0.0,3.3,1,32,03:08 AM,01:00 PM,08:36 AM,05:11 PM,0,1,4,1,25,74,76,2.3,1037,7,10,133,15,Belgium
2020-01-20,6,2,0.0,8.7,2,25,04:24 AM,01:30 PM,08:35 AM,05:13 PM,2,1,4,1,13,19,87,0.0,1046,6,10,41,8,Belgium
2020-01-21,8,3,0.0,8.7,3,18,05:38 AM,02:06 PM,08:33 AM,05:15 PM,1,4,5,4,6,4,77,0.0,1042,8,10,190,4,Belgium
2020-01-22,5,2,0.0,6.9,1,11,06:45 AM,02:51 PM,08:32 AM,05:16 PM,0,3,3,3,7,30,81,0.0,1037,5,9,185,5,Belgium
2020-01-23,6,1,0.0,8.7,1,3,07:43 AM,03:45 PM,08:31 AM,05:18 PM,1,-1,3,-1,19,18,87,0.0,1031,6,8,73,12,Belgium
2020-01-24,7,2,0.0,8.7,2,0,08:30 AM,04:45 PM,08:30 AM,05:20 PM,1,3,4,3,5,8,84,0.0,1024,7,10,151,3,Belgium
2020-01-25,6,1,0.0,8.7,2,0,09:08 AM,05:51 PM,08:29 AM,05:21 PM,0,2,4,2,12,29,80,0.0,1021,6,10,194,7,Belgium
2020-01-26,8,2,0.0,6.9,1,4,09:38 AM,06:59 PM,08:28 AM,05:23 PM,3,1,4,1,28,49,88,0.0,1016,8,10,192,16,Belgium
2020-01-27,9,7,0.0,3.4,2,11,10:02 AM,08:06 PM,08:26 AM,05:25 PM,5,4,8,4,37,93,85,10.7,1006,9,8,212,23,Belgium
2020-01-28,5,1,0.0,3.4,1,18,10:22 AM,09:13 PM,08:25 AM,05:27 PM,1,0,5,0,40,88,77,10.5,997,5,9,243,27,Belgium
2020-01-29,6,2,0.0,5.2,1,26,10:40 AM,10:18 PM,08:24 AM,05:28 PM,-1,-1,3,-1,35,53,75,0.1,1010,6,10,252,21,Belgium
2020-01-30,8,3,0.0,3.4,2,33,10:58 AM,11:24 PM,08:22 AM,05:30 PM,5,2,6,2,38,77,89,0.1,1009,8,10,216,23,Belgium
2020-01-31,11,7,0.0,3.4,3,37,11:15 AM,No moonset,08:21 AM,05:32 PM,8,7,10,7,41,88,84,0.1,1009,11,10,236,26,Belgium
2020-02-01,12,7,0.0,3.4,3,49,11:33 AM,12:29 AM,08:19 AM,05:34 PM,7,7,10,7,43,90,83,9.9,1006,12,8,239,27,Belgium
2020-02-02,12,6,0.0,3.4,2,57,11:53 AM,01:37 AM,08:18 AM,05:35 PM,7,6,9,6,37,96,87,4.8,1011,12,10,231,22,Belgium
2020-02-03,10,7,0.0,3.5,2,64,12:16 PM,02:45 AM,08:16 AM,05:37 PM,6,6,9,6,37,95,80,6.7,1013,10,8,263,24,Belgium
2020-02-04,5,-4,0.0,3.5,1,72,12:47 PM,03:55 AM,08:15 AM,05:39 PM,1,-0,4,-0,31,86,79,9.7,1017,5,9,289,20,Belgium
2020-02-05,8,3,0.0,8.7,3,79,01:26 PM,05:04 AM,08:13 AM,05:41 PM,2,4,5,4,10,16,80,0.0,1034,8,10,267,6,Belgium
2020-02-06,9,3,0.0,8.7,2,87,02:17 PM,06:09 AM,08:12 AM,05:42 PM,3,5,6,5,7,30,81,0.0,1031,9,10,218,4,Belgium
2020-02-07,10,4,0.0,8.7,3,95,03:21 PM,07:08 AM,08:10 AM,05:44 PM,1,4,6,4,18,0,73,0.0,1024,10,10,142,12,Belgium
2020-02-08,7,5,0.0,3.5,2,100,04:36 PM,07:56 AM,08:08 AM,05:46 PM,4,3,6,3,27,84,87,6.1,1019,7,10,211,16,Belgium
2020-02-09,10,2,0.0,5.3,2,100,05:59 PM,08:35 AM,08:07 AM,05:48 PM,5,3,7,3,62,75,80,1.6,1010,10,8,208,41,Belgium
