date_time,Bermuda_maxtempC,Bermuda_mintempC,Bermuda_totalSnow_cm,Bermuda_sunHour,Bermuda_uvIndex,Bermuda_moon_illumination,Bermuda_moonrise,Bermuda_moonset,Bermuda_sunrise,Bermuda_sunset,Bermuda_DewPointC,Bermuda_FeelsLikeC,Bermuda_HeatIndexC,Bermuda_WindChillC,Bermuda_WindGustKmph,Bermuda_cloudcover,Bermuda_humidity,Bermuda_precipMM,Bermuda_pressure,Bermuda_tempC,Bermuda_visibility,Bermuda_winddirDegree,Bermuda_windspeedKmph,Bermuda_location
2020-01-01,22,21,0.0,7.1,5,37,11:41 AM,11:29 PM,07:21 AM,05:25 PM,18,21,23,21,52,51,82,18.3,1013,22,9,255,35,Bermuda
2020-01-02,19,12,0.0,8.7,5,44,12:09 PM,No moonset,07:21 AM,05:26 PM,12,18,18,18,42,38,65,0.2,1017,19,10,310,32,Bermuda
2020-01-03,19,16,0.0,8.7,5,51,12:38 PM,12:21 AM,07:21 AM,05:27 PM,10,17,18,17,18,23,61,0.0,1024,19,10,219,13,Bermuda
2020-01-04,21,15,0.0,8.7,6,59,01:07 PM,01:16 AM,07:21 AM,05:27 PM,17,20,22,20,48,17,80,0.0,1020,21,10,231,34,Bermuda
2020-01-05,22,17,0.0,3.8,4,66,01:38 PM,02:10 AM,07:21 AM,05:28 PM,15,19,21,19,80,79,76,4.1,1011,22,10,251,58,Bermuda
2020-01-06,17,11,0.0,5.4,4,73,02:13 PM,03:08 AM,07:21 AM,05:29 PM,10,16,16,16,34,68,65,0.5,1019,17,10,297,27,Bermuda
2020-01-07,18,12,0.0,3.8,4,80,02:52 PM,04:07 AM,07:21 AM,05:30 PM,11,17,17,17,27,69,62,0.6,1022,18,10,235,21,Bermuda
2020-01-08,21,13,0.0,7.1,4,88,03:38 PM,05:08 AM,07:21 AM,05:31 PM,14,19,19,19,51,45,72,2.3,1021,21,10,256,38,Bermuda
2020-01-09,18,15,0.0,5.4,4,95,04:31 PM,06:09 AM,07:21 AM,05:31 PM,11,17,17,17,42,56,68,0.2,1032,18,10,233,34,Bermuda
2020-01-10,17,13,0.0,3.8,4,100,05:31 PM,07:10 AM,07:21 AM,05:32 PM,11,15,16,15,36,98,70,0.7,1039,17,10,77,29,Bermuda
2020-01-11,19,12,0.0,3.8,4,100,06:36 PM,08:06 AM,07:21 AM,05:33 PM,13,17,18,17,40,84,70,0.4,1037,19,10,123,31,Bermuda
2020-01-12,21,15,0.0,7.1,5,83,07:45 PM,08:57 AM,07:21 AM,05:34 PM,15,20,20,20,36,58,72,0.2,1035,21,10,154,26,Bermuda
2020-01-13,21,20,0.0,7.1,5,76,08:54 PM,09:42 AM,07:21 AM,05:35 PM,16,21,21,21,18,53,74,0.5,1034,21,10,174,13,Bermuda
2020-01-14,20,16,0.0,8.7,4,69,10:01 PM,10:22 AM,07:21 AM,05:36 PM,15,19,20,19,22,27,72,0.1,1029,20,10,234,16,Bermuda
2020-01-15,20,20,0.0,5.4,5,61,11:08 PM,11:00 AM,07:21 AM,05:37 PM,16,20,20,20,38,64,76,0.4,1023,20,10,264,27,Bermuda
2020-01-16,21,15,0.0,7.1,5,54,No moonrise,11:35 AM,07:21 AM,05:38 PM,18,20,20,20,44,70,86,2.3,1018,21,10,267,30,Bermuda
2020-01-17,16,13,0.0,3.8,3,47,12:13 AM,12:10 PM,07:21 AM,05:38 PM,10,12,15,12,74,65,70,3.5,1018,16,10,309,58,Bermuda
2020-01-18,13,12,0.0,5.4,3,40,01:17 AM,12:46 PM,07:20 AM,05:39 PM,6,10,13,10,41,64,63,2.2,1029,13,10,126,33,Bermuda
2020-01-19,18,13,0.0,3.8,4,32,02:21 AM,01:24 PM,07:20 AM,05:40 PM,10,15,16,15,42,58,65,0.4,1025,18,10,216,33,Bermuda
2020-01-20,20,15,0.0,3.8,4,25,03:25 AM,02:06 PM,07:20 AM,05:41 PM,15,18,19,18,64,87,80,32.7,1016,20,8,257,45,Bermuda
2020-01-21,16,13,0.0,3.8,4,18,04:27 AM,02:53 PM,07:19 AM,05:42 PM,12,16,16,16,25,89,75,6.5,1016,16,6,138,19,Bermuda
2020-01-22,18,13,0.0,3.8,4,11,05:27 AM,03:44 PM,07:19 AM,05:43 PM,13,16,17,16,44,71,78,58.0,1012,18,8,96,34,Bermuda
2020-01-23,20,12,0.0,3.8,4,3,06:22 AM,04:38 PM,07:19 AM,05:44 PM,16,18,18,18,101,90,85,105.4,1003,20,6,42,71,Bermuda
2020-01-24,19,15,0.0,3.9,4,0,07:12 AM,05:35 PM,07:18 AM,05:45 PM,15,18,19,18,75,96,80,6.7,1010,19,9,262,55,Bermuda
2020-01-25,20,14,0.0,7.1,4,0,07:56 AM,06:32 PM,07:18 AM,05:46 PM,16,18,19,18,33,66,80,2.0,1015,20,10,46,24,Bermuda
2020-01-26,19,17,0.0,8.7,4,4,08:35 AM,07:30 PM,07:17 AM,05:47 PM,16,19,19,19,20,35,82,0.0,1013,19,10,229,14,Bermuda
2020-01-27,19,17,0.0,3.9,4,11,09:09 AM,08:25 PM,07:17 AM,05:48 PM,14,18,18,18,38,81,76,1.1,1011,19,10,276,28,Bermuda
2020-01-28,18,14,0.0,3.9,4,18,09:41 AM,09:19 PM,07:16 AM,05:49 PM,13,17,17,17,51,72,74,9.3,1007,18,10,267,38,Bermuda
2020-01-29,17,13,0.0,7.1,4,26,10:10 AM,10:12 PM,07:16 AM,05:50 PM,10,16,16,16,45,57,65,0.9,1011,17,10,294,36,Bermuda
2020-01-30,16,10,0.0,3.9,4,33,10:38 AM,11:06 PM,07:15 AM,05:50 PM,9,15,15,15,35,71,66,2.6,1016,16,10,274,27,Bermuda
2020-01-31,15,8,0.0,8.7,4,37,11:07 AM,12:00 AM,07:14 AM,05:51 PM,8,12,14,12,31,45,64,1.7,1025,15,10,65,24,Bermuda
2020-02-01,18,9,0.0,5.5,4,49,11:37 AM,No moonset,07:14 AM,05:52 PM,12,16,16,16,48,67,69,0.0,1022,18,10,146,36,Bermuda
2020-02-02,20,13,0.0,3.9,4,57,12:09 PM,12:55 AM,07:13 AM,05:53 PM,15,18,18,18,72,85,80,55.7,1006,20,8,246,53,Bermuda
2020-02-03,20,17,0.0,7.1,4,64,12:45 PM,01:52 AM,07:12 AM,05:54 PM,13,19,19,19,66,51,68,1.2,1014,20,10,285,50,Bermuda
2020-02-04,19,14,0.0,8.7,5,72,01:27 PM,02:50 AM,07:12 AM,05:55 PM,14,18,19,18,30,13,71,0.0,1022,19,10,266,22,Bermuda
2020-02-05,20,16,0.0,3.9,4,79,02:15 PM,03:51 AM,07:11 AM,05:56 PM,15,19,19,19,41,73,76,0.4,1023,20,10,240,29,Bermuda
2020-02-06,20,16,0.0,7.1,4,87,03:11 PM,04:51 AM,07:10 AM,05:57 PM,16,19,20,19,39,36,75,0.1,1022,20,10,204,27,Bermuda
2020-02-07,21,15,0.0,5.5,5,95,04:14 PM,05:50 AM,07:09 AM,05:58 PM,18,19,20,19,72,75,84,0.8,1018,21,10,197,47,Bermuda
2020-02-08,20,16,0.0,5.5,4,100,05:23 PM,06:44 AM,07:08 AM,05:59 PM,16,19,20,19,39,77,79,6.3,1023,20,9,238,25,Bermuda
2020-02-09,17,12,0.0,5.5,4,100,06:33 PM,07:33 AM,07:08 AM,06:00 PM,15,16,17,16,37,96,84,2.1,1028,17,7,36,28,Bermuda
2020-02-10,19,14,0.0,5.5,4,83,07:44 PM,08:16 AM,07:07 AM,06:00 PM,15,18,19,18,41,68,81,0.1,1029,19,10,100,30,Bermuda
2020-02-11,20,12,0.0,11.0,5,75,08:53 PM,08:56 AM,07:06 AM,06:01 PM,16,18,19,18,26,16,82,0.0,1027,20,10,155,18,Bermuda
