date_time,Botswana_maxtempC,Botswana_mintempC,Botswana_totalSnow_cm,Botswana_sunHour,Botswana_uvIndex,Botswana_moon_illumination,Botswana_moonrise,Botswana_moonset,Botswana_sunrise,Botswana_sunset,Botswana_DewPointC,Botswana_FeelsLikeC,Botswana_HeatIndexC,Botswana_WindChillC,Botswana_WindGustKmph,Botswana_cloudcover,Botswana_humidity,Botswana_precipMM,Botswana_pressure,Botswana_tempC,Botswana_visibility,Botswana_winddirDegree,Botswana_windspeedKmph,Botswana_location
2020-01-01,32,22,0.0,12.1,6,37,10:52 AM,11:40 PM,05:31 AM,07:09 PM,17,28,28,27,15,59,57,1.8,1010,32,10,138,11,Botswana
2020-01-02,31,23,0.0,12.1,6,44,11:43 AM,No moonset,05:31 AM,07:09 PM,17,28,28,27,14,61,58,2.4,1011,31,10,184,10,Botswana
2020-01-03,34,23,0.0,13.8,8,51,12:32 PM,12:11 AM,05:32 AM,07:09 PM,16,29,29,28,10,25,50,1.5,1011,34,10,61,7,Botswana
2020-01-04,35,25,0.0,13.8,8,59,01:23 PM,12:43 AM,05:33 AM,07:10 PM,13,30,30,30,13,9,39,0.1,1011,35,10,58,9,Botswana
2020-01-05,35,20,0.0,13.3,6,66,02:15 PM,01:16 AM,05:33 AM,07:10 PM,14,28,28,28,16,42,48,6.3,1010,35,10,101,11,Botswana
2020-01-06,35,24,0.0,13.3,7,73,03:09 PM,01:52 AM,05:34 AM,07:10 PM,13,30,30,30,19,27,40,0.8,1008,35,10,80,14,Botswana
2020-01-07,33,25,0.0,13.8,7,80,04:06 PM,02:30 AM,05:35 AM,07:10 PM,12,28,28,29,18,35,37,0.9,1008,33,10,89,14,Botswana
2020-01-08,28,21,0.0,9.8,6,88,05:05 PM,03:14 AM,05:36 AM,07:10 PM,16,25,25,25,13,57,60,17.6,1009,28,9,146,9,Botswana
2020-01-09,31,19,0.0,13.3,6,95,06:05 PM,04:04 AM,05:36 AM,07:10 PM,18,27,27,26,9,54,63,0.3,1009,31,10,157,7,Botswana
2020-01-10,32,22,0.0,8.6,6,100,07:05 PM,04:59 AM,05:37 AM,07:11 PM,18,28,28,27,16,70,64,3.5,1011,32,9,77,12,Botswana
2020-01-11,28,20,0.0,10.9,5,100,08:01 PM,06:00 AM,05:38 AM,07:11 PM,17,25,25,24,15,53,69,1.8,1015,28,10,51,12,Botswana
2020-01-12,32,22,0.0,13.7,7,83,08:53 PM,07:05 AM,05:38 AM,07:11 PM,16,28,28,27,11,33,53,0.1,1012,32,10,75,8,Botswana
2020-01-13,34,22,0.0,12.1,6,76,09:41 PM,08:10 AM,05:39 AM,07:11 PM,15,30,30,28,12,52,50,3.1,1011,34,10,98,8,Botswana
2020-01-14,32,21,0.0,12.1,6,69,10:24 PM,09:16 AM,05:40 AM,07:11 PM,16,27,27,26,14,46,59,6.8,1011,32,10,81,10,Botswana
2020-01-15,32,22,0.0,13.7,7,61,11:04 PM,10:18 AM,05:41 AM,07:11 PM,14,28,28,27,15,12,49,0.0,1012,32,10,64,12,Botswana
2020-01-16,35,23,0.0,13.7,7,54,11:44 PM,11:21 AM,05:41 AM,07:11 PM,12,28,28,28,14,8,39,0.0,1011,35,10,61,9,Botswana
2020-01-17,34,22,0.0,13.7,7,47,No moonrise,12:21 PM,05:42 AM,07:11 PM,11,28,28,28,13,7,36,0.0,1009,34,10,80,9,Botswana
2020-01-18,29,22,0.0,13.3,6,40,12:22 AM,01:22 PM,05:43 AM,07:10 PM,14,26,26,25,13,32,49,1.8,1008,29,10,142,10,Botswana
2020-01-19,34,20,0.0,13.7,6,32,01:03 AM,02:22 PM,05:44 AM,07:10 PM,15,28,28,27,12,21,55,1.0,1006,34,10,96,9,Botswana
2020-01-20,30,21,0.0,12.1,6,25,01:46 AM,03:22 PM,05:44 AM,07:10 PM,16,26,26,25,24,52,61,0.5,1011,30,10,48,19,Botswana
2020-01-21,32,20,0.0,13.7,6,18,02:31 AM,04:21 PM,05:45 AM,07:10 PM,15,26,26,25,17,34,56,0.3,1012,32,10,67,13,Botswana
2020-01-22,34,23,0.0,13.6,7,11,03:21 AM,05:19 PM,05:46 AM,07:10 PM,13,28,28,28,16,26,44,0.7,1009,34,10,102,11,Botswana
2020-01-23,32,23,0.0,12.1,6,3,04:13 AM,06:13 PM,05:47 AM,07:09 PM,13,28,28,27,13,35,45,0.9,1008,32,10,187,10,Botswana
2020-01-24,30,22,0.0,13.3,6,0,05:09 AM,07:03 PM,05:47 AM,07:09 PM,16,28,28,27,28,51,58,7.6,1013,30,9,82,21,Botswana
2020-01-25,28,19,0.0,10.9,5,0,06:04 AM,07:48 PM,05:48 AM,07:09 PM,17,23,23,23,16,50,72,22.2,1014,28,8,116,10,Botswana
2020-01-26,31,22,0.0,12.1,6,4,06:59 AM,08:27 PM,05:49 AM,07:09 PM,15,28,28,26,11,60,55,3.0,1011,31,10,184,8,Botswana
2020-01-27,34,21,0.0,13.6,7,11,07:53 AM,09:04 PM,05:50 AM,07:08 PM,8,28,28,27,10,0,39,0.0,1012,34,10,204,7,Botswana
2020-01-28,32,21,0.0,13.3,6,18,08:44 AM,09:39 PM,05:50 AM,07:08 PM,13,28,28,27,17,25,51,0.0,1013,32,10,69,12,Botswana
2020-01-29,35,22,0.0,13.6,7,26,09:35 AM,10:10 PM,05:51 AM,07:08 PM,12,28,28,28,15,3,41,0.0,1012,35,10,218,9,Botswana
2020-01-30,34,23,0.0,13.6,7,33,10:25 AM,10:42 PM,05:52 AM,07:07 PM,10,29,29,29,17,4,34,0.0,1014,34,10,38,12,Botswana
2020-01-31,34,22,0.0,13.5,7,37,11:15 AM,11:14 PM,05:53 AM,07:07 PM,10,28,28,28,18,4,37,0.0,1015,34,10,39,13,Botswana
2020-02-01,36,22,0.0,13.5,8,49,12:05 PM,11:48 PM,05:53 AM,07:06 PM,8,30,30,29,12,4,29,0.0,1013,36,10,55,8,Botswana
2020-02-02,34,22,0.0,13.5,7,57,12:57 PM,No moonset,05:54 AM,07:06 PM,9,29,29,28,21,5,33,0.0,1015,34,10,60,14,Botswana
2020-02-03,34,21,0.0,13.5,7,64,01:52 PM,12:24 AM,05:55 AM,07:05 PM,7,28,28,28,18,2,29,0.0,1015,34,10,69,12,Botswana
2020-02-04,34,21,0.0,13.5,7,72,02:48 PM,01:05 AM,05:55 AM,07:05 PM,10,28,28,28,16,4,37,0.0,1013,34,10,53,11,Botswana
2020-02-05,34,22,0.0,13.3,6,79,03:47 PM,01:50 AM,05:56 AM,07:04 PM,10,28,28,28,13,15,35,0.1,1011,34,10,120,9,Botswana
2020-02-06,35,24,0.0,12.1,7,87,04:46 PM,02:42 AM,05:57 AM,07:04 PM,10,29,29,29,10,34,33,0.3,1009,35,10,93,7,Botswana
2020-02-07,31,20,0.0,13.5,6,95,05:45 PM,03:40 AM,05:57 AM,07:03 PM,15,25,25,24,18,30,60,0.5,1011,31,10,72,13,Botswana
2020-02-08,28,21,0.0,8.4,5,100,06:39 PM,04:43 AM,05:58 AM,07:03 PM,18,25,25,23,22,72,77,22.4,1011,28,8,64,14,Botswana
2020-02-09,30,19,0.0,12.1,6,100,07:30 PM,05:50 AM,05:59 AM,07:02 PM,18,25,25,24,14,63,71,7.1,1011,30,9,74,10,Botswana
2020-02-10,31,20,0.0,12.1,6,83,08:16 PM,06:57 AM,05:59 AM,07:01 PM,18,26,26,25,15,61,71,7.6,1010,31,8,73,12,Botswana
2020-02-11,28,19,0.0,13.0,6,75,09:00 PM,08:04 AM,06:00 AM,07:01 PM,16,25,25,24,18,41,68,3.8,1014,28,10,68,14,Botswana
2020-02-12,29,19,0.0,9.0,5,68,09:41 PM,09:09 AM,06:01 AM,07:00 PM,15,24,24,23,13,65,64,6.2,1014,29,9,63,9,Botswana
2020-02-13,32,19,0.0,11.6,7,60,10:21 PM,10:12 AM,06:01 AM,06:59 PM,14,25,25,25,8,16,58,0.0,1013,32,10,24,6,Botswana
2020-02-14,34,21,0.0,11.6,7,53,11:02 PM,11:14 AM,06:02 AM,06:59 PM,13,27,27,27,8,8,44,0.0,1011,34,10,118,5,Botswana
2020-02-15,34,23,0.0,11.6,7,45,11:45 PM,12:16 PM,06:03 AM,06:58 PM,11,29,29,29,18,8,39,0.0,1011,34,10,61,12,Botswana
2020-02-16,34,22,0.0,11.6,7,38,No moonrise,01:17 PM,06:03 AM,06:57 PM,13,28,28,27,18,11,43,0.0,1013,34,10,50,13,Botswana
2020-02-17,34,22,0.0,11.6,7,30,12:30 AM,02:17 PM,06:04 AM,06:56 PM,14,29,29,28,13,15,46,0.0,1012,34,10,44,9,Botswana
2020-02-18,33,23,0.0,11.6,7,22,01:18 AM,03:15 PM,06:04 AM,06:56 PM,14,28,28,28,18,17,43,0.0,1011,33,10,74,13,Botswana
2020-02-19,33,21,0.0,11.6,7,15,02:09 AM,04:09 PM,06:05 AM,06:55 PM,13,28,28,27,20,15,46,0.0,1013,33,10,46,14,Botswana
2020-02-20,34,21,0.0,11.6,7,7,03:03 AM,04:59 PM,06:06 AM,06:54 PM,12,28,28,28,15,9,43,0.0,1011,34,10,50,10,Botswana
2020-02-21,36,25,0.0,11.6,8,0,03:57 AM,05:45 PM,06:06 AM,06:53 PM,12,31,31,30,9,8,33,0.0,1010,36,10,76,6,Botswana
2020-02-22,33,24,0.0,8.9,6,0,04:52 AM,06:26 PM,06:07 AM,06:53 PM,16,30,30,29,15,43,51,3.6,1009,33,10,105,11,Botswana
2020-02-23,29,21,0.0,10.3,6,0,05:46 AM,07:04 PM,06:07 AM,06:52 PM,18,25,25,24,17,59,75,17.3,1010,29,9,140,13,Botswana
2020-02-24,24,18,0.0,8.9,5,0,06:38 AM,07:39 PM,06:08 AM,06:51 PM,15,20,21,20,20,66,74,1.3,1017,24,9,87,16,Botswana
2020-02-25,30,18,0.0,11.6,7,8,07:29 AM,08:11 PM,06:08 AM,06:50 PM,11,24,24,24,17,12,50,0.0,1015,30,10,119,12,Botswana
2020-02-26,29,18,0.0,11.6,6,15,08:19 AM,08:42 PM,06:09 AM,06:49 PM,10,24,24,23,15,17,44,0.0,1014,29,10,176,10,Botswana
2020-02-27,34,21,0.0,11.6,7,23,09:09 AM,09:14 PM,06:10 AM,06:48 PM,9,28,28,27,11,32,36,0.0,1011,34,10,256,7,Botswana
2020-02-28,34,22,0.0,11.6,7,30,09:59 AM,09:47 PM,06:10 AM,06:47 PM,11,28,28,28,18,24,38,0.1,1012,34,10,86,12,Botswana
