date_time,Brazil_maxtempC,Brazil_mintempC,Brazil_totalSnow_cm,Brazil_sunHour,Brazil_uvIndex,Brazil_moon_illumination,Brazil_moonrise,Brazil_moonset,Brazil_sunrise,Brazil_sunset,Brazil_DewPointC,Brazil_FeelsLikeC,Brazil_HeatIndexC,Brazil_WindChillC,Brazil_WindGustKmph,Brazil_cloudcover,Brazil_humidity,Brazil_precipMM,Brazil_pressure,Brazil_tempC,Brazil_visibility,Brazil_winddirDegree,Brazil_windspeedKmph,Brazil_location
2020-01-01,27,20,0.0,9.4,5,37,11:04 AM,11:38 PM,05:44 AM,06:46 PM,19,25,25,23,10,72,76,11.1,1009,27,9,188,7,Brazil
2020-01-02,26,19,0.0,9.4,5,44,11:50 AM,No moonset,05:44 AM,06:47 PM,19,23,23,22,21,62,84,9.4,1009,26,9,313,14,Brazil
2020-01-03,25,19,0.0,10.7,5,51,12:36 PM,12:13 AM,05:45 AM,06:47 PM,19,23,23,22,23,72,84,6.6,1011,25,10,315,17,Brazil
2020-01-04,21,19,0.0,8.1,5,59,01:24 PM,12:48 AM,05:46 AM,06:47 PM,18,20,20,20,24,86,91,4.6,1011,21,10,328,17,Brazil
2020-01-05,22,19,0.0,9.4,4,66,02:13 PM,01:26 AM,05:46 AM,06:48 PM,18,20,20,20,22,87,92,89.1,1010,22,7,319,16,Brazil
2020-01-06,24,19,0.0,10.7,5,73,03:04 PM,02:05 AM,05:47 AM,06:48 PM,18,21,22,21,21,72,87,0.7,1011,24,9,318,16,Brazil
2020-01-07,25,19,0.0,8.1,5,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,19,21,22,21,17,83,87,0.7,1012,25,9,310,13,Brazil
2020-01-08,28,20,0.0,10.7,5,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,20,24,24,23,7,69,84,6.7,1012,28,10,214,5,Brazil
2020-01-09,29,20,0.0,9.4,5,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,20,25,25,23,10,70,80,26.2,1012,29,7,270,6,Brazil
2020-01-10,28,21,0.0,13.0,6,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,20,26,26,24,8,33,77,2.1,1011,28,10,79,6,Brazil
2020-01-11,27,19,0.0,13.0,6,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,17,24,24,23,14,13,71,0.0,1012,27,10,48,10,Brazil
2020-01-12,28,19,0.0,13.0,5,83,08:45 PM,07:29 AM,05:50 AM,06:49 PM,17,24,24,23,10,25,69,0.1,1013,28,10,36,7,Brazil
