date_time,Bulgaria_maxtempC,Bulgaria_mintempC,Bulgaria_totalSnow_cm,Bulgaria_sunHour,Bulgaria_uvIndex,Bulgaria_moon_illumination,Bulgaria_moonrise,Bulgaria_moonset,Bulgaria_sunrise,Bulgaria_sunset,Bulgaria_DewPointC,Bulgaria_FeelsLikeC,Bulgaria_HeatIndexC,Bulgaria_WindChillC,Bulgaria_WindGustKmph,Bulgaria_cloudcover,Bulgaria_humidity,Bulgaria_precipMM,Bulgaria_pressure,Bulgaria_tempC,Bulgaria_visibility,Bulgaria_winddirDegree,Bulgaria_windspeedKmph,Bulgaria_location
2020-01-01,1,-6,0.0,8.7,2,37,11:51 AM,11:16 PM,07:57 AM,05:03 PM,-6,-5,-2,-5,14,15,72,0.0,1029,1,10,288,9,Bulgaria
2020-01-02,2,-6,0.0,8.7,2,44,12:14 PM,No moonset,07:57 AM,05:04 PM,-5,-5,-2,-5,8,8,79,0.0,1034,2,10,298,6,Bulgaria
2020-01-03,4,-8,0.0,8.7,2,51,12:37 PM,12:14 AM,07:57 AM,05:05 PM,-7,-2,-1,-2,7,16,59,0.0,1028,4,10,286,4,Bulgaria
2020-01-04,6,-1,0.3,8.7,1,59,01:00 PM,01:14 AM,07:57 AM,05:06 PM,-9,-1,1,-1,13,29,48,0.3,1021,6,10,281,7,Bulgaria
2020-01-05,1,-3,3.8,3.6,1,66,01:26 PM,02:14 AM,07:57 AM,05:07 PM,-3,-5,-1,-5,18,82,86,4.6,1021,1,6,296,13,Bulgaria
2020-01-06,-2,-4,1.0,3.6,1,73,01:54 PM,03:17 AM,07:57 AM,05:08 PM,-6,-6,-3,-6,10,65,80,1.3,1027,-2,6,226,9,Bulgaria
2020-01-07,2,-5,0.0,8.7,2,80,02:26 PM,04:21 AM,07:57 AM,05:09 PM,-6,-4,-2,-4,6,20,75,0.0,1029,2,10,140,5,Bulgaria
2020-01-08,3,-3,0.0,8.7,2,88,03:06 PM,05:27 AM,07:57 AM,05:10 PM,-8,-1,-1,-1,4,2,57,0.0,1031,3,10,331,4,Bulgaria
2020-01-09,2,-7,0.0,5.3,1,95,03:54 PM,06:32 AM,07:57 AM,05:11 PM,-9,-3,-1,-3,7,35,57,0.0,1029,2,10,286,4,Bulgaria
2020-01-10,6,-5,0.0,8.7,2,100,04:52 PM,07:35 AM,07:56 AM,05:12 PM,-8,1,1,1,4,20,52,0.0,1024,6,10,257,2,Bulgaria
2020-01-11,5,-2,0.0,8.7,1,100,05:59 PM,08:30 AM,07:56 AM,05:13 PM,-3,-0,2,-0,10,28,70,0.0,1024,5,10,285,6,Bulgaria
2020-01-12,4,1,0.0,3.6,1,83,07:11 PM,09:19 AM,07:56 AM,05:14 PM,1,1,2,1,5,87,90,0.0,1030,4,10,208,4,Bulgaria
2020-01-13,5,-1,0.0,8.7,1,76,08:26 PM,10:00 AM,07:56 AM,05:15 PM,0,2,2,2,4,38,90,0.0,1029,5,6,201,2,Bulgaria
2020-01-14,7,-0,0.0,8.7,2,69,09:41 PM,10:35 AM,07:55 AM,05:17 PM,0,3,3,3,2,8,85,0.0,1025,7,10,209,1,Bulgaria
2020-01-15,10,2,0.0,8.7,3,61,10:55 PM,11:06 AM,07:55 AM,05:18 PM,1,4,5,4,4,2,79,0.0,1028,10,10,100,3,Bulgaria
2020-01-16,10,3,0.0,8.7,3,54,No moonrise,11:35 AM,07:54 AM,05:19 PM,2,5,6,5,4,0,76,0.0,1029,10,10,102,3,Bulgaria
2020-01-17,7,1,0.0,8.7,2,47,12:07 AM,12:03 PM,07:54 AM,05:20 PM,0,3,4,3,6,2,78,0.0,1029,7,10,56,5,Bulgaria
2020-01-18,7,-3,0.0,8.7,2,40,01:19 AM,12:31 PM,07:53 AM,05:21 PM,-1,1,3,1,6,2,77,0.0,1027,7,10,100,5,Bulgaria
2020-01-19,2,-3,0.0,8.7,1,32,02:30 AM,01:03 PM,07:53 AM,05:23 PM,-3,-2,-0,-2,6,39,81,0.0,1026,2,10,64,5,Bulgaria
2020-01-20,4,-3,0.0,8.7,2,25,03:40 AM,01:39 PM,07:52 AM,05:24 PM,-4,-2,-0,-2,6,22,77,0.0,1039,4,10,319,5,Bulgaria
2020-01-21,4,-3,0.0,8.7,2,18,04:47 AM,02:20 PM,07:51 AM,05:25 PM,-6,-2,-0,-2,8,3,66,0.0,1042,4,10,286,6,Bulgaria
2020-01-22,7,-2,0.0,8.7,2,11,05:51 AM,03:07 PM,07:51 AM,05:26 PM,-8,0,2,0,10,2,50,0.0,1031,7,10,283,6,Bulgaria
2020-01-23,4,-3,0.0,8.7,2,3,06:48 AM,04:01 PM,07:50 AM,05:28 PM,-6,-2,1,-2,12,6,63,0.0,1031,4,10,292,8,Bulgaria
2020-01-24,7,-3,0.0,8.7,2,0,07:39 AM,04:59 PM,07:49 AM,05:29 PM,-6,2,2,2,3,2,57,0.0,1032,7,10,244,2,Bulgaria
2020-01-25,10,-0,0.0,8.7,2,0,08:20 AM,06:00 PM,07:48 AM,05:30 PM,-5,2,3,2,9,3,58,0.0,1025,10,10,267,5,Bulgaria
2020-01-26,8,0,0.0,8.7,2,4,08:56 AM,07:02 PM,07:48 AM,05:32 PM,0,3,3,3,5,13,79,0.0,1024,8,10,228,3,Bulgaria
2020-01-27,4,-4,0.0,3.7,1,11,09:27 AM,08:03 PM,07:47 AM,05:33 PM,1,1,2,1,5,83,91,8.7,1019,4,8,240,3,Bulgaria
2020-01-28,8,0,0.0,7.0,2,18,09:53 AM,09:04 PM,07:46 AM,05:34 PM,1,3,4,3,10,44,80,0.0,1014,8,10,265,7,Bulgaria
2020-01-29,5,1,1.0,5.4,1,26,10:17 AM,10:03 PM,07:45 AM,05:35 PM,-1,1,3,1,10,47,79,7.2,1011,5,9,246,6,Bulgaria
2020-01-30,4,-0,0.0,7.0,1,33,10:40 AM,11:02 PM,07:44 AM,05:37 PM,-3,-1,2,-1,15,37,75,1.3,1018,4,9,279,10,Bulgaria
2020-01-31,7,-2,0.0,8.7,2,37,11:03 AM,No moonset,07:43 AM,05:38 PM,-5,-0,2,-0,13,30,62,0.0,1019,7,10,270,7,Bulgaria
2020-02-01,12,1,0.0,8.7,3,49,11:26 AM,12:02 AM,07:42 AM,05:39 PM,1,5,6,5,10,19,70,0.0,1018,12,10,273,6,Bulgaria
2020-02-02,10,3,0.0,8.7,3,57,11:52 AM,01:02 AM,07:41 AM,05:41 PM,3,6,7,6,9,18,79,0.0,1018,10,10,270,5,Bulgaria
2020-02-03,12,4,0.0,8.7,3,64,12:22 PM,02:04 AM,07:40 AM,05:42 PM,3,6,7,6,13,26,76,0.0,1015,12,10,274,7,Bulgaria
2020-02-04,12,4,1.8,7.1,2,72,12:57 PM,03:08 AM,07:39 AM,05:43 PM,4,7,8,7,12,59,78,2.4,1007,12,8,251,7,Bulgaria
2020-02-05,1,-0,10.4,5.4,1,79,01:41 PM,04:12 AM,07:38 AM,05:45 PM,-2,-4,1,-4,26,85,83,13.3,995,1,4,284,21,Bulgaria
2020-02-06,-3,-6,16.0,5.4,1,87,02:33 PM,05:16 AM,07:37 AM,05:46 PM,-5,-7,-3,-7,16,64,89,18.9,1013,-3,5,308,13,Bulgaria
2020-02-07,-0,-8,0.0,5.4,1,95,03:36 PM,06:14 AM,07:35 AM,05:47 PM,-6,-8,-4,-8,12,49,90,0.0,1023,-0,10,273,8,Bulgaria
2020-02-08,2,-5,0.1,8.7,1,100,04:46 PM,07:07 AM,07:34 AM,05:49 PM,-4,-2,-1,-2,6,31,89,0.3,1030,2,8,265,4,Bulgaria
2020-02-09,4,-4,0.0,8.7,2,100,06:02 PM,07:52 AM,07:33 AM,05:50 PM,-3,-0,0,-0,4,3,81,0.0,1032,4,10,246,3,Bulgaria
2020-02-10,5,-3,0.0,8.7,2,83,07:20 PM,08:31 AM,07:32 AM,05:51 PM,-2,-1,0,-1,7,15,81,0.0,1025,5,10,245,4,Bulgaria
2020-02-11,7,-0,1.7,8.7,1,75,08:37 PM,09:05 AM,07:30 AM,05:53 PM,0,1,2,1,9,43,86,2.2,1014,7,8,247,6,Bulgaria
2020-02-12,5,-0,2.6,3.8,1,68,09:53 PM,09:35 AM,07:29 AM,05:54 PM,-0,1,1,1,4,76,87,3.3,1019,5,7,128,3,Bulgaria
2020-02-13,7,-1,0.0,8.7,2,60,11:08 PM,10:04 AM,07:28 AM,05:55 PM,-2,1,2,1,6,18,75,0.0,1024,7,10,190,3,Bulgaria
2020-02-14,7,-1,0.0,7.1,1,53,No moonrise,10:34 AM,07:26 AM,05:56 PM,-2,2,2,2,4,51,74,4.5,1020,7,9,143,2,Bulgaria
2020-02-15,5,1,0.3,3.9,1,45,12:20 AM,11:05 AM,07:25 AM,05:58 PM,1,1,3,1,8,93,89,5.4,1025,5,8,308,6,Bulgaria
2020-02-16,10,1,0.0,8.7,3,38,01:32 AM,11:40 AM,07:24 AM,05:59 PM,1,4,5,4,5,6,77,0.0,1032,10,10,94,4,Bulgaria
2020-02-17,12,3,0.0,10.8,3,30,02:41 AM,12:19 PM,07:22 AM,06:00 PM,0,6,7,6,3,3,67,0.0,1028,12,10,132,2,Bulgaria
2020-02-18,14,2,0.0,10.8,3,22,03:46 AM,01:04 PM,07:21 AM,06:01 PM,0,7,8,7,7,11,65,0.0,1022,14,10,259,4,Bulgaria
2020-02-19,9,2,0.0,8.5,2,15,04:44 AM,01:55 PM,07:19 AM,06:03 PM,2,5,5,5,6,61,79,0.1,1020,9,10,232,4,Bulgaria
2020-02-20,5,2,0.7,5.4,1,7,05:36 AM,02:51 PM,07:18 AM,06:04 PM,2,3,4,3,8,94,86,5.6,1018,5,7,309,7,Bulgaria
2020-02-21,7,0,0.0,10.1,1,0,06:19 AM,03:51 PM,07:16 AM,06:05 PM,-3,0,3,0,11,55,70,0.2,1023,7,10,301,9,Bulgaria
2020-02-22,4,-2,1.2,7.0,1,0,06:57 AM,04:52 PM,07:15 AM,06:07 PM,-3,-2,1,-2,14,67,77,2.2,1028,4,7,196,10,Bulgaria
2020-02-23,10,-1,0.0,11.0,3,0,07:28 AM,05:54 PM,07:13 AM,06:08 PM,-3,2,4,2,9,20,65,0.0,1026,10,10,275,6,Bulgaria
2020-02-24,10,3,0.0,11.0,2,0,07:56 AM,06:54 PM,07:12 AM,06:09 PM,-1,3,6,3,18,28,61,0.0,1019,10,10,277,12,Bulgaria
2020-02-25,12,-2,0.0,10.1,2,8,08:20 AM,07:54 PM,07:10 AM,06:10 PM,-2,6,7,6,4,16,54,0.0,1017,12,10,208,3,Bulgaria
2020-02-26,14,4,0.0,10.1,2,15,08:43 AM,08:54 PM,07:09 AM,06:12 PM,1,7,8,7,11,23,66,0.0,1004,14,10,230,7,Bulgaria
2020-02-27,5,-2,0.0,5.5,1,23,09:06 AM,09:53 PM,07:07 AM,06:13 PM,-0,-0,3,-0,24,66,76,1.2,1001,5,8,238,17,Bulgaria
2020-02-28,7,-3,0.0,11.1,2,30,09:29 AM,10:52 PM,07:05 AM,06:14 PM,-5,-1,2,-1,19,16,57,0.1,1013,7,10,265,15,Bulgaria
2020-02-29,7,-1,0.0,11.1,2,38,09:53 AM,11:53 PM,07:04 AM,06:15 PM,-4,-1,2,-1,16,24,68,0.1,1018,7,10,262,13,Bulgaria
2020-03-01,10,-1,0.0,11.1,3,44,10:21 AM,No moonset,07:02 AM,06:16 PM,-2,4,4,4,6,24,68,0.0,1017,10,10,156,4,Bulgaria
2020-03-02,13,2,0.0,11.2,3,51,10:53 AM,12:55 AM,07:00 AM,06:18 PM,1,6,7,6,11,28,67,0.0,1012,13,10,189,8,Bulgaria
2020-03-03,16,5,0.0,11.6,4,58,11:32 AM,01:58 AM,06:59 AM,06:19 PM,3,8,9,8,14,47,65,0.0,1009,16,10,149,8,Bulgaria
2020-03-04,12,4,0.0,7.3,2,65,12:18 PM,03:00 AM,06:57 AM,06:20 PM,4,6,8,6,15,58,78,5.3,1004,12,9,151,10,Bulgaria
2020-03-05,5,1,12.5,7.3,1,73,01:14 PM,03:59 AM,06:55 AM,06:21 PM,1,-0,3,-0,15,77,86,22.5,1009,5,6,295,11,Bulgaria
2020-03-06,10,0,0.0,8.7,2,80,02:19 PM,04:53 AM,06:54 AM,06:23 PM,0,6,6,6,4,34,66,0.0,1007,10,10,206,3,Bulgaria
2020-03-07,12,3,0.0,8.7,2,87,03:33 PM,05:41 AM,06:52 AM,06:24 PM,4,7,7,7,6,50,79,2.2,1008,12,9,121,4,Bulgaria
2020-03-08,8,3,0.0,5.9,2,95,04:50 PM,06:22 AM,06:50 AM,06:25 PM,4,4,6,4,9,90,88,15.0,1014,8,7,213,6,Bulgaria
2020-03-09,7,2,0.0,7.3,2,100,06:08 PM,06:59 AM,06:49 AM,06:26 PM,2,3,4,3,6,65,82,0.0,1015,7,10,170,5,Bulgaria
2020-03-10,6,-1,0.0,5.9,2,100,07:28 PM,07:31 AM,06:47 AM,06:27 PM,3,2,4,2,11,99,92,10.8,1012,6,7,282,8,Bulgaria
2020-03-11,11,2,0.0,11.6,3,84,08:45 PM,08:01 AM,06:45 AM,06:29 PM,2,4,6,4,9,22,78,0.0,1020,11,10,287,7,Bulgaria
2020-03-12,16,3,0.0,11.6,4,76,10:02 PM,08:31 AM,06:43 AM,06:30 PM,4,9,10,9,6,21,70,0.0,1022,16,10,264,3,Bulgaria
2020-03-13,20,7,0.0,11.6,5,69,11:18 PM,09:03 AM,06:42 AM,06:31 PM,7,14,14,14,4,7,66,0.0,1014,20,10,232,3,Bulgaria
2020-03-14,10,7,0.0,6.0,2,62,No moonrise,09:38 AM,06:40 AM,06:32 PM,5,8,9,8,9,82,79,1.9,1016,10,8,163,6,Bulgaria
2020-03-15,4,0,5.4,6.0,1,55,12:30 AM,10:16 AM,06:38 AM,06:33 PM,2,0,3,0,13,100,94,35.2,1021,4,6,44,11,Bulgaria
2020-03-16,8,-2,0.5,11.6,2,47,01:39 AM,11:00 AM,06:36 AM,06:34 PM,-3,1,4,1,10,19,70,1.1,1032,8,9,92,9,Bulgaria
2020-03-17,12,-1,0.0,11.6,3,40,02:41 AM,11:51 AM,06:35 AM,06:36 PM,-3,5,5,5,5,5,56,0.0,1030,12,10,240,3,Bulgaria
2020-03-18,9,3,0.0,11.6,3,33,03:35 AM,12:46 PM,06:33 AM,06:37 PM,-0,5,6,5,10,10,64,0.0,1028,9,10,167,8,Bulgaria
2020-03-19,13,2,0.0,10.2,2,25,04:20 AM,01:45 PM,06:31 AM,06:38 PM,-1,7,8,7,5,19,60,0.0,1028,13,10,117,4,Bulgaria
2020-03-20,17,4,0.0,11.6,4,18,04:59 AM,02:45 PM,06:29 AM,06:39 PM,1,10,11,10,4,10,55,0.0,1023,17,10,176,3,Bulgaria
2020-03-21,19,7,0.0,11.6,4,11,05:32 AM,03:47 PM,06:28 AM,06:40 PM,5,13,14,13,5,7,63,0.0,1015,19,10,181,3,Bulgaria
2020-03-22,12,6,0.0,7.5,2,4,06:00 AM,04:47 PM,06:26 AM,06:41 PM,4,8,9,8,10,55,73,0.7,1014,12,10,302,8,Bulgaria
2020-03-23,-0,-2,21.7,6.1,1,0,06:25 AM,05:47 PM,06:24 AM,06:43 PM,-1,-3,-0,-3,10,99,95,25.5,1020,-0,3,231,8,Bulgaria
2020-03-24,1,-2,4.4,6.1,1,0,06:48 AM,06:46 PM,06:22 AM,06:44 PM,-0,-4,-0,-4,19,98,98,7.4,1018,1,3,73,16,Bulgaria
2020-03-25,1,-3,0.8,6.1,1,3,07:10 AM,07:46 PM,06:21 AM,06:45 PM,-2,-5,-1,-5,18,99,93,1.2,1024,1,7,82,15,Bulgaria
2020-03-26,4,1,0.2,6.1,1,11,07:33 AM,08:45 PM,06:19 AM,06:46 PM,1,-2,2,-2,18,98,92,0.4,1022,4,8,74,15,Bulgaria
2020-03-27,6,1,0.0,6.2,1,18,07:57 AM,09:46 PM,06:17 AM,06:47 PM,2,1,4,1,14,79,89,0.0,1017,6,7,66,10,Bulgaria
2020-03-28,9,2,0.0,8.9,2,25,08:23 AM,10:47 PM,06:15 AM,06:48 PM,2,4,5,4,9,57,82,0.0,1014,9,8,83,6,Bulgaria
2020-03-29,12,3,0.0,11.6,2,32,08:53 AM,11:50 PM,06:14 AM,06:50 PM,2,6,7,6,9,42,73,0.2,1012,12,10,267,6,Bulgaria
2020-03-30,13,4,0.0,10.2,3,40,09:28 AM,No moonset,06:12 AM,06:51 PM,2,8,9,8,9,24,67,0.1,1012,13,10,296,6,Bulgaria
2020-03-31,7,2,1.5,6.2,2,44,10:10 AM,12:51 AM,06:10 AM,06:52 PM,2,3,5,3,10,69,82,2.9,1016,7,9,193,8,Bulgaria
2020-04-01,1,-1,17.5,6.2,1,56,11:01 AM,01:50 AM,06:08 AM,06:53 PM,-0,-3,0,-3,15,97,95,20.6,1018,1,2,54,13,Bulgaria
2020-04-02,4,-1,6.4,7.6,1,64,12:01 PM,02:44 AM,06:07 AM,06:54 PM,-0,-1,1,-1,8,80,92,7.6,1017,4,6,62,6,Bulgaria
2020-04-03,10,-2,0.0,11.6,2,71,01:09 PM,03:33 AM,06:05 AM,06:55 PM,1,4,4,4,5,38,82,0.0,1016,10,10,181,3,Bulgaria
2020-04-04,10,3,0.0,7.6,2,79,02:22 PM,04:16 AM,06:03 AM,06:57 PM,4,5,6,5,9,76,83,1.7,1018,10,8,71,7,Bulgaria
2020-04-05,7,4,0.0,6.3,2,87,03:39 PM,04:53 AM,06:02 AM,06:58 PM,3,2,5,2,24,93,86,7.1,1023,7,6,65,19,Bulgaria
2020-04-06,8,1,0.0,12.6,3,94,04:57 PM,05:26 AM,06:00 AM,06:59 PM,-2,1,4,1,23,15,63,0.0,1030,8,10,58,17,Bulgaria
2020-04-07,10,3,0.0,13.4,3,100,06:15 PM,05:57 AM,05:58 AM,07:00 PM,-2,3,6,3,16,5,60,0.0,1031,10,10,53,13,Bulgaria
2020-04-08,11,3,0.0,13.4,3,100,07:34 PM,06:27 AM,05:57 AM,07:01 PM,-0,6,7,6,13,4,63,0.0,1029,11,10,53,10,Bulgaria
2020-04-09,16,5,0.0,13.5,4,83,08:52 PM,06:58 AM,05:55 AM,07:02 PM,2,10,11,10,7,3,62,0.0,1023,16,10,54,5,Bulgaria
2020-04-10,17,7,0.0,13.5,4,76,10:09 PM,07:31 AM,05:53 AM,07:04 PM,3,12,12,12,8,8,58,0.0,1020,17,10,301,6,Bulgaria
2020-04-11,16,6,0.0,13.3,3,68,11:23 PM,08:09 AM,05:52 AM,07:05 PM,4,11,12,11,9,35,67,0.3,1022,16,10,211,6,Bulgaria
2020-04-12,15,6,0.0,8.5,3,61,No moonrise,08:52 AM,05:50 AM,07:06 PM,5,10,11,10,12,63,76,0.6,1024,15,10,107,9,Bulgaria
2020-04-13,18,5,0.0,13.3,3,53,12:30 AM,09:42 AM,05:48 AM,07:07 PM,5,11,12,11,10,36,70,0.2,1019,18,10,207,7,Bulgaria
