date_time,Burundi_maxtempC,Burundi_mintempC,Burundi_totalSnow_cm,Burundi_sunHour,Burundi_uvIndex,Burundi_moon_illumination,Burundi_moonrise,Burundi_moonset,Burundi_sunrise,Burundi_sunset,Burundi_DewPointC,Burundi_FeelsLikeC,Burundi_HeatIndexC,Burundi_WindChillC,Burundi_WindGustKmph,Burundi_cloudcover,Burundi_humidity,Burundi_precipMM,Burundi_pressure,Burundi_tempC,Burundi_visibility,Burundi_winddirDegree,Burundi_windspeedKmph,Burundi_location
2020-01-01,26,19,0.0,11.8,5,37,10:52 AM,11:16 PM,05:56 AM,06:15 PM,19,24,24,23,7,65,78,4.8,1012,26,9,130,5,Burundi
2020-01-02,28,19,0.0,7.9,6,44,11:35 AM,11:55 PM,05:57 AM,06:16 PM,19,25,25,24,7,78,75,3.3,1012,28,9,86,5,Burundi
2020-01-03,28,21,0.0,7.9,6,51,12:16 PM,No moonset,05:57 AM,06:16 PM,20,26,26,24,6,85,76,4.9,1013,28,9,81,4,Burundi
2020-01-04,27,20,0.0,7.9,5,59,12:59 PM,12:35 AM,05:58 AM,06:16 PM,19,25,25,24,7,66,74,4.1,1014,27,9,101,5,Burundi
2020-01-05,27,21,0.0,9.2,6,66,01:43 PM,01:16 AM,05:58 AM,06:17 PM,20,26,26,24,6,65,78,9.5,1013,27,9,123,4,Burundi
2020-01-06,27,20,0.0,7.9,5,73,02:30 PM,01:59 AM,05:59 AM,06:17 PM,20,25,25,23,8,73,81,15.1,1013,27,8,128,5,Burundi
2020-01-07,28,21,0.0,10.5,5,80,03:20 PM,02:45 AM,05:59 AM,06:18 PM,19,26,26,24,7,71,75,7.2,1013,28,8,68,5,Burundi
2020-01-08,23,20,0.0,7.6,5,88,04:13 PM,03:35 AM,06:00 AM,06:18 PM,19,23,23,22,7,79,84,12.3,1014,23,8,104,5,Burundi
2020-01-09,26,20,0.0,11.7,5,95,05:10 PM,04:28 AM,06:00 AM,06:18 PM,19,25,25,23,6,55,78,12.3,1013,26,9,104,4,Burundi
2020-01-10,24,19,0.0,8.8,5,100,06:09 PM,05:26 AM,06:01 AM,06:19 PM,19,22,22,21,7,68,85,15.0,1014,24,9,132,5,Burundi
2020-01-11,24,19,0.0,8.8,5,100,07:09 PM,06:26 AM,06:01 AM,06:19 PM,19,23,23,22,9,59,84,8.1,1014,24,9,112,7,Burundi
2020-01-12,23,19,0.0,7.5,5,83,08:07 PM,07:27 AM,06:02 AM,06:19 PM,19,21,22,21,10,74,87,18.0,1015,23,9,169,7,Burundi
2020-01-13,26,18,0.0,7.5,5,76,09:02 PM,08:25 AM,06:02 AM,06:20 PM,18,24,24,22,9,66,77,3.6,1014,26,10,124,6,Burundi
2020-01-14,27,20,0.0,10.2,5,69,09:54 PM,09:22 AM,06:02 AM,06:20 PM,19,25,25,23,6,55,75,2.8,1012,27,10,134,5,Burundi
2020-01-15,27,19,0.0,10.2,5,61,10:44 PM,10:15 AM,06:03 AM,06:20 PM,19,25,25,23,7,47,77,2.5,1012,27,10,119,5,Burundi
2020-01-16,28,19,0.0,7.5,5,54,11:33 PM,11:07 AM,06:03 AM,06:21 PM,19,25,25,24,6,63,74,2.5,1013,28,10,180,4,Burundi
