date_time,Cambodia_maxtempC,Cambodia_mintempC,Cambodia_totalSnow_cm,Cambodia_sunHour,Cambodia_uvIndex,Cambodia_moon_illumination,Cambodia_moonrise,Cambodia_moonset,Cambodia_sunrise,Cambodia_sunset,Cambodia_DewPointC,Cambodia_FeelsLikeC,Cambodia_HeatIndexC,Cambodia_WindChillC,Cambodia_WindGustKmph,Cambodia_cloudcover,Cambodia_humidity,Cambodia_precipMM,Cambodia_pressure,Cambodia_tempC,Cambodia_visibility,Cambodia_winddirDegree,Cambodia_windspeedKmph,Cambodia_location
2020-01-01,33,22,0.0,8.7,7,37,10:51 AM,10:57 PM,06:19 AM,05:48 PM,17,29,29,28,22,7,53,0.0,1014,33,10,39,14,Cambodia
2020-01-02,33,23,0.0,8.7,7,44,11:29 AM,11:42 PM,06:20 AM,05:48 PM,18,29,29,28,20,18,56,0.0,1014,33,10,82,13,Cambodia
2020-01-03,33,24,0.0,8.7,7,51,12:05 PM,No moonset,06:20 AM,05:49 PM,18,29,29,28,19,24,57,0.0,1013,33,10,34,13,Cambodia
2020-01-04,32,22,0.0,8.7,7,59,12:42 PM,12:27 AM,06:21 AM,05:49 PM,17,28,28,27,17,8,57,0.0,1012,32,10,34,11,Cambodia
2020-01-05,32,21,0.0,8.7,7,66,01:21 PM,01:13 AM,06:21 AM,05:50 PM,16,27,27,27,19,5,55,0.0,1012,32,10,30,13,Cambodia
2020-01-06,33,21,0.0,8.7,7,73,02:02 PM,02:00 AM,06:21 AM,05:50 PM,16,29,29,27,16,4,53,0.0,1012,33,10,183,11,Cambodia
2020-01-07,33,23,0.0,8.7,7,80,02:47 PM,02:50 AM,06:22 AM,05:51 PM,17,30,30,28,10,17,53,0.0,1011,33,10,275,6,Cambodia
2020-01-08,34,25,0.0,8.7,8,88,03:36 PM,03:44 AM,06:22 AM,05:51 PM,20,31,31,29,9,30,60,0.0,1010,34,10,170,7,Cambodia
2020-01-09,35,25,0.0,8.7,8,95,04:29 PM,04:40 AM,06:22 AM,05:52 PM,19,31,31,30,11,19,52,0.0,1010,35,10,116,8,Cambodia
2020-01-10,34,24,0.0,8.7,8,100,05:28 PM,05:39 AM,06:23 AM,05:53 PM,20,31,31,29,13,24,59,0.0,1009,34,10,169,9,Cambodia
2020-01-11,33,24,0.0,8.7,7,100,06:28 PM,06:38 AM,06:23 AM,05:53 PM,21,31,31,28,11,32,65,0.0,1009,33,10,145,7,Cambodia
2020-01-12,34,24,0.0,7.2,6,83,07:31 PM,07:36 AM,06:23 AM,05:54 PM,21,31,31,28,13,48,67,0.4,1009,34,10,143,8,Cambodia
2020-01-13,33,23,0.0,8.7,6,76,08:31 PM,08:30 AM,06:23 AM,05:54 PM,19,29,29,28,13,42,61,0.8,1010,33,10,111,9,Cambodia
2020-01-14,33,23,0.0,8.7,7,69,09:30 PM,09:22 AM,06:24 AM,05:55 PM,17,29,29,28,8,8,52,0.0,1010,33,10,125,5,Cambodia
2020-01-15,34,22,0.0,8.7,7,61,10:26 PM,10:10 AM,06:24 AM,05:55 PM,17,28,28,27,10,4,59,0.0,1011,34,10,116,6,Cambodia
2020-01-16,34,23,0.0,8.7,7,54,11:22 PM,10:56 AM,06:24 AM,05:56 PM,18,30,30,28,10,5,58,0.0,1011,34,10,178,7,Cambodia
2020-01-17,34,24,0.0,8.7,8,47,No moonrise,11:41 AM,06:24 AM,05:56 PM,18,30,30,29,13,8,56,0.0,1012,34,10,180,8,Cambodia
2020-01-18,34,24,0.0,8.7,7,40,12:16 AM,12:26 PM,06:24 AM,05:57 PM,19,30,30,28,12,11,59,0.0,1012,34,10,152,8,Cambodia
2020-01-19,34,24,0.0,8.7,7,32,01:11 AM,01:13 PM,06:24 AM,05:57 PM,19,30,30,28,11,15,59,0.0,1011,34,10,120,8,Cambodia
2020-01-20,34,24,0.0,8.7,7,25,02:06 AM,02:01 PM,06:25 AM,05:58 PM,19,30,30,28,9,12,59,0.0,1013,34,10,151,7,Cambodia
2020-01-21,34,24,0.0,8.7,7,18,03:02 AM,02:51 PM,06:25 AM,05:58 PM,18,30,30,29,11,8,56,0.0,1014,34,10,176,8,Cambodia
2020-01-22,35,24,0.0,8.7,8,11,03:58 AM,03:44 PM,06:25 AM,05:59 PM,19,31,31,29,12,11,58,0.0,1013,35,10,174,8,Cambodia
2020-01-23,34,24,0.0,8.7,7,3,04:54 AM,04:38 PM,06:25 AM,05:59 PM,19,30,30,28,14,8,60,0.0,1011,34,10,169,9,Cambodia
2020-01-24,35,23,0.0,11.6,8,0,05:47 AM,05:32 PM,06:25 AM,06:00 PM,17,30,30,28,18,3,54,0.0,1011,35,10,154,11,Cambodia
2020-01-25,33,22,0.0,11.6,7,0,06:37 AM,06:24 PM,06:25 AM,06:00 PM,19,29,29,27,21,18,63,0.0,1011,33,10,181,14,Cambodia
2020-01-26,34,23,0.0,11.6,7,4,07:24 AM,07:16 PM,06:25 AM,06:00 PM,20,30,30,28,14,38,64,0.1,1010,34,10,178,9,Cambodia
2020-01-27,33,23,0.0,11.6,7,11,08:07 AM,08:04 PM,06:25 AM,06:01 PM,19,30,30,28,23,20,63,0.0,1010,33,10,169,15,Cambodia
2020-01-28,33,22,0.0,11.6,7,18,08:48 AM,08:51 PM,06:25 AM,06:01 PM,19,29,29,27,20,17,64,0.0,1010,33,10,171,13,Cambodia
2020-01-29,34,23,0.0,11.6,6,26,09:26 AM,09:36 PM,06:25 AM,06:02 PM,18,29,29,28,16,30,60,0.0,1012,34,10,130,10,Cambodia
2020-01-30,32,23,0.0,8.7,6,33,10:03 AM,10:21 PM,06:25 AM,06:02 PM,19,29,29,27,15,48,64,1.8,1012,32,10,151,10,Cambodia
2020-01-31,33,22,0.0,11.6,7,37,10:39 AM,11:06 PM,06:25 AM,06:02 PM,16,28,28,26,14,24,58,0.0,1012,33,10,128,9,Cambodia
2020-02-01,33,22,0.0,11.6,7,49,11:17 AM,11:52 PM,06:25 AM,06:03 PM,17,28,28,27,11,19,57,0.0,1012,33,10,119,8,Cambodia
2020-02-02,33,22,0.0,11.6,7,57,11:56 AM,No moonset,06:24 AM,06:03 PM,15,28,28,27,14,7,53,0.0,1013,33,10,159,10,Cambodia
2020-02-03,34,21,0.0,11.6,7,64,12:37 PM,12:40 AM,06:24 AM,06:04 PM,16,29,29,28,14,4,55,0.0,1012,34,10,150,9,Cambodia
2020-02-04,34,22,0.0,11.6,7,72,01:24 PM,01:31 AM,06:24 AM,06:04 PM,17,29,29,27,15,10,58,0.0,1012,34,10,156,10,Cambodia
