date_time,Cameroon_maxtempC,Cameroon_mintempC,Cameroon_totalSnow_cm,Cameroon_sunHour,Cameroon_uvIndex,Cameroon_moon_illumination,Cameroon_moonrise,Cameroon_moonset,Cameroon_sunrise,Cameroon_sunset,Cameroon_DewPointC,Cameroon_FeelsLikeC,Cameroon_HeatIndexC,Cameroon_WindChillC,Cameroon_WindGustKmph,Cameroon_cloudcover,Cameroon_humidity,Cameroon_precipMM,Cameroon_pressure,Cameroon_tempC,Cameroon_visibility,Cameroon_winddirDegree,Cameroon_windspeedKmph,Cameroon_location
2020-01-01,33,21,0.0,11.6,6,37,11:10 AM,11:26 PM,06:20 AM,06:14 PM,18,29,29,27,9,42,67,0.0,1010,33,9,274,6,Cameroon
2020-01-02,34,21,0.0,11.6,6,44,11:50 AM,No moonset,06:20 AM,06:15 PM,16,28,28,28,8,37,64,0.0,1010,34,8,220,6,Cameroon
2020-01-03,33,21,0.0,11.6,7,51,12:29 PM,12:08 AM,06:21 AM,06:15 PM,14,27,27,27,7,22,56,0.0,1011,33,9,152,5,Cameroon
2020-01-04,36,20,0.0,11.6,7,59,01:10 PM,12:50 AM,06:21 AM,06:16 PM,11,28,28,28,6,14,46,0.1,1011,36,10,168,4,Cameroon
2020-01-05,35,20,0.0,11.6,7,66,01:51 PM,01:34 AM,06:22 AM,06:16 PM,17,29,29,28,7,22,63,0.0,1011,35,10,225,4,Cameroon
2020-01-06,32,20,0.0,11.6,6,73,02:35 PM,02:19 AM,06:22 AM,06:17 PM,18,27,27,26,8,47,68,0.0,1010,32,8,284,5,Cameroon
2020-01-07,35,20,0.0,11.6,6,80,03:24 PM,03:08 AM,06:22 AM,06:17 PM,16,28,28,27,9,33,62,0.0,1010,35,8,185,6,Cameroon
2020-01-08,34,21,0.0,11.6,6,88,04:15 PM,04:00 AM,06:23 AM,06:18 PM,17,28,28,28,9,36,62,0.0,1010,34,8,255,6,Cameroon
2020-01-09,33,21,0.0,11.6,6,95,05:12 PM,04:55 AM,06:23 AM,06:18 PM,18,28,28,27,9,46,68,0.0,1011,33,9,269,7,Cameroon
2020-01-10,31,19,0.0,10.2,6,100,06:11 PM,05:54 AM,06:24 AM,06:18 PM,18,26,26,25,9,53,72,2.3,1012,31,10,223,7,Cameroon
2020-01-11,31,20,0.0,11.6,6,100,07:11 PM,06:53 AM,06:24 AM,06:19 PM,18,25,25,24,9,33,70,0.0,1013,31,9,256,6,Cameroon
2020-01-12,33,19,0.0,11.6,6,83,08:11 PM,07:52 AM,06:24 AM,06:19 PM,17,27,27,26,7,48,69,0.0,1012,33,8,204,5,Cameroon
2020-01-13,36,20,0.0,11.6,7,76,09:08 PM,08:48 AM,06:25 AM,06:20 PM,17,29,29,28,6,41,63,0.0,1010,36,8,164,4,Cameroon
2020-01-14,35,22,0.0,11.6,7,69,10:03 PM,09:42 AM,06:25 AM,06:20 PM,17,30,30,28,9,32,62,0.0,1009,35,9,249,6,Cameroon
2020-01-15,36,22,0.0,11.6,8,61,10:56 PM,10:32 AM,06:25 AM,06:21 PM,17,31,31,29,10,32,60,0.0,1009,36,9,248,7,Cameroon
2020-01-16,35,21,0.0,11.6,6,54,11:48 PM,11:22 AM,06:26 AM,06:21 PM,17,29,29,28,10,41,66,0.0,1010,35,8,204,7,Cameroon
2020-01-17,35,21,0.0,11.6,6,47,No moonrise,12:09 PM,06:26 AM,06:21 PM,17,30,30,28,9,35,62,0.7,1012,35,10,283,7,Cameroon
2020-01-18,36,21,0.0,11.6,7,40,12:39 AM,12:58 PM,06:26 AM,06:22 PM,17,30,30,29,8,40,64,0.1,1012,36,8,270,6,Cameroon
2020-01-19,36,21,0.0,11.6,7,32,01:31 AM,01:47 PM,06:26 AM,06:22 PM,17,29,29,28,9,31,62,0.1,1012,36,9,225,6,Cameroon
2020-01-20,36,20,0.0,8.8,6,25,02:24 AM,02:38 PM,06:27 AM,06:23 PM,18,29,29,27,7,30,64,0.0,1011,36,10,241,4,Cameroon
