date_time,Canada%2C%20Manitoba_maxtempC,Canada%2C%20Manitoba_mintempC,Canada%2C%20Manitoba_totalSnow_cm,Canada%2C%20Manitoba_sunHour,Canada%2C%20Manitoba_uvIndex,Canada%2C%20Manitoba_moon_illumination,Canada%2C%20Manitoba_moonrise,Canada%2C%20Manitoba_moonset,Canada%2C%20Manitoba_sunrise,Canada%2C%20Manitoba_sunset,Canada%2C%20Manitoba_DewPointC,Canada%2C%20Manitoba_FeelsLikeC,Canada%2C%20Manitoba_HeatIndexC,Canada%2C%20Manitoba_WindChillC,Canada%2C%20Manitoba_WindGustKmph,Canada%2C%20Manitoba_cloudcover,Canada%2C%20Manitoba_humidity,Canada%2C%20Manitoba_precipMM,Canada%2C%20Manitoba_pressure,Canada%2C%20Manitoba_tempC,Canada%2C%20Manitoba_visibility,Canada%2C%20Manitoba_winddirDegree,Canada%2C%20Manitoba_windspeedKmph,Canada%2C%20Manitoba_location
2020-01-01,-11,-16,0.8,1.8,1,37,12:19 PM,11:30 PM,09:01 AM,04:09 PM,-13,-17,-13,-17,11,95,96,1.2,994,-11,4,102,6,Canada%2C%20Manitoba
2020-01-02,-16,-20,0.3,5.8,1,44,12:31 PM,No moonset,09:01 AM,04:10 PM,-19,-22,-18,-22,11,44,92,0.3,1000,-16,8,66,6,Canada%2C%20Manitoba
2020-01-03,-15,-20,0.6,1.8,1,51,12:44 PM,12:40 AM,09:01 AM,04:11 PM,-17,-22,-17,-22,14,93,95,1.0,1009,-15,5,279,8,Canada%2C%20Manitoba
2020-01-04,-21,-25,0.0,2.7,1,59,12:57 PM,01:51 AM,09:00 AM,04:13 PM,-23,-29,-23,-29,15,98,98,0.1,1015,-21,2,76,9,Canada%2C%20Manitoba
2020-01-05,-20,-23,9.5,2.7,1,66,01:12 PM,03:04 AM,09:00 AM,04:14 PM,-22,-30,-22,-30,17,100,98,11.2,1008,-20,2,107,12,Canada%2C%20Manitoba
2020-01-06,-23,-29,0.0,2.8,1,73,01:30 PM,04:18 AM,08:59 AM,04:15 PM,-26,-33,-25,-33,17,97,95,0.0,1010,-23,6,308,10,Canada%2C%20Manitoba
2020-01-07,-26,-30,0.3,2.8,1,80,01:54 PM,05:35 AM,08:59 AM,04:17 PM,-27,-36,-27,-36,21,94,92,0.4,1020,-26,8,310,13,Canada%2C%20Manitoba
2020-01-08,-26,-32,0.0,6.8,1,88,02:27 PM,06:51 AM,08:58 AM,04:18 PM,-29,-35,-29,-35,11,67,95,0.0,1027,-26,4,216,6,Canada%2C%20Manitoba
2020-01-09,-22,-28,3.8,2.9,1,95,03:13 PM,08:02 AM,08:57 AM,04:20 PM,-23,-32,-23,-32,18,100,97,4.6,1022,-22,3,57,13,Canada%2C%20Manitoba
2020-01-10,-26,-33,1.0,2.9,1,100,04:14 PM,09:03 AM,08:56 AM,04:22 PM,-28,-35,-27,-35,16,97,95,1.2,1026,-26,6,267,10,Canada%2C%20Manitoba
2020-01-11,-26,-34,0.0,2.9,1,100,05:31 PM,09:51 AM,08:56 AM,04:23 PM,-30,-36,-30,-36,11,96,97,0.0,1030,-26,2,162,6,Canada%2C%20Manitoba
2020-01-12,-17,-28,1.7,2.9,1,83,06:56 PM,10:26 AM,08:55 AM,04:25 PM,-21,-28,-21,-28,18,100,96,2.4,1027,-17,3,102,12,Canada%2C%20Manitoba
2020-01-13,-16,-20,1.9,2.9,1,76,08:25 PM,10:52 AM,08:54 AM,04:27 PM,-18,-22,-17,-22,10,100,96,2.2,1021,-16,2,227,6,Canada%2C%20Manitoba
2020-01-14,-22,-25,2.7,2.9,1,69,09:54 PM,11:13 AM,08:53 AM,04:28 PM,-23,-30,-23,-30,13,100,98,3.3,1021,-22,2,33,9,Canada%2C%20Manitoba
2020-01-15,-27,-31,0.9,2.9,1,61,11:21 PM,11:30 AM,08:52 AM,04:30 PM,-29,-35,-28,-35,10,98,97,1.0,1030,-27,8,229,6,Canada%2C%20Manitoba
