date_time,Canada%2C%20New%20Brunswick_maxtempC,Canada%2C%20New%20Brunswick_mintempC,Canada%2C%20New%20Brunswick_totalSnow_cm,Canada%2C%20New%20Brunswick_sunHour,Canada%2C%20New%20Brunswick_uvIndex,Canada%2C%20New%20Brunswick_moon_illumination,Canada%2C%20New%20Brunswick_moonrise,Canada%2C%20New%20Brunswick_moonset,Canada%2C%20New%20Brunswick_sunrise,Canada%2C%20New%20Brunswick_sunset,Canada%2C%20New%20Brunswick_DewPointC,Canada%2C%20New%20Brunswick_FeelsLikeC,Canada%2C%20New%20Brunswick_HeatIndexC,Canada%2C%20New%20Brunswick_WindChillC,Canada%2C%20New%20Brunswick_WindGustKmph,Canada%2C%20New%20Brunswick_cloudcover,Canada%2C%20New%20Brunswick_humidity,Canada%2C%20New%20Brunswick_precipMM,Canada%2C%20New%20Brunswick_pressure,Canada%2C%20New%20Brunswick_tempC,Canada%2C%20New%20Brunswick_visibility,Canada%2C%20New%20Brunswick_winddirDegree,Canada%2C%20New%20Brunswick_windspeedKmph,Canada%2C%20New%20Brunswick_location
2020-01-01,2,-4,0.0,8.4,1,37,11:53 AM,11:20 PM,08:01 AM,04:43 PM,-2,-4,0,-4,29,65,83,1.3,992,2,9,219,19,Canada%2C%20New%20Brunswick
2020-01-02,-2,-7,0.0,8.4,2,44,12:13 PM,No moonset,08:01 AM,04:44 PM,-6,-9,-3,-9,32,43,79,0.0,1000,-2,10,267,21,Canada%2C%20New%20Brunswick
2020-01-03,2,-5,0.0,3.2,1,51,12:34 PM,12:21 AM,08:01 AM,04:45 PM,-3,-4,-1,-4,14,68,88,0.0,1008,2,10,236,8,Canada%2C%20New%20Brunswick
2020-01-04,2,-3,0.0,6.9,1,59,12:55 PM,01:24 AM,08:01 AM,04:46 PM,-1,-2,1,-2,15,58,90,0.0,1004,2,10,245,8,Canada%2C%20New%20Brunswick
2020-01-05,-1,-5,9.0,3.2,1,66,01:19 PM,02:26 AM,08:01 AM,04:47 PM,-3,-7,-2,-7,20,100,94,10.6,997,-1,3,121,14,Canada%2C%20New%20Brunswick
2020-01-06,-7,-10,0.3,6.9,1,73,01:46 PM,03:32 AM,08:01 AM,04:49 PM,-11,-12,-8,-12,13,57,83,0.5,1009,-7,9,212,9,Canada%2C%20New%20Brunswick
2020-01-07,-3,-9,1.8,3.2,1,80,02:17 PM,04:39 AM,08:01 AM,04:50 PM,-7,-9,-6,-9,11,84,91,2.3,1013,-3,6,174,7,Canada%2C%20New%20Brunswick
2020-01-08,-3,-6,8.9,3.2,1,88,02:57 PM,05:47 AM,08:01 AM,04:51 PM,-6,-9,-5,-9,16,93,92,10.5,1006,-3,5,189,10,Canada%2C%20New%20Brunswick
2020-01-09,-6,-13,0.3,6.9,1,95,03:47 PM,06:53 AM,08:00 AM,04:52 PM,-11,-15,-8,-15,30,60,81,0.7,1019,-6,8,294,19,Canada%2C%20New%20Brunswick
2020-01-10,1,-15,0.4,3.2,1,100,04:47 PM,07:54 AM,08:00 AM,04:53 PM,-8,-11,-7,-11,22,65,87,1.6,1031,1,9,221,13,Canada%2C%20New%20Brunswick
2020-01-11,9,1,0.3,3.2,2,100,05:57 PM,08:47 AM,08:00 AM,04:54 PM,3,1,5,1,36,96,92,0.6,1018,9,8,236,20,Canada%2C%20New%20Brunswick
2020-01-12,-6,-7,23.0,3.4,1,83,07:12 PM,09:32 AM,07:59 AM,04:56 PM,-6,-11,-5,-11,30,100,93,28.9,1017,-6,6,55,20,Canada%2C%20New%20Brunswick
2020-01-13,-7,-13,1.8,3.4,1,76,08:30 PM,10:09 AM,07:59 AM,04:57 PM,-10,-13,-10,-13,11,98,91,2.3,1033,-7,5,168,7,Canada%2C%20New%20Brunswick
2020-01-14,-7,-13,2.0,3.4,1,69,09:48 PM,10:40 AM,07:58 AM,04:58 PM,-10,-12,-9,-12,10,85,95,2.6,1028,-7,4,267,6,Canada%2C%20New%20Brunswick
2020-01-15,-2,-12,3.0,3.4,1,61,11:04 PM,11:08 AM,07:58 AM,04:59 PM,-6,-9,-6,-9,11,80,94,3.9,1016,-2,4,216,7,Canada%2C%20New%20Brunswick
2020-01-16,-6,-12,0.7,3.5,1,54,No moonrise,11:34 AM,07:57 AM,05:01 PM,-9,-11,-8,-11,16,93,92,0.9,1009,-6,7,127,10,Canada%2C%20New%20Brunswick
2020-01-17,-11,-19,0.6,3.5,1,47,12:19 AM,11:59 AM,07:56 AM,05:02 PM,-16,-24,-14,-24,38,75,83,3.3,1016,-11,4,334,25,Canada%2C%20New%20Brunswick
2020-01-18,-14,-21,0.0,8.7,2,40,01:34 AM,12:25 PM,07:56 AM,05:03 PM,-20,-25,-18,-25,20,11,83,0.0,1026,-14,10,268,13,Canada%2C%20New%20Brunswick
2020-01-19,-1,-19,12.0,3.6,1,32,02:47 AM,12:55 PM,07:55 AM,05:05 PM,-7,-12,-7,-12,20,100,95,14.1,1006,-1,3,121,13,Canada%2C%20New%20Brunswick
2020-01-20,-7,-12,2.0,7.0,1,25,03:59 AM,01:30 PM,07:54 AM,05:06 PM,-9,-14,-8,-14,22,70,89,3.2,1009,-7,7,241,14,Canada%2C%20New%20Brunswick
2020-01-21,-13,-21,0.0,8.7,1,18,05:08 AM,02:11 PM,07:53 AM,05:08 PM,-19,-24,-17,-24,18,26,88,0.0,1024,-13,10,263,10,Canada%2C%20New%20Brunswick
2020-01-22,-6,-20,0.0,8.7,2,11,06:11 AM,02:59 PM,07:53 AM,05:09 PM,-13,-16,-12,-16,12,42,87,0.0,1030,-6,10,200,6,Canada%2C%20New%20Brunswick
2020-01-23,1,-10,0.0,8.7,2,3,07:07 AM,03:54 PM,07:52 AM,05:10 PM,-3,-7,-2,-7,25,51,90,0.0,1024,1,10,236,14,Canada%2C%20New%20Brunswick
2020-01-24,-4,-9,0.0,8.7,1,0,07:54 AM,04:54 PM,07:51 AM,05:12 PM,-7,-9,-6,-9,14,42,91,0.0,1030,-4,8,151,8,Canada%2C%20New%20Brunswick
2020-01-25,-4,-12,0.0,8.7,1,0,08:33 AM,05:57 PM,07:50 AM,05:13 PM,-9,-11,-8,-11,9,23,91,0.0,1032,-4,9,109,5,Canada%2C%20New%20Brunswick
2020-01-26,3,-9,0.0,3.6,1,4,09:05 AM,07:01 PM,07:49 AM,05:15 PM,-1,-5,-1,-5,23,92,97,12.4,1012,3,6,134,13,Canada%2C%20New%20Brunswick
