date_time,Canada%2C%20Nunavut_maxtempC,Canada%2C%20Nunavut_mintempC,Canada%2C%20Nunavut_totalSnow_cm,Canada%2C%20Nunavut_sunHour,Canada%2C%20Nunavut_uvIndex,Canada%2C%20Nunavut_moon_illumination,Canada%2C%20Nunavut_moonrise,Canada%2C%20Nunavut_moonset,Canada%2C%20Nunavut_sunrise,Canada%2C%20Nunavut_sunset,Canada%2C%20Nunavut_DewPointC,Canada%2C%20Nunavut_FeelsLikeC,Canada%2C%20Nunavut_HeatIndexC,Canada%2C%20Nunavut_WindChillC,Canada%2C%20Nunavut_WindGustKmph,Canada%2C%20Nunavut_cloudcover,Canada%2C%20Nunavut_humidity,Canada%2C%20Nunavut_precipMM,Canada%2C%20Nunavut_pressure,Canada%2C%20Nunavut_tempC,Canada%2C%20Nunavut_visibility,Canada%2C%20Nunavut_winddirDegree,Canada%2C%20Nunavut_windspeedKmph,Canada%2C%20Nunavut_location
2020-01-01,-22,-31,0.0,2.9,1,37,11:37 AM,10:14 PM,09:20 AM,01:55 PM,-30,-24,-23,-24,5,39,48,0.0,1009,-22,10,192,2,Canada%2C%20Nunavut
2020-01-02,-16,-26,0.0,2.9,1,44,11:39 AM,11:37 PM,09:19 AM,01:57 PM,-21,-21,-20,-21,4,63,82,0.0,1006,-16,10,185,2,Canada%2C%20Nunavut
2020-01-03,-12,-15,0.5,0.6,1,51,11:41 AM,No moonset,09:18 AM,01:59 PM,-14,-15,-13,-15,8,96,93,0.6,1002,-12,6,157,5,Canada%2C%20Nunavut
2020-01-04,-17,-36,0.3,0.6,1,59,11:43 AM,12:59 AM,09:17 AM,02:01 PM,-25,-36,-23,-36,44,65,83,0.8,1003,-17,7,313,29,Canada%2C%20Nunavut
2020-01-05,-38,-47,0.1,2.9,1,66,11:46 AM,02:24 AM,09:15 AM,02:04 PM,-39,-50,-40,-50,21,65,91,0.1,1009,-38,8,222,12,Canada%2C%20Nunavut
2020-01-06,-28,-31,0.5,0.6,1,73,11:50 AM,03:52 AM,09:14 AM,02:06 PM,-30,-36,-29,-36,11,100,95,0.6,1001,-28,9,194,7,Canada%2C%20Nunavut
2020-01-07,-38,-39,0.1,0.6,1,80,11:59 AM,05:25 AM,09:13 AM,02:08 PM,-39,-49,-37,-49,24,71,86,0.1,1001,-38,10,349,12,Canada%2C%20Nunavut
2020-01-08,-34,-42,0.1,2.9,1,88,12:14 PM,06:58 AM,09:11 AM,02:11 PM,-36,-41,-36,-41,9,53,91,0.1,1006,-34,10,169,5,Canada%2C%20Nunavut
2020-01-09,-29,-35,0.9,0.6,1,95,12:46 PM,08:24 AM,09:09 AM,02:13 PM,-31,-42,-30,-42,25,100,93,1.1,1010,-29,6,290,16,Canada%2C%20Nunavut
2020-01-10,-32,-34,0.1,0.6,1,100,01:46 PM,09:28 AM,09:07 AM,02:16 PM,-33,-41,-33,-41,15,100,94,0.1,1012,-32,6,347,8,Canada%2C%20Nunavut
