date_time,Canada%2C%20Ontario_maxtempC,Canada%2C%20Ontario_mintempC,Canada%2C%20Ontario_totalSnow_cm,Canada%2C%20Ontario_sunHour,Canada%2C%20Ontario_uvIndex,Canada%2C%20Ontario_moon_illumination,Canada%2C%20Ontario_moonrise,Canada%2C%20Ontario_moonset,Canada%2C%20Ontario_sunrise,Canada%2C%20Ontario_sunset,Canada%2C%20Ontario_DewPointC,Canada%2C%20Ontario_FeelsLikeC,Canada%2C%20Ontario_HeatIndexC,Canada%2C%20Ontario_WindChillC,Canada%2C%20Ontario_WindGustKmph,Canada%2C%20Ontario_cloudcover,Canada%2C%20Ontario_humidity,Canada%2C%20Ontario_precipMM,Canada%2C%20Ontario_pressure,Canada%2C%20Ontario_tempC,Canada%2C%20Ontario_visibility,Canada%2C%20Ontario_winddirDegree,Canada%2C%20Ontario_windspeedKmph,Canada%2C%20Ontario_location
2020-01-01,0,-2,1.4,3.3,1,37,11:33 AM,11:04 PM,07:39 AM,04:29 PM,-3,-7,-1,-7,27,98,91,2.2,1000,0,7,248,18,Canada%2C%20Ontario
2020-01-02,3,-3,0.0,3.3,1,44,11:55 AM,No moonset,07:39 AM,04:30 PM,-2,-4,-0,-4,24,84,85,0.0,1007,3,10,225,15,Canada%2C%20Ontario
2020-01-03,4,-2,0.0,3.3,1,51,12:16 PM,12:04 AM,07:39 AM,04:31 PM,2,-0,3,-0,20,91,92,5.3,1006,4,9,227,11,Canada%2C%20Ontario
2020-01-04,-0,-2,2.1,3.3,1,59,12:38 PM,01:06 AM,07:39 AM,04:32 PM,-2,-3,-1,-3,10,76,93,2.5,1007,-0,7,118,7,Canada%2C%20Ontario
2020-01-05,-5,-7,0.9,6.9,1,66,01:03 PM,02:08 AM,07:39 AM,04:33 PM,-7,-9,-5,-9,16,68,82,1.1,1009,-5,6,271,12,Canada%2C%20Ontario
2020-01-06,0,-11,1.1,3.4,1,73,01:30 PM,03:13 AM,07:38 AM,04:34 PM,-5,-8,-4,-8,18,91,87,2.6,1008,0,7,187,12,Canada%2C%20Ontario
2020-01-07,-2,-10,0.8,5.1,1,80,02:03 PM,04:19 AM,07:38 AM,04:35 PM,-7,-9,-5,-9,15,82,83,1.0,1014,-2,9,222,9,Canada%2C%20Ontario
2020-01-08,-2,-15,0.7,3.4,1,88,02:44 PM,05:26 AM,07:38 AM,04:36 PM,-9,-13,-7,-13,28,90,83,3.6,1011,-2,7,246,19,Canada%2C%20Ontario
2020-01-09,-11,-16,0.0,8.7,2,95,03:34 PM,06:31 AM,07:38 AM,04:37 PM,-17,-20,-14,-20,16,53,78,0.0,1035,-11,10,213,11,Canada%2C%20Ontario
2020-01-10,4,-13,0.0,3.4,1,100,04:34 PM,07:33 AM,07:37 AM,04:38 PM,-1,-3,0,-3,30,83,83,0.4,1025,4,10,195,17,Canada%2C%20Ontario
2020-01-11,9,-5,12.9,3.4,1,100,05:44 PM,08:25 AM,07:37 AM,04:39 PM,2,-1,3,-1,31,100,93,31.2,1018,9,6,212,18,Canada%2C%20Ontario
2020-01-12,-9,-13,32.8,3.4,1,83,06:59 PM,09:11 AM,07:37 AM,04:41 PM,-10,-15,-9,-15,25,93,93,39.4,1017,-9,6,114,18,Canada%2C%20Ontario
2020-01-13,-9,-16,0.2,3.4,1,76,08:16 PM,09:48 AM,07:36 AM,04:42 PM,-14,-18,-13,-18,13,71,95,0.4,1032,-9,3,78,8,Canada%2C%20Ontario
2020-01-14,-8,-14,0.0,3.4,1,69,09:33 PM,10:20 AM,07:36 AM,04:43 PM,-11,-15,-11,-15,13,78,95,0.2,1027,-8,6,142,8,Canada%2C%20Ontario
2020-01-15,2,-10,1.9,5.2,1,61,10:48 PM,10:49 AM,07:35 AM,04:44 PM,-2,-5,-1,-5,17,84,91,2.7,1017,2,6,213,11,Canada%2C%20Ontario
2020-01-16,-2,-13,7.3,3.4,1,54,No moonrise,11:16 AM,07:35 AM,04:46 PM,-6,-10,-5,-10,22,100,93,9.0,1014,-2,4,227,15,Canada%2C%20Ontario
2020-01-17,-16,-20,0.0,8.7,2,47,12:02 AM,11:42 AM,07:34 AM,04:47 PM,-20,-25,-18,-25,17,17,83,0.0,1039,-16,10,281,11,Canada%2C%20Ontario
2020-01-18,-11,-18,5.2,3.4,1,40,01:15 AM,12:10 PM,07:34 AM,04:48 PM,-15,-19,-14,-19,16,73,90,6.1,1026,-11,8,118,10,Canada%2C%20Ontario
