date_time,Canada%2C%20Yukon_maxtempC,Canada%2C%20Yukon_mintempC,Canada%2C%20Yukon_totalSnow_cm,Canada%2C%20Yukon_sunHour,Canada%2C%20Yukon_uvIndex,Canada%2C%20Yukon_moon_illumination,Canada%2C%20Yukon_moonrise,Canada%2C%20Yukon_moonset,Canada%2C%20Yukon_sunrise,Canada%2C%20Yukon_sunset,Canada%2C%20Yukon_DewPointC,Canada%2C%20Yukon_FeelsLikeC,Canada%2C%20Yukon_HeatIndexC,Canada%2C%20Yukon_WindChillC,Canada%2C%20Yukon_WindGustKmph,Canada%2C%20Yukon_cloudcover,Canada%2C%20Yukon_humidity,Canada%2C%20Yukon_precipMM,Canada%2C%20Yukon_pressure,Canada%2C%20Yukon_tempC,Canada%2C%20Yukon_visibility,Canada%2C%20Yukon_winddirDegree,Canada%2C%20Yukon_windspeedKmph,Canada%2C%20Yukon_location
2020-01-01,-14,-18,1.9,3.5,1,37,02:06 PM,No moonset,11:33 AM,04:46 PM,-14,-19,-15,-19,12,72,96,2.2,990,-14,3,66,6,Canada%2C%20Yukon
2020-01-02,-14,-22,1.0,1.3,1,44,02:10 PM,01:04 AM,11:32 AM,04:48 PM,-17,-19,-17,-19,7,88,94,1.3,1004,-14,7,60,3,Canada%2C%20Yukon
2020-01-03,-24,-32,0.0,1.3,1,51,02:14 PM,02:23 AM,11:32 AM,04:50 PM,-26,-30,-26,-30,10,94,96,0.0,1011,-24,4,47,5,Canada%2C%20Yukon
2020-01-04,-25,-26,0.6,1.3,1,59,02:18 PM,03:44 AM,11:31 AM,04:52 PM,-26,-31,-25,-31,9,99,95,0.7,1011,-25,7,7,6,Canada%2C%20Yukon
2020-01-05,-29,-32,0.0,1.3,1,66,02:24 PM,05:06 AM,11:30 AM,04:54 PM,-30,-30,-29,-30,6,97,98,0.0,1020,-29,1,46,3,Canada%2C%20Yukon
2020-01-06,-30,-38,0.0,1.3,1,73,02:33 PM,06:32 AM,11:28 AM,04:56 PM,-31,-32,-31,-32,5,95,97,0.0,1027,-30,1,65,2,Canada%2C%20Yukon
2020-01-07,-32,-39,0.0,1.3,1,80,02:46 PM,08:01 AM,11:27 AM,04:58 PM,-33,-36,-33,-36,6,85,97,0.0,1027,-32,1,55,3,Canada%2C%20Yukon
2020-01-08,-33,-36,0.0,3.6,1,88,03:09 PM,09:29 AM,11:26 AM,05:00 PM,-34,-34,-34,-34,4,76,97,0.0,1030,-33,1,214,2,Canada%2C%20Yukon
2020-01-09,-36,-37,0.0,3.6,1,95,03:49 PM,10:48 AM,11:24 AM,05:02 PM,-37,-39,-36,-39,6,54,94,0.0,1040,-36,6,125,3,Canada%2C%20Yukon
2020-01-10,-37,-40,0.0,5.8,1,100,04:53 PM,11:47 AM,11:23 AM,05:05 PM,-38,-39,-38,-39,5,55,96,0.0,1037,-37,3,135,2,Canada%2C%20Yukon
2020-01-11,-35,-41,0.0,1.5,1,100,06:21 PM,12:23 PM,11:21 AM,05:07 PM,-37,-37,-37,-37,3,88,98,0.0,1041,-35,2,130,1,Canada%2C%20Yukon
2020-01-12,-33,-37,0.0,1.5,1,83,08:01 PM,12:45 PM,11:20 AM,05:10 PM,-35,-37,-35,-37,5,83,97,0.0,1044,-33,2,92,3,Canada%2C%20Yukon
2020-01-13,-35,-39,0.0,1.5,1,76,09:44 PM,12:58 PM,11:18 AM,05:12 PM,-36,-36,-36,-36,3,78,97,0.0,1038,-35,4,61,1,Canada%2C%20Yukon
2020-01-14,-35,-39,0.0,1.5,1,69,11:25 PM,01:06 PM,11:16 AM,05:15 PM,-38,-37,-37,-37,3,92,98,0.0,1041,-35,2,76,1,Canada%2C%20Yukon
2020-01-15,-34,-41,0.0,1.5,1,61,No moonrise,01:13 PM,11:14 AM,05:17 PM,-35,-36,-35,-36,4,100,98,0.1,1046,-34,3,96,2,Canada%2C%20Yukon
2020-01-16,-33,-39,0.0,1.5,1,54,01:03 AM,01:18 PM,11:12 AM,05:20 PM,-35,-35,-35,-35,6,96,99,0.0,1043,-33,0,87,3,Canada%2C%20Yukon
2020-01-17,-32,-35,0.0,5.8,1,47,02:39 AM,01:24 PM,11:10 AM,05:23 PM,-34,-36,-34,-36,7,63,96,0.0,1040,-32,1,88,3,Canada%2C%20Yukon
2020-01-18,-31,-34,0.0,5.8,2,40,04:16 AM,01:31 PM,11:08 AM,05:25 PM,-34,-38,-33,-38,9,5,90,0.0,1035,-31,10,74,5,Canada%2C%20Yukon
2020-01-19,-29,-34,0.0,5.8,2,32,05:52 AM,01:40 PM,11:06 AM,05:28 PM,-32,-31,-31,-31,4,19,87,0.0,1027,-29,10,74,2,Canada%2C%20Yukon
2020-01-20,-25,-28,0.0,1.6,1,25,07:26 AM,01:55 PM,11:04 AM,05:31 PM,-27,-30,-27,-30,7,97,97,0.0,1016,-25,3,62,4,Canada%2C%20Yukon
2020-01-21,-21,-26,0.3,1.6,1,18,08:54 AM,02:18 PM,11:02 AM,05:34 PM,-24,-26,-23,-26,5,94,98,0.3,1012,-21,5,53,3,Canada%2C%20Yukon
2020-01-22,-21,-27,1.6,1.7,1,11,10:08 AM,02:57 PM,10:59 AM,05:37 PM,-22,-24,-23,-24,5,99,99,2.0,1012,-21,3,170,2,Canada%2C%20Yukon
2020-01-23,-16,-28,4.2,1.7,1,3,11:01 AM,03:57 PM,10:57 AM,05:40 PM,-20,-22,-20,-22,6,100,97,4.9,1008,-16,4,113,3,Canada%2C%20Yukon
2020-01-24,-20,-24,4.4,1.7,1,0,11:33 AM,05:13 PM,10:54 AM,05:42 PM,-22,-27,-21,-27,10,100,98,5.2,1006,-20,3,74,7,Canada%2C%20Yukon
2020-01-25,-31,-37,1.1,3.8,1,0,11:52 AM,06:36 PM,10:52 AM,05:45 PM,-32,-37,-32,-37,8,73,95,1.4,1021,-31,5,18,5,Canada%2C%20Yukon
2020-01-26,-25,-34,1.1,1.7,1,4,12:03 PM,08:01 PM,10:50 AM,05:48 PM,-28,-32,-28,-32,6,100,97,1.3,1014,-25,5,91,4,Canada%2C%20Yukon
2020-01-27,-25,-29,1.4,1.8,1,11,12:10 PM,09:24 PM,10:47 AM,05:51 PM,-25,-28,-26,-28,5,100,99,2.2,1011,-25,3,211,4,Canada%2C%20Yukon
2020-01-28,-23,-28,1.7,1.8,1,18,12:16 PM,10:44 PM,10:44 AM,05:54 PM,-25,-27,-25,-27,6,98,99,2.0,1010,-23,2,121,3,Canada%2C%20Yukon
2020-01-29,-11,-26,2.1,1.8,1,26,12:20 PM,No moonset,10:42 AM,05:57 PM,-15,-19,-15,-19,10,86,95,2.6,993,-11,4,58,7,Canada%2C%20Yukon
2020-01-30,-18,-24,0.7,2.9,1,33,12:24 PM,12:04 AM,10:39 AM,06:00 PM,-20,-21,-19,-21,6,82,97,0.8,995,-18,4,118,3,Canada%2C%20Yukon
2020-01-31,-17,-25,2.6,2.9,1,37,12:28 PM,01:24 AM,10:37 AM,06:03 PM,-19,-20,-19,-20,4,100,98,3.1,997,-17,2,146,2,Canada%2C%20Yukon
2020-02-01,-22,-25,0.3,2.9,1,49,12:33 PM,02:44 AM,10:34 AM,06:06 PM,-23,-27,-23,-27,8,100,98,0.5,1007,-22,5,256,5,Canada%2C%20Yukon
2020-02-02,-31,-35,0.0,4.8,1,57,12:40 PM,04:07 AM,10:31 AM,06:09 PM,-32,-36,-32,-36,9,85,97,0.1,1029,-31,1,163,5,Canada%2C%20Yukon
2020-02-03,-24,-35,0.0,2.9,1,64,12:50 PM,05:33 AM,10:28 AM,06:12 PM,-28,-32,-27,-32,7,85,93,0.0,1021,-24,7,72,4,Canada%2C%20Yukon
2020-02-04,-22,-28,0.0,3.0,1,72,01:07 PM,07:00 AM,10:26 AM,06:15 PM,-25,-28,-24,-28,7,87,95,0.1,1008,-22,7,66,4,Canada%2C%20Yukon
2020-02-05,-14,-24,0.3,3.0,1,79,01:37 PM,08:23 AM,10:23 AM,06:18 PM,-17,-20,-17,-20,5,100,97,0.6,1003,-14,7,53,3,Canada%2C%20Yukon
2020-02-06,-14,-19,0.4,3.0,1,87,02:28 PM,09:33 AM,10:20 AM,06:20 PM,-16,-16,-16,-16,4,97,96,0.6,1007,-14,6,90,2,Canada%2C%20Yukon
2020-02-07,-12,-16,0.1,3.0,1,95,03:46 PM,10:19 AM,10:17 AM,06:23 PM,-15,-16,-14,-16,5,97,97,0.3,1013,-12,5,64,3,Canada%2C%20Yukon
2020-02-08,-13,-18,0.3,3.0,1,100,05:23 PM,10:47 AM,10:14 AM,06:26 PM,-16,-17,-15,-17,5,88,97,0.4,1017,-13,7,115,3,Canada%2C%20Yukon
2020-02-09,-11,-17,0.2,8.2,1,100,07:08 PM,11:04 AM,10:11 AM,06:29 PM,-15,-15,-14,-15,4,44,94,0.5,1021,-11,6,222,2,Canada%2C%20Yukon
2020-02-10,-10,-13,3.3,3.1,1,83,08:54 PM,11:14 AM,10:09 AM,06:32 PM,-13,-15,-12,-15,8,88,94,3.9,1016,-10,6,70,5,Canada%2C%20Yukon
2020-02-11,-18,-24,0.0,3.1,1,75,10:37 PM,11:22 AM,10:06 AM,06:35 PM,-21,-23,-20,-23,8,82,96,0.0,1026,-18,4,240,4,Canada%2C%20Yukon
2020-02-12,-19,-27,0.0,3.1,1,68,No moonrise,11:28 AM,10:03 AM,06:38 PM,-24,-29,-24,-29,9,78,95,0.0,1020,-19,4,58,5,Canada%2C%20Yukon
2020-02-13,-22,-28,0.8,3.2,1,60,12:18 AM,11:33 AM,10:00 AM,06:41 PM,-24,-30,-24,-30,9,100,97,1.7,1018,-22,2,330,6,Canada%2C%20Yukon
2020-02-14,-30,-37,0.0,8.7,1,53,01:58 AM,11:40 AM,09:57 AM,06:44 PM,-34,-38,-34,-38,7,62,94,0.0,1027,-30,5,113,4,Canada%2C%20Yukon
2020-02-15,-29,-36,0.0,8.7,1,45,03:37 AM,11:48 AM,09:54 AM,06:47 PM,-34,-37,-34,-37,6,50,94,0.0,1021,-29,4,61,3,Canada%2C%20Yukon
2020-02-16,-29,-38,0.0,8.7,1,38,05:13 AM,12:00 PM,09:51 AM,06:50 PM,-35,-37,-34,-37,6,42,94,0.0,1029,-29,6,70,3,Canada%2C%20Yukon
2020-02-17,-26,-36,0.0,3.4,1,30,06:44 AM,12:20 PM,09:48 AM,06:53 PM,-32,-36,-31,-36,8,80,95,0.0,1034,-26,4,71,4,Canada%2C%20Yukon
2020-02-18,-18,-31,0.0,3.4,1,22,08:02 AM,12:54 PM,09:45 AM,06:56 PM,-21,-26,-22,-26,10,94,96,0.1,1026,-18,3,70,6,Canada%2C%20Yukon
2020-02-19,-8,-23,0.2,5.2,1,15,09:00 AM,01:47 PM,09:42 AM,06:59 PM,-14,-16,-13,-16,9,55,94,0.5,1007,-8,6,74,5,Canada%2C%20Yukon
2020-02-20,-8,-14,0.0,8.7,1,7,09:37 AM,02:57 PM,09:39 AM,07:02 PM,-12,-14,-11,-14,10,47,94,0.0,998,-8,7,88,6,Canada%2C%20Yukon
2020-02-21,-8,-14,1.8,3.6,1,0,09:59 AM,04:18 PM,09:36 AM,07:05 PM,-12,-12,-11,-12,6,76,95,2.1,990,-8,6,79,3,Canada%2C%20Yukon
2020-02-22,-9,-14,3.1,3.7,1,0,10:11 AM,05:43 PM,09:32 AM,07:08 PM,-12,-12,-12,-12,4,97,96,3.7,1001,-9,3,207,2,Canada%2C%20Yukon
2020-02-23,-10,-15,4.5,3.7,1,0,10:20 AM,07:07 PM,09:29 AM,07:11 PM,-13,-14,-12,-14,6,100,96,5.3,1014,-10,2,129,3,Canada%2C%20Yukon
2020-02-24,-18,-22,0.9,3.7,1,0,10:25 AM,08:28 PM,09:26 AM,07:14 PM,-20,-22,-18,-22,8,99,96,1.0,1034,-18,5,274,5,Canada%2C%20Yukon
2020-02-25,-21,-30,0.0,3.7,1,8,10:30 AM,09:49 PM,09:23 AM,07:17 PM,-26,-29,-25,-29,7,96,97,0.1,1034,-21,5,62,4,Canada%2C%20Yukon
2020-02-26,-14,-27,0.1,3.8,1,15,10:33 AM,11:08 PM,09:20 AM,07:20 PM,-19,-22,-19,-22,6,100,96,0.2,1017,-14,4,58,4,Canada%2C%20Yukon
2020-02-27,-10,-17,0.1,3.8,1,23,10:37 AM,No moonset,09:17 AM,07:22 PM,-14,-16,-14,-16,6,100,96,0.3,1008,-10,4,86,4,Canada%2C%20Yukon
2020-02-28,-8,-15,0.0,3.8,1,30,10:41 AM,12:28 AM,09:13 AM,07:25 PM,-12,-14,-12,-14,6,84,95,0.0,1011,-8,6,93,4,Canada%2C%20Yukon
2020-02-29,-22,-32,0.0,8.7,1,38,10:47 AM,01:49 AM,09:10 AM,07:28 PM,-28,-29,-27,-29,6,43,93,0.0,1029,-22,7,145,3,Canada%2C%20Yukon
2020-03-01,-17,-25,2.4,3.8,1,44,10:55 AM,03:13 AM,09:07 AM,07:31 PM,-22,-25,-21,-25,7,85,95,2.8,1005,-17,5,108,5,Canada%2C%20Yukon
2020-03-02,-12,-21,2.3,3.9,1,51,11:08 AM,04:38 AM,09:04 AM,07:34 PM,-16,-17,-16,-17,6,100,96,3.2,995,-12,5,68,3,Canada%2C%20Yukon
2020-03-03,-19,-24,1.6,5.2,1,58,11:30 AM,06:02 AM,09:00 AM,07:37 PM,-20,-24,-19,-24,8,100,95,2.0,1000,-19,5,294,5,Canada%2C%20Yukon
2020-03-04,-20,-28,0.3,5.4,1,65,12:09 PM,07:17 AM,08:57 AM,07:39 PM,-25,-28,-25,-28,7,95,94,0.4,1015,-20,6,209,4,Canada%2C%20Yukon
2020-03-05,-24,-33,0.0,10.9,1,73,01:13 PM,08:13 AM,08:54 AM,07:42 PM,-30,-32,-28,-32,8,28,89,0.0,1033,-24,8,326,4,Canada%2C%20Yukon
2020-03-06,-22,-35,0.0,10.1,1,80,02:40 PM,08:48 AM,08:50 AM,07:45 PM,-30,-31,-28,-31,5,53,94,0.0,1033,-22,4,87,3,Canada%2C%20Yukon
