date_time,Canada_maxtempC,Canada_mintempC,Canada_totalSnow_cm,Canada_sunHour,Canada_uvIndex,Canada_moon_illumination,Canada_moonrise,Canada_moonset,Canada_sunrise,Canada_sunset,Canada_DewPointC,Canada_FeelsLikeC,Canada_HeatIndexC,Canada_WindChillC,Canada_WindGustKmph,Canada_cloudcover,Canada_humidity,Canada_precipMM,Canada_pressure,Canada_tempC,Canada_visibility,Canada_winddirDegree,Canada_windspeedKmph,Canada_location
2020-01-01,-0,-4,0.8,3.3,1,37,11:36 AM,11:06 PM,07:43 AM,04:30 PM,-4,-7,-3,-7,23,82,92,1.5,1000,-0,8,260,15,Canada
2020-01-02,1,-6,0.1,3.3,1,44,11:58 AM,No moonset,07:43 AM,04:31 PM,-3,-6,-3,-6,16,90,94,0.3,1006,1,7,215,9,Canada
2020-01-03,2,1,0.0,3.3,1,51,12:18 PM,12:07 AM,07:43 AM,04:32 PM,1,-1,1,-1,16,94,97,2.6,1005,2,5,228,8,Canada
2020-01-04,-1,-5,0.0,3.3,1,59,12:40 PM,01:09 AM,07:43 AM,04:33 PM,-4,-6,-3,-6,15,64,90,0.0,1008,-1,10,200,9,Canada
2020-01-05,-6,-9,0.0,8.7,1,66,01:04 PM,02:11 AM,07:43 AM,04:34 PM,-8,-11,-7,-11,17,60,88,0.0,1009,-6,10,259,11,Canada
2020-01-06,-2,-9,4.1,3.3,1,73,01:32 PM,03:16 AM,07:43 AM,04:35 PM,-8,-11,-6,-11,17,84,90,4.8,1008,-2,6,166,11,Canada
2020-01-07,-3,-12,0.0,6.9,1,80,02:04 PM,04:23 AM,07:42 AM,04:36 PM,-9,-12,-7,-12,16,63,89,0.1,1013,-3,10,213,10,Canada
2020-01-08,-3,-17,1.5,3.4,1,88,02:45 PM,05:30 AM,07:42 AM,04:37 PM,-10,-16,-9,-16,29,94,87,2.8,1012,-3,6,247,20,Canada
2020-01-09,-14,-20,0.1,6.9,1,95,03:35 PM,06:36 AM,07:42 AM,04:38 PM,-18,-23,-17,-23,19,58,86,0.1,1035,-14,10,221,12,Canada
2020-01-10,3,-17,0.3,3.4,1,100,04:35 PM,07:37 AM,07:42 AM,04:39 PM,-2,-6,-2,-6,28,97,95,5.8,1023,3,8,177,16,Canada
2020-01-11,5,-8,31.1,3.4,1,100,05:45 PM,08:30 AM,07:41 AM,04:40 PM,-0,-4,0,-4,25,100,97,48.7,1019,5,5,219,15,Canada
2020-01-12,-9,-15,41.8,3.4,1,83,07:00 PM,09:15 AM,07:41 AM,04:42 PM,-11,-16,-10,-16,24,87,92,49.2,1018,-9,7,166,16,Canada
2020-01-13,-11,-18,0.2,3.4,1,76,08:17 PM,09:52 AM,07:40 AM,04:43 PM,-16,-19,-15,-19,12,77,94,0.2,1032,-11,7,90,7,Canada
