date_time,Cape%20Verde_maxtempC,Cape%20Verde_mintempC,Cape%20Verde_totalSnow_cm,Cape%20Verde_sunHour,Cape%20Verde_uvIndex,Cape%20Verde_moon_illumination,Cape%20Verde_moonrise,Cape%20Verde_moonset,Cape%20Verde_sunrise,Cape%20Verde_sunset,Cape%20Verde_DewPointC,Cape%20Verde_FeelsLikeC,Cape%20Verde_HeatIndexC,Cape%20Verde_WindChillC,Cape%20Verde_WindGustKmph,Cape%20Verde_cloudcover,Cape%20Verde_humidity,Cape%20Verde_precipMM,Cape%20Verde_pressure,Cape%20Verde_tempC,Cape%20Verde_visibility,Cape%20Verde_winddirDegree,Cape%20Verde_windspeedKmph,Cape%20Verde_location
2020-01-01,22,22,0.0,11.1,6,37,11:39 AM,11:43 PM,07:00 AM,06:10 PM,17,25,25,22,44,31,70,0.0,1015,22,10,62,30,Cape%20Verde
2020-01-02,22,16,0.0,11.1,6,44,12:14 PM,No moonset,07:01 AM,06:10 PM,16,21,24,21,40,4,71,0.0,1016,22,10,58,28,Cape%20Verde
2020-01-03,22,16,0.0,11.1,6,51,12:49 PM,12:29 AM,07:01 AM,06:11 PM,17,20,23,20,36,0,72,0.0,1016,22,10,63,27,Cape%20Verde
2020-01-04,22,16,0.0,11.1,6,59,01:25 PM,01:16 AM,07:01 AM,06:11 PM,16,21,23,21,42,19,70,0.0,1017,22,10,67,30,Cape%20Verde
2020-01-05,21,16,0.0,10.1,5,66,02:02 PM,02:04 AM,07:02 AM,06:12 PM,15,20,23,20,45,28,68,0.0,1017,21,10,60,33,Cape%20Verde
2020-01-06,21,16,0.0,10.1,5,73,02:43 PM,02:54 AM,07:02 AM,06:13 PM,14,20,21,20,50,40,66,0.0,1018,21,10,54,36,Cape%20Verde
2020-01-07,21,16,0.0,11.1,6,80,03:27 PM,03:48 AM,07:02 AM,06:13 PM,14,20,20,20,50,31,68,0.0,1018,21,10,48,38,Cape%20Verde
2020-01-08,21,16,0.0,11.1,6,88,04:16 PM,04:43 AM,07:03 AM,06:14 PM,14,20,20,20,48,11,68,0.0,1017,21,10,53,37,Cape%20Verde
2020-01-09,20,20,0.0,11.1,5,95,05:12 PM,05:42 AM,07:03 AM,06:14 PM,13,20,20,20,55,0,66,0.0,1019,20,10,57,41,Cape%20Verde
2020-01-10,20,19,0.0,11.1,6,100,06:11 PM,06:41 AM,07:03 AM,06:15 PM,14,20,20,20,52,1,67,0.0,1019,20,10,59,39,Cape%20Verde
2020-01-11,20,16,0.0,10.1,5,100,07:13 PM,07:40 AM,07:03 AM,06:16 PM,14,20,20,20,44,24,68,0.0,1018,20,10,52,32,Cape%20Verde
2020-01-12,21,20,0.0,11.1,6,83,08:16 PM,08:35 AM,07:03 AM,06:16 PM,14,21,21,21,41,10,68,0.0,1017,21,10,59,29,Cape%20Verde
2020-01-13,21,15,0.0,11.1,6,76,09:18 PM,09:27 AM,07:04 AM,06:17 PM,16,20,20,20,37,7,73,0.0,1016,21,10,50,27,Cape%20Verde
2020-01-14,21,14,0.0,11.1,6,69,10:18 PM,10:15 AM,07:04 AM,06:17 PM,16,19,20,19,34,33,73,0.0,1015,21,10,40,25,Cape%20Verde
2020-01-15,21,15,0.0,11.1,6,61,11:17 PM,11:00 AM,07:04 AM,06:18 PM,15,20,20,20,34,21,71,0.0,1016,21,10,47,24,Cape%20Verde
2020-01-16,21,15,0.0,11.2,6,54,No moonrise,11:44 AM,07:04 AM,06:19 PM,15,20,22,20,42,7,69,0.0,1017,21,10,51,30,Cape%20Verde
2020-01-17,21,17,0.0,11.2,6,47,12:13 AM,12:26 PM,07:04 AM,06:19 PM,15,20,22,20,42,17,71,0.0,1017,21,10,48,29,Cape%20Verde
2020-01-18,21,16,0.0,11.2,6,40,01:10 AM,01:10 PM,07:04 AM,06:20 PM,16,20,23,20,35,28,73,0.0,1017,21,10,51,25,Cape%20Verde
2020-01-19,22,15,0.0,11.2,6,32,02:07 AM,01:55 PM,07:04 AM,06:20 PM,17,21,24,21,32,11,75,0.0,1015,22,10,58,22,Cape%20Verde
2020-01-20,21,21,0.0,11.2,6,25,03:05 AM,02:42 PM,07:04 AM,06:21 PM,16,21,22,21,26,0,74,0.0,1013,21,10,48,19,Cape%20Verde
2020-01-21,21,16,0.0,11.2,6,18,04:02 AM,03:32 PM,07:04 AM,06:22 PM,16,20,21,20,21,0,74,0.0,1013,21,10,49,16,Cape%20Verde
2020-01-22,21,15,0.0,11.2,6,11,04:59 AM,04:24 PM,07:04 AM,06:22 PM,17,19,20,19,29,2,83,0.0,1015,21,10,56,21,Cape%20Verde
2020-01-23,21,17,0.0,11.2,6,3,05:54 AM,05:19 PM,07:04 AM,06:23 PM,17,20,21,20,29,5,80,0.0,1015,21,10,50,22,Cape%20Verde
2020-01-24,22,16,0.0,11.2,6,0,06:46 AM,06:13 PM,07:04 AM,06:23 PM,17,20,22,20,32,11,78,0.0,1016,22,10,40,24,Cape%20Verde
2020-01-25,22,16,0.0,7.1,5,0,07:34 AM,07:06 PM,07:04 AM,06:24 PM,17,20,22,20,42,50,77,0.7,1017,22,10,40,32,Cape%20Verde
2020-01-26,22,15,0.0,11.2,6,4,08:18 AM,07:58 PM,07:04 AM,06:24 PM,17,21,23,21,47,39,77,1.2,1017,22,10,48,33,Cape%20Verde
2020-01-27,21,19,0.0,11.2,6,11,08:59 AM,08:47 PM,07:04 AM,06:25 PM,17,21,23,21,42,2,78,0.0,1016,21,10,46,29,Cape%20Verde
2020-01-28,21,16,0.0,11.2,6,18,09:37 AM,09:36 PM,07:04 AM,06:26 PM,17,20,21,20,40,7,78,0.0,1016,21,10,28,28,Cape%20Verde
2020-01-29,21,15,0.0,11.2,6,26,10:12 AM,10:22 PM,07:04 AM,06:26 PM,18,19,21,19,36,11,83,0.0,1015,21,10,17,28,Cape%20Verde
2020-01-30,21,15,0.0,11.2,6,33,10:47 AM,11:09 PM,07:03 AM,06:27 PM,18,20,22,20,30,1,81,0.0,1016,21,10,19,21,Cape%20Verde
2020-01-31,23,17,0.0,11.2,6,37,11:22 AM,11:56 PM,07:03 AM,06:27 PM,18,24,24,21,33,0,74,0.0,1016,23,10,52,20,Cape%20Verde
2020-02-01,23,18,0.0,11.3,6,49,11:58 AM,No moonset,07:03 AM,06:28 PM,17,24,24,22,40,0,70,0.0,1015,23,10,58,24,Cape%20Verde
2020-02-02,22,18,0.0,11.3,6,57,12:36 PM,12:44 AM,07:03 AM,06:28 PM,16,21,24,21,30,0,71,0.0,1015,22,10,28,22,Cape%20Verde
2020-02-03,22,16,0.0,11.3,6,64,01:18 PM,01:35 AM,07:02 AM,06:29 PM,17,20,23,20,30,0,73,0.0,1016,22,10,110,22,Cape%20Verde
2020-02-04,22,17,0.0,11.3,6,72,02:04 PM,02:28 AM,07:02 AM,06:29 PM,17,20,23,20,32,0,75,0.0,1016,22,10,56,25,Cape%20Verde
2020-02-05,21,17,0.0,11.3,6,79,02:55 PM,03:25 AM,07:02 AM,06:30 PM,18,20,23,20,36,0,81,0.0,1016,21,10,26,28,Cape%20Verde
2020-02-06,22,15,0.0,11.3,6,87,03:52 PM,04:22 AM,07:02 AM,06:30 PM,18,21,23,21,38,6,78,0.0,1016,22,10,33,28,Cape%20Verde
2020-02-07,21,19,0.0,11.3,5,95,04:53 PM,05:22 AM,07:01 AM,06:30 PM,17,21,23,21,41,29,78,0.0,1017,21,10,38,29,Cape%20Verde
2020-02-08,22,17,0.0,11.3,6,100,05:56 PM,06:19 AM,07:01 AM,06:31 PM,17,21,24,21,49,8,78,0.0,1018,22,10,39,33,Cape%20Verde
2020-02-09,22,17,0.0,11.3,6,100,07:01 PM,07:14 AM,07:00 AM,06:31 PM,17,21,24,21,49,0,76,0.0,1018,22,10,39,36,Cape%20Verde
2020-02-10,21,19,0.0,11.3,6,83,08:04 PM,08:05 AM,07:00 AM,06:32 PM,17,21,23,21,48,0,78,0.0,1018,21,10,38,35,Cape%20Verde
2020-02-11,22,16,0.0,11.3,6,75,09:05 PM,08:53 AM,07:00 AM,06:32 PM,17,21,24,21,36,0,77,0.0,1016,22,10,40,27,Cape%20Verde
2020-02-12,22,21,0.0,11.6,6,68,10:05 PM,09:39 AM,06:59 AM,06:33 PM,16,21,24,21,34,1,73,0.0,1015,22,10,35,24,Cape%20Verde
2020-02-13,22,15,0.0,11.6,6,60,11:04 PM,10:23 AM,06:59 AM,06:33 PM,17,20,21,20,30,2,78,0.0,1015,22,10,22,20,Cape%20Verde
2020-02-14,23,19,0.0,11.6,6,53,No moonrise,11:08 AM,06:58 AM,06:33 PM,17,24,24,22,28,4,73,0.0,1015,23,10,33,17,Cape%20Verde
2020-02-15,23,19,0.0,10.2,5,45,12:02 AM,11:53 AM,06:58 AM,06:34 PM,18,24,24,22,34,34,77,0.0,1014,23,10,25,22,Cape%20Verde
