date_time,Central%20African%20Republic_maxtempC,Central%20African%20Republic_mintempC,Central%20African%20Republic_totalSnow_cm,Central%20African%20Republic_sunHour,Central%20African%20Republic_uvIndex,Central%20African%20Republic_moon_illumination,Central%20African%20Republic_moonrise,Central%20African%20Republic_moonset,Central%20African%20Republic_sunrise,Central%20African%20Republic_sunset,Central%20African%20Republic_DewPointC,Central%20African%20Republic_FeelsLikeC,Central%20African%20Republic_HeatIndexC,Central%20African%20Republic_WindChillC,Central%20African%20Republic_WindGustKmph,Central%20African%20Republic_cloudcover,Central%20African%20Republic_humidity,Central%20African%20Republic_precipMM,Central%20African%20Republic_pressure,Central%20African%20Republic_tempC,Central%20African%20Republic_visibility,Central%20African%20Republic_winddirDegree,Central%20African%20Republic_windspeedKmph,Central%20African%20Republic_location
2020-01-01,37,22,0.0,11.6,8,37,10:41 AM,10:56 PM,05:53 AM,05:46 PM,3,31,31,30,11,2,21,0.0,1008,37,10,221,7,Central%20African%20Republic
2020-01-02,35,22,0.0,11.6,8,44,11:21 AM,11:39 PM,05:53 AM,05:46 PM,4,30,30,29,14,2,23,0.0,1009,35,10,91,9,Central%20African%20Republic
2020-01-03,35,21,0.0,11.6,7,51,12:00 PM,No moonset,05:54 AM,05:47 PM,2,28,28,28,18,6,20,0.0,1010,35,10,221,11,Central%20African%20Republic
2020-01-04,36,20,0.0,11.6,8,59,12:40 PM,12:21 AM,05:54 AM,05:47 PM,4,28,28,28,12,4,24,0.0,1010,36,10,234,8,Central%20African%20Republic
2020-01-05,37,21,0.0,11.6,8,66,01:22 PM,01:05 AM,05:55 AM,05:47 PM,6,30,30,29,11,7,26,0.0,1009,37,10,166,7,Central%20African%20Republic
2020-01-06,39,22,0.0,11.6,8,73,02:06 PM,01:51 AM,05:55 AM,05:48 PM,8,32,32,31,6,9,28,0.0,1009,39,10,79,3,Central%20African%20Republic
2020-01-07,38,23,0.0,11.6,8,80,02:53 PM,02:39 AM,05:55 AM,05:48 PM,8,31,31,31,11,7,28,0.0,1008,38,10,159,7,Central%20African%20Republic
2020-01-08,39,23,0.0,11.6,8,88,03:46 PM,03:31 AM,05:56 AM,05:49 PM,8,33,33,32,8,5,28,0.0,1008,39,10,194,6,Central%20African%20Republic
2020-01-09,39,26,0.0,11.6,8,95,04:41 PM,04:26 AM,05:56 AM,05:49 PM,7,32,32,32,11,8,24,0.0,1008,39,10,139,8,Central%20African%20Republic
2020-01-10,38,26,0.0,11.6,8,100,05:41 PM,05:25 AM,05:56 AM,05:50 PM,9,32,32,31,8,12,28,0.0,1009,38,10,137,5,Central%20African%20Republic
2020-01-11,40,22,0.0,11.6,8,100,06:41 PM,06:24 AM,05:57 AM,05:50 PM,13,32,32,31,6,9,42,0.0,1010,40,10,202,4,Central%20African%20Republic
2020-01-12,40,21,0.0,11.6,7,83,07:41 PM,07:23 AM,05:57 AM,05:51 PM,8,32,32,31,6,11,32,0.0,1010,40,10,107,4,Central%20African%20Republic
2020-01-13,41,21,0.0,11.6,8,76,08:38 PM,08:19 AM,05:57 AM,05:51 PM,6,33,33,32,5,1,24,0.0,1009,41,10,102,3,Central%20African%20Republic
2020-01-14,41,22,0.0,11.6,8,69,09:34 PM,09:13 AM,05:58 AM,05:52 PM,5,33,33,32,6,4,23,0.0,1008,41,10,120,4,Central%20African%20Republic
2020-01-15,40,23,0.0,11.6,8,61,10:27 PM,10:03 AM,05:58 AM,05:52 PM,2,32,32,32,11,0,18,0.0,1007,40,10,81,7,Central%20African%20Republic
2020-01-16,40,23,0.0,11.6,8,54,11:19 PM,10:52 AM,05:58 AM,05:52 PM,3,33,33,32,11,0,20,0.0,1007,40,10,214,7,Central%20African%20Republic
2020-01-17,40,22,0.0,11.6,8,47,No moonrise,11:40 AM,05:59 AM,05:53 PM,3,32,32,32,11,0,19,0.0,1008,40,10,163,7,Central%20African%20Republic
2020-01-18,39,22,0.0,11.6,8,40,12:10 AM,12:28 PM,05:59 AM,05:53 PM,2,32,32,31,10,6,19,0.0,1009,39,10,164,7,Central%20African%20Republic
2020-01-19,38,22,0.0,11.6,8,32,01:02 AM,01:18 PM,05:59 AM,05:54 PM,4,31,31,31,8,3,22,0.0,1010,38,10,163,5,Central%20African%20Republic
2020-01-20,38,21,0.0,11.6,8,25,01:55 AM,02:08 PM,05:59 AM,05:54 PM,6,32,32,31,8,5,25,0.0,1009,38,10,121,6,Central%20African%20Republic
2020-01-21,39,23,0.0,11.5,8,18,02:49 AM,03:01 PM,06:00 AM,05:54 PM,5,31,31,31,10,1,23,0.0,1009,39,10,34,7,Central%20African%20Republic
2020-01-22,39,20,0.0,11.6,8,11,03:45 AM,03:55 PM,06:00 AM,05:55 PM,-0,31,31,30,11,0,17,0.0,1009,39,10,53,7,Central%20African%20Republic
2020-01-23,38,19,0.0,11.6,8,3,04:39 AM,04:49 PM,06:00 AM,05:55 PM,-1,30,30,29,12,0,17,0.0,1009,38,10,39,8,Central%20African%20Republic
2020-01-24,37,19,0.0,11.6,8,0,05:32 AM,05:42 PM,06:00 AM,05:55 PM,-2,29,29,29,13,0,16,0.0,1011,37,10,59,8,Central%20African%20Republic
2020-01-25,36,18,0.0,11.6,7,0,06:22 AM,06:33 PM,06:00 AM,05:56 PM,-3,28,28,28,14,0,15,0.0,1011,36,10,65,9,Central%20African%20Republic
2020-01-26,37,18,0.0,11.6,8,4,07:10 AM,07:22 PM,06:00 AM,05:56 PM,-1,28,28,28,13,1,17,0.0,1011,37,10,90,8,Central%20African%20Republic
2020-01-27,39,20,0.0,8.7,8,11,07:55 AM,08:07 PM,06:01 AM,05:56 PM,3,30,30,30,11,1,20,0.0,1010,39,10,70,7,Central%20African%20Republic
2020-01-28,39,21,0.0,8.7,8,18,08:37 AM,08:51 PM,06:01 AM,05:56 PM,3,31,31,31,11,1,20,0.0,1009,39,10,112,7,Central%20African%20Republic
2020-01-29,39,22,0.0,8.7,8,26,09:17 AM,09:34 PM,06:01 AM,05:57 PM,1,31,31,31,9,0,19,0.0,1009,39,10,141,6,Central%20African%20Republic
2020-01-30,40,21,0.0,8.7,8,33,09:57 AM,10:16 PM,06:01 AM,05:57 PM,0,32,32,31,10,1,17,0.0,1010,40,10,52,6,Central%20African%20Republic
2020-01-31,41,21,0.0,8.7,8,37,10:36 AM,10:59 PM,06:01 AM,05:57 PM,1,32,32,31,5,11,18,0.0,1010,41,10,203,3,Central%20African%20Republic
2020-02-01,39,21,0.0,8.7,8,49,11:16 AM,11:43 PM,06:01 AM,05:57 PM,0,31,31,31,8,0,18,0.0,1010,39,10,144,5,Central%20African%20Republic
2020-02-02,40,20,0.0,8.7,8,57,11:58 AM,No moonset,06:01 AM,05:58 PM,1,32,32,31,9,2,19,0.0,1009,40,10,192,6,Central%20African%20Republic
2020-02-03,40,22,0.0,8.7,8,64,12:43 PM,12:28 AM,06:01 AM,05:58 PM,3,32,32,31,6,1,21,0.0,1010,40,10,262,4,Central%20African%20Republic
2020-02-04,39,22,0.0,8.7,8,72,01:32 PM,01:18 AM,06:01 AM,05:58 PM,5,32,32,31,7,0,23,0.0,1009,39,10,259,5,Central%20African%20Republic
2020-02-05,39,22,0.0,8.7,8,79,02:24 PM,02:11 AM,06:01 AM,05:58 PM,6,32,32,31,6,6,26,0.0,1009,39,10,200,4,Central%20African%20Republic
2020-02-06,41,23,0.0,8.7,8,87,03:22 PM,03:07 AM,06:01 AM,05:58 PM,10,34,34,32,7,4,35,0.0,1009,41,10,252,5,Central%20African%20Republic
2020-02-07,40,26,0.0,8.7,8,95,04:21 PM,04:06 AM,06:01 AM,05:58 PM,4,33,33,33,11,2,19,0.0,1008,40,10,117,8,Central%20African%20Republic
2020-02-08,40,23,0.0,8.7,8,100,05:23 PM,05:05 AM,06:01 AM,05:59 PM,5,33,33,32,12,1,22,0.0,1008,40,10,156,8,Central%20African%20Republic
2020-02-09,40,28,0.0,8.7,9,100,06:23 PM,06:04 AM,06:01 AM,05:59 PM,10,34,34,34,6,5,27,0.0,1008,40,10,191,4,Central%20African%20Republic
2020-02-10,40,24,0.0,8.7,8,83,07:21 PM,07:00 AM,06:01 AM,05:59 PM,12,33,33,32,6,9,36,0.0,1009,40,10,149,4,Central%20African%20Republic
2020-02-11,39,23,0.0,8.7,8,75,08:17 PM,07:54 AM,06:01 AM,05:59 PM,5,33,33,32,8,2,21,0.0,1009,39,10,104,5,Central%20African%20Republic
2020-02-12,37,22,0.0,8.7,8,68,09:12 PM,08:45 AM,06:01 AM,05:59 PM,3,30,30,30,10,1,21,0.0,1010,37,10,125,6,Central%20African%20Republic
2020-02-13,38,20,0.0,8.7,8,60,10:05 PM,09:35 AM,06:01 AM,05:59 PM,2,30,30,30,9,2,20,0.0,1009,38,10,76,6,Central%20African%20Republic
2020-02-14,39,21,0.0,8.7,8,53,10:58 PM,10:24 AM,06:01 AM,05:59 PM,2,31,31,31,12,0,19,0.0,1008,39,10,150,8,Central%20African%20Republic
2020-02-15,40,23,0.0,11.6,8,45,11:52 PM,11:15 AM,06:00 AM,05:59 PM,3,33,33,32,12,0,18,0.0,1006,40,10,74,8,Central%20African%20Republic
2020-02-16,41,24,0.0,11.6,9,38,No moonrise,12:06 PM,06:00 AM,05:59 PM,4,33,33,33,8,3,19,0.0,1007,41,10,124,5,Central%20African%20Republic
