date_time,Chad_maxtempC,Chad_mintempC,Chad_totalSnow_cm,Chad_sunHour,Chad_uvIndex,Chad_moon_illumination,Chad_moonrise,Chad_moonset,Chad_sunrise,Chad_sunset,Chad_DewPointC,Chad_FeelsLikeC,Chad_HeatIndexC,Chad_WindChillC,Chad_WindGustKmph,Chad_cloudcover,Chad_humidity,Chad_precipMM,Chad_pressure,Chad_tempC,Chad_visibility,Chad_winddirDegree,Chad_windspeedKmph,Chad_location
2020-01-01,28,18,0.0,8.7,6,37,11:00 AM,11:08 PM,06:20 AM,05:46 PM,3,23,23,23,31,0,30,0.0,1013,28,10,178,19,Chad
2020-01-02,24,13,0.0,8.7,5,44,11:38 AM,11:53 PM,06:20 AM,05:47 PM,-3,18,19,18,29,0,25,0.0,1016,24,10,161,18,Chad
2020-01-03,26,13,0.0,8.7,6,51,12:14 PM,No moonset,06:21 AM,05:47 PM,-4,19,20,19,31,1,21,0.0,1017,26,10,43,20,Chad
2020-01-04,27,14,0.0,8.7,6,59,12:51 PM,12:38 AM,06:21 AM,05:48 PM,-3,20,21,20,30,7,23,0.0,1016,27,10,30,20,Chad
2020-01-05,30,15,0.0,8.7,6,66,01:30 PM,01:24 AM,06:21 AM,05:48 PM,-2,22,22,22,28,4,22,0.0,1014,30,10,37,18,Chad
2020-01-06,31,16,0.0,8.7,6,73,02:12 PM,02:12 AM,06:22 AM,05:49 PM,-1,24,24,23,27,5,22,0.0,1013,31,10,72,16,Chad
2020-01-07,33,17,0.0,8.7,7,80,02:57 PM,03:04 AM,06:22 AM,05:50 PM,-2,25,25,25,29,3,18,0.0,1013,33,10,29,17,Chad
2020-01-08,34,19,0.0,8.7,7,88,03:47 PM,03:58 AM,06:22 AM,05:50 PM,-1,27,27,27,32,4,17,0.0,1013,34,10,35,20,Chad
2020-01-09,33,19,0.0,8.7,7,95,04:42 PM,04:55 AM,06:23 AM,05:51 PM,-1,26,26,26,34,2,18,0.0,1013,33,10,35,22,Chad
2020-01-10,33,18,0.0,8.7,7,100,05:41 PM,05:54 AM,06:23 AM,05:51 PM,-2,26,26,26,32,1,17,0.0,1014,33,10,39,20,Chad
