date_time,Cote%20d%27Ivoire_maxtempC,Cote%20d%27Ivoire_mintempC,Cote%20d%27Ivoire_totalSnow_cm,Cote%20d%27Ivoire_sunHour,Cote%20d%27Ivoire_uvIndex,Cote%20d%27Ivoire_moon_illumination,Cote%20d%27Ivoire_moonrise,Cote%20d%27Ivoire_moonset,Cote%20d%27Ivoire_sunrise,Cote%20d%27Ivoire_sunset,Cote%20d%27Ivoire_DewPointC,Cote%20d%27Ivoire_FeelsLikeC,Cote%20d%27Ivoire_HeatIndexC,Cote%20d%27Ivoire_WindChillC,Cote%20d%27Ivoire_WindGustKmph,Cote%20d%27Ivoire_cloudcover,Cote%20d%27Ivoire_humidity,Cote%20d%27Ivoire_precipMM,Cote%20d%27Ivoire_pressure,Cote%20d%27Ivoire_tempC,Cote%20d%27Ivoire_visibility,Cote%20d%27Ivoire_winddirDegree,Cote%20d%27Ivoire_windspeedKmph,Cote%20d%27Ivoire_location
2020-01-01,36,20,0.0,11.6,7,37,11:21 AM,11:34 PM,06:32 AM,06:16 PM,14,28,28,28,8,5,52,0.0,1011,36,10,144,5,Cote%20d%27Ivoire
2020-01-02,35,20,0.0,11.6,7,44,12:00 PM,No moonset,06:33 AM,06:17 PM,6,27,27,27,7,0,32,0.0,1012,35,10,131,5,Cote%20d%27Ivoire
2020-01-03,34,19,0.0,11.6,7,51,12:38 PM,12:17 AM,06:33 AM,06:17 PM,1,26,26,26,8,3,21,0.0,1013,34,10,43,5,Cote%20d%27Ivoire
2020-01-04,35,19,0.0,11.6,7,59,01:17 PM,01:00 AM,06:33 AM,06:18 PM,-0,26,26,26,9,4,18,0.0,1012,35,10,68,6,Cote%20d%27Ivoire
2020-01-05,37,20,0.0,11.6,8,66,01:58 PM,01:45 AM,06:34 AM,06:18 PM,3,29,29,28,5,1,22,0.0,1012,37,10,153,3,Cote%20d%27Ivoire
2020-01-06,38,18,0.0,11.6,8,73,02:41 PM,02:31 AM,06:34 AM,06:19 PM,11,29,29,28,6,3,38,0.0,1010,38,10,199,4,Cote%20d%27Ivoire
2020-01-07,39,19,0.0,11.6,8,80,03:29 PM,03:21 AM,06:35 AM,06:19 PM,11,30,30,29,7,5,39,0.0,1010,39,10,209,4,Cote%20d%27Ivoire
2020-01-08,37,20,0.0,11.6,8,88,04:20 PM,04:14 AM,06:35 AM,06:20 PM,15,28,28,28,9,19,50,0.0,1010,37,10,213,5,Cote%20d%27Ivoire
2020-01-09,41,21,0.0,11.6,8,95,05:16 PM,05:10 AM,06:35 AM,06:20 PM,15,31,31,30,7,22,47,0.0,1010,41,10,156,4,Cote%20d%27Ivoire
2020-01-10,38,21,0.0,11.6,7,100,06:15 PM,06:09 AM,06:36 AM,06:21 PM,19,31,31,29,11,27,60,0.0,1011,38,9,174,8,Cote%20d%27Ivoire
2020-01-11,33,22,0.0,8.8,6,100,07:16 PM,07:08 AM,06:36 AM,06:21 PM,20,29,29,27,8,57,70,0.1,1012,33,9,213,5,Cote%20d%27Ivoire
2020-01-12,39,21,0.0,11.6,8,83,08:16 PM,08:06 AM,06:36 AM,06:22 PM,18,31,31,29,7,27,57,0.0,1011,39,10,221,5,Cote%20d%27Ivoire
2020-01-13,39,23,0.0,11.6,8,76,09:15 PM,09:02 AM,06:37 AM,06:22 PM,19,32,32,30,9,23,57,0.0,1010,39,10,162,6,Cote%20d%27Ivoire
2020-01-14,37,23,0.0,8.8,7,69,10:11 PM,09:54 AM,06:37 AM,06:23 PM,19,31,31,29,9,46,60,0.9,1010,37,10,200,7,Cote%20d%27Ivoire
2020-01-15,39,22,0.0,11.6,8,61,11:05 PM,10:43 AM,06:37 AM,06:23 PM,17,32,32,30,8,21,54,0.0,1010,39,10,208,5,Cote%20d%27Ivoire
2020-01-16,38,21,0.0,11.6,7,54,11:58 PM,11:31 AM,06:37 AM,06:24 PM,14,29,29,28,10,19,51,0.0,1011,38,8,161,6,Cote%20d%27Ivoire
2020-01-17,39,21,0.0,10.2,7,47,No moonrise,12:17 PM,06:38 AM,06:24 PM,16,30,30,29,10,29,53,0.0,1012,39,9,187,6,Cote%20d%27Ivoire
2020-01-18,38,21,0.0,11.6,7,40,12:50 AM,01:05 PM,06:38 AM,06:25 PM,18,31,31,29,6,30,57,0.0,1012,38,8,231,4,Cote%20d%27Ivoire
2020-01-19,38,21,0.0,10.2,7,32,01:44 AM,01:54 PM,06:38 AM,06:25 PM,18,32,32,30,8,30,58,0.0,1011,38,10,163,5,Cote%20d%27Ivoire
2020-01-20,37,21,0.0,10.2,7,25,02:37 AM,02:44 PM,06:38 AM,06:25 PM,19,30,30,28,10,34,63,0.0,1010,37,8,189,7,Cote%20d%27Ivoire
2020-01-21,38,22,0.0,11.6,7,18,03:33 AM,03:36 PM,06:38 AM,06:26 PM,20,32,32,29,8,43,63,0.6,1011,38,9,190,5,Cote%20d%27Ivoire
2020-01-22,37,23,0.0,10.2,7,11,04:28 AM,04:30 PM,06:39 AM,06:26 PM,21,32,32,29,7,54,66,1.8,1011,37,10,200,5,Cote%20d%27Ivoire
2020-01-23,38,23,0.0,11.6,7,3,05:23 AM,05:24 PM,06:39 AM,06:27 PM,18,32,32,30,9,27,56,0.5,1010,38,9,182,6,Cote%20d%27Ivoire
2020-01-24,36,24,0.0,8.8,7,0,06:15 AM,06:17 PM,06:39 AM,06:27 PM,20,32,32,29,7,43,63,0.2,1011,36,10,166,5,Cote%20d%27Ivoire
2020-01-25,39,22,0.0,10.2,7,0,07:05 AM,07:08 PM,06:39 AM,06:27 PM,18,32,32,30,7,25,56,0.0,1011,39,9,164,5,Cote%20d%27Ivoire
2020-01-26,36,22,0.0,10.2,6,4,07:52 AM,07:57 PM,06:39 AM,06:28 PM,18,30,30,28,6,36,61,0.1,1012,36,8,210,4,Cote%20d%27Ivoire
2020-01-27,36,21,0.0,10.2,6,11,08:36 AM,08:43 PM,06:39 AM,06:28 PM,16,29,29,28,7,30,56,0.1,1012,36,9,180,4,Cote%20d%27Ivoire
2020-01-28,39,22,0.0,11.6,8,18,09:17 AM,09:29 PM,06:39 AM,06:28 PM,18,31,31,29,6,21,57,0.0,1011,39,10,191,4,Cote%20d%27Ivoire
2020-01-29,40,23,0.0,11.6,8,26,09:56 AM,10:12 PM,06:39 AM,06:29 PM,18,33,33,31,5,13,52,0.0,1011,40,10,135,3,Cote%20d%27Ivoire
2020-01-30,40,22,0.0,10.2,7,33,10:34 AM,10:55 PM,06:39 AM,06:29 PM,16,32,32,31,7,20,49,0.0,1012,40,10,191,4,Cote%20d%27Ivoire
2020-01-31,38,21,0.0,10.2,7,37,11:13 AM,11:38 PM,06:39 AM,06:29 PM,16,31,31,29,9,25,53,0.0,1012,38,9,193,6,Cote%20d%27Ivoire
2020-02-01,39,22,0.0,10.2,7,49,11:53 AM,No moonset,06:39 AM,06:30 PM,17,32,32,30,8,23,53,0.0,1011,39,9,147,5,Cote%20d%27Ivoire
2020-02-02,38,22,0.0,10.2,7,57,12:34 PM,12:23 AM,06:39 AM,06:30 PM,17,31,31,29,6,30,57,0.0,1012,38,9,180,4,Cote%20d%27Ivoire
2020-02-03,37,21,0.0,11.6,8,64,01:18 PM,01:10 AM,06:39 AM,06:30 PM,10,29,29,29,9,5,42,0.0,1012,37,10,148,6,Cote%20d%27Ivoire
2020-02-04,37,20,0.0,11.6,8,72,02:07 PM,02:00 AM,06:39 AM,06:30 PM,6,28,28,28,9,3,31,0.0,1012,37,10,142,6,Cote%20d%27Ivoire
2020-02-05,38,20,0.0,10.2,7,79,03:00 PM,02:54 AM,06:39 AM,06:31 PM,15,29,29,28,7,20,52,0.0,1011,38,9,211,4,Cote%20d%27Ivoire
2020-02-06,38,20,0.0,10.2,7,87,03:57 PM,03:51 AM,06:39 AM,06:31 PM,16,30,30,29,6,31,54,0.0,1011,38,9,173,4,Cote%20d%27Ivoire
2020-02-07,38,21,0.0,11.6,7,95,04:57 PM,04:49 AM,06:39 AM,06:31 PM,14,30,30,29,8,17,49,0.0,1011,38,9,179,5,Cote%20d%27Ivoire
2020-02-08,38,20,0.0,11.6,8,100,05:58 PM,05:49 AM,06:39 AM,06:31 PM,9,29,29,29,9,6,41,0.0,1011,38,10,198,5,Cote%20d%27Ivoire
2020-02-09,40,20,0.0,10.2,7,100,06:59 PM,06:46 AM,06:39 AM,06:31 PM,15,31,31,30,7,24,50,0.0,1011,40,9,220,4,Cote%20d%27Ivoire
2020-02-10,38,22,0.0,10.2,7,83,07:58 PM,07:42 AM,06:39 AM,06:32 PM,18,31,31,29,9,37,57,0.1,1012,38,9,214,6,Cote%20d%27Ivoire
2020-02-11,39,25,0.0,11.6,8,75,08:55 PM,08:34 AM,06:39 AM,06:32 PM,11,32,32,31,9,27,36,0.3,1011,39,10,191,6,Cote%20d%27Ivoire
2020-02-12,39,23,0.0,10.2,8,68,09:51 PM,09:25 AM,06:38 AM,06:32 PM,15,32,32,30,10,30,49,0.0,1010,39,10,162,7,Cote%20d%27Ivoire
2020-02-13,37,21,0.0,10.2,7,60,10:45 PM,10:13 AM,06:38 AM,06:32 PM,18,31,31,29,7,31,59,0.0,1011,37,8,170,5,Cote%20d%27Ivoire
2020-02-14,39,20,0.0,10.2,7,53,11:40 PM,11:02 AM,06:38 AM,06:32 PM,9,29,29,29,7,40,36,0.0,1009,39,10,168,4,Cote%20d%27Ivoire
2020-02-15,39,21,0.0,10.2,7,45,No moonrise,11:51 AM,06:38 AM,06:32 PM,15,31,31,29,7,26,53,0.0,1009,39,9,208,4,Cote%20d%27Ivoire
2020-02-16,40,20,0.0,10.2,7,38,12:34 AM,12:41 PM,06:38 AM,06:32 PM,15,31,31,30,7,26,51,0.0,1010,40,9,241,4,Cote%20d%27Ivoire
2020-02-17,39,20,0.0,10.2,7,30,01:29 AM,01:33 PM,06:37 AM,06:33 PM,16,29,29,28,8,35,56,0.1,1011,39,9,184,5,Cote%20d%27Ivoire
2020-02-18,40,22,0.0,10.2,7,22,02:23 AM,02:25 PM,06:37 AM,06:33 PM,18,33,33,31,10,43,58,0.0,1010,40,8,206,7,Cote%20d%27Ivoire
2020-02-19,41,22,0.0,10.2,7,15,03:18 AM,03:19 PM,06:37 AM,06:33 PM,18,33,33,31,9,38,57,0.0,1009,41,9,176,6,Cote%20d%27Ivoire
2020-02-20,38,23,0.0,11.6,7,7,04:11 AM,04:11 PM,06:37 AM,06:33 PM,20,32,32,30,13,32,62,0.9,1008,38,9,184,9,Cote%20d%27Ivoire
2020-02-21,39,23,0.0,10.2,7,0,05:01 AM,05:03 PM,06:36 AM,06:33 PM,21,33,33,30,8,65,70,4.6,1009,39,8,184,6,Cote%20d%27Ivoire
2020-02-22,40,24,0.0,11.6,8,0,05:48 AM,05:52 PM,06:36 AM,06:33 PM,20,34,34,31,9,32,60,0.0,1009,40,10,196,7,Cote%20d%27Ivoire
2020-02-23,41,25,0.0,10.2,7,0,06:32 AM,06:39 PM,06:36 AM,06:33 PM,20,34,34,31,11,47,58,0.0,1010,41,10,184,8,Cote%20d%27Ivoire
2020-02-24,39,25,0.0,10.2,7,0,07:15 AM,07:25 PM,06:35 AM,06:33 PM,20,34,34,31,11,37,57,0.0,1010,39,10,188,8,Cote%20d%27Ivoire
2020-02-25,39,24,0.0,11.6,8,8,07:54 AM,08:08 PM,06:35 AM,06:33 PM,19,33,33,31,8,25,57,0.0,1009,39,10,144,6,Cote%20d%27Ivoire
2020-02-26,39,23,0.0,10.2,7,15,08:33 AM,08:51 PM,06:35 AM,06:33 PM,19,32,32,30,7,32,59,0.0,1009,39,8,184,5,Cote%20d%27Ivoire
2020-02-27,37,23,0.0,10.2,7,23,09:11 AM,09:35 PM,06:34 AM,06:33 PM,20,31,31,28,9,40,66,0.1,1010,37,9,186,6,Cote%20d%27Ivoire
2020-02-28,39,22,0.0,10.2,7,30,09:50 AM,10:18 PM,06:34 AM,06:33 PM,21,31,31,29,10,34,66,0.0,1010,39,8,200,7,Cote%20d%27Ivoire
2020-02-29,42,23,0.0,11.6,8,38,10:30 AM,11:04 PM,06:34 AM,06:33 PM,18,34,34,32,8,14,53,0.0,1009,42,10,198,5,Cote%20d%27Ivoire
2020-03-01,41,24,0.0,10.2,7,44,11:12 AM,11:52 PM,06:33 AM,06:33 PM,21,35,35,32,10,43,61,1.3,1009,41,10,205,7,Cote%20d%27Ivoire
2020-03-02,37,24,0.0,7.4,7,51,11:58 AM,No moonset,06:33 AM,06:33 PM,22,34,34,30,9,61,65,0.8,1011,37,10,186,7,Cote%20d%27Ivoire
2020-03-03,37,24,0.0,10.2,8,58,12:47 PM,12:42 AM,06:33 AM,06:33 PM,21,33,33,30,11,38,64,3.9,1012,37,10,192,8,Cote%20d%27Ivoire
2020-03-04,38,24,0.0,10.2,7,65,01:41 PM,01:36 AM,06:32 AM,06:33 PM,22,34,34,31,9,56,69,1.1,1012,38,10,196,6,Cote%20d%27Ivoire
2020-03-05,35,25,0.0,10.2,6,73,02:38 PM,02:32 AM,06:32 AM,06:33 PM,23,31,31,28,10,45,74,3.5,1011,35,9,194,7,Cote%20d%27Ivoire
2020-03-06,35,25,0.0,11.6,7,80,03:38 PM,03:31 AM,06:31 AM,06:33 PM,22,33,33,29,10,60,70,4.9,1010,35,9,214,8,Cote%20d%27Ivoire
2020-03-07,33,25,0.0,7.4,6,87,04:38 PM,04:28 AM,06:31 AM,06:33 PM,23,31,31,28,9,48,76,4.1,1009,33,10,214,7,Cote%20d%27Ivoire
2020-03-08,35,25,0.0,10.2,7,95,05:39 PM,05:25 AM,06:30 AM,06:33 PM,22,32,32,29,11,46,71,0.1,1010,35,10,192,8,Cote%20d%27Ivoire
2020-03-09,31,24,0.0,11.6,7,100,06:37 PM,06:18 AM,06:30 AM,06:33 PM,23,31,31,28,10,42,76,0.6,1010,31,10,214,7,Cote%20d%27Ivoire
2020-03-10,35,24,0.0,11.6,7,100,07:35 PM,07:11 AM,06:30 AM,06:33 PM,23,32,32,29,10,48,74,0.2,1009,35,10,193,7,Cote%20d%27Ivoire
2020-03-11,37,24,0.0,11.6,7,84,08:32 PM,08:01 AM,06:29 AM,06:33 PM,22,32,32,29,9,32,72,0.0,1008,37,9,194,7,Cote%20d%27Ivoire
2020-03-12,37,25,0.0,10.2,7,76,09:28 PM,08:52 AM,06:29 AM,06:32 PM,21,33,33,30,9,34,66,0.0,1009,37,10,186,7,Cote%20d%27Ivoire
2020-03-13,34,24,0.0,10.2,6,69,10:25 PM,09:43 AM,06:28 AM,06:32 PM,22,32,32,28,11,51,72,0.3,1009,34,10,209,8,Cote%20d%27Ivoire
2020-03-14,35,24,0.0,10.2,7,62,11:22 PM,10:34 AM,06:28 AM,06:32 PM,22,33,33,29,9,43,71,3.2,1009,35,10,200,7,Cote%20d%27Ivoire
2020-03-15,34,25,0.0,11.6,6,55,No moonrise,11:28 AM,06:27 AM,06:32 PM,23,31,31,28,8,48,74,3.1,1010,34,9,215,6,Cote%20d%27Ivoire
2020-03-16,38,24,0.0,11.6,8,47,12:18 AM,12:21 PM,06:27 AM,06:32 PM,22,33,33,30,9,38,67,0.1,1008,38,10,199,6,Cote%20d%27Ivoire
2020-03-17,37,25,0.0,8.8,7,40,01:14 AM,01:15 PM,06:26 AM,06:32 PM,22,33,33,30,12,66,70,2.0,1009,37,10,210,9,Cote%20d%27Ivoire
2020-03-18,36,24,0.0,10.2,7,33,02:08 AM,02:08 PM,06:26 AM,06:32 PM,22,32,32,29,13,54,72,10.0,1009,36,9,234,9,Cote%20d%27Ivoire
2020-03-19,38,25,0.0,10.2,7,25,02:59 AM,03:00 PM,06:25 AM,06:32 PM,22,33,33,30,13,60,69,3.8,1010,38,10,220,9,Cote%20d%27Ivoire
2020-03-20,38,24,0.0,11.6,7,18,03:47 AM,03:50 PM,06:25 AM,06:32 PM,22,34,34,30,10,49,68,2.3,1009,38,10,192,7,Cote%20d%27Ivoire
2020-03-21,36,25,0.0,8.8,7,11,04:31 AM,04:37 PM,06:24 AM,06:32 PM,22,33,33,29,10,70,70,4.8,1009,36,9,185,8,Cote%20d%27Ivoire
2020-03-22,36,24,0.0,11.6,7,4,05:14 AM,05:23 PM,06:24 AM,06:31 PM,22,32,32,28,8,44,73,19.2,1009,36,8,217,5,Cote%20d%27Ivoire
2020-03-23,34,23,0.0,11.6,6,0,05:54 AM,06:06 PM,06:23 AM,06:31 PM,22,31,31,28,14,46,73,31.7,1011,34,8,239,8,Cote%20d%27Ivoire
2020-03-24,33,22,0.0,10.2,6,0,06:32 AM,06:49 PM,06:23 AM,06:31 PM,21,29,29,26,9,51,74,0.6,1011,33,10,213,6,Cote%20d%27Ivoire
2020-03-25,29,23,0.0,8.8,6,3,07:11 AM,07:33 PM,06:22 AM,06:31 PM,22,28,28,25,11,70,85,23.4,1011,29,9,228,7,Cote%20d%27Ivoire
2020-03-26,34,24,0.0,10.2,6,11,07:49 AM,08:16 PM,06:22 AM,06:31 PM,22,30,30,27,7,63,77,7.5,1009,34,9,147,5,Cote%20d%27Ivoire
2020-03-27,36,24,0.0,8.8,7,18,08:28 AM,09:01 PM,06:22 AM,06:31 PM,22,32,32,29,9,58,72,5.3,1009,36,10,199,6,Cote%20d%27Ivoire
2020-03-28,34,23,0.0,8.8,6,25,09:10 AM,09:48 PM,06:21 AM,06:31 PM,23,31,31,28,8,70,78,11.6,1010,34,9,211,6,Cote%20d%27Ivoire
2020-03-29,33,23,0.0,6.1,6,32,09:54 AM,10:37 PM,06:21 AM,06:31 PM,23,31,31,27,9,72,80,10.5,1010,33,9,242,6,Cote%20d%27Ivoire
2020-03-30,36,24,0.0,11.6,7,40,10:41 AM,11:29 PM,06:20 AM,06:31 PM,23,32,32,29,8,40,75,9.8,1008,36,8,213,5,Cote%20d%27Ivoire
2020-03-31,38,25,0.0,11.6,7,44,11:32 AM,No moonset,06:20 AM,06:30 PM,23,35,35,31,10,57,70,1.0,1008,38,10,207,7,Cote%20d%27Ivoire
2020-04-01,36,24,0.0,10.2,6,56,12:26 PM,12:22 AM,06:19 AM,06:30 PM,23,32,32,28,8,53,80,6.9,1010,36,8,186,5,Cote%20d%27Ivoire
2020-04-02,32,24,0.0,10.2,6,64,01:23 PM,01:18 AM,06:19 AM,06:30 PM,23,31,31,28,10,57,77,0.6,1010,32,10,201,7,Cote%20d%27Ivoire
2020-04-03,37,24,0.0,11.6,7,71,02:21 PM,02:14 AM,06:18 AM,06:30 PM,23,32,32,29,11,40,73,1.3,1009,37,9,195,7,Cote%20d%27Ivoire
2020-04-04,34,25,0.0,8.8,6,79,03:21 PM,03:09 AM,06:18 AM,06:30 PM,23,32,32,28,13,54,73,1.1,1010,34,10,208,10,Cote%20d%27Ivoire
2020-04-05,36,24,0.0,7.4,7,87,04:18 PM,04:03 AM,06:17 AM,06:30 PM,23,33,33,29,10,76,76,7.2,1010,36,7,205,7,Cote%20d%27Ivoire
2020-04-06,33,25,0.0,7.4,6,94,05:16 PM,04:55 AM,06:17 AM,06:30 PM,24,32,32,28,12,65,78,4.0,1010,33,9,210,9,Cote%20d%27Ivoire
