date_time,Democratic%20Republic%20of%20Congo_maxtempC,Democratic%20Republic%20of%20Congo_mintempC,Democratic%20Republic%20of%20Congo_totalSnow_cm,Democratic%20Republic%20of%20Congo_sunHour,Democratic%20Republic%20of%20Congo_uvIndex,Democratic%20Republic%20of%20Congo_moon_illumination,Democratic%20Republic%20of%20Congo_moonrise,Democratic%20Republic%20of%20Congo_moonset,Democratic%20Republic%20of%20Congo_sunrise,Democratic%20Republic%20of%20Congo_sunset,Democratic%20Republic%20of%20Congo_DewPointC,Democratic%20Republic%20of%20Congo_FeelsLikeC,Democratic%20Republic%20of%20Congo_HeatIndexC,Democratic%20Republic%20of%20Congo_WindChillC,Democratic%20Republic%20of%20Congo_WindGustKmph,Democratic%20Republic%20of%20Congo_cloudcover,Democratic%20Republic%20of%20Congo_humidity,Democratic%20Republic%20of%20Congo_precipMM,Democratic%20Republic%20of%20Congo_pressure,Democratic%20Republic%20of%20Congo_tempC,Democratic%20Republic%20of%20Congo_visibility,Democratic%20Republic%20of%20Congo_winddirDegree,Democratic%20Republic%20of%20Congo_windspeedKmph,Democratic%20Republic%20of%20Congo_location
2020-01-01,33,25,0.0,10.5,6,37,10:49 AM,11:14 PM,05:51 AM,06:13 PM,21,30,30,28,8,72,69,11.7,1010,33,9,249,6,Democratic%20Republic%20of%20Congo
2020-01-02,33,24,0.0,11.9,6,44,11:33 AM,11:53 PM,05:52 AM,06:13 PM,21,31,31,28,11,58,70,10.2,1010,33,9,251,7,Democratic%20Republic%20of%20Congo
2020-01-03,32,25,0.0,10.5,6,51,12:14 PM,No moonset,05:52 AM,06:14 PM,22,30,30,28,11,70,71,19.5,1011,32,8,260,6,Democratic%20Republic%20of%20Congo
2020-01-04,34,24,0.0,10.5,6,59,12:57 PM,12:32 AM,05:53 AM,06:14 PM,21,31,31,28,7,61,68,5.7,1012,34,9,189,5,Democratic%20Republic%20of%20Congo
2020-01-05,33,23,0.0,11.9,6,66,01:42 PM,01:13 AM,05:53 AM,06:15 PM,20,30,30,27,9,48,68,2.5,1011,33,10,245,7,Democratic%20Republic%20of%20Congo
2020-01-06,33,24,0.0,12.6,7,73,02:29 PM,01:56 AM,05:54 AM,06:15 PM,21,31,31,28,4,51,65,4.0,1010,33,9,136,3,Democratic%20Republic%20of%20Congo
2020-01-07,32,25,0.0,9.2,6,80,03:19 PM,02:41 AM,05:54 AM,06:15 PM,21,30,30,28,7,69,70,28.1,1010,32,7,247,4,Democratic%20Republic%20of%20Congo
2020-01-08,32,24,0.0,12.6,6,88,04:13 PM,03:32 AM,05:55 AM,06:16 PM,21,30,30,28,8,59,68,14.3,1010,32,9,202,5,Democratic%20Republic%20of%20Congo
2020-01-09,29,24,0.0,9.2,6,95,05:10 PM,04:25 AM,05:55 AM,06:16 PM,21,28,28,26,12,69,76,17.1,1011,29,9,232,8,Democratic%20Republic%20of%20Congo
2020-01-10,25,16,0.0,7.9,5,100,06:09 PM,05:23 AM,05:56 AM,06:17 PM,20,24,24,22,12,75,85,26.5,1014,25,9,235,8,Democratic%20Republic%20of%20Congo
2020-01-11,26,22,0.0,11.9,5,100,07:09 PM,06:23 AM,05:56 AM,06:17 PM,20,26,26,24,6,62,80,0.4,1014,26,10,159,5,Democratic%20Republic%20of%20Congo
2020-01-12,35,23,0.0,12.6,8,83,08:06 PM,07:24 AM,05:56 AM,06:17 PM,20,30,30,28,5,35,64,0.2,1012,35,10,202,4,Democratic%20Republic%20of%20Congo
2020-01-13,36,25,0.0,12.6,8,76,09:01 PM,08:22 AM,05:57 AM,06:18 PM,20,32,32,30,6,30,58,0.5,1011,36,10,206,4,Democratic%20Republic%20of%20Congo
2020-01-14,36,25,0.0,12.6,8,69,09:53 PM,09:19 AM,05:57 AM,06:18 PM,20,33,33,30,6,29,58,0.2,1009,36,10,208,4,Democratic%20Republic%20of%20Congo
2020-01-15,34,25,0.0,11.9,7,61,10:42 PM,10:13 AM,05:58 AM,06:18 PM,21,32,32,29,9,56,64,2.4,1009,34,10,253,6,Democratic%20Republic%20of%20Congo
2020-01-16,34,25,0.0,11.9,7,54,11:31 PM,11:05 AM,05:58 AM,06:18 PM,22,32,32,29,10,54,67,3.3,1010,34,10,248,7,Democratic%20Republic%20of%20Congo
2020-01-17,32,25,0.0,11.9,6,47,No moonrise,11:57 AM,05:59 AM,06:19 PM,22,31,31,28,13,65,72,9.6,1011,32,9,258,9,Democratic%20Republic%20of%20Congo
2020-01-18,32,24,0.0,10.5,6,40,12:19 AM,12:48 PM,05:59 AM,06:19 PM,21,30,30,27,13,66,72,8.1,1012,32,10,251,9,Democratic%20Republic%20of%20Congo
2020-01-19,32,23,0.0,11.9,6,32,01:08 AM,01:41 PM,05:59 AM,06:19 PM,21,30,30,27,13,52,72,14.0,1012,32,9,249,9,Democratic%20Republic%20of%20Congo
2020-01-20,35,24,0.0,12.2,7,25,01:58 AM,02:34 PM,06:00 AM,06:19 PM,21,32,32,29,8,52,66,4.3,1011,35,10,257,5,Democratic%20Republic%20of%20Congo
2020-01-21,34,25,0.0,11.8,7,18,02:49 AM,03:29 PM,06:00 AM,06:20 PM,21,32,32,29,8,61,65,3.5,1011,34,10,238,6,Democratic%20Republic%20of%20Congo
2020-01-22,32,25,0.0,10.4,6,11,03:43 AM,04:24 PM,06:00 AM,06:20 PM,22,31,31,28,11,60,70,11.3,1011,32,9,241,8,Democratic%20Republic%20of%20Congo
2020-01-23,33,24,0.0,10.2,6,3,04:37 AM,05:18 PM,06:01 AM,06:20 PM,21,31,31,28,9,58,69,6.7,1010,33,10,252,6,Democratic%20Republic%20of%20Congo
2020-01-24,31,25,0.0,10.2,6,0,05:31 AM,06:10 PM,06:01 AM,06:20 PM,21,30,30,28,10,63,70,5.6,1011,31,9,252,7,Democratic%20Republic%20of%20Congo
2020-01-25,33,25,0.0,8.8,6,0,06:22 AM,06:59 PM,06:01 AM,06:20 PM,21,30,30,28,9,38,67,2.9,1011,33,10,264,7,Democratic%20Republic%20of%20Congo
2020-01-26,33,24,0.0,8.8,6,4,07:12 AM,07:45 PM,06:02 AM,06:20 PM,21,30,30,28,7,67,69,2.8,1011,33,10,279,5,Democratic%20Republic%20of%20Congo
2020-01-27,33,24,0.0,8.8,6,11,07:59 AM,08:28 PM,06:02 AM,06:21 PM,21,31,31,28,12,49,67,3.9,1011,33,10,249,9,Democratic%20Republic%20of%20Congo
2020-01-28,33,24,0.0,8.8,6,18,08:44 AM,09:10 PM,06:02 AM,06:21 PM,21,31,31,28,10,54,68,11.5,1011,33,9,250,7,Democratic%20Republic%20of%20Congo
2020-01-29,31,24,0.0,8.8,6,26,09:28 AM,09:50 PM,06:03 AM,06:21 PM,22,30,30,27,10,64,73,13.7,1011,31,9,252,7,Democratic%20Republic%20of%20Congo
2020-01-30,31,24,0.0,11.6,6,33,10:10 AM,10:28 PM,06:03 AM,06:21 PM,21,29,29,27,13,49,69,3.1,1012,31,10,236,9,Democratic%20Republic%20of%20Congo
2020-01-31,31,24,0.0,8.8,6,37,10:52 AM,11:08 PM,06:03 AM,06:21 PM,21,29,29,27,9,66,72,11.0,1013,31,10,272,7,Democratic%20Republic%20of%20Congo
2020-02-01,31,25,0.0,11.6,6,49,11:35 AM,11:49 PM,06:03 AM,06:21 PM,21,29,29,27,5,55,70,3.0,1012,31,10,233,3,Democratic%20Republic%20of%20Congo
2020-02-02,32,25,0.0,7.5,6,57,12:20 PM,No moonset,06:04 AM,06:21 PM,21,30,30,28,10,71,70,15.0,1011,32,9,260,6,Democratic%20Republic%20of%20Congo
2020-02-03,31,24,0.0,8.8,6,64,01:08 PM,12:32 AM,06:04 AM,06:21 PM,21,29,29,27,11,65,70,8.3,1013,31,10,256,8,Democratic%20Republic%20of%20Congo
2020-02-04,31,23,0.0,6.1,6,72,01:59 PM,01:19 AM,06:04 AM,06:21 PM,21,28,28,26,16,73,76,12.5,1012,31,9,270,11,Democratic%20Republic%20of%20Congo
2020-02-05,32,22,0.0,8.8,6,79,02:53 PM,02:10 AM,06:04 AM,06:21 PM,19,28,28,26,8,56,67,0.1,1012,32,10,178,6,Democratic%20Republic%20of%20Congo
2020-02-06,32,24,0.0,10.2,6,87,03:51 PM,03:05 AM,06:04 AM,06:21 PM,20,30,30,27,8,61,67,6.6,1011,32,10,249,6,Democratic%20Republic%20of%20Congo
2020-02-07,33,25,0.0,8.8,6,95,04:50 PM,04:04 AM,06:05 AM,06:21 PM,21,31,31,28,10,66,68,14.1,1011,33,9,245,6,Democratic%20Republic%20of%20Congo
2020-02-08,32,24,0.0,7.5,6,100,05:50 PM,05:05 AM,06:05 AM,06:21 PM,21,30,30,28,13,68,70,7.8,1011,32,9,233,9,Democratic%20Republic%20of%20Congo
2020-02-09,29,24,0.0,8.8,6,100,06:47 PM,06:05 AM,06:05 AM,06:21 PM,21,28,28,26,9,58,75,16.1,1012,29,9,207,6,Democratic%20Republic%20of%20Congo
2020-02-10,31,22,0.0,10.2,6,83,07:42 PM,07:05 AM,06:05 AM,06:21 PM,20,28,28,26,9,51,73,0.5,1012,31,10,251,6,Democratic%20Republic%20of%20Congo
2020-02-11,32,24,0.0,8.8,6,75,08:34 PM,08:02 AM,06:05 AM,06:21 PM,21,31,31,28,10,65,72,17.7,1012,32,9,154,7,Democratic%20Republic%20of%20Congo
2020-02-12,35,25,0.0,10.2,7,68,09:25 PM,08:57 AM,06:05 AM,06:20 PM,21,32,32,29,7,58,64,1.9,1011,35,10,247,5,Democratic%20Republic%20of%20Congo
2020-02-13,34,24,0.0,10.2,7,60,10:14 PM,09:51 AM,06:05 AM,06:20 PM,21,32,32,29,9,54,65,3.7,1010,34,10,272,6,Democratic%20Republic%20of%20Congo
2020-02-14,32,25,0.0,8.8,6,53,11:04 PM,10:44 AM,06:05 AM,06:20 PM,22,30,30,28,8,65,70,8.6,1010,32,9,237,5,Democratic%20Republic%20of%20Congo
2020-02-15,32,25,0.0,10.2,6,45,11:55 PM,11:37 AM,06:06 AM,06:20 PM,21,30,30,28,12,50,69,2.7,1009,32,10,236,9,Democratic%20Republic%20of%20Congo
2020-02-16,33,26,0.0,8.8,6,38,No moonrise,12:31 PM,06:06 AM,06:20 PM,21,30,30,28,12,62,67,13.5,1010,33,9,222,8,Democratic%20Republic%20of%20Congo
2020-02-17,33,24,0.0,10.2,6,30,12:46 AM,01:26 PM,06:06 AM,06:20 PM,20,30,30,28,11,63,64,1.3,1010,33,10,218,8,Democratic%20Republic%20of%20Congo
2020-02-18,25,23,0.0,8.8,5,22,01:40 AM,02:20 PM,06:06 AM,06:19 PM,21,26,26,24,8,66,83,2.4,1012,25,9,161,5,Democratic%20Republic%20of%20Congo
2020-02-19,35,24,0.0,8.8,7,15,02:32 AM,03:14 PM,06:06 AM,06:19 PM,21,32,32,29,5,48,64,2.4,1010,35,10,211,4,Democratic%20Republic%20of%20Congo
2020-02-20,36,25,0.0,11.6,8,7,03:26 AM,04:05 PM,06:06 AM,06:19 PM,21,33,33,30,6,34,60,0.4,1009,36,10,128,4,Democratic%20Republic%20of%20Congo
2020-02-21,35,25,0.0,11.6,7,0,04:17 AM,04:55 PM,06:06 AM,06:19 PM,21,33,33,30,7,47,62,4.2,1009,35,10,124,5,Democratic%20Republic%20of%20Congo
