date_time,Denmark_maxtempC,Denmark_mintempC,Denmark_totalSnow_cm,Denmark_sunHour,Denmark_uvIndex,Denmark_moon_illumination,Denmark_moonrise,Denmark_moonset,Denmark_sunrise,Denmark_sunset,Denmark_DewPointC,Denmark_FeelsLikeC,Denmark_HeatIndexC,Denmark_WindChillC,Denmark_WindGustKmph,Denmark_cloudcover,Denmark_humidity,Denmark_precipMM,Denmark_pressure,Denmark_tempC,Denmark_visibility,Denmark_winddirDegree,Denmark_windspeedKmph,Denmark_location
2020-01-01,5,4,0.0,7.1,2,37,11:53 AM,10:46 PM,08:39 AM,03:48 PM,2,-0,4,-0,34,16,87,0.0,1028,5,10,269,21,Denmark
2020-01-02,4,3,0.0,7.1,2,44,12:06 PM,11:57 PM,08:38 AM,03:49 PM,1,-1,3,-1,34,12,85,0.0,1022,4,10,235,21,Denmark
2020-01-03,7,3,0.0,4.7,2,51,12:18 PM,No moonset,08:38 AM,03:50 PM,2,1,5,1,41,80,81,0.8,1010,7,9,252,26,Denmark
2020-01-04,5,3,0.0,4.7,1,59,12:31 PM,01:07 AM,08:38 AM,03:51 PM,-1,-1,4,-1,45,44,70,6.9,1014,5,9,305,29,Denmark
2020-01-05,5,-2,0.0,2.7,1,66,12:45 PM,02:19 AM,08:37 AM,03:53 PM,1,-1,3,-1,29,61,83,0.4,1026,5,8,251,18,Denmark
2020-01-06,7,3,0.0,2.7,2,73,01:02 PM,03:33 AM,08:37 AM,03:54 PM,5,2,6,2,27,89,91,0.3,1022,7,10,240,17,Denmark
2020-01-07,6,5,0.0,4.7,2,80,01:25 PM,04:49 AM,08:36 AM,03:55 PM,3,2,5,2,24,73,89,0.0,1020,6,10,227,15,Denmark
2020-01-08,9,3,0.0,2.7,2,88,01:54 PM,06:05 AM,08:36 AM,03:57 PM,5,3,7,3,36,89,89,1.6,1014,9,8,235,23,Denmark
2020-01-09,5,1,0.0,2.7,1,95,02:36 PM,07:19 AM,08:35 AM,03:58 PM,2,1,4,1,20,65,88,7.5,1015,5,9,177,13,Denmark
2020-01-10,7,2,0.0,2.9,2,100,03:33 PM,08:23 AM,08:34 AM,04:00 PM,6,4,6,4,20,90,96,28.0,1008,7,8,263,12,Denmark
