date_time,Dominican%20Republic_maxtempC,Dominican%20Republic_mintempC,Dominican%20Republic_totalSnow_cm,Dominican%20Republic_sunHour,Dominican%20Republic_uvIndex,Dominican%20Republic_moon_illumination,Dominican%20Republic_moonrise,Dominican%20Republic_moonset,Dominican%20Republic_sunrise,Dominican%20Republic_sunset,Dominican%20Republic_DewPointC,Dominican%20Republic_FeelsLikeC,Dominican%20Republic_HeatIndexC,Dominican%20Republic_WindChillC,Dominican%20Republic_WindGustKmph,Dominican%20Republic_cloudcover,Dominican%20Republic_humidity,Dominican%20Republic_precipMM,Dominican%20Republic_pressure,Dominican%20Republic_tempC,Dominican%20Republic_visibility,Dominican%20Republic_winddirDegree,Dominican%20Republic_windspeedKmph,Dominican%20Republic_location
2020-01-01,29,23,0.0,11.0,6,37,11:53 AM,11:56 PM,07:12 AM,06:14 PM,22,28,28,25,16,32,82,0.5,1015,29,10,40,11,Dominican%20Republic
2020-01-02,28,23,0.0,10.1,6,44,12:27 PM,No moonset,07:12 AM,06:15 PM,21,27,27,25,21,43,83,0.6,1016,28,10,21,15,Dominican%20Republic
2020-01-03,27,22,0.0,10.1,5,51,01:01 PM,12:43 AM,07:13 AM,06:15 PM,21,26,26,24,24,45,83,1.8,1018,27,10,116,16,Dominican%20Republic
2020-01-04,29,22,0.0,10.1,6,59,01:37 PM,01:31 AM,07:13 AM,06:16 PM,21,27,27,24,18,44,82,0.3,1019,29,10,38,13,Dominican%20Republic
2020-01-05,29,21,0.0,11.0,7,66,02:13 PM,02:20 AM,07:13 AM,06:17 PM,20,27,27,25,18,10,78,0.1,1017,29,10,78,13,Dominican%20Republic
2020-01-06,28,20,0.0,11.0,6,73,02:54 PM,03:11 AM,07:13 AM,06:17 PM,18,25,25,24,25,3,74,0.0,1016,28,10,58,17,Dominican%20Republic
2020-01-07,27,22,0.0,8.6,5,80,03:39 PM,04:05 AM,07:14 AM,06:18 PM,20,26,26,24,19,54,82,1.8,1016,27,10,39,13,Dominican%20Republic
2020-01-08,28,21,0.0,10.1,6,88,04:28 PM,05:02 AM,07:14 AM,06:19 PM,20,26,26,24,19,36,80,2.8,1018,28,10,66,13,Dominican%20Republic
2020-01-09,28,22,0.0,7.0,6,95,05:23 PM,06:01 AM,07:14 AM,06:19 PM,21,26,26,24,26,70,82,1.8,1020,28,10,31,18,Dominican%20Republic
2020-01-10,26,22,0.0,5.5,5,100,06:23 PM,07:00 AM,07:14 AM,06:20 PM,20,26,26,23,30,68,84,6.6,1020,26,10,44,20,Dominican%20Republic
2020-01-11,26,21,0.0,7.0,5,100,07:26 PM,07:58 AM,07:14 AM,06:20 PM,20,25,25,23,30,61,83,7.4,1020,26,10,45,20,Dominican%20Republic
2020-01-12,26,21,0.0,7.0,5,83,08:29 PM,08:53 AM,07:15 AM,06:21 PM,20,25,25,23,26,67,83,3.6,1020,26,9,36,17,Dominican%20Republic
2020-01-13,26,21,0.0,10.1,5,76,09:32 PM,09:44 AM,07:15 AM,06:22 PM,19,24,24,23,30,58,82,3.1,1020,26,10,39,20,Dominican%20Republic
2020-01-14,24,20,0.0,8.6,5,69,10:32 PM,10:30 AM,07:15 AM,06:22 PM,19,22,22,22,31,59,85,6.1,1019,24,9,28,20,Dominican%20Republic
2020-01-15,25,20,0.0,5.5,5,61,11:32 PM,11:15 AM,07:15 AM,06:23 PM,19,23,23,22,27,75,84,6.3,1017,25,9,23,17,Dominican%20Republic
2020-01-16,27,21,0.0,10.1,5,54,No moonrise,11:57 AM,07:15 AM,06:24 PM,19,25,25,23,23,46,82,1.1,1018,27,10,31,16,Dominican%20Republic
2020-01-17,27,20,0.0,11.1,5,47,12:29 AM,12:39 PM,07:15 AM,06:24 PM,17,24,24,23,25,15,72,0.1,1019,27,10,151,17,Dominican%20Republic
2020-01-18,27,21,0.0,10.1,5,40,01:27 AM,01:22 PM,07:15 AM,06:25 PM,19,25,25,23,28,42,79,1.1,1019,27,10,32,20,Dominican%20Republic
2020-01-19,26,21,0.0,5.6,5,32,02:24 AM,02:06 PM,07:15 AM,06:25 PM,20,25,25,23,21,71,86,3.1,1018,26,10,45,15,Dominican%20Republic
2020-01-20,28,22,0.0,10.1,5,25,03:23 AM,02:53 PM,07:15 AM,06:26 PM,21,26,26,24,13,49,83,0.9,1016,28,10,49,10,Dominican%20Republic
2020-01-21,27,21,0.0,11.1,6,18,04:20 AM,03:43 PM,07:15 AM,06:27 PM,20,26,26,24,10,19,78,0.0,1014,27,10,170,7,Dominican%20Republic
2020-01-22,28,23,0.0,11.1,7,11,05:18 AM,04:36 PM,07:15 AM,06:27 PM,19,26,26,24,14,12,75,0.0,1012,28,10,221,10,Dominican%20Republic
2020-01-23,26,21,0.0,7.1,5,3,06:12 AM,05:30 PM,07:15 AM,06:28 PM,19,25,25,23,10,53,80,0.6,1012,26,10,107,7,Dominican%20Republic
2020-01-24,26,20,0.0,7.1,5,0,07:04 AM,06:24 PM,07:15 AM,06:29 PM,20,24,24,23,12,63,84,1.1,1014,26,10,53,8,Dominican%20Republic
2020-01-25,27,21,0.0,10.1,5,0,07:51 AM,07:18 PM,07:15 AM,06:29 PM,20,25,25,23,14,56,82,0.7,1015,27,10,44,10,Dominican%20Republic
2020-01-26,27,20,0.0,11.2,5,4,08:34 AM,08:10 PM,07:15 AM,06:30 PM,19,24,24,23,14,51,78,0.9,1015,27,10,39,10,Dominican%20Republic
2020-01-27,28,21,0.0,11.2,6,11,09:14 AM,09:00 PM,07:14 AM,06:30 PM,20,26,26,24,10,17,79,0.1,1015,28,10,84,8,Dominican%20Republic
2020-01-28,28,21,0.0,11.2,7,18,09:51 AM,09:49 PM,07:14 AM,06:31 PM,19,27,27,24,10,10,76,0.1,1014,28,10,238,7,Dominican%20Republic
2020-01-29,28,21,0.0,11.2,6,26,10:25 AM,10:36 PM,07:14 AM,06:31 PM,20,26,26,24,10,29,77,0.1,1014,28,10,201,7,Dominican%20Republic
2020-01-30,29,22,0.0,11.2,7,33,11:00 AM,11:24 PM,07:14 AM,06:32 PM,21,28,28,25,6,2,77,0.0,1015,29,10,232,5,Dominican%20Republic
2020-01-31,30,23,0.0,11.2,7,37,11:34 AM,No moonset,07:14 AM,06:33 PM,20,28,28,26,12,7,75,0.0,1017,30,10,72,9,Dominican%20Republic
2020-02-01,28,21,0.0,11.2,6,49,12:09 PM,12:11 AM,07:13 AM,06:33 PM,20,26,26,24,14,37,81,0.4,1017,28,10,62,10,Dominican%20Republic
2020-02-02,28,23,0.0,10.1,6,57,12:47 PM,01:01 AM,07:13 AM,06:34 PM,20,27,27,25,7,56,77,0.4,1016,28,10,145,5,Dominican%20Republic
2020-02-03,28,22,0.0,8.6,6,64,01:29 PM,01:52 AM,07:13 AM,06:34 PM,21,27,27,24,19,52,81,1.5,1018,28,9,62,13,Dominican%20Republic
2020-02-04,28,22,0.0,8.6,6,72,02:15 PM,02:46 AM,07:12 AM,06:35 PM,21,27,27,24,19,62,82,2.7,1018,28,10,45,13,Dominican%20Republic
2020-02-05,28,21,0.0,11.2,6,79,03:07 PM,03:43 AM,07:12 AM,06:35 PM,20,26,26,24,16,31,81,1.3,1018,28,10,50,11,Dominican%20Republic
2020-02-06,27,21,0.0,7.1,5,87,04:04 PM,04:41 AM,07:12 AM,06:36 PM,21,26,26,24,18,67,84,3.6,1017,27,10,103,12,Dominican%20Republic
2020-02-07,28,22,0.0,10.1,6,95,05:05 PM,05:41 AM,07:11 AM,06:36 PM,21,27,27,24,12,49,81,1.8,1017,28,10,87,9,Dominican%20Republic
2020-02-08,29,22,0.0,11.3,6,100,06:10 PM,06:37 AM,07:11 AM,06:37 PM,20,27,27,24,17,39,78,0.7,1019,29,10,48,12,Dominican%20Republic
2020-02-09,29,21,0.0,10.1,6,100,07:15 PM,07:31 AM,07:10 AM,06:37 PM,19,25,25,24,21,58,78,1.3,1019,29,10,35,14,Dominican%20Republic
2020-02-10,27,21,0.0,11.3,5,83,08:18 PM,08:21 AM,07:10 AM,06:38 PM,20,26,26,23,21,46,80,2.1,1019,27,10,37,14,Dominican%20Republic
2020-02-11,27,21,0.0,8.6,5,75,09:20 PM,09:08 AM,07:10 AM,06:38 PM,20,26,26,23,20,61,83,4.8,1018,27,10,39,13,Dominican%20Republic
2020-02-12,27,21,0.0,10.1,5,68,10:20 PM,09:53 AM,07:09 AM,06:39 PM,20,26,26,23,21,57,82,2.3,1018,27,10,46,14,Dominican%20Republic
2020-02-13,27,21,0.0,10.1,5,60,11:20 PM,10:36 AM,07:09 AM,06:39 PM,20,26,26,23,22,58,82,3.1,1018,27,10,47,14,Dominican%20Republic
2020-02-14,28,21,0.0,11.3,6,53,No moonrise,11:20 AM,07:08 AM,06:40 PM,19,25,25,24,19,45,78,1.1,1018,28,10,47,13,Dominican%20Republic
2020-02-15,28,21,0.0,11.3,6,45,12:19 AM,12:04 PM,07:08 AM,06:40 PM,20,26,26,24,18,29,79,0.6,1017,28,10,34,13,Dominican%20Republic
2020-02-16,28,21,0.0,10.1,5,38,01:18 AM,12:51 PM,07:07 AM,06:40 PM,19,25,25,23,22,45,79,0.4,1016,28,10,30,15,Dominican%20Republic
2020-02-17,28,21,0.0,7.2,5,30,02:16 AM,01:41 PM,07:07 AM,06:41 PM,20,26,26,24,21,62,83,3.2,1016,28,10,40,14,Dominican%20Republic
2020-02-18,27,21,0.0,7.2,5,22,03:13 AM,02:32 PM,07:06 AM,06:41 PM,20,26,26,24,26,58,82,3.9,1017,27,10,43,17,Dominican%20Republic
2020-02-19,27,21,0.0,8.6,5,15,04:08 AM,03:25 PM,07:05 AM,06:42 PM,20,26,26,23,23,55,81,2.5,1017,27,10,44,16,Dominican%20Republic
2020-02-20,27,21,0.0,10.1,5,7,05:00 AM,04:18 PM,07:05 AM,06:42 PM,20,25,25,23,21,56,82,2.4,1016,27,10,50,14,Dominican%20Republic
2020-02-21,28,21,0.0,10.1,6,0,05:48 AM,05:12 PM,07:04 AM,06:42 PM,20,27,27,24,11,27,78,0.4,1015,28,10,172,8,Dominican%20Republic
