date_time,Ecuador_maxtempC,Ecuador_mintempC,Ecuador_totalSnow_cm,Ecuador_sunHour,Ecuador_uvIndex,Ecuador_moon_illumination,Ecuador_moonrise,Ecuador_moonset,Ecuador_sunrise,Ecuador_sunset,Ecuador_DewPointC,Ecuador_FeelsLikeC,Ecuador_HeatIndexC,Ecuador_WindChillC,Ecuador_WindGustKmph,Ecuador_cloudcover,Ecuador_humidity,Ecuador_precipMM,Ecuador_pressure,Ecuador_tempC,Ecuador_visibility,Ecuador_winddirDegree,Ecuador_windspeedKmph,Ecuador_location
2020-01-01,15,12,0.0,7.4,3,37,11:18 AM,11:38 PM,06:13 AM,06:21 PM,11,13,13,13,6,72,85,8.0,1013,15,10,325,5,Ecuador
2020-01-02,17,12,0.0,6.0,3,44,11:59 AM,No moonset,06:14 AM,06:22 PM,11,14,14,14,8,75,81,7.6,1013,17,10,250,6,Ecuador
2020-01-03,18,12,0.0,6.0,4,51,12:40 PM,12:18 AM,06:14 AM,06:22 PM,10,15,14,15,6,75,78,14.0,1015,18,9,189,5,Ecuador
2020-01-04,18,11,0.0,8.8,4,59,01:22 PM,01:00 AM,06:15 AM,06:23 PM,9,14,14,14,6,57,72,2.6,1016,18,10,179,5,Ecuador
2020-01-05,17,12,0.0,7.4,3,66,02:05 PM,01:42 AM,06:15 AM,06:23 PM,9,14,14,14,6,64,75,1.2,1016,17,10,257,5,Ecuador
2020-01-06,18,11,0.0,11.6,4,73,02:52 PM,02:27 AM,06:15 AM,06:24 PM,9,14,14,14,6,37,70,1.1,1014,18,10,220,5,Ecuador
2020-01-07,18,12,0.0,8.8,4,80,03:42 PM,03:15 AM,06:16 AM,06:24 PM,10,15,14,15,7,60,73,2.9,1013,18,10,253,6,Ecuador
2020-01-08,19,12,0.0,8.8,4,88,04:36 PM,04:07 AM,06:16 AM,06:24 PM,9,15,15,15,7,70,69,3.2,1014,19,9,174,6,Ecuador
2020-01-09,20,11,0.0,10.2,4,95,05:34 PM,05:03 AM,06:17 AM,06:25 PM,4,15,15,15,8,27,50,1.0,1014,20,10,109,7,Ecuador
2020-01-10,20,10,0.0,8.8,4,100,06:33 PM,06:01 AM,06:17 AM,06:25 PM,7,15,15,15,9,34,60,0.5,1012,20,10,80,7,Ecuador
2020-01-11,19,11,0.0,10.2,4,100,07:33 PM,07:01 AM,06:18 AM,06:26 PM,7,14,14,14,9,31,63,0.9,1012,19,10,116,7,Ecuador
