date_time,Estonia_maxtempC,Estonia_mintempC,Estonia_totalSnow_cm,Estonia_sunHour,Estonia_uvIndex,Estonia_moon_illumination,Estonia_moonrise,Estonia_moonset,Estonia_sunrise,Estonia_sunset,Estonia_DewPointC,Estonia_FeelsLikeC,Estonia_HeatIndexC,Estonia_WindChillC,Estonia_WindGustKmph,Estonia_cloudcover,Estonia_humidity,Estonia_precipMM,Estonia_pressure,Estonia_tempC,Estonia_visibility,Estonia_winddirDegree,Estonia_windspeedKmph,Estonia_location
2020-01-01,3,-3,0.0,5.8,1,37,12:11 PM,10:49 PM,09:19 AM,03:31 PM,-1,-3,2,-3,31,42,83,0.0,1012,3,10,269,19,Estonia
2020-01-02,5,-3,0.0,3.7,1,44,12:20 PM,No moonset,09:18 AM,03:32 PM,2,-1,3,-1,36,41,87,0.0,1007,5,10,248,21,Estonia
2020-01-03,5,-0,0.0,1.5,1,51,12:28 PM,12:04 AM,09:18 AM,03:34 PM,1,-1,4,-1,45,52,81,4.0,1000,5,10,239,28,Estonia
2020-01-04,2,-1,0.9,1.5,1,59,12:36 PM,01:20 AM,09:17 AM,03:35 PM,-3,-4,2,-4,39,77,69,1.7,991,2,6,269,25,Estonia
2020-01-05,-1,-6,0.0,5.8,1,66,12:46 PM,02:36 AM,09:16 AM,03:37 PM,-8,-7,-2,-7,31,50,59,0.0,1014,-1,10,292,21,Estonia
2020-01-06,3,-5,0.0,5.8,1,73,12:58 PM,03:56 AM,09:16 AM,03:38 PM,1,-3,1,-3,30,61,90,6.2,1013,3,9,245,18,Estonia
2020-01-07,6,-2,0.0,1.6,2,80,01:15 PM,05:17 AM,09:15 AM,03:40 PM,4,1,4,1,28,96,92,0.4,1014,6,10,224,18,Estonia
2020-01-08,6,-3,0.0,1.6,1,88,01:39 PM,06:39 AM,09:14 AM,03:42 PM,3,-0,4,-0,43,94,85,2.4,1009,6,7,222,27,Estonia
2020-01-09,3,1,0.0,5.8,2,95,02:15 PM,07:58 AM,09:13 AM,03:44 PM,-0,-2,3,-2,29,17,83,0.0,1008,3,10,259,17,Estonia
2020-01-10,1,0,0.0,1.6,1,100,03:10 PM,09:05 AM,09:12 AM,03:46 PM,-2,-2,0,-2,13,62,86,0.0,1013,1,9,149,8,Estonia
2020-01-11,2,-4,0.0,3.7,1,100,04:25 PM,09:54 AM,09:11 AM,03:48 PM,-3,-3,1,-3,24,21,73,0.0,1019,2,10,235,14,Estonia
2020-01-12,6,-3,0.0,1.6,2,83,05:54 PM,10:28 AM,09:10 AM,03:50 PM,2,-0,4,-0,50,87,83,14.2,1004,6,7,243,32,Estonia
