date_time,Ethiopia_maxtempC,Ethiopia_mintempC,Ethiopia_totalSnow_cm,Ethiopia_sunHour,Ethiopia_uvIndex,Ethiopia_moon_illumination,Ethiopia_moonrise,Ethiopia_moonset,Ethiopia_sunrise,Ethiopia_sunset,Ethiopia_DewPointC,Ethiopia_FeelsLikeC,Ethiopia_HeatIndexC,Ethiopia_WindChillC,Ethiopia_WindGustKmph,Ethiopia_cloudcover,Ethiopia_humidity,Ethiopia_precipMM,Ethiopia_pressure,Ethiopia_tempC,Ethiopia_visibility,Ethiopia_winddirDegree,Ethiopia_windspeedKmph,Ethiopia_location
2020-01-01,22,11,0.0,11.6,5,37,11:22 AM,11:32 PM,06:40 AM,06:17 PM,7,16,16,16,13,6,57,0.0,1015,22,10,83,10,Ethiopia
2020-01-02,22,11,0.0,11.6,5,44,12:00 PM,No moonset,06:40 AM,06:17 PM,8,16,16,16,15,13,61,0.0,1016,22,10,85,12,Ethiopia
2020-01-03,22,11,0.0,11.6,5,51,12:37 PM,12:15 AM,06:41 AM,06:18 PM,8,16,16,16,13,10,62,0.0,1016,22,10,90,10,Ethiopia
2020-01-04,22,11,0.0,11.6,5,59,01:16 PM,01:00 AM,06:41 AM,06:18 PM,7,16,16,16,13,12,59,0.0,1016,22,10,90,10,Ethiopia
2020-01-05,23,12,0.0,11.6,5,66,01:55 PM,01:45 AM,06:42 AM,06:19 PM,7,17,17,17,11,5,54,0.0,1014,23,10,87,8,Ethiopia
2020-01-06,23,12,0.0,11.6,5,73,02:37 PM,02:31 AM,06:42 AM,06:19 PM,9,16,17,16,12,20,65,0.1,1015,23,10,107,10,Ethiopia
2020-01-07,22,11,0.0,10.2,4,80,03:24 PM,03:22 AM,06:42 AM,06:20 PM,10,16,16,16,14,47,69,1.9,1016,22,10,93,11,Ethiopia
2020-01-08,21,11,0.0,11.6,5,88,04:14 PM,04:15 AM,06:43 AM,06:20 PM,7,15,15,15,14,11,59,0.0,1016,21,10,91,11,Ethiopia
2020-01-09,24,12,0.0,11.6,5,95,05:09 PM,05:11 AM,06:43 AM,06:21 PM,6,17,17,17,10,4,50,0.0,1015,24,10,92,8,Ethiopia
2020-01-10,25,12,0.0,11.6,5,100,06:08 PM,06:10 AM,06:43 AM,06:21 PM,6,18,18,18,8,4,50,0.0,1014,25,10,104,6,Ethiopia
2020-01-11,23,12,0.0,8.7,4,100,07:09 PM,07:09 AM,06:44 AM,06:22 PM,9,18,19,18,9,64,60,1.8,1014,23,10,124,7,Ethiopia
2020-01-12,21,13,0.0,8.7,4,83,08:10 PM,08:07 AM,06:44 AM,06:22 PM,10,15,16,15,12,61,73,1.5,1015,21,10,123,10,Ethiopia
2020-01-13,21,11,0.0,7.3,4,76,09:10 PM,09:02 AM,06:44 AM,06:23 PM,9,15,16,15,9,63,71,0.7,1015,21,10,124,7,Ethiopia
2020-01-14,20,12,0.0,10.2,4,69,10:07 PM,09:54 AM,06:44 AM,06:23 PM,9,15,15,15,10,39,71,0.5,1016,20,10,122,8,Ethiopia
2020-01-15,21,9,0.0,11.6,5,61,11:02 PM,10:42 AM,06:45 AM,06:24 PM,6,14,14,14,10,15,62,0.0,1016,21,10,115,8,Ethiopia
2020-01-16,23,9,0.0,11.6,5,54,11:56 PM,11:30 AM,06:45 AM,06:24 PM,6,16,16,16,9,6,56,0.0,1016,23,10,140,8,Ethiopia
2020-01-17,24,10,0.0,11.6,5,47,No moonrise,12:15 PM,06:45 AM,06:25 PM,5,17,17,17,8,3,49,0.0,1016,24,10,144,6,Ethiopia
2020-01-18,24,12,0.0,11.6,5,40,12:49 AM,01:02 PM,06:45 AM,06:25 PM,3,18,18,18,9,1,40,0.0,1015,24,10,187,7,Ethiopia
2020-01-19,23,12,0.0,11.6,5,32,01:43 AM,01:49 PM,06:46 AM,06:26 PM,2,18,17,18,9,0,36,0.0,1016,23,10,177,8,Ethiopia
2020-01-20,23,11,0.0,11.6,5,25,02:38 AM,02:38 PM,06:46 AM,06:26 PM,4,17,17,17,9,2,44,0.0,1016,23,10,125,8,Ethiopia
2020-01-21,24,10,0.0,11.6,5,18,03:33 AM,03:30 PM,06:46 AM,06:27 PM,6,17,17,17,9,5,54,0.0,1015,24,10,143,7,Ethiopia
