date_time,Finland_maxtempC,Finland_mintempC,Finland_totalSnow_cm,Finland_sunHour,Finland_uvIndex,Finland_moon_illumination,Finland_moonrise,Finland_moonset,Finland_sunrise,Finland_sunset,Finland_DewPointC,Finland_FeelsLikeC,Finland_HeatIndexC,Finland_WindChillC,Finland_WindGustKmph,Finland_cloudcover,Finland_humidity,Finland_precipMM,Finland_pressure,Finland_tempC,Finland_visibility,Finland_winddirDegree,Finland_windspeedKmph,Finland_location
2020-01-01,3,-4,0.0,3.6,1,37,12:12 PM,10:47 PM,09:25 AM,03:23 PM,-1,-4,1,-4,31,37,82,0.0,1010,3,10,273,19,Finland
2020-01-02,4,-1,0.0,3.7,1,44,12:20 PM,No moonset,09:24 AM,03:25 PM,1,-1,3,-1,35,42,85,0.0,1004,4,10,259,21,Finland
2020-01-03,5,-2,1.4,1.5,1,51,12:27 PM,12:03 AM,09:24 AM,03:26 PM,2,-1,4,-1,50,76,83,3.8,997,5,8,246,33,Finland
2020-01-04,2,0,0.1,5.8,1,59,12:34 PM,01:20 AM,09:23 AM,03:28 PM,-4,-4,1,-4,39,36,66,1.0,989,2,10,273,27,Finland
2020-01-05,-1,-6,0.0,5.8,1,66,12:43 PM,02:37 AM,09:22 AM,03:29 PM,-9,-7,-2,-7,30,26,58,0.0,1013,-1,10,294,20,Finland
2020-01-06,3,-6,0.0,5.8,1,73,12:54 PM,03:58 AM,09:21 AM,03:31 PM,0,-3,1,-3,33,49,90,4.7,1011,3,8,262,20,Finland
2020-01-07,5,-3,0.0,1.5,1,80,01:09 PM,05:21 AM,09:20 AM,03:33 PM,4,-0,4,-0,33,95,93,0.4,1012,5,8,233,20,Finland
2020-01-08,6,0,0.0,1.5,2,88,01:32 PM,06:44 AM,09:19 AM,03:35 PM,3,-0,5,-0,50,94,88,3.3,1006,6,8,230,32,Finland
2020-01-09,2,-2,0.0,5.8,2,95,02:07 PM,08:04 AM,09:18 AM,03:37 PM,-2,-3,2,-3,31,3,76,0.0,1006,2,10,273,19,Finland
2020-01-10,2,-2,0.0,5.8,2,100,03:02 PM,09:12 AM,09:17 AM,03:39 PM,-3,-0,1,-0,10,25,73,0.0,1013,2,10,189,6,Finland
2020-01-11,3,-6,0.0,5.8,2,100,04:17 PM,10:00 AM,09:16 AM,03:41 PM,-3,-3,1,-3,31,12,70,0.0,1017,3,10,262,19,Finland
2020-01-12,6,-2,0.0,1.6,2,83,05:48 PM,10:33 AM,09:15 AM,03:43 PM,2,-1,4,-1,54,74,83,11.5,1000,6,9,250,35,Finland
2020-01-13,2,2,0.0,5.8,1,76,07:24 PM,10:54 AM,09:13 AM,03:45 PM,-0,-2,2,-2,28,36,86,0.0,1005,2,10,259,17,Finland
2020-01-14,4,-4,0.0,3.7,1,69,09:01 PM,11:09 AM,09:12 AM,03:47 PM,1,-2,2,-2,39,67,89,2.4,1006,4,10,221,25,Finland
