date_time,Gabon_maxtempC,Gabon_mintempC,Gabon_totalSnow_cm,Gabon_sunHour,Gabon_uvIndex,Gabon_moon_illumination,Gabon_moonrise,Gabon_moonset,Gabon_sunrise,Gabon_sunset,Gabon_DewPointC,Gabon_FeelsLikeC,Gabon_HeatIndexC,Gabon_WindChillC,Gabon_WindGustKmph,Gabon_cloudcover,Gabon_humidity,Gabon_precipMM,Gabon_pressure,Gabon_tempC,Gabon_visibility,Gabon_winddirDegree,Gabon_windspeedKmph,Gabon_location
2020-01-01,29,23,0.0,10.2,6,37,11:17 AM,11:36 PM,06:22 AM,06:28 PM,23,30,30,27,16,55,76,5.1,1010,29,10,265,10,Gabon
2020-01-02,28,23,0.0,6.0,6,44,11:58 AM,No moonset,06:23 AM,06:29 PM,23,30,30,27,19,69,75,9.2,1010,28,9,277,12,Gabon
2020-01-03,29,24,0.0,10.2,6,51,12:38 PM,12:16 AM,06:23 AM,06:29 PM,23,30,30,27,18,44,73,0.5,1011,29,10,292,12,Gabon
2020-01-04,29,24,0.0,7.4,6,59,01:20 PM,12:58 AM,06:24 AM,06:30 PM,23,30,30,27,17,57,74,5.9,1011,29,10,228,12,Gabon
2020-01-05,29,26,0.0,6.0,6,66,02:02 PM,01:40 AM,06:24 AM,06:30 PM,23,30,30,27,18,71,77,14.7,1011,29,9,222,11,Gabon
2020-01-06,29,27,0.0,7.4,6,73,02:48 PM,02:24 AM,06:24 AM,06:31 PM,22,31,31,28,15,76,74,14.0,1010,29,8,250,10,Gabon
2020-01-07,28,23,0.0,6.0,6,80,03:37 PM,03:12 AM,06:25 AM,06:31 PM,23,30,30,26,16,76,79,8.6,1010,28,9,266,10,Gabon
2020-01-08,29,26,0.0,6.0,6,88,04:30 PM,04:03 AM,06:25 AM,06:32 PM,23,31,31,27,16,70,77,4.6,1010,29,9,250,10,Gabon
2020-01-09,28,22,0.0,6.0,6,95,05:27 PM,04:58 AM,06:26 AM,06:32 PM,23,29,29,26,21,73,77,8.9,1011,28,9,217,14,Gabon
2020-01-10,28,23,0.0,8.8,6,100,06:25 PM,05:56 AM,06:26 AM,06:32 PM,22,28,28,26,13,68,78,3.4,1012,28,9,126,9,Gabon
2020-01-11,28,25,0.0,7.4,6,100,07:26 PM,06:56 AM,06:27 AM,06:33 PM,22,29,29,27,11,62,77,0.9,1012,28,10,205,8,Gabon
2020-01-12,29,23,0.0,8.8,6,83,08:24 PM,07:55 AM,06:27 AM,06:33 PM,22,29,29,26,13,41,75,0.2,1011,29,10,279,8,Gabon
2020-01-13,29,23,0.0,11.6,7,76,09:21 PM,08:52 AM,06:27 AM,06:34 PM,23,29,29,26,18,17,78,0.0,1010,29,10,214,13,Gabon
2020-01-14,29,24,0.0,6.0,6,69,10:14 PM,09:47 AM,06:28 AM,06:34 PM,24,30,30,27,18,71,79,6.3,1009,29,9,248,13,Gabon
2020-01-15,28,23,0.0,6.0,6,61,11:06 PM,10:39 AM,06:28 AM,06:34 PM,24,30,30,26,18,76,81,9.4,1009,28,9,243,11,Gabon
2020-01-16,29,24,0.0,7.4,6,54,11:56 PM,11:30 AM,06:28 AM,06:35 PM,23,30,30,27,17,70,77,5.6,1011,29,9,243,11,Gabon
2020-01-17,29,26,0.0,6.0,6,47,No moonrise,12:19 PM,06:29 AM,06:35 PM,23,31,31,28,18,68,74,5.8,1012,29,9,258,12,Gabon
2020-01-18,29,24,0.0,6.0,6,40,12:46 AM,01:09 PM,06:29 AM,06:35 PM,23,30,30,27,15,66,78,4.3,1012,29,9,213,10,Gabon
2020-01-19,29,26,0.0,8.8,6,32,01:36 AM,02:00 PM,06:29 AM,06:36 PM,22,30,30,27,16,68,76,8.2,1011,29,9,204,10,Gabon
2020-01-20,29,25,0.0,7.4,6,25,02:28 AM,02:52 PM,06:30 AM,06:36 PM,23,30,30,27,18,63,78,10.4,1010,29,9,208,12,Gabon
2020-01-21,29,25,0.0,6.0,6,18,03:21 AM,03:46 PM,06:30 AM,06:36 PM,23,30,30,27,17,74,78,9.0,1011,29,9,213,11,Gabon
2020-01-22,29,26,0.0,6.0,6,11,04:15 AM,04:40 PM,06:30 AM,06:36 PM,23,31,31,27,18,75,78,7.7,1011,29,9,208,12,Gabon
2020-01-23,30,23,0.0,7.4,6,3,05:10 AM,05:34 PM,06:31 AM,06:37 PM,23,30,30,27,15,53,76,1.8,1010,30,10,203,9,Gabon
