date_time,Germany_maxtempC,Germany_mintempC,Germany_totalSnow_cm,Germany_sunHour,Germany_uvIndex,Germany_moon_illumination,Germany_moonrise,Germany_moonset,Germany_sunrise,Germany_sunset,Germany_DewPointC,Germany_FeelsLikeC,Germany_HeatIndexC,Germany_WindChillC,Germany_WindGustKmph,Germany_cloudcover,Germany_humidity,Germany_precipMM,Germany_pressure,Germany_tempC,Germany_visibility,Germany_winddirDegree,Germany_windspeedKmph,Germany_location
2020-01-01,4,-2,0.0,6.8,1,37,11:44 AM,10:47 PM,08:17 AM,04:02 PM,1,-1,2,-1,16,38,90,0.0,1033,4,8,255,11,Germany
2020-01-02,6,3,0.0,7.9,2,44,12:00 PM,11:54 PM,08:17 AM,04:03 PM,-4,2,4,2,13,0,54,0.0,1028,6,10,210,9,Germany
2020-01-03,8,2,0.0,3.0,2,51,12:15 PM,No moonset,08:17 AM,04:04 PM,3,1,5,1,33,72,86,3.9,1018,8,9,234,20,Germany
2020-01-04,5,2,0.8,3.0,1,59,12:31 PM,01:01 AM,08:17 AM,04:06 PM,1,-1,4,-1,36,79,81,6.0,1020,5,9,285,23,Germany
2020-01-05,3,-1,0.0,6.8,1,66,12:49 PM,02:10 AM,08:16 AM,04:07 PM,-0,-1,2,-1,18,48,84,0.0,1031,3,9,258,12,Germany
2020-01-06,5,1,0.0,3.0,1,73,01:10 PM,03:20 AM,08:16 AM,04:08 PM,2,1,4,1,15,82,89,0.2,1028,5,9,225,9,Germany
2020-01-07,4,-1,0.0,6.8,1,80,01:35 PM,04:32 AM,08:15 AM,04:09 PM,1,-0,3,-0,14,52,89,0.0,1024,4,8,231,9,Germany
2020-01-08,6,-0,0.0,3.0,1,88,02:08 PM,05:46 AM,08:15 AM,04:11 PM,3,0,4,0,26,68,88,0.7,1022,6,8,218,16,Germany
2020-01-09,9,3,0.0,3.0,2,95,02:52 PM,06:56 AM,08:14 AM,04:12 PM,7,5,7,5,21,100,96,3.1,1017,9,6,212,13,Germany
2020-01-10,9,6,0.0,3.0,2,100,03:49 PM,08:00 AM,08:14 AM,04:13 PM,6,6,8,6,29,93,84,6.1,1012,9,7,236,19,Germany
2020-01-11,5,4,0.0,6.8,1,100,05:00 PM,08:53 AM,08:13 AM,04:15 PM,2,2,5,2,21,59,82,0.4,1028,5,9,267,15,Germany
2020-01-12,6,2,0.0,6.8,1,83,06:19 PM,09:35 AM,08:13 AM,04:16 PM,-0,0,4,0,28,42,73,0.0,1022,6,10,220,18,Germany
2020-01-13,6,4,0.0,4.9,2,76,07:44 PM,10:08 AM,08:12 AM,04:18 PM,4,3,6,3,22,65,85,0.6,1019,6,9,220,14,Germany
2020-01-14,8,3,0.0,4.9,2,69,09:08 PM,10:34 AM,08:11 AM,04:19 PM,2,2,6,2,32,60,76,0.1,1012,8,10,201,19,Germany
2020-01-15,10,6,0.0,4.9,2,61,10:31 PM,10:56 AM,08:10 AM,04:21 PM,2,6,9,6,33,51,62,0.1,1014,10,10,208,20,Germany
2020-01-16,10,4,0.0,8.1,3,54,11:53 PM,11:16 AM,08:09 AM,04:23 PM,4,6,8,6,16,17,76,0.0,1026,10,10,213,11,Germany
2020-01-17,8,4,0.0,8.2,3,47,No moonrise,11:35 AM,08:08 AM,04:24 PM,3,3,6,3,22,8,82,0.0,1021,8,10,159,14,Germany
2020-01-18,6,0,0.0,4.9,2,40,01:14 AM,11:55 AM,08:07 AM,04:26 PM,2,1,5,1,28,87,78,0.2,1018,6,10,233,18,Germany
2020-01-19,5,4,0.0,5.0,1,32,02:34 AM,12:18 PM,08:06 AM,04:28 PM,1,1,4,1,18,79,81,0.4,1028,5,10,282,13,Germany
2020-01-20,4,1,0.0,8.2,2,25,03:53 AM,12:46 PM,08:05 AM,04:29 PM,0,1,3,1,10,16,85,0.0,1044,4,9,264,7,Germany
2020-01-21,5,1,0.0,8.3,2,18,05:08 AM,01:21 PM,08:04 AM,04:31 PM,-1,-1,3,-1,20,19,77,0.0,1040,5,10,249,13,Germany
2020-01-22,6,2,0.0,3.1,2,11,06:16 AM,02:04 PM,08:03 AM,04:33 PM,2,1,5,1,26,86,82,0.2,1032,6,10,287,17,Germany
2020-01-23,5,1,0.0,6.8,1,3,07:15 AM,02:57 PM,08:02 AM,04:35 PM,2,1,3,1,10,38,91,0.0,1033,5,8,247,6,Germany
2020-01-24,5,-1,0.0,8.4,2,0,08:02 AM,03:59 PM,08:01 AM,04:36 PM,0,1,2,1,11,27,82,0.0,1024,5,10,233,7,Germany
2020-01-25,4,1,0.0,3.3,1,0,08:38 AM,05:06 PM,07:59 AM,04:38 PM,0,0,3,0,13,75,84,0.0,1021,4,10,248,9,Germany
2020-01-26,4,1,0.0,8.7,2,4,09:07 AM,06:15 PM,07:58 AM,04:40 PM,-1,0,2,0,11,34,77,0.0,1018,4,10,191,7,Germany
2020-01-27,7,2,0.0,5.1,1,11,09:30 AM,07:24 PM,07:57 AM,04:42 PM,2,1,4,1,23,76,87,0.6,1011,7,9,203,14,Germany
2020-01-28,8,4,0.0,3.3,2,18,09:49 AM,08:32 PM,07:55 AM,04:44 PM,3,2,6,2,33,93,79,7.7,995,8,9,219,22,Germany
2020-01-29,5,-0,2.2,3.3,1,26,10:05 AM,09:40 PM,07:54 AM,04:46 PM,0,-2,3,-2,43,95,81,11.8,1000,5,7,267,30,Germany
2020-01-30,7,3,0.3,3.4,2,33,10:21 AM,10:46 PM,07:52 AM,04:48 PM,2,1,5,1,34,96,83,3.5,1005,7,8,244,22,Germany
2020-01-31,10,5,0.0,5.1,2,37,10:36 AM,11:54 PM,07:51 AM,04:49 PM,6,5,9,5,34,91,81,1.4,1003,10,9,258,21,Germany
2020-02-01,12,8,0.0,3.4,3,49,10:53 AM,No moonset,07:49 AM,04:51 PM,8,8,10,8,28,93,82,1.7,1003,12,9,238,17,Germany
2020-02-02,8,6,0.0,3.4,2,57,11:12 AM,01:02 AM,07:48 AM,04:53 PM,3,4,7,4,32,93,74,4.3,1005,8,9,268,21,Germany
2020-02-03,8,7,0.0,3.4,2,64,11:34 AM,02:12 AM,07:46 AM,04:55 PM,4,4,8,4,32,87,80,2.4,1005,8,10,272,21,Germany
2020-02-04,6,3,0.8,3.4,1,72,12:02 PM,03:24 AM,07:44 AM,04:57 PM,1,1,5,1,29,87,75,3.8,1006,6,9,289,20,Germany
2020-02-05,5,2,0.7,5.2,1,79,12:40 PM,04:34 AM,07:43 AM,04:59 PM,-2,-2,3,-2,30,64,70,2.5,1026,5,6,283,21,Germany
2020-02-06,5,2,0.0,3.6,1,87,01:30 PM,05:41 AM,07:41 AM,05:01 PM,1,-1,3,-1,25,80,84,0.0,1027,5,10,275,17,Germany
2020-02-07,7,5,0.0,3.6,2,95,02:34 PM,06:39 AM,07:39 AM,05:03 PM,3,4,6,4,13,85,85,0.0,1027,7,10,239,9,Germany
2020-02-08,8,2,0.0,8.7,3,100,03:50 PM,07:27 AM,07:37 AM,05:05 PM,2,2,5,2,17,13,81,0.0,1023,8,10,173,12,Germany
2020-02-09,10,4,0.0,8.7,3,100,05:15 PM,08:04 AM,07:36 AM,05:07 PM,3,4,7,4,34,42,73,0.5,1015,10,10,207,22,Germany
2020-02-10,10,4,0.0,3.7,2,83,06:42 PM,08:34 AM,07:34 AM,05:09 PM,2,4,8,4,50,84,66,3.8,992,10,9,245,35,Germany
2020-02-11,5,3,0.0,3.7,1,75,08:10 PM,08:58 AM,07:32 AM,05:11 PM,-2,-2,4,-2,48,89,67,4.8,997,5,7,262,35,Germany
2020-02-12,5,2,0.0,3.7,1,68,09:36 PM,09:20 AM,07:30 AM,05:12 PM,-4,-3,3,-3,46,88,60,0.2,1007,5,9,260,31,Germany
2020-02-13,5,1,0.0,7.0,1,60,11:00 PM,09:40 AM,07:28 AM,05:14 PM,-1,-1,3,-1,26,47,73,1.5,1010,5,10,206,18,Germany
2020-02-14,6,3,0.0,3.7,1,53,No moonrise,10:00 AM,07:26 AM,05:16 PM,3,3,5,3,11,82,88,0.3,1013,6,10,270,7,Germany
2020-02-15,9,3,0.0,7.0,2,45,12:22 AM,10:22 AM,07:24 AM,05:18 PM,3,3,6,3,22,48,81,0.1,1021,9,10,208,14,Germany
2020-02-16,12,7,0.0,5.4,3,38,01:43 AM,10:49 AM,07:22 AM,05:20 PM,3,7,10,7,43,50,63,0.1,1012,12,10,206,24,Germany
2020-02-17,9,7,0.0,3.8,2,30,03:00 AM,11:21 AM,07:20 AM,05:22 PM,2,6,9,6,31,87,63,1.7,1013,9,9,251,21,Germany
2020-02-18,7,5,0.0,3.8,2,22,04:10 AM,12:02 PM,07:18 AM,05:24 PM,-0,2,6,2,36,83,64,0.4,1017,7,10,247,25,Germany
2020-02-19,6,4,0.0,3.8,2,15,05:11 AM,12:51 PM,07:16 AM,05:26 PM,0,1,5,1,36,91,71,1.2,1013,6,9,252,24,Germany
2020-02-20,6,1,0.0,3.8,1,7,06:00 AM,01:50 PM,07:14 AM,05:28 PM,2,0,4,0,25,79,84,1.8,1016,6,7,209,16,Germany
2020-02-21,6,2,0.0,3.8,2,0,06:39 AM,02:54 PM,07:12 AM,05:30 PM,0,0,5,0,40,94,71,1.3,1018,6,10,259,28,Germany
2020-02-22,10,5,0.0,7.1,2,0,07:10 AM,04:03 PM,07:10 AM,05:32 PM,1,3,7,3,40,77,67,0.5,1016,10,10,241,26,Germany
2020-02-23,6,1,0.0,3.8,2,0,07:35 AM,05:12 PM,07:07 AM,05:33 PM,2,1,6,1,36,95,79,18.7,1010,6,8,264,25,Germany
2020-02-24,6,2,0.0,3.9,2,0,07:54 AM,06:20 PM,07:05 AM,05:35 PM,1,0,4,0,33,93,76,1.1,1014,6,10,250,23,Germany
2020-02-25,8,5,0.0,3.9,2,8,08:11 AM,07:28 PM,07:03 AM,05:37 PM,2,3,7,3,39,67,69,1.0,997,8,10,252,27,Germany
2020-02-26,3,-5,9.1,3.9,1,15,08:27 AM,08:35 PM,07:01 AM,05:39 PM,0,-2,2,-2,24,63,85,11.2,995,3,6,242,16,Germany
2020-02-27,4,-2,0.2,5.6,1,23,08:42 AM,09:42 PM,06:59 AM,05:41 PM,-1,-2,2,-2,21,81,82,0.5,1003,4,9,243,15,Germany
2020-02-28,5,3,1.4,4.1,1,30,08:58 AM,10:50 PM,06:56 AM,05:43 PM,-0,-1,4,-1,39,89,76,4.6,996,5,9,250,28,Germany
2020-02-29,6,-1,0.0,4.1,1,38,09:15 AM,11:58 PM,06:54 AM,05:45 PM,2,-0,4,-0,31,95,83,3.0,1002,6,9,184,20,Germany
2020-03-01,9,6,0.0,4.1,2,44,09:35 AM,No moonset,06:52 AM,05:46 PM,1,3,7,3,30,55,65,0.5,997,9,10,221,21,Germany
2020-03-02,9,5,0.0,7.2,2,51,10:00 AM,01:08 AM,06:50 AM,05:48 PM,1,3,7,3,27,70,70,0.4,993,9,9,201,19,Germany
2020-03-03,8,5,0.0,4.1,2,58,10:32 AM,02:17 AM,06:47 AM,05:50 PM,1,4,6,4,15,72,72,2.2,1000,8,9,228,11,Germany
2020-03-04,6,1,0.0,4.2,1,65,11:15 AM,03:24 AM,06:45 AM,05:52 PM,1,0,4,0,21,70,82,2.1,1009,6,9,247,14,Germany
2020-03-05,9,3,0.0,7.2,2,73,12:10 PM,04:25 AM,06:43 AM,05:54 PM,1,3,6,3,21,63,72,0.2,1004,9,9,175,15,Germany
2020-03-06,9,5,0.0,4.2,2,80,01:20 PM,05:17 AM,06:41 AM,05:55 PM,4,4,7,4,22,100,82,4.6,992,9,8,150,16,Germany
2020-03-07,6,4,0.0,4.2,2,87,02:40 PM,05:58 AM,06:38 AM,05:57 PM,3,2,5,2,28,93,84,3.9,1006,6,10,280,20,Germany
2020-03-08,10,3,0.0,5.7,2,95,04:07 PM,06:31 AM,06:36 AM,05:59 PM,2,3,6,3,20,53,75,0.0,1015,10,10,211,14,Germany
2020-03-09,10,6,0.0,7.3,2,100,05:36 PM,06:57 AM,06:34 AM,06:01 PM,4,5,7,5,18,79,78,1.4,1011,10,9,235,13,Germany
2020-03-10,7,0,0.0,5.9,2,100,07:05 PM,07:20 AM,06:31 AM,06:02 PM,4,2,5,2,33,77,82,3.1,1010,7,9,221,22,Germany
2020-03-11,12,8,0.0,5.9,3,84,08:33 PM,07:41 AM,06:29 AM,06:04 PM,7,7,10,7,30,88,82,10.4,1008,12,8,261,19,Germany
2020-03-12,11,7,0.0,8.7,3,76,10:00 PM,08:01 AM,06:27 AM,06:06 PM,4,7,10,7,37,69,67,10.0,1008,11,9,252,24,Germany
2020-03-13,8,4,0.0,7.3,2,69,11:26 PM,08:23 AM,06:24 AM,06:08 PM,0,2,6,2,40,71,66,0.8,1010,8,9,258,27,Germany
2020-03-14,8,1,0.0,11.6,3,62,No moonrise,08:49 AM,06:22 AM,06:10 PM,-6,2,4,2,16,12,52,0.0,1024,8,10,189,11,Germany
2020-03-15,10,2,0.0,11.6,3,55,12:47 AM,09:20 AM,06:20 AM,06:11 PM,-6,2,6,2,29,21,44,0.0,1021,10,10,163,19,Germany
