date_time,Ghana_maxtempC,Ghana_mintempC,Ghana_totalSnow_cm,Ghana_sunHour,Ghana_uvIndex,Ghana_moon_illumination,Ghana_moonrise,Ghana_moonset,Ghana_sunrise,Ghana_sunset,Ghana_DewPointC,Ghana_FeelsLikeC,Ghana_HeatIndexC,Ghana_WindChillC,Ghana_WindGustKmph,Ghana_cloudcover,Ghana_humidity,Ghana_precipMM,Ghana_pressure,Ghana_tempC,Ghana_visibility,Ghana_winddirDegree,Ghana_windspeedKmph,Ghana_location
2020-01-01,32,26,0.0,8.7,7,37,10:59 AM,11:13 PM,06:10 AM,05:59 PM,21,31,31,29,13,6,64,0.0,1011,32,10,215,10,Ghana
2020-01-02,32,25,0.0,8.7,7,44,11:39 AM,11:56 PM,06:10 AM,05:59 PM,17,29,29,28,15,7,52,0.0,1011,32,10,207,11,Ghana
2020-01-03,31,24,0.0,11.6,7,51,12:17 PM,No moonset,06:11 AM,06:00 PM,13,28,28,28,14,1,39,0.0,1012,31,10,173,11,Ghana
2020-01-04,32,26,0.0,11.6,7,59,12:57 PM,12:39 AM,06:11 AM,06:00 PM,11,28,28,29,13,1,33,0.0,1012,32,10,161,10,Ghana
2020-01-05,34,25,0.0,11.6,7,66,01:38 PM,01:23 AM,06:11 AM,06:01 PM,16,30,30,29,12,1,46,0.0,1011,34,10,225,10,Ghana
2020-01-06,31,25,0.0,11.6,7,73,02:22 PM,02:09 AM,06:12 AM,06:01 PM,19,30,30,28,17,9,59,0.0,1010,31,10,224,13,Ghana
2020-01-07,31,25,0.0,11.6,7,80,03:10 PM,02:58 AM,06:12 AM,06:01 PM,20,30,30,28,19,10,61,0.0,1009,31,10,230,15,Ghana
2020-01-08,30,25,0.0,11.6,7,88,04:01 PM,03:51 AM,06:13 AM,06:02 PM,21,30,30,28,21,15,67,0.0,1011,30,10,234,16,Ghana
2020-01-09,30,25,0.0,11.6,7,95,04:57 PM,04:47 AM,06:13 AM,06:02 PM,22,30,30,27,20,12,72,0.0,1010,30,10,227,15,Ghana
2020-01-10,30,26,0.0,10.2,6,100,05:57 PM,05:46 AM,06:13 AM,06:03 PM,22,30,30,27,23,25,74,0.1,1012,30,10,212,17,Ghana
2020-01-11,30,26,0.0,11.6,6,100,06:57 PM,06:45 AM,06:14 AM,06:03 PM,23,31,31,28,22,28,77,0.1,1012,30,10,218,17,Ghana
2020-01-12,31,25,0.0,11.6,7,83,07:57 PM,07:43 AM,06:14 AM,06:04 PM,22,31,31,28,19,7,72,0.0,1011,31,10,232,14,Ghana
2020-01-13,30,26,0.0,10.2,6,76,08:55 PM,08:39 AM,06:14 AM,06:04 PM,23,31,31,28,18,25,75,0.4,1010,30,10,216,14,Ghana
2020-01-14,30,27,0.0,8.8,6,69,09:51 PM,09:32 AM,06:15 AM,06:05 PM,23,32,32,28,15,42,75,1.2,1009,30,10,206,11,Ghana
2020-01-15,32,26,0.0,7.4,6,61,10:44 PM,10:21 AM,06:15 AM,06:05 PM,23,33,33,29,18,56,75,0.4,1009,32,10,228,14,Ghana
2020-01-16,32,26,0.0,11.6,7,54,11:37 PM,11:10 AM,06:15 AM,06:06 PM,23,32,32,28,23,19,72,0.0,1011,32,10,236,17,Ghana
2020-01-17,31,26,0.0,10.2,6,47,No moonrise,11:57 AM,06:15 AM,06:06 PM,23,32,32,28,19,24,74,0.0,1011,31,10,226,15,Ghana
2020-01-18,32,26,0.0,11.6,6,40,12:29 AM,12:45 PM,06:16 AM,06:06 PM,23,32,32,29,19,18,72,0.0,1012,32,10,228,15,Ghana
2020-01-19,31,26,0.0,11.6,7,32,01:21 AM,01:34 PM,06:16 AM,06:07 PM,23,32,32,28,19,15,73,0.0,1011,31,10,222,15,Ghana
2020-01-20,30,27,0.0,11.6,6,25,02:15 AM,02:24 PM,06:16 AM,06:07 PM,23,32,32,28,21,29,75,0.0,1010,30,10,210,16,Ghana
2020-01-21,30,26,0.0,11.6,7,18,03:09 AM,03:17 PM,06:16 AM,06:07 PM,23,32,32,28,20,23,73,0.0,1011,30,10,215,16,Ghana
2020-01-22,31,27,0.0,11.6,7,11,04:04 AM,04:11 PM,06:16 AM,06:08 PM,22,32,32,29,18,5,69,0.0,1011,31,10,209,14,Ghana
2020-01-23,31,26,0.0,11.6,7,3,04:59 AM,05:05 PM,06:17 AM,06:08 PM,23,32,32,28,19,16,73,0.0,1010,31,10,220,15,Ghana
2020-01-24,32,26,0.0,11.6,7,0,05:52 AM,05:58 PM,06:17 AM,06:09 PM,23,32,32,28,17,12,72,0.0,1011,32,10,202,13,Ghana
2020-01-25,31,25,0.0,11.6,6,0,06:42 AM,06:49 PM,06:17 AM,06:09 PM,22,31,31,28,16,17,70,0.0,1012,31,10,211,12,Ghana
2020-01-26,32,26,0.0,11.6,7,4,07:30 AM,07:38 PM,06:17 AM,06:09 PM,19,31,31,29,13,0,58,0.0,1012,32,10,213,11,Ghana
2020-01-27,32,25,0.0,11.6,7,11,08:13 AM,08:24 PM,06:17 AM,06:10 PM,21,31,31,28,17,0,64,0.0,1011,32,10,218,14,Ghana
2020-01-28,31,26,0.0,11.6,7,18,08:55 AM,09:08 PM,06:17 AM,06:10 PM,22,31,31,28,20,15,70,0.0,1012,31,10,216,16,Ghana
2020-01-29,33,25,0.0,11.6,7,26,09:35 AM,09:51 PM,06:17 AM,06:10 PM,23,32,32,28,17,4,72,0.0,1011,33,10,229,13,Ghana
2020-01-30,31,25,0.0,11.6,7,33,10:14 AM,10:33 PM,06:17 AM,06:10 PM,22,31,31,28,20,3,70,0.0,1012,31,10,230,16,Ghana
2020-01-31,31,26,0.0,10.2,7,37,10:53 AM,11:17 PM,06:17 AM,06:11 PM,23,32,32,28,21,27,75,0.0,1012,31,10,213,16,Ghana
2020-02-01,31,26,0.0,10.2,6,49,11:33 AM,No moonset,06:18 AM,06:11 PM,22,31,31,28,20,29,72,0.0,1012,31,10,222,15,Ghana
