date_time,Greece_maxtempC,Greece_mintempC,Greece_totalSnow_cm,Greece_sunHour,Greece_uvIndex,Greece_moon_illumination,Greece_moonrise,Greece_moonset,Greece_sunrise,Greece_sunset,Greece_DewPointC,Greece_FeelsLikeC,Greece_HeatIndexC,Greece_WindChillC,Greece_WindGustKmph,Greece_cloudcover,Greece_humidity,Greece_precipMM,Greece_pressure,Greece_tempC,Greece_visibility,Greece_winddirDegree,Greece_windspeedKmph,Greece_location
2020-01-01,-1,-2,0.0,3.4,1,37,11:42 AM,11:16 PM,07:43 AM,04:46 PM,-5,-8,-1,-8,36,71,74,0.1,1006,-1,6,261,28,Greece
2020-01-02,5,-5,0.0,8.7,2,44,12:05 PM,No moonset,07:43 AM,04:47 PM,-2,-2,2,-2,30,43,75,0.0,1008,5,10,227,18,Greece
2020-01-03,6,4,0.0,3.4,2,51,12:27 PM,12:15 AM,07:43 AM,04:47 PM,4,3,5,3,18,96,93,9.8,1006,6,8,232,10,Greece
2020-01-04,2,0,5.7,3.4,1,59,12:51 PM,01:15 AM,07:43 AM,04:48 PM,0,-2,2,-2,19,99,89,7.4,1007,2,6,206,14,Greece
2020-01-05,1,-2,2.5,3.4,1,66,01:16 PM,02:16 AM,07:43 AM,04:49 PM,-3,-6,-0,-6,30,95,81,3.3,1011,1,6,270,21,Greece
2020-01-06,1,-3,1.7,5.2,1,73,01:45 PM,03:20 AM,07:43 AM,04:50 PM,-2,-6,0,-6,41,63,82,4.7,1010,1,2,253,28,Greece
2020-01-07,2,-4,0.0,5.2,1,80,02:19 PM,04:25 AM,07:43 AM,04:51 PM,-4,-4,-0,-4,24,66,77,0.0,1014,2,9,227,15,Greece
2020-01-08,-2,-8,0.2,3.4,1,88,03:01 PM,05:31 AM,07:43 AM,04:52 PM,-8,-12,-4,-12,43,87,72,4.3,1016,-2,3,277,32,Greece
2020-01-09,-4,-10,0.1,5.2,1,95,03:52 PM,06:36 AM,07:43 AM,04:54 PM,-10,-11,-6,-11,23,79,73,0.2,1034,-4,10,221,16,Greece
2020-01-10,7,-6,0.0,3.4,2,100,04:52 PM,07:37 AM,07:42 AM,04:55 PM,2,0,4,0,40,73,80,2.9,1024,7,8,208,22,Greece
2020-01-11,12,0,0.0,3.4,2,100,06:01 PM,08:30 AM,07:42 AM,04:56 PM,5,3,7,3,40,86,88,15.6,1016,12,5,175,24,Greece
2020-01-12,3,-5,0.1,3.4,1,83,07:15 PM,09:17 AM,07:42 AM,04:57 PM,-3,-5,0,-5,31,95,84,22.1,1015,3,6,187,23,Greece
2020-01-13,3,-9,0.0,3.4,1,76,08:30 PM,09:55 AM,07:41 AM,04:58 PM,-4,-3,-1,-3,10,73,76,0.0,1029,3,10,85,7,Greece
2020-01-14,6,-3,0.3,5.2,1,69,09:46 PM,10:28 AM,07:41 AM,04:59 PM,1,-1,2,-1,18,76,90,0.6,1023,6,7,128,11,Greece
2020-01-15,4,1,0.0,8.7,2,61,10:59 PM,10:58 AM,07:40 AM,05:00 PM,-0,-0,3,-0,19,42,79,0.4,1018,4,10,216,13,Greece
2020-01-16,1,-7,0.0,3.6,1,54,No moonrise,11:27 AM,07:40 AM,05:02 PM,-4,-8,-1,-8,42,100,86,8.2,1019,1,2,281,30,Greece
2020-01-17,-9,-14,0.6,3.6,1,47,12:12 AM,11:54 AM,07:39 AM,05:03 PM,-13,-17,-10,-17,22,72,74,0.8,1041,-9,7,282,17,Greece
2020-01-18,-1,-14,0.8,3.6,1,40,01:24 AM,12:23 PM,07:39 AM,05:04 PM,-7,-11,-6,-11,30,81,79,7.6,1021,-1,9,159,20,Greece
2020-01-19,-1,-8,0.0,3.6,1,32,02:35 AM,12:56 PM,07:38 AM,05:05 PM,-5,-11,-3,-11,48,100,85,4.7,1006,-1,1,258,36,Greece
2020-01-20,-7,-10,1.3,8.7,1,25,03:45 AM,01:32 PM,07:38 AM,05:07 PM,-11,-15,-8,-15,27,65,82,1.6,1027,-7,7,305,18,Greece
2020-01-21,-4,-11,0.8,3.6,1,18,04:52 AM,02:15 PM,07:37 AM,05:08 PM,-7,-11,-6,-11,26,86,88,1.0,1031,-4,7,259,16,Greece
2020-01-22,-1,-5,0.0,7.0,1,11,05:54 AM,03:04 PM,07:36 AM,05:09 PM,-5,-8,-3,-8,24,32,87,0.0,1029,-1,10,236,14,Greece
2020-01-23,1,-5,0.0,7.0,1,3,06:49 AM,03:59 PM,07:35 AM,05:11 PM,-5,-5,-2,-5,15,51,80,0.0,1027,1,9,165,8,Greece
2020-01-24,2,-1,0.0,3.7,1,0,07:37 AM,04:58 PM,07:35 AM,05:12 PM,-2,-3,0,-3,16,82,85,0.0,1023,2,10,110,9,Greece
2020-01-25,3,-2,1.8,3.7,1,0,08:17 AM,06:00 PM,07:34 AM,05:13 PM,1,-2,2,-2,31,100,93,13.5,1014,3,8,144,19,Greece
2020-01-26,2,-2,0.9,3.7,1,4,08:50 AM,07:02 PM,07:33 AM,05:15 PM,1,-3,1,-3,33,98,94,1.4,1006,2,5,245,22,Greece
2020-01-27,1,-0,1.4,3.7,1,11,09:19 AM,08:04 PM,07:32 AM,05:16 PM,-1,-5,1,-5,31,100,90,1.6,1007,1,5,281,22,Greece
2020-01-28,-2,-3,1.4,3.7,1,18,09:45 AM,09:04 PM,07:31 AM,05:17 PM,-4,-8,-2,-8,28,89,83,1.7,1013,-2,5,305,21,Greece
2020-01-29,-4,-10,0.2,8.7,1,26,10:08 AM,10:04 PM,07:30 AM,05:19 PM,-8,-9,-5,-9,15,44,75,0.3,1021,-4,8,272,12,Greece
2020-01-30,-3,-10,0.0,5.4,1,33,10:30 AM,11:03 PM,07:29 AM,05:20 PM,-8,-7,-5,-7,9,48,78,0.0,1026,-3,10,102,6,Greece
2020-01-31,0,-4,0.9,3.7,1,37,10:53 AM,No moonset,07:28 AM,05:21 PM,-4,-4,-2,-4,7,85,86,1.0,1024,0,9,184,5,Greece
2020-02-01,0,-2,0.7,3.7,1,49,11:17 AM,12:03 AM,07:27 AM,05:23 PM,-3,-3,-1,-3,7,90,88,0.8,1015,0,8,218,5,Greece
2020-02-02,1,-4,2.4,3.7,1,57,11:43 AM,01:04 AM,07:26 AM,05:24 PM,-1,-4,-0,-4,22,99,92,4.5,1001,1,4,226,15,Greece
2020-02-03,4,-5,2.3,5.4,1,64,12:14 PM,02:07 AM,07:25 AM,05:25 PM,0,-3,2,-3,32,74,84,4.8,1007,4,9,253,22,Greece
2020-02-04,2,-0,0.6,3.8,1,72,12:51 PM,03:12 AM,07:24 AM,05:27 PM,-0,-2,1,-2,17,92,92,1.2,1009,2,6,132,11,Greece
2020-02-05,-4,-7,0.0,7.1,1,79,01:37 PM,04:16 AM,07:23 AM,05:28 PM,-10,-9,-4,-9,21,63,64,0.0,1019,-4,10,179,16,Greece
2020-02-06,1,-10,2.0,3.8,1,87,02:31 PM,05:19 AM,07:21 AM,05:29 PM,-3,-7,-2,-7,24,96,94,18.6,1001,1,7,63,16,Greece
2020-02-07,-3,-8,6.7,3.8,1,95,03:37 PM,06:16 AM,07:20 AM,05:31 PM,-6,-12,-5,-12,35,100,93,19.9,996,-3,2,149,26,Greece
2020-02-08,-11,-14,0.3,3.8,1,100,04:49 PM,07:06 AM,07:19 AM,05:32 PM,-14,-18,-12,-18,22,72,84,0.4,1021,-11,9,266,14,Greece
