date_time,Guatemala_maxtempC,Guatemala_mintempC,Guatemala_totalSnow_cm,Guatemala_sunHour,Guatemala_uvIndex,Guatemala_moon_illumination,Guatemala_moonrise,Guatemala_moonset,Guatemala_sunrise,Guatemala_sunset,Guatemala_DewPointC,Guatemala_FeelsLikeC,Guatemala_HeatIndexC,Guatemala_WindChillC,Guatemala_WindGustKmph,Guatemala_cloudcover,Guatemala_humidity,Guatemala_precipMM,Guatemala_pressure,Guatemala_tempC,Guatemala_visibility,Guatemala_winddirDegree,Guatemala_windspeedKmph,Guatemala_location
2020-01-01,26,14,0.0,8.7,5,37,11:15 AM,11:22 PM,06:27 AM,05:44 PM,14,19,20,19,8,53,80,0.8,1014,26,7,119,5,Guatemala
2020-01-02,24,14,0.0,7.2,4,44,11:51 AM,No moonset,06:27 AM,05:45 PM,13,18,19,18,8,36,77,1.3,1013,24,9,229,6,Guatemala
2020-01-03,24,14,0.0,8.7,6,51,12:26 PM,12:08 AM,06:28 AM,05:45 PM,15,19,19,19,7,38,82,0.0,1015,24,7,220,5,Guatemala
2020-01-04,22,15,0.0,5.7,4,59,01:03 PM,12:55 AM,06:28 AM,05:46 PM,14,18,20,18,17,59,81,1.0,1019,22,7,138,12,Guatemala
2020-01-05,20,11,0.0,8.7,5,66,01:42 PM,01:43 AM,06:28 AM,05:47 PM,10,13,15,13,21,25,77,0.0,1021,20,10,99,15,Guatemala
2020-01-06,23,11,0.0,8.7,5,73,02:23 PM,02:32 AM,06:29 AM,05:47 PM,11,16,18,16,14,31,77,0.0,1018,23,10,103,10,Guatemala
2020-01-07,21,14,0.0,8.7,5,80,03:10 PM,03:25 AM,06:29 AM,05:48 PM,12,16,17,16,16,39,80,0.0,1017,21,9,53,11,Guatemala
2020-01-08,21,13,0.0,7.2,5,88,04:01 PM,04:21 AM,06:29 AM,05:48 PM,12,16,17,16,19,38,78,0.1,1018,21,10,55,14,Guatemala
2020-01-09,24,12,0.0,8.7,5,95,04:57 PM,05:19 AM,06:29 AM,05:49 PM,12,17,19,17,15,31,77,0.0,1016,24,10,147,10,Guatemala
2020-01-10,27,14,0.0,8.7,6,100,05:57 PM,06:18 AM,06:30 AM,05:49 PM,13,20,20,20,11,22,73,0.0,1014,27,10,148,8,Guatemala
2020-01-11,26,14,0.0,8.7,5,100,06:59 PM,07:17 AM,06:30 AM,05:50 PM,14,20,20,20,10,24,77,0.0,1013,26,7,147,7,Guatemala
2020-01-12,25,15,0.0,8.7,6,83,08:01 PM,08:12 AM,06:30 AM,05:51 PM,13,19,19,19,13,33,75,0.4,1014,25,9,59,9,Guatemala
2020-01-13,25,13,0.0,8.7,6,76,09:02 PM,09:04 AM,06:30 AM,05:51 PM,12,18,19,18,14,22,73,0.0,1015,25,9,189,9,Guatemala
2020-01-14,24,14,0.0,8.7,6,69,10:01 PM,09:53 AM,06:30 AM,05:52 PM,13,18,19,18,15,31,76,0.0,1015,24,9,98,11,Guatemala
2020-01-15,24,13,0.0,8.7,5,61,10:58 PM,10:38 AM,06:31 AM,05:52 PM,12,18,20,18,15,26,73,0.0,1014,24,10,189,10,Guatemala
2020-01-16,24,12,0.0,8.7,5,54,11:54 PM,11:22 AM,06:31 AM,05:53 PM,11,17,18,17,16,18,73,0.0,1015,24,10,98,11,Guatemala
