date_time,Hungary_maxtempC,Hungary_mintempC,Hungary_totalSnow_cm,Hungary_sunHour,Hungary_uvIndex,Hungary_moon_illumination,Hungary_moonrise,Hungary_moonset,Hungary_sunrise,Hungary_sunset,Hungary_DewPointC,Hungary_FeelsLikeC,Hungary_HeatIndexC,Hungary_WindChillC,Hungary_WindGustKmph,Hungary_cloudcover,Hungary_humidity,Hungary_precipMM,Hungary_pressure,Hungary_tempC,Hungary_visibility,Hungary_winddirDegree,Hungary_windspeedKmph,Hungary_location
2020-01-01,4,0,0.0,8.7,2,37,11:14 AM,10:28 PM,07:32 AM,04:03 PM,-1,0,2,0,13,5,79,0.0,1033,4,10,311,8,Hungary
2020-01-02,6,1,0.0,8.7,2,44,11:34 AM,11:32 PM,07:32 AM,04:04 PM,-0,3,3,3,5,4,77,0.0,1034,6,10,237,4,Hungary
2020-01-03,5,0,0.0,8.7,2,51,11:54 AM,No moonset,07:32 AM,04:04 PM,-1,1,2,1,6,13,78,0.0,1029,5,10,180,5,Hungary
2020-01-04,6,1,0.0,6.9,1,59,12:13 PM,12:34 AM,07:32 AM,04:06 PM,-1,-0,3,-0,24,66,76,0.2,1024,6,9,288,15,Hungary
2020-01-05,3,1,0.2,8.7,2,66,12:35 PM,01:39 AM,07:32 AM,04:07 PM,-5,-2,2,-2,28,17,62,0.3,1029,3,10,331,19,Hungary
2020-01-06,2,-1,0.0,8.7,2,73,01:00 PM,02:44 AM,07:31 AM,04:08 PM,-6,-0,1,-0,6,13,59,0.0,1033,2,10,279,5,Hungary
2020-01-07,3,1,0.0,8.7,2,80,01:30 PM,03:52 AM,07:31 AM,04:09 PM,-6,1,2,1,6,5,56,0.0,1030,3,10,217,5,Hungary
2020-01-08,4,1,0.0,8.7,2,88,02:07 PM,05:01 AM,07:31 AM,04:10 PM,-5,2,3,2,5,1,57,0.0,1032,4,10,119,4,Hungary
2020-01-09,1,-0,0.0,5.1,1,95,02:53 PM,06:08 AM,07:30 AM,04:11 PM,-4,-1,0,-1,9,58,74,0.0,1029,1,10,162,6,Hungary
2020-01-10,2,-2,0.0,6.9,1,100,03:51 PM,07:11 AM,07:30 AM,04:12 PM,-3,-2,1,-2,10,39,74,0.0,1024,2,10,197,7,Hungary
2020-01-11,6,1,0.0,8.7,2,100,04:59 PM,08:06 AM,07:30 AM,04:13 PM,-0,1,3,1,16,25,81,0.0,1028,6,10,250,9,Hungary
2020-01-12,5,2,0.0,8.7,2,83,06:14 PM,08:52 AM,07:29 AM,04:15 PM,0,3,3,3,5,13,82,0.0,1031,5,10,242,4,Hungary
2020-01-13,3,0,0.0,8.7,1,76,07:33 PM,09:29 AM,07:29 AM,04:16 PM,-0,0,1,0,7,32,88,0.0,1028,3,9,163,5,Hungary
2020-01-14,4,-0,0.0,6.9,1,69,08:52 PM,10:00 AM,07:28 AM,04:17 PM,-1,-0,2,-0,10,42,86,0.0,1025,4,10,118,7,Hungary
2020-01-15,5,1,0.0,8.7,2,61,10:10 PM,10:27 AM,07:28 AM,04:19 PM,0,1,3,1,10,3,83,0.0,1027,5,10,91,8,Hungary
2020-01-16,4,1,0.0,8.7,2,54,11:27 PM,10:52 AM,07:27 AM,04:20 PM,-0,1,2,1,7,22,83,0.0,1030,4,10,123,5,Hungary
2020-01-17,3,1,0.0,8.7,2,47,No moonrise,11:16 AM,07:26 AM,04:21 PM,-2,-0,2,-0,10,18,79,0.0,1028,3,10,85,7,Hungary
2020-01-18,3,-0,0.0,6.9,1,40,12:42 AM,11:42 AM,07:25 AM,04:23 PM,-2,-0,1,-0,8,45,79,0.0,1025,3,10,197,6,Hungary
2020-01-19,2,1,0.9,3.4,1,32,01:58 AM,12:09 PM,07:25 AM,04:24 PM,0,1,2,1,3,100,93,1.2,1027,2,6,182,2,Hungary
2020-01-20,7,1,0.0,8.7,1,25,03:11 AM,12:41 PM,07:24 AM,04:26 PM,1,2,3,2,9,43,83,0.0,1042,7,10,328,6,Hungary
2020-01-21,5,1,0.0,8.7,2,18,04:22 AM,01:20 PM,07:23 AM,04:27 PM,-0,1,3,1,7,6,82,0.0,1043,5,10,265,5,Hungary
2020-01-22,3,-2,0.0,8.7,2,11,05:28 AM,02:06 PM,07:22 AM,04:29 PM,-2,-1,2,-1,14,14,77,0.0,1033,3,10,264,10,Hungary
2020-01-23,7,-0,0.0,8.7,2,3,06:25 AM,02:59 PM,07:21 AM,04:30 PM,-0,2,3,2,7,6,78,0.0,1034,7,10,226,5,Hungary
