date_time,Indonesia_maxtempC,Indonesia_mintempC,Indonesia_totalSnow_cm,Indonesia_sunHour,Indonesia_uvIndex,Indonesia_moon_illumination,Indonesia_moonrise,Indonesia_moonset,Indonesia_sunrise,Indonesia_sunset,Indonesia_DewPointC,Indonesia_FeelsLikeC,Indonesia_HeatIndexC,Indonesia_WindChillC,Indonesia_WindGustKmph,Indonesia_cloudcover,Indonesia_humidity,Indonesia_precipMM,Indonesia_pressure,Indonesia_tempC,Indonesia_visibility,Indonesia_winddirDegree,Indonesia_windspeedKmph,Indonesia_location
2020-01-01,28,26,0.0,7.9,6,37,10:32 AM,10:59 PM,05:42 AM,06:11 PM,23,30,30,27,28,88,78,96.0,1011,28,5,259,14,Indonesia
2020-01-02,30,24,0.0,7.9,6,44,11:16 AM,11:38 PM,05:43 AM,06:11 PM,22,30,30,27,17,83,74,22.4,1012,30,8,274,11,Indonesia
2020-01-03,32,28,0.0,10.6,6,51,11:58 AM,No moonset,05:43 AM,06:12 PM,22,32,32,29,19,65,65,4.4,1010,32,10,272,14,Indonesia
2020-01-04,31,28,0.0,10.6,6,59,12:42 PM,12:16 AM,05:44 AM,06:12 PM,22,33,33,29,21,60,65,3.2,1009,31,10,279,16,Indonesia
2020-01-05,32,28,0.0,10.6,7,66,01:27 PM,12:56 AM,05:44 AM,06:13 PM,22,33,33,30,22,65,62,4.6,1009,32,10,271,16,Indonesia
2020-01-06,31,28,0.0,9.2,7,73,02:13 PM,01:38 AM,05:45 AM,06:13 PM,22,33,33,29,19,68,64,6.6,1009,31,9,278,14,Indonesia
2020-01-07,32,28,0.0,9.2,7,80,03:03 PM,02:22 AM,05:45 AM,06:13 PM,22,33,33,30,21,74,64,7.9,1009,32,9,271,15,Indonesia
2020-01-08,32,28,0.0,9.2,7,88,03:57 PM,03:10 AM,05:46 AM,06:14 PM,22,33,33,30,22,58,61,10.1,1008,32,9,265,15,Indonesia
2020-01-09,32,28,0.0,11.9,7,95,04:54 PM,04:03 AM,05:46 AM,06:14 PM,22,33,33,30,17,51,63,3.1,1008,32,10,267,13,Indonesia
2020-01-10,31,23,0.0,7.9,6,100,05:53 PM,04:59 AM,05:47 AM,06:14 PM,22,31,31,28,31,78,69,20.9,1008,31,8,269,19,Indonesia
