date_time,Ireland_maxtempC,Ireland_mintempC,Ireland_totalSnow_cm,Ireland_sunHour,Ireland_uvIndex,Ireland_moon_illumination,Ireland_moonrise,Ireland_moonset,Ireland_sunrise,Ireland_sunset,Ireland_DewPointC,Ireland_FeelsLikeC,Ireland_HeatIndexC,Ireland_WindChillC,Ireland_WindGustKmph,Ireland_cloudcover,Ireland_humidity,Ireland_precipMM,Ireland_pressure,Ireland_tempC,Ireland_visibility,Ireland_winddirDegree,Ireland_windspeedKmph,Ireland_location
2020-01-01,7,-1,0.0,6.8,2,37,12:05 PM,11:08 PM,08:40 AM,04:16 PM,4,3,6,3,26,26,87,0.0,1026,7,10,188,15,Ireland
2020-01-02,11,8,0.0,4.8,3,44,12:20 PM,No moonset,08:40 AM,04:17 PM,7,6,10,6,47,52,83,2.8,1010,11,9,195,28,Ireland
2020-01-03,7,5,0.0,7.8,3,51,12:35 PM,12:16 AM,08:40 AM,04:19 PM,2,2,6,2,41,39,77,0.0,1024,7,10,290,29,Ireland
2020-01-04,9,6,0.0,4.9,2,59,12:50 PM,01:24 AM,08:39 AM,04:20 PM,4,4,7,4,32,54,81,0.0,1032,9,10,239,21,Ireland
2020-01-05,11,8,0.0,7.8,2,66,01:07 PM,02:33 AM,08:39 AM,04:21 PM,6,6,9,6,36,33,84,0.0,1026,11,10,206,22,Ireland
2020-01-06,10,6,0.0,2.9,2,73,01:27 PM,03:45 AM,08:39 AM,04:22 PM,5,4,8,4,44,66,81,7.0,1014,10,9,226,30,Ireland
2020-01-07,14,6,0.0,4.9,3,80,01:52 PM,04:58 AM,08:38 AM,04:24 PM,7,7,10,7,47,69,81,0.5,1014,14,8,217,28,Ireland
2020-01-08,7,5,0.0,4.9,2,88,02:24 PM,06:12 AM,08:38 AM,04:25 PM,2,4,6,4,22,65,76,0.2,1017,7,10,242,15,Ireland
2020-01-09,6,4,0.0,3.0,2,95,03:09 PM,07:23 AM,08:37 AM,04:27 PM,4,1,5,1,30,92,89,5.2,1005,6,8,163,23,Ireland
2020-01-10,7,1,0.0,6.8,2,100,04:06 PM,08:26 AM,08:37 AM,04:28 PM,3,1,5,1,38,54,80,0.0,1020,7,10,235,25,Ireland
2020-01-11,13,2,0.0,3.0,3,100,05:18 PM,09:19 AM,08:36 AM,04:30 PM,8,7,10,7,49,74,84,6.7,1012,13,9,225,32,Ireland
2020-01-12,7,5,0.0,6.8,2,83,06:39 PM,10:00 AM,08:35 AM,04:31 PM,3,3,6,3,30,46,80,0.4,1013,7,9,247,21,Ireland
2020-01-13,9,5,0.0,3.0,2,76,08:04 PM,10:31 AM,08:34 AM,04:33 PM,3,2,7,2,54,57,76,16.7,994,9,9,211,39,Ireland
2020-01-14,5,-7,0.0,3.0,1,69,09:30 PM,10:56 AM,08:33 AM,04:34 PM,2,-1,3,-1,34,73,82,7.1,985,5,10,235,25,Ireland
2020-01-15,7,0,0.0,8.0,3,61,10:54 PM,11:17 AM,08:33 AM,04:36 PM,-0,0,5,0,45,14,68,0.0,998,7,10,227,32,Ireland
2020-01-16,10,6,0.0,3.0,2,54,No moonrise,11:35 AM,08:32 AM,04:38 PM,6,4,8,4,45,72,84,2.3,1001,10,8,189,29,Ireland
2020-01-17,6,3,0.0,8.1,3,47,12:17 AM,11:54 AM,08:31 AM,04:39 PM,1,1,5,1,29,38,74,0.0,1011,6,10,261,20,Ireland
