date_time,Italy_maxtempC,Italy_mintempC,Italy_totalSnow_cm,Italy_sunHour,Italy_uvIndex,Italy_moon_illumination,Italy_moonrise,Italy_moonset,Italy_sunrise,Italy_sunset,Italy_DewPointC,Italy_FeelsLikeC,Italy_HeatIndexC,Italy_WindChillC,Italy_WindGustKmph,Italy_cloudcover,Italy_humidity,Italy_precipMM,Italy_pressure,Italy_tempC,Italy_visibility,Italy_winddirDegree,Italy_windspeedKmph,Italy_location
2020-01-01,13,4,0.0,8.7,2,37,11:34 AM,11:01 PM,07:38 AM,04:49 PM,-2,7,8,7,11,26,51,0.0,1030,13,10,100,7,Italy
2020-01-02,15,8,0.0,8.7,4,44,11:58 AM,12:00 AM,07:38 AM,04:50 PM,4,10,11,10,7,3,61,0.0,1031,15,10,67,4,Italy
2020-01-03,12,7,0.0,8.7,3,51,12:21 PM,No moonset,07:38 AM,04:51 PM,2,8,9,8,11,9,62,0.0,1028,12,10,95,7,Italy
2020-01-04,15,7,0.0,8.7,3,59,12:45 PM,12:59 AM,07:38 AM,04:52 PM,5,9,10,9,6,34,73,0.0,1025,15,10,83,4,Italy
2020-01-05,14,8,0.0,8.7,4,66,01:11 PM,01:59 AM,07:38 AM,04:53 PM,3,9,10,9,11,2,64,0.0,1027,14,10,107,7,Italy
2020-01-06,12,5,0.0,8.7,3,73,01:40 PM,03:01 AM,07:38 AM,04:54 PM,-2,8,9,8,9,13,48,0.1,1029,12,10,137,6,Italy
2020-01-07,10,5,0.0,5.2,2,80,02:13 PM,04:05 AM,07:38 AM,04:55 PM,-4,7,7,7,6,32,43,0.0,1025,10,10,98,4,Italy
2020-01-08,13,6,0.0,8.7,3,88,02:53 PM,05:10 AM,07:38 AM,04:56 PM,-0,8,9,8,9,8,54,0.0,1027,13,10,107,6,Italy
2020-01-09,14,7,0.0,8.7,4,95,03:42 PM,06:15 AM,07:38 AM,04:57 PM,3,10,10,10,6,0,59,0.0,1028,14,10,146,4,Italy
2020-01-10,12,7,0.0,8.7,3,100,04:40 PM,07:17 AM,07:38 AM,04:58 PM,4,9,9,9,9,22,72,0.0,1026,12,10,113,6,Italy
2020-01-11,13,7,0.0,8.7,4,100,05:47 PM,08:12 AM,07:37 AM,04:59 PM,3,9,10,9,9,4,65,0.0,1025,13,10,69,6,Italy
2020-01-12,13,6,0.0,8.7,4,83,06:59 PM,09:01 AM,07:37 AM,05:00 PM,3,9,9,9,11,5,63,0.0,1027,13,10,66,7,Italy
2020-01-13,13,7,0.0,8.7,4,76,08:13 PM,09:43 AM,07:37 AM,05:01 PM,3,9,10,9,8,5,62,0.0,1026,13,10,133,5,Italy
2020-01-14,14,6,0.0,8.7,3,69,09:28 PM,10:18 AM,07:36 AM,05:02 PM,4,10,10,10,7,23,67,0.0,1024,14,10,115,5,Italy
2020-01-15,12,7,0.0,8.7,4,61,10:41 PM,10:49 AM,07:36 AM,05:03 PM,3,9,10,9,8,7,66,0.0,1026,12,10,137,6,Italy
2020-01-16,11,6,0.0,3.6,2,54,11:53 PM,11:19 AM,07:35 AM,05:05 PM,3,7,8,7,10,68,67,0.0,1028,11,10,93,7,Italy
2020-01-17,13,6,0.0,8.7,4,47,No moonrise,11:48 AM,07:35 AM,05:06 PM,4,9,9,9,8,16,71,0.0,1026,13,10,131,6,Italy
2020-01-18,14,9,0.0,3.6,3,40,01:04 AM,12:17 PM,07:34 AM,05:07 PM,5,9,11,9,15,78,70,6.4,1022,14,10,230,10,Italy
2020-01-19,11,6,0.0,7.0,2,32,02:14 AM,12:49 PM,07:34 AM,05:08 PM,4,7,8,7,11,34,73,0.0,1022,11,10,61,7,Italy
2020-01-20,12,7,0.0,3.7,2,25,03:23 AM,01:26 PM,07:33 AM,05:09 PM,1,8,9,8,16,71,56,0.0,1032,12,10,46,10,Italy
2020-01-21,14,7,0.0,8.7,4,18,04:30 AM,02:07 PM,07:33 AM,05:11 PM,2,9,10,9,11,34,59,0.0,1037,14,10,73,6,Italy
2020-01-22,16,8,0.0,8.7,4,11,05:34 AM,02:55 PM,07:32 AM,05:12 PM,5,11,11,11,6,9,64,0.0,1033,16,10,118,4,Italy
2020-01-23,15,8,0.0,8.7,4,3,06:31 AM,03:49 PM,07:31 AM,05:13 PM,5,11,12,11,6,5,66,0.0,1029,15,10,127,4,Italy
2020-01-24,13,9,0.0,7.0,3,0,07:21 AM,04:47 PM,07:31 AM,05:14 PM,6,11,11,11,15,35,69,0.6,1026,13,10,113,10,Italy
2020-01-25,14,11,0.0,3.7,3,0,08:03 AM,05:48 PM,07:30 AM,05:16 PM,8,11,12,11,20,80,78,3.7,1022,14,10,145,14,Italy
2020-01-26,14,9,0.0,8.7,4,4,08:38 AM,06:49 PM,07:29 AM,05:17 PM,7,11,11,11,10,35,77,0.1,1021,14,10,121,6,Italy
2020-01-27,14,8,0.0,8.7,4,11,09:09 AM,07:50 PM,07:28 AM,05:18 PM,6,11,11,11,9,13,75,0.0,1020,14,10,137,6,Italy
2020-01-28,12,10,0.0,3.7,3,18,09:36 AM,08:50 PM,07:27 AM,05:19 PM,8,10,11,10,18,89,83,3.6,1015,12,10,188,11,Italy
2020-01-29,15,10,0.0,7.0,3,26,10:00 AM,09:49 PM,07:26 AM,05:21 PM,6,11,12,11,16,18,66,0.0,1014,15,10,260,10,Italy
2020-01-30,13,8,0.0,8.7,3,33,10:23 AM,10:47 PM,07:26 AM,05:22 PM,5,10,11,10,13,35,68,0.1,1020,13,10,118,9,Italy
2020-01-31,14,10,0.0,3.7,3,37,10:47 AM,11:46 PM,07:25 AM,05:23 PM,7,11,11,11,10,67,75,0.0,1020,14,10,133,7,Italy
2020-02-01,14,11,0.0,3.8,3,49,11:11 AM,No moonset,07:24 AM,05:25 PM,9,12,12,12,7,89,80,0.7,1020,14,10,144,4,Italy
2020-02-02,15,12,0.0,8.7,3,57,11:38 AM,12:46 AM,07:23 AM,05:26 PM,10,13,13,13,13,53,81,0.0,1020,15,10,145,9,Italy
2020-02-03,17,10,0.0,8.7,4,64,12:08 PM,01:48 AM,07:22 AM,05:27 PM,10,13,14,13,9,21,79,0.0,1019,17,10,152,5,Italy
2020-02-04,16,11,0.0,8.7,3,72,12:44 PM,02:51 AM,07:20 AM,05:28 PM,7,12,13,12,21,28,72,0.1,1011,16,9,176,14,Italy
2020-02-05,11,7,0.0,8.7,3,79,01:28 PM,03:55 AM,07:19 AM,05:30 PM,-9,5,9,5,40,1,27,0.0,1017,11,10,278,27,Italy
2020-02-06,11,4,0.0,8.7,3,87,02:20 PM,04:58 AM,07:18 AM,05:31 PM,-8,4,7,4,32,6,34,0.0,1026,11,10,138,22,Italy
