date_time,Japan_maxtempC,Japan_mintempC,Japan_totalSnow_cm,Japan_sunHour,Japan_uvIndex,Japan_moon_illumination,Japan_moonrise,Japan_moonset,Japan_sunrise,Japan_sunset,Japan_DewPointC,Japan_FeelsLikeC,Japan_HeatIndexC,Japan_WindChillC,Japan_WindGustKmph,Japan_cloudcover,Japan_humidity,Japan_precipMM,Japan_pressure,Japan_tempC,Japan_visibility,Japan_winddirDegree,Japan_windspeedKmph,Japan_location
2020-01-01,30,25,0.0,6.2,6,37,10:08 AM,10:37 PM,05:18 AM,05:52 PM,24,30,30,27,6,79,87,51.9,1010,30,5,185,3,Japan
2020-01-02,27,24,0.0,6.2,6,44,10:52 AM,11:16 PM,05:18 AM,05:53 PM,24,28,28,25,8,81,92,28.7,1011,27,8,105,6,Japan
2020-01-03,30,25,0.0,7.5,6,51,11:36 AM,11:54 PM,05:19 AM,05:53 PM,24,30,30,27,10,66,84,22.8,1009,30,8,214,6,Japan
2020-01-04,30,25,0.0,8.9,6,59,12:20 PM,No moonset,05:19 AM,05:54 PM,24,31,31,27,6,56,84,24.4,1007,30,8,220,3,Japan
2020-01-05,32,25,0.0,8.9,6,66,01:05 PM,12:33 AM,05:20 AM,05:54 PM,23,31,31,28,8,59,79,16.0,1008,32,9,198,5,Japan
2020-01-06,30,25,0.0,7.5,6,73,01:53 PM,01:14 AM,05:20 AM,05:54 PM,24,31,31,27,9,72,83,25.9,1008,30,8,176,6,Japan
2020-01-07,30,25,0.0,8.9,6,80,02:43 PM,01:58 AM,05:21 AM,05:55 PM,24,31,31,27,9,67,85,34.7,1008,30,7,195,5,Japan
2020-01-08,29,24,0.0,6.2,6,88,03:37 PM,02:45 AM,05:21 AM,05:55 PM,24,30,30,26,21,78,87,31.7,1008,29,7,183,11,Japan
2020-01-09,29,24,0.0,6.2,6,95,04:34 PM,03:37 AM,05:22 AM,05:55 PM,23,30,30,26,24,77,85,27.0,1008,29,8,184,14,Japan
2020-01-10,31,24,0.0,6.2,6,100,05:33 PM,04:33 AM,05:22 AM,05:56 PM,24,31,31,27,8,70,84,39.4,1007,31,7,227,5,Japan
2020-01-11,30,24,0.0,6.2,6,100,06:32 PM,05:33 AM,05:23 AM,05:56 PM,23,29,29,26,15,73,84,92.5,1008,30,7,188,9,Japan
2020-01-12,31,24,0.0,10.2,6,83,07:30 PM,06:34 AM,05:23 AM,05:56 PM,22,30,30,27,10,62,77,1.7,1008,31,10,186,7,Japan
2020-01-13,31,24,0.0,11.6,6,76,08:24 PM,07:35 AM,05:24 AM,05:56 PM,23,31,31,27,7,31,77,3.2,1007,31,10,276,5,Japan
2020-01-14,32,25,0.0,10.2,6,69,09:15 PM,08:33 AM,05:24 AM,05:57 PM,23,31,31,28,6,35,78,7.1,1008,32,9,144,5,Japan
2020-01-15,32,24,0.0,11.6,6,61,10:04 PM,09:30 AM,05:25 AM,05:57 PM,23,31,31,27,9,53,80,2.3,1009,32,9,208,7,Japan
2020-01-16,31,22,0.0,10.2,6,54,10:50 PM,10:24 AM,05:25 AM,05:57 PM,23,31,31,27,18,53,79,2.1,1010,31,10,192,13,Japan
2020-01-17,31,25,0.0,11.6,6,47,11:37 PM,11:17 AM,05:26 AM,05:57 PM,23,30,30,27,16,14,76,0.1,1010,31,10,192,12,Japan
2020-01-18,32,24,0.0,10.2,6,40,No moonrise,12:10 PM,05:26 AM,05:58 PM,22,30,30,27,14,34,74,0.5,1010,32,10,190,11,Japan
2020-01-19,31,25,0.0,10.2,6,32,12:24 AM,01:03 PM,05:27 AM,05:58 PM,22,30,30,27,16,29,76,1.6,1010,31,10,191,11,Japan
2020-01-20,32,25,0.0,10.2,6,25,01:12 AM,01:58 PM,05:27 AM,05:58 PM,23,31,31,28,13,42,76,8.0,1010,32,9,193,9,Japan
2020-01-21,32,25,0.0,11.6,6,18,02:03 AM,02:53 PM,05:28 AM,05:58 PM,23,32,32,28,7,38,78,4.6,1011,32,10,200,5,Japan
2020-01-22,33,25,0.0,10.2,6,11,02:55 AM,03:49 PM,05:28 AM,05:58 PM,23,32,32,28,5,47,76,9.7,1011,33,10,243,3,Japan
2020-01-23,33,25,0.0,8.9,6,3,03:49 AM,04:43 PM,05:28 AM,05:58 PM,24,32,32,28,6,63,78,13.7,1009,33,8,212,4,Japan
2020-01-24,32,25,0.0,8.9,6,0,04:43 AM,05:36 PM,05:29 AM,05:58 PM,24,32,32,28,6,71,80,28.7,1009,32,8,168,4,Japan
2020-01-25,32,25,0.0,10.2,6,0,05:36 AM,06:24 PM,05:29 AM,05:58 PM,24,32,32,28,5,56,79,15.3,1009,32,9,151,3,Japan
2020-01-26,31,24,0.0,6.1,6,4,06:27 AM,07:11 PM,05:30 AM,05:59 PM,24,31,31,27,8,74,83,48.0,1009,31,7,206,5,Japan
2020-01-27,31,24,0.0,6.1,6,11,07:16 AM,07:54 PM,05:30 AM,05:59 PM,24,31,31,27,8,75,81,17.8,1009,31,8,166,5,Japan
2020-01-28,32,24,0.0,8.9,6,18,08:02 AM,08:34 PM,05:30 AM,05:59 PM,24,32,32,27,10,53,81,22.0,1009,32,8,210,6,Japan
2020-01-29,32,25,0.0,6.1,6,26,08:47 AM,09:13 PM,05:31 AM,05:59 PM,24,32,32,28,8,73,83,38.2,1009,32,7,162,5,Japan
2020-01-30,26,24,0.0,8.9,6,33,09:31 AM,09:51 PM,05:31 AM,05:59 PM,23,28,28,25,11,61,89,49.6,1009,26,7,226,7,Japan
2020-01-31,30,24,0.0,10.2,6,37,10:14 AM,10:29 PM,05:32 AM,05:59 PM,23,30,30,26,7,60,84,14.0,1009,30,8,270,5,Japan
2020-02-01,31,24,0.0,8.9,6,49,10:58 AM,11:08 PM,05:32 AM,05:59 PM,24,31,31,27,7,65,83,31.8,1010,31,8,185,4,Japan
2020-02-02,31,24,0.0,8.9,6,57,11:44 AM,11:50 PM,05:32 AM,05:59 PM,24,31,31,27,9,54,82,26.9,1010,31,8,194,5,Japan
2020-02-03,32,24,0.0,8.9,6,64,12:31 PM,No moonset,05:32 AM,05:58 PM,24,31,31,27,5,60,82,15.2,1010,32,9,202,3,Japan
2020-02-04,32,24,0.0,11.6,6,72,01:23 PM,12:34 AM,05:33 AM,05:58 PM,23,31,31,27,7,51,80,5.7,1009,32,10,174,5,Japan
2020-02-05,32,24,0.0,11.6,6,79,02:17 PM,01:23 AM,05:33 AM,05:58 PM,23,31,31,27,13,31,79,0.4,1009,32,10,195,9,Japan
2020-02-06,32,25,0.0,10.2,6,87,03:15 PM,02:16 AM,05:33 AM,05:58 PM,24,31,31,27,7,48,81,4.2,1008,32,10,227,5,Japan
2020-02-07,31,25,0.0,8.9,6,95,04:13 PM,03:14 AM,05:34 AM,05:58 PM,24,31,31,27,9,60,84,24.2,1009,31,8,240,5,Japan
2020-02-08,30,25,0.0,7.5,6,100,05:13 PM,04:15 AM,05:34 AM,05:58 PM,24,30,30,27,10,65,86,26.6,1010,30,8,179,6,Japan
2020-02-09,30,24,0.0,7.5,6,100,06:09 PM,05:17 AM,05:34 AM,05:58 PM,24,30,30,26,13,68,85,27.3,1010,30,8,175,8,Japan
2020-02-10,31,23,0.0,10.2,6,83,07:04 PM,06:17 AM,05:34 AM,05:58 PM,22,30,30,26,8,55,78,16.2,1010,31,9,209,5,Japan
2020-02-11,29,23,0.0,6.1,6,75,07:55 PM,07:17 AM,05:35 AM,05:57 PM,24,29,29,26,9,68,89,62.8,1011,29,7,132,6,Japan
2020-02-12,30,24,0.0,8.9,6,68,08:45 PM,08:14 AM,05:35 AM,05:57 PM,24,30,30,26,6,67,86,35.6,1011,30,7,184,3,Japan
2020-02-13,30,24,0.0,10.2,6,60,09:33 PM,09:10 AM,05:35 AM,05:57 PM,24,30,30,27,9,56,85,26.8,1010,30,7,240,5,Japan
2020-02-14,31,22,0.0,11.6,6,53,10:21 PM,10:04 AM,05:35 AM,05:57 PM,24,30,30,26,7,59,84,21.7,1010,31,9,137,4,Japan
2020-02-15,31,25,0.0,8.9,6,45,11:10 PM,10:59 AM,05:35 AM,05:57 PM,24,31,31,27,7,66,85,32.3,1010,31,8,214,4,Japan
2020-02-16,30,22,0.0,6.1,6,38,No moonrise,11:54 AM,05:35 AM,05:56 PM,24,30,30,26,8,72,89,50.2,1010,30,6,184,4,Japan
2020-02-17,28,23,0.0,6.1,6,30,12:00 AM,12:49 PM,05:36 AM,05:56 PM,23,28,28,25,8,75,90,34.8,1011,28,8,123,4,Japan
2020-02-18,30,23,0.0,7.5,6,22,12:52 AM,01:45 PM,05:36 AM,05:56 PM,23,29,29,25,7,78,87,46.4,1010,30,8,143,5,Japan
2020-02-19,30,23,0.0,6.1,6,15,01:45 AM,02:38 PM,05:36 AM,05:55 PM,23,29,29,26,7,75,87,38.9,1010,30,7,200,4,Japan
2020-02-20,28,20,0.0,6.1,6,7,02:38 AM,03:31 PM,05:36 AM,05:55 PM,23,28,28,24,16,72,93,50.6,1010,28,7,178,9,Japan
2020-02-21,30,24,0.0,10.2,6,0,03:31 AM,04:20 PM,05:36 AM,05:55 PM,24,30,30,26,7,63,88,56.9,1010,30,8,197,4,Japan
2020-02-22,30,20,0.0,6.1,6,0,04:21 AM,05:07 PM,05:36 AM,05:55 PM,23,29,29,25,11,73,87,39.0,1011,30,7,199,5,Japan
2020-02-23,31,23,0.0,8.8,6,0,05:11 AM,05:51 PM,05:36 AM,05:54 PM,23,31,31,27,6,70,84,27.2,1010,31,8,189,3,Japan
2020-02-24,31,23,0.0,10.2,6,0,05:58 AM,06:31 PM,05:36 AM,05:54 PM,23,31,31,27,7,56,84,22.2,1009,31,8,203,4,Japan
2020-02-25,31,23,0.0,6.1,6,8,06:43 AM,07:11 PM,05:36 AM,05:53 PM,24,30,30,26,11,78,86,40.8,1009,31,7,137,6,Japan
2020-02-26,31,24,0.0,8.8,6,15,07:27 AM,07:49 PM,05:36 AM,05:53 PM,24,31,31,27,9,65,85,25.6,1009,31,8,174,5,Japan
2020-02-27,30,25,0.0,8.8,6,23,08:10 AM,08:27 PM,05:37 AM,05:53 PM,24,31,31,27,6,59,85,9.9,1008,30,9,226,4,Japan
2020-02-28,30,24,0.0,7.5,6,30,08:54 AM,09:05 PM,05:37 AM,05:52 PM,24,30,30,26,6,67,88,29.0,1007,30,7,113,3,Japan
2020-02-29,31,25,0.0,8.8,6,38,09:39 AM,09:46 PM,05:37 AM,05:52 PM,25,32,32,27,6,57,85,22.6,1007,31,7,236,4,Japan
2020-03-01,29,24,0.0,7.5,6,44,10:25 AM,10:28 PM,05:37 AM,05:52 PM,24,30,30,26,4,65,91,30.1,1008,29,6,156,2,Japan
2020-03-02,30,24,0.0,8.8,6,51,11:14 AM,11:14 PM,05:37 AM,05:51 PM,24,31,31,26,10,65,89,27.4,1008,30,7,134,6,Japan
2020-03-03,31,22,0.0,8.8,6,58,12:05 PM,No moonset,05:37 AM,05:51 PM,24,31,31,27,5,59,84,22.7,1008,31,8,179,3,Japan
2020-03-04,30,24,0.0,6.1,6,65,12:59 PM,12:03 AM,05:37 AM,05:50 PM,24,31,31,27,13,73,86,42.2,1008,30,7,196,7,Japan
2020-03-05,26,22,0.0,6.1,6,73,01:56 PM,12:58 AM,05:37 AM,05:50 PM,23,27,27,24,9,78,92,33.9,1009,26,7,212,5,Japan
2020-03-06,29,23,0.0,8.8,6,80,02:54 PM,01:56 AM,05:37 AM,05:49 PM,23,29,29,26,4,65,83,10.1,1010,29,9,213,2,Japan
2020-03-07,31,23,0.0,10.2,6,87,03:51 PM,02:56 AM,05:37 AM,05:49 PM,23,31,31,27,6,55,84,9.2,1011,31,9,169,4,Japan
2020-03-08,30,23,0.0,8.8,6,95,04:47 PM,03:57 AM,05:37 AM,05:48 PM,23,30,30,26,7,63,85,31.2,1009,30,8,196,4,Japan
2020-03-09,31,23,0.0,10.2,6,100,05:40 PM,04:57 AM,05:37 AM,05:48 PM,23,30,30,26,15,64,81,15.4,1008,31,9,199,8,Japan
2020-03-10,30,22,0.0,7.4,6,100,06:31 PM,05:57 AM,05:37 AM,05:48 PM,23,29,29,26,12,67,85,16.8,1008,30,9,189,7,Japan
2020-03-11,30,23,0.0,8.8,6,84,07:22 PM,06:54 AM,05:37 AM,05:47 PM,24,30,30,26,13,67,86,22.3,1009,30,8,106,7,Japan
2020-03-12,31,23,0.0,8.8,6,76,08:11 PM,07:52 AM,05:36 AM,05:47 PM,23,31,31,27,7,69,84,29.2,1010,31,8,116,5,Japan
2020-03-13,31,23,0.0,10.2,6,69,09:02 PM,08:48 AM,05:36 AM,05:46 PM,23,30,30,26,11,47,85,20.2,1012,31,8,94,6,Japan
