date_time,Jordan_maxtempC,Jordan_mintempC,Jordan_totalSnow_cm,Jordan_sunHour,Jordan_uvIndex,Jordan_moon_illumination,Jordan_moonrise,Jordan_moonset,Jordan_sunrise,Jordan_sunset,Jordan_DewPointC,Jordan_FeelsLikeC,Jordan_HeatIndexC,Jordan_WindChillC,Jordan_WindGustKmph,Jordan_cloudcover,Jordan_humidity,Jordan_precipMM,Jordan_pressure,Jordan_tempC,Jordan_visibility,Jordan_winddirDegree,Jordan_windspeedKmph,Jordan_location
2020-01-01,10,6,0.0,8.7,3,37,10:49 AM,10:30 PM,06:36 AM,04:42 PM,3,7,8,7,10,26,70,0.0,1019,10,10,259,7,Jordan
2020-01-02,12,7,0.0,8.7,3,44,11:18 AM,11:24 PM,06:37 AM,04:43 PM,4,9,9,9,6,24,71,0.0,1016,12,10,167,4,Jordan
2020-01-03,8,6,0.0,7.1,2,51,11:47 AM,No moonset,06:37 AM,04:44 PM,2,4,7,4,25,62,71,1.3,1017,8,10,247,19,Jordan
2020-01-04,7,4,0.0,3.8,2,59,12:16 PM,12:17 AM,06:37 AM,04:45 PM,3,2,6,2,33,82,80,1.8,1016,7,8,236,24,Jordan
2020-01-05,7,3,0.0,3.8,2,66,12:47 PM,01:12 AM,06:37 AM,04:45 PM,4,2,6,2,41,77,85,7.1,1016,7,8,239,28,Jordan
2020-01-06,12,5,0.0,8.7,3,73,01:21 PM,02:08 AM,06:37 AM,04:46 PM,-0,7,8,7,18,1,56,0.0,1017,12,10,198,12,Jordan
2020-01-07,10,6,0.0,7.1,2,80,01:59 PM,03:06 AM,06:37 AM,04:47 PM,1,5,8,5,25,37,64,0.3,1015,10,10,227,17,Jordan
2020-01-08,6,2,0.0,3.8,2,88,02:42 PM,04:07 AM,06:37 AM,04:48 PM,2,1,6,1,54,81,79,18.6,1014,6,8,236,39,Jordan
2020-01-09,5,0,0.0,3.8,2,95,03:34 PM,05:09 AM,06:37 AM,04:49 PM,4,0,5,0,43,94,92,48.8,1012,5,7,239,30,Jordan
2020-01-10,7,-0,0.0,3.8,2,100,04:31 PM,06:09 AM,06:37 AM,04:50 PM,5,4,6,4,11,82,91,15.7,1016,7,6,279,8,Jordan
2020-01-11,9,4,0.0,8.7,3,100,05:36 PM,07:07 AM,06:37 AM,04:50 PM,4,4,6,4,19,29,84,0.0,1022,9,8,275,13,Jordan
2020-01-12,9,5,0.0,8.7,3,83,06:43 PM,08:00 AM,06:37 AM,04:51 PM,4,5,7,5,18,32,82,0.0,1024,9,10,258,13,Jordan
2020-01-13,11,6,0.0,8.7,2,76,07:52 PM,08:46 AM,06:37 AM,04:52 PM,6,6,8,6,21,43,87,0.0,1022,11,9,267,15,Jordan
2020-01-14,11,6,0.0,8.7,3,69,09:00 PM,09:29 AM,06:37 AM,04:53 PM,4,6,8,6,25,33,76,0.0,1024,11,8,152,16,Jordan
2020-01-15,14,7,0.0,8.7,4,61,10:06 PM,10:06 AM,06:37 AM,04:54 PM,0,7,10,7,35,17,53,0.0,1021,14,10,113,21,Jordan
2020-01-16,13,8,0.0,8.7,4,54,11:12 PM,10:42 AM,06:37 AM,04:55 PM,-3,9,11,9,27,33,38,0.0,1016,13,10,105,17,Jordan
2020-01-17,11,8,0.0,8.7,3,47,No moonrise,11:17 AM,06:37 AM,04:56 PM,2,8,9,8,15,17,63,0.0,1014,11,10,256,10,Jordan
2020-01-18,11,7,0.0,5.5,2,40,12:16 AM,11:53 AM,06:36 AM,04:57 PM,6,6,8,6,19,58,86,0.7,1015,11,9,248,14,Jordan
2020-01-19,8,4,0.0,3.8,2,32,01:20 AM,12:31 PM,06:36 AM,04:58 PM,5,4,7,4,24,73,87,5.4,1020,8,8,240,17,Jordan
2020-01-20,9,7,0.0,3.8,2,25,02:24 AM,01:12 PM,06:36 AM,04:59 PM,6,5,8,5,26,86,87,5.0,1022,9,10,251,19,Jordan
2020-01-21,6,4,0.0,7.1,2,18,03:27 AM,01:57 PM,06:35 AM,04:59 PM,2,1,5,1,29,66,84,1.7,1019,6,9,282,21,Jordan
2020-01-22,8,3,0.0,8.7,3,11,04:27 AM,02:47 PM,06:35 AM,05:00 PM,3,2,5,2,22,35,85,0.0,1021,8,10,286,15,Jordan
2020-01-23,8,4,0.0,5.6,2,3,05:24 AM,03:41 PM,06:35 AM,05:01 PM,3,2,6,2,33,55,83,0.5,1021,8,10,258,24,Jordan
2020-01-24,7,3,0.0,5.6,2,0,06:15 AM,04:37 PM,06:34 AM,05:02 PM,1,1,6,1,44,61,76,14.2,1018,7,7,286,32,Jordan
2020-01-25,9,3,0.0,8.7,3,0,07:01 AM,05:35 PM,06:34 AM,05:03 PM,-1,5,6,5,8,1,62,0.0,1028,9,10,294,6,Jordan
2020-01-26,10,6,0.0,8.7,3,4,07:41 AM,06:31 PM,06:33 AM,05:04 PM,0,7,8,7,8,4,62,0.0,1028,10,10,272,7,Jordan
2020-01-27,13,2,0.0,8.7,3,11,08:16 AM,07:27 PM,06:33 AM,05:05 PM,0,8,8,8,6,15,58,0.0,1025,13,10,173,4,Jordan
2020-01-28,12,7,0.0,7.1,2,18,08:49 AM,08:21 PM,06:32 AM,05:06 PM,-0,8,9,8,11,49,53,0.1,1019,12,10,190,7,Jordan
2020-01-29,11,7,0.0,8.7,2,26,09:19 AM,09:15 PM,06:32 AM,05:07 PM,6,6,8,6,26,58,86,0.3,1020,11,10,267,19,Jordan
2020-01-30,11,6,0.0,8.7,3,33,09:48 AM,10:08 PM,06:31 AM,05:08 PM,5,7,9,7,12,24,77,0.0,1022,11,8,252,9,Jordan
