date_time,Kenya_maxtempC,Kenya_mintempC,Kenya_totalSnow_cm,Kenya_sunHour,Kenya_uvIndex,Kenya_moon_illumination,Kenya_moonrise,Kenya_moonset,Kenya_sunrise,Kenya_sunset,Kenya_DewPointC,Kenya_FeelsLikeC,Kenya_HeatIndexC,Kenya_WindChillC,Kenya_WindGustKmph,Kenya_cloudcover,Kenya_humidity,Kenya_precipMM,Kenya_pressure,Kenya_tempC,Kenya_visibility,Kenya_winddirDegree,Kenya_windspeedKmph,Kenya_location
2020-01-01,25,15,0.0,11.6,6,37,11:23 AM,11:44 PM,06:30 AM,06:42 PM,13,19,20,19,21,11,71,0.0,1014,25,10,41,15,Kenya
2020-01-02,24,15,0.0,11.6,6,44,12:04 PM,No moonset,06:30 AM,06:42 PM,14,19,19,19,24,22,75,0.0,1014,24,10,47,18,Kenya
2020-01-03,24,16,0.0,8.8,5,51,12:46 PM,12:24 AM,06:31 AM,06:43 PM,15,19,19,19,26,43,78,0.3,1015,24,10,52,19,Kenya
2020-01-04,24,15,0.0,8.8,5,59,01:28 PM,01:05 AM,06:31 AM,06:43 PM,15,19,19,19,20,48,81,1.1,1015,24,10,55,15,Kenya
2020-01-05,25,15,0.0,11.6,6,66,02:11 PM,01:47 AM,06:32 AM,06:44 PM,14,19,20,19,17,31,74,0.1,1013,25,9,48,13,Kenya
2020-01-06,26,17,0.0,8.8,5,73,02:57 PM,02:30 AM,06:32 AM,06:44 PM,15,21,21,20,19,55,75,1.3,1013,26,10,49,14,Kenya
2020-01-07,25,16,0.0,10.2,5,80,03:46 PM,03:17 AM,06:33 AM,06:44 PM,15,19,20,19,19,48,79,3.9,1014,25,10,52,14,Kenya
2020-01-08,22,16,0.0,6.1,4,88,04:39 PM,04:07 AM,06:33 AM,06:45 PM,15,18,19,18,23,65,83,3.9,1014,22,10,52,16,Kenya
2020-01-09,24,16,0.0,10.2,5,95,05:36 PM,05:01 AM,06:34 AM,06:45 PM,15,19,20,19,16,39,78,0.6,1013,24,10,45,12,Kenya
2020-01-10,26,16,0.0,10.2,5,100,06:34 PM,05:59 AM,06:34 AM,06:46 PM,15,20,21,20,16,45,76,0.3,1013,26,8,85,13,Kenya
