date_time,Kosovo_maxtempC,Kosovo_mintempC,Kosovo_totalSnow_cm,Kosovo_sunHour,Kosovo_uvIndex,Kosovo_moon_illumination,Kosovo_moonrise,Kosovo_moonset,Kosovo_sunrise,Kosovo_sunset,Kosovo_DewPointC,Kosovo_FeelsLikeC,Kosovo_HeatIndexC,Kosovo_WindChillC,Kosovo_WindGustKmph,Kosovo_cloudcover,Kosovo_humidity,Kosovo_precipMM,Kosovo_pressure,Kosovo_tempC,Kosovo_visibility,Kosovo_winddirDegree,Kosovo_windspeedKmph,Kosovo_location
2020-01-01,2,-5,0.0,8.7,2,37,11:00 AM,10:24 PM,07:06 AM,04:12 PM,-4,-3,-1,-3,9,15,79,0.0,1031,2,10,73,6,Kosovo
2020-01-02,2,-4,0.0,8.7,2,44,11:24 AM,11:24 PM,07:06 AM,04:13 PM,-5,-3,-2,-3,5,15,81,0.0,1035,2,10,249,3,Kosovo
2020-01-03,4,-4,0.0,8.7,2,51,11:46 AM,No moonset,07:06 AM,04:14 PM,-6,-0,-0,-0,5,9,63,0.0,1028,4,10,313,3,Kosovo
2020-01-04,5,0,0.0,6.9,1,59,12:09 PM,12:23 AM,07:06 AM,04:15 PM,-7,1,2,1,6,41,55,0.0,1023,5,10,230,3,Kosovo
2020-01-05,1,-5,0.4,5.2,1,66,12:34 PM,01:24 AM,07:06 AM,04:16 PM,-5,-5,-1,-5,17,60,79,1.1,1025,1,8,271,12,Kosovo
2020-01-06,-2,-5,0.0,8.7,1,73,01:03 PM,02:26 AM,07:06 AM,04:17 PM,-8,-9,-4,-9,17,27,76,0.0,1029,-2,10,156,13,Kosovo
2020-01-07,1,-5,0.0,8.7,2,80,01:36 PM,03:31 AM,07:06 AM,04:18 PM,-7,-4,-2,-4,7,6,73,0.0,1029,1,10,14,6,Kosovo
2020-01-08,2,-3,0.0,8.7,2,88,02:15 PM,04:36 AM,07:06 AM,04:19 PM,-10,-2,-1,-2,6,4,50,0.0,1031,2,10,20,5,Kosovo
2020-01-09,3,-2,0.0,8.7,1,95,03:04 PM,05:42 AM,07:05 AM,04:20 PM,-6,-0,-0,-0,3,23,64,0.0,1029,3,10,280,2,Kosovo
2020-01-10,6,-1,0.0,8.7,2,100,04:01 PM,06:43 AM,07:05 AM,04:21 PM,-7,1,2,1,5,18,53,0.0,1024,6,10,220,3,Kosovo
2020-01-11,6,1,0.0,6.9,1,100,05:08 PM,07:40 AM,07:05 AM,04:22 PM,-3,2,2,2,8,51,71,0.0,1026,6,10,99,5,Kosovo
