date_time,Latvia_maxtempC,Latvia_mintempC,Latvia_totalSnow_cm,Latvia_sunHour,Latvia_uvIndex,Latvia_moon_illumination,Latvia_moonrise,Latvia_moonset,Latvia_sunrise,Latvia_sunset,Latvia_DewPointC,Latvia_FeelsLikeC,Latvia_HeatIndexC,Latvia_WindChillC,Latvia_WindGustKmph,Latvia_cloudcover,Latvia_humidity,Latvia_precipMM,Latvia_pressure,Latvia_tempC,Latvia_visibility,Latvia_winddirDegree,Latvia_windspeedKmph,Latvia_location
2020-01-01,3,-3,0.0,5.8,1,37,12:09 PM,10:56 PM,09:01 AM,03:53 PM,-1,-2,2,-2,30,31,78,0.0,1018,3,10,273,19,Latvia
2020-01-02,5,-4,0.0,5.8,2,44,12:20 PM,No moonset,09:01 AM,03:54 PM,1,-0,4,-0,29,28,82,0.0,1014,5,10,242,17,Latvia
2020-01-03,5,1,0.0,3.7,1,51,12:31 PM,12:08 AM,09:01 AM,03:55 PM,1,-0,4,-0,35,45,79,1.7,1008,5,9,225,21,Latvia
2020-01-04,3,-1,0.2,4.5,1,59,12:43 PM,01:20 AM,09:00 AM,03:57 PM,-1,-2,3,-2,35,68,72,2.6,999,3,9,265,23,Latvia
2020-01-05,2,-2,0.0,6.6,1,66,12:56 PM,02:33 AM,09:00 AM,03:58 PM,-5,-4,1,-4,37,67,62,1.1,1017,2,7,310,25,Latvia
2020-01-06,5,-3,0.0,4.7,1,73,01:11 PM,03:49 AM,08:59 AM,03:59 PM,2,-1,3,-1,25,90,91,6.8,1018,5,6,236,16,Latvia
2020-01-07,5,0,0.0,2.8,2,80,01:31 PM,05:07 AM,08:59 AM,04:01 PM,4,1,5,1,23,97,92,1.5,1020,5,6,218,15,Latvia
2020-01-08,4,-1,0.0,2.8,1,88,01:59 PM,06:25 AM,08:58 AM,04:03 PM,1,-1,3,-1,32,91,87,2.3,1016,4,8,208,21,Latvia
2020-01-09,4,-1,0.0,7.5,1,95,02:39 PM,07:40 AM,08:57 AM,04:04 PM,1,-0,3,-0,23,47,85,0.1,1013,4,10,246,14,Latvia
2020-01-10,3,-2,0.0,2.8,1,100,03:35 PM,08:45 AM,08:56 AM,04:06 PM,2,-1,2,-1,18,97,94,4.8,1011,3,7,131,12,Latvia
2020-01-11,2,-1,0.0,7.5,2,100,04:47 PM,09:37 AM,08:55 AM,04:07 PM,-1,-1,1,-1,17,32,85,0.0,1021,2,10,119,11,Latvia
2020-01-12,5,-2,0.0,2.8,1,83,06:12 PM,10:14 AM,08:54 AM,04:09 PM,2,-0,4,-0,38,93,83,2.6,1013,5,9,229,24,Latvia
2020-01-13,5,3,0.0,6.7,1,76,07:42 PM,10:41 AM,08:53 AM,04:11 PM,3,1,4,1,20,78,91,0.0,1011,5,7,236,12,Latvia
2020-01-14,4,-0,0.0,6.8,1,69,09:13 PM,11:02 AM,08:52 AM,04:13 PM,1,-1,2,-1,30,68,89,0.4,1013,4,9,199,18,Latvia
2020-01-15,7,-3,0.0,2.9,2,61,10:42 PM,11:18 AM,08:51 AM,04:15 PM,2,0,4,0,40,87,80,0.5,1011,7,8,202,26,Latvia
