date_time,Lebanon_maxtempC,Lebanon_mintempC,Lebanon_totalSnow_cm,Lebanon_sunHour,Lebanon_uvIndex,Lebanon_moon_illumination,Lebanon_moonrise,Lebanon_moonset,Lebanon_sunrise,Lebanon_sunset,Lebanon_DewPointC,Lebanon_FeelsLikeC,Lebanon_HeatIndexC,Lebanon_WindChillC,Lebanon_WindGustKmph,Lebanon_cloudcover,Lebanon_humidity,Lebanon_precipMM,Lebanon_pressure,Lebanon_tempC,Lebanon_visibility,Lebanon_winddirDegree,Lebanon_windspeedKmph,Lebanon_location
2020-01-01,15,12,0.0,3.7,3,37,10:52 AM,10:31 PM,06:43 AM,04:39 PM,7,12,13,12,22,77,67,8.9,1017,15,9,179,15,Lebanon
2020-01-02,16,13,0.0,3.7,3,44,11:21 AM,11:26 PM,06:43 AM,04:40 PM,7,13,14,13,14,81,64,8.6,1015,16,10,228,10,Lebanon
2020-01-03,14,9,0.0,3.7,3,51,11:49 AM,No moonset,06:43 AM,04:41 PM,6,10,12,10,33,79,65,25.1,1015,14,8,165,24,Lebanon
2020-01-04,13,9,0.0,3.7,3,59,12:16 PM,12:20 AM,06:43 AM,04:42 PM,7,9,12,9,30,82,71,24.2,1013,13,8,180,21,Lebanon
2020-01-05,14,8,0.0,3.8,3,66,12:46 PM,01:15 AM,06:43 AM,04:43 PM,8,11,13,11,27,77,75,28.9,1013,14,8,196,16,Lebanon
2020-01-06,17,9,0.0,8.7,3,73,01:19 PM,02:12 AM,06:44 AM,04:43 PM,5,13,14,13,26,42,54,6.6,1015,17,10,177,17,Lebanon
2020-01-07,15,9,0.0,5.4,3,80,01:57 PM,03:12 AM,06:44 AM,04:44 PM,4,11,13,11,39,51,56,6.5,1013,15,10,173,27,Lebanon
2020-01-08,13,11,0.0,3.8,3,88,02:40 PM,04:13 AM,06:44 AM,04:45 PM,8,9,12,9,47,91,75,32.0,1009,13,8,191,31,Lebanon
2020-01-09,13,11,0.0,3.8,3,95,03:31 PM,05:15 AM,06:44 AM,04:46 PM,8,10,12,10,27,76,76,19.8,1010,13,9,180,17,Lebanon
2020-01-10,14,6,0.0,3.8,3,100,04:28 PM,06:16 AM,06:44 AM,04:47 PM,6,11,12,11,13,74,63,9.4,1016,14,9,203,9,Lebanon
2020-01-11,14,11,0.0,8.7,3,100,05:33 PM,07:14 AM,06:44 AM,04:48 PM,5,12,13,12,11,41,60,0.2,1022,14,10,120,7,Lebanon
2020-01-12,15,7,0.0,3.8,3,83,06:41 PM,08:05 AM,06:43 AM,04:49 PM,7,12,13,12,21,84,68,4.5,1022,15,10,191,14,Lebanon
2020-01-13,15,11,0.0,3.8,3,76,07:51 PM,08:52 AM,06:43 AM,04:50 PM,9,14,14,14,11,73,73,7.4,1021,15,10,216,7,Lebanon
2020-01-14,16,9,0.0,8.7,5,69,09:00 PM,09:33 AM,06:43 AM,04:50 PM,6,13,14,13,11,4,58,0.0,1024,16,10,127,8,Lebanon
2020-01-15,18,10,0.0,8.7,4,61,10:07 PM,10:09 AM,06:43 AM,04:51 PM,6,15,16,15,13,47,53,0.1,1021,18,10,117,8,Lebanon
2020-01-16,19,11,0.0,7.1,4,54,11:14 PM,10:44 AM,06:43 AM,04:52 PM,7,16,16,16,16,37,52,0.2,1016,19,10,140,10,Lebanon
2020-01-17,16,13,0.0,3.8,4,47,No moonrise,11:18 AM,06:42 AM,04:53 PM,5,15,15,15,10,70,52,1.8,1014,16,10,217,7,Lebanon
2020-01-18,13,8,0.0,3.8,3,40,12:19 AM,11:53 AM,06:42 AM,04:54 PM,8,12,12,12,8,72,74,8.0,1015,13,10,213,6,Lebanon
2020-01-19,15,6,0.0,3.8,3,32,01:25 AM,12:29 PM,06:42 AM,04:55 PM,8,11,13,11,27,84,71,18.0,1017,15,9,194,18,Lebanon
2020-01-20,14,10,0.0,3.8,3,25,02:29 AM,01:10 PM,06:41 AM,04:56 PM,8,10,12,10,35,83,77,37.6,1020,14,7,215,19,Lebanon
2020-01-21,11,6,0.0,3.8,3,18,03:33 AM,01:54 PM,06:41 AM,04:57 PM,4,9,10,9,20,74,65,11.3,1019,11,9,157,13,Lebanon
2020-01-22,14,4,0.0,8.7,4,11,04:34 AM,02:44 PM,06:41 AM,04:58 PM,4,9,11,9,18,21,60,0.6,1021,14,10,105,12,Lebanon
2020-01-23,13,4,0.0,3.8,3,3,05:31 AM,03:38 PM,06:40 AM,04:59 PM,5,9,11,9,23,66,63,4.0,1019,13,10,180,16,Lebanon
2020-01-24,11,4,0.0,4.0,3,0,06:22 AM,04:34 PM,06:40 AM,05:00 PM,3,7,10,7,47,67,59,18.4,1018,11,8,199,33,Lebanon
2020-01-25,14,3,0.0,8.7,4,0,07:07 AM,05:32 PM,06:39 AM,05:01 PM,1,10,11,10,11,0,46,0.0,1028,14,10,197,8,Lebanon
2020-01-26,13,7,0.0,8.7,4,4,07:47 AM,06:29 PM,06:39 AM,05:02 PM,3,12,12,12,8,14,54,0.0,1028,13,10,150,6,Lebanon
2020-01-27,14,7,0.0,8.7,3,11,08:21 AM,07:26 PM,06:38 AM,05:03 PM,6,12,12,12,7,35,65,0.0,1025,14,10,178,5,Lebanon
2020-01-28,15,11,0.0,8.7,3,18,08:52 AM,08:21 PM,06:38 AM,05:04 PM,8,13,13,13,9,42,69,0.2,1019,15,10,175,6,Lebanon
2020-01-29,15,12,0.0,4.0,3,26,09:22 AM,09:16 PM,06:37 AM,05:05 PM,9,13,14,13,18,79,74,11.9,1019,15,9,195,13,Lebanon
2020-01-30,15,9,0.0,4.0,3,33,09:49 AM,10:10 PM,06:36 AM,05:06 PM,9,11,13,11,26,73,72,4.4,1021,15,10,184,18,Lebanon
2020-01-31,15,8,0.0,4.0,3,37,10:17 AM,11:04 PM,06:36 AM,05:07 PM,6,10,13,10,47,83,64,20.2,1014,15,8,266,29,Lebanon
2020-02-01,14,11,0.0,4.0,3,49,10:45 AM,12:00 AM,06:35 AM,05:08 PM,4,11,13,11,19,55,57,2.1,1018,14,10,258,13,Lebanon
2020-02-02,16,9,0.0,8.7,5,57,11:16 AM,No moonset,06:34 AM,05:09 PM,8,14,15,14,6,18,65,1.2,1021,16,10,240,4,Lebanon
2020-02-03,15,13,0.0,4.0,3,64,11:50 AM,12:57 AM,06:34 AM,05:10 PM,8,14,14,14,8,63,69,0.0,1021,15,10,107,6,Lebanon
2020-02-04,15,10,0.0,5.6,3,72,12:29 PM,01:56 AM,06:33 AM,05:11 PM,8,13,13,13,15,42,69,0.0,1018,15,10,230,10,Lebanon
2020-02-05,17,8,0.0,8.7,4,79,01:16 PM,02:57 AM,06:32 AM,05:12 PM,9,14,14,14,29,37,67,0.8,1014,17,10,198,19,Lebanon
2020-02-06,19,9,0.0,8.7,4,87,02:09 PM,03:58 AM,06:31 AM,05:13 PM,8,15,16,15,37,23,57,1.1,1013,19,10,178,24,Lebanon
2020-02-07,13,5,0.0,4.1,3,95,03:11 PM,04:57 AM,06:30 AM,05:14 PM,8,9,12,9,52,88,75,38.3,1013,13,7,213,32,Lebanon
2020-02-08,12,6,0.0,4.1,3,100,04:18 PM,05:52 AM,06:30 AM,05:15 PM,4,7,11,7,67,76,65,30.7,1014,12,8,265,39,Lebanon
2020-02-09,8,7,0.0,4.1,2,100,05:30 PM,06:41 AM,06:29 AM,05:16 PM,1,5,7,5,16,90,65,4.1,1025,8,7,282,13,Lebanon
2020-02-10,7,5,0.0,4.1,2,83,06:41 PM,07:26 AM,06:28 AM,05:17 PM,-1,3,6,3,18,85,63,3.3,1026,7,9,114,13,Lebanon
2020-02-11,10,2,0.0,5.6,2,75,07:52 PM,08:05 AM,06:27 AM,05:18 PM,1,7,9,7,13,66,57,0.6,1025,10,10,144,9,Lebanon
2020-02-12,14,8,0.0,4.1,3,68,09:02 PM,08:42 AM,06:26 AM,05:19 PM,9,10,12,10,27,85,78,5.4,1022,14,9,174,18,Lebanon
2020-02-13,16,12,0.0,8.7,5,60,10:10 PM,09:18 AM,06:25 AM,05:20 PM,8,14,14,14,15,34,65,0.0,1022,16,10,181,10,Lebanon
2020-02-14,16,13,0.0,7.2,4,53,11:17 PM,09:53 AM,06:24 AM,05:21 PM,8,14,15,14,13,58,66,0.2,1023,16,10,107,8,Lebanon
2020-02-15,17,14,0.0,8.7,5,45,No moonrise,10:30 AM,06:23 AM,05:22 PM,7,15,16,15,13,29,58,0.0,1017,17,10,171,8,Lebanon
2020-02-16,15,9,0.0,5.7,3,38,12:23 AM,11:09 AM,06:22 AM,05:23 PM,9,14,14,14,10,77,69,6.7,1015,15,10,201,7,Lebanon
2020-02-17,15,13,0.0,8.7,4,30,01:27 AM,11:53 AM,06:21 AM,05:23 PM,9,14,14,14,6,41,73,0.6,1018,15,10,173,5,Lebanon
2020-02-18,17,14,0.0,8.7,4,22,02:29 AM,12:40 PM,06:20 AM,05:24 PM,7,15,15,15,15,37,58,0.2,1017,17,10,186,10,Lebanon
2020-02-19,15,13,0.0,4.1,3,15,03:26 AM,01:32 PM,06:19 AM,05:25 PM,9,13,14,13,17,70,71,4.5,1014,15,10,143,11,Lebanon
2020-02-20,15,7,0.0,4.2,3,7,04:18 AM,02:27 PM,06:18 AM,05:26 PM,9,12,14,12,20,78,73,3.7,1016,15,9,185,14,Lebanon
2020-02-21,17,13,0.0,8.7,4,0,05:05 AM,03:24 PM,06:17 AM,05:27 PM,8,14,14,14,32,50,65,9.7,1014,17,9,182,24,Lebanon
2020-02-22,15,12,0.0,4.2,3,0,05:46 AM,04:21 PM,06:16 AM,05:28 PM,8,12,13,12,33,80,71,16.1,1014,15,9,188,23,Lebanon
2020-02-23,15,12,0.0,4.2,3,0,06:21 AM,05:18 PM,06:14 AM,05:29 PM,7,12,13,12,19,76,67,2.9,1018,15,9,186,13,Lebanon
2020-02-24,16,12,0.0,7.2,3,0,06:53 AM,06:14 PM,06:13 AM,05:30 PM,8,14,14,14,13,47,68,1.1,1015,16,10,132,9,Lebanon
2020-02-25,17,10,0.0,5.7,4,8,07:23 AM,07:09 PM,06:12 AM,05:31 PM,10,14,15,14,9,33,68,0.4,1012,17,10,207,7,Lebanon
2020-02-26,16,9,0.0,8.7,4,15,07:51 AM,08:03 PM,06:11 AM,05:32 PM,10,14,14,14,17,20,74,0.1,1017,16,10,237,12,Lebanon
2020-02-27,17,13,0.0,7.2,4,23,08:18 AM,08:57 PM,06:10 AM,05:32 PM,9,14,15,14,9,39,68,0.0,1019,17,10,226,6,Lebanon
2020-02-28,18,12,0.0,7.2,4,30,08:46 AM,09:52 PM,06:09 AM,05:33 PM,8,14,15,14,21,36,62,4.5,1014,18,10,207,15,Lebanon
2020-02-29,15,12,0.0,4.2,3,38,09:16 AM,10:47 PM,06:07 AM,05:34 PM,8,12,14,12,43,67,68,14.2,1011,15,10,214,28,Lebanon
2020-03-01,14,8,0.0,5.7,3,44,09:48 AM,11:45 PM,06:06 AM,05:35 PM,6,11,13,11,28,60,66,24.1,1013,14,8,275,17,Lebanon
2020-03-02,15,11,0.0,5.7,3,51,10:24 AM,No moonset,06:05 AM,05:36 PM,8,12,13,12,21,49,69,0.6,1019,15,10,196,15,Lebanon
2020-03-03,16,12,0.0,8.7,4,58,11:06 AM,12:43 AM,06:04 AM,05:37 PM,9,14,14,14,15,3,71,0.0,1020,16,10,139,10,Lebanon
2020-03-04,21,12,0.0,7.2,4,65,11:54 AM,01:43 AM,06:02 AM,05:37 PM,9,18,19,18,12,20,52,0.0,1015,21,10,169,7,Lebanon
2020-03-05,22,14,0.0,8.7,5,73,12:50 PM,02:41 AM,06:01 AM,05:38 PM,8,20,21,20,9,24,45,0.0,1011,22,10,140,5,Lebanon
2020-03-06,17,6,0.0,8.6,3,80,01:54 PM,03:37 AM,06:00 AM,05:39 PM,9,13,14,13,20,62,67,15.1,1009,17,9,136,15,Lebanon
2020-03-07,17,8,0.0,8.8,4,87,03:03 PM,04:28 AM,05:59 AM,05:40 PM,11,14,15,14,7,37,73,3.3,1017,17,10,276,5,Lebanon
2020-03-08,18,10,0.0,11.6,4,95,04:14 PM,05:15 AM,05:57 AM,05:41 PM,12,16,16,16,15,12,72,0.0,1020,18,10,127,9,Lebanon
2020-03-09,23,12,0.0,7.3,5,100,05:27 PM,05:57 AM,05:56 AM,05:41 PM,10,20,20,20,15,50,52,0.0,1014,23,10,136,8,Lebanon
2020-03-10,17,14,0.0,8.8,4,100,06:39 PM,06:35 AM,05:55 AM,05:42 PM,11,17,17,17,17,35,71,0.0,1015,17,10,159,12,Lebanon
2020-03-11,18,13,0.0,10.2,4,84,07:50 PM,07:12 AM,05:54 AM,05:43 PM,12,16,16,16,27,44,73,0.0,1014,18,10,13,18,Lebanon
2020-03-12,25,12,0.0,11.6,6,76,09:01 PM,07:48 AM,05:52 AM,05:44 PM,10,22,22,21,35,47,48,0.3,1007,25,10,43,17,Lebanon
2020-03-13,19,8,0.0,6.0,4,69,10:10 PM,08:26 AM,05:51 AM,05:45 PM,10,16,16,16,47,82,65,9.0,1001,19,9,115,34,Lebanon
2020-03-14,17,8,0.0,6.0,4,62,11:18 PM,09:06 AM,05:50 AM,05:45 PM,12,15,15,15,12,77,79,4.6,1007,17,9,249,9,Lebanon
2020-03-15,17,10,0.0,11.6,5,55,No moonrise,09:49 AM,05:48 AM,05:46 PM,13,15,16,15,11,11,81,0.0,1015,17,10,230,8,Lebanon
2020-03-16,18,12,0.0,11.6,5,47,12:22 AM,10:36 AM,05:47 AM,05:47 PM,13,16,17,16,12,12,77,0.0,1013,18,10,227,9,Lebanon
2020-03-17,17,12,0.0,8.8,3,40,01:23 AM,11:28 AM,05:46 AM,05:48 PM,10,14,15,14,31,42,73,11.9,1009,17,9,208,22,Lebanon
2020-03-18,13,9,0.0,6.0,3,33,02:16 AM,12:22 PM,05:44 AM,05:48 PM,7,10,12,10,32,85,73,20.9,1008,13,8,245,22,Lebanon
2020-03-19,15,12,0.0,7.4,3,25,03:05 AM,01:19 PM,05:43 AM,05:49 PM,7,11,13,11,38,80,66,11.0,1012,15,9,205,28,Lebanon
2020-03-20,12,4,0.0,6.0,3,18,03:47 AM,02:16 PM,05:42 AM,05:50 PM,5,8,10,8,13,73,66,11.7,1013,12,9,198,11,Lebanon
2020-03-21,13,6,0.0,11.6,3,11,04:23 AM,03:13 PM,05:40 AM,05:51 PM,4,10,12,10,13,38,57,0.3,1012,13,10,136,10,Lebanon
2020-03-22,17,12,0.0,11.6,5,4,04:56 AM,04:08 PM,05:39 AM,05:52 PM,6,14,15,14,8,15,57,0.1,1016,17,10,153,7,Lebanon
2020-03-23,17,13,0.0,11.6,5,0,05:26 AM,05:03 PM,05:38 AM,05:52 PM,7,15,15,15,11,10,58,0.0,1014,17,10,206,8,Lebanon
2020-03-24,20,14,0.0,11.6,5,0,05:54 AM,05:58 PM,05:36 AM,05:53 PM,10,17,18,17,22,21,60,0.2,1007,20,10,164,14,Lebanon
2020-03-25,17,13,0.0,11.6,5,3,06:21 AM,06:52 PM,05:35 AM,05:54 PM,11,16,16,16,15,13,75,0.1,1011,17,10,214,12,Lebanon
2020-03-26,19,12,0.0,11.6,5,11,06:49 AM,07:47 PM,05:34 AM,05:54 PM,10,16,16,16,13,22,65,0.0,1009,19,10,223,9,Lebanon
2020-03-27,18,11,0.0,10.2,4,18,07:18 AM,08:42 PM,05:32 AM,05:55 PM,11,16,16,16,15,40,70,1.3,1009,18,8,249,10,Lebanon
2020-03-28,17,14,0.0,6.1,4,25,07:49 AM,09:39 PM,05:31 AM,05:56 PM,12,15,16,15,17,60,78,2.2,1013,17,9,232,13,Lebanon
2020-03-29,16,13,0.0,7.5,3,32,08:22 AM,10:36 PM,05:29 AM,05:57 PM,10,13,14,13,37,71,75,9.4,1012,16,10,210,26,Lebanon
2020-03-30,18,11,0.0,6.1,4,40,09:02 AM,11:34 PM,05:28 AM,05:57 PM,10,15,16,15,29,79,68,6.5,1012,18,10,202,19,Lebanon
2020-03-31,23,12,0.0,10.2,5,44,09:47 AM,No moonset,05:27 AM,05:58 PM,9,19,20,19,38,50,53,0.1,1008,23,10,146,21,Lebanon
2020-04-01,17,15,0.0,8.9,4,56,10:38 AM,12:31 AM,05:25 AM,05:59 PM,12,16,16,16,33,70,78,6.7,1009,17,10,205,24,Lebanon
2020-04-02,17,11,0.0,12.8,5,64,11:37 AM,01:27 AM,05:24 AM,06:00 PM,11,14,15,14,22,33,74,2.6,1014,17,10,210,17,Lebanon
2020-04-03,18,12,0.0,12.8,5,71,12:41 PM,02:18 AM,05:23 AM,06:00 PM,9,15,16,15,24,12,63,0.0,1015,18,10,206,18,Lebanon
2020-04-04,19,13,0.0,12.8,5,79,01:50 PM,03:05 AM,05:21 AM,06:01 PM,11,17,18,17,16,17,64,0.0,1017,19,10,176,11,Lebanon
2020-04-05,27,16,0.0,10.6,5,87,03:00 PM,03:48 AM,05:20 AM,06:02 PM,10,22,22,21,36,52,50,0.0,1012,27,10,147,20,Lebanon
2020-04-06,18,16,0.0,12.8,5,94,04:12 PM,04:27 AM,05:19 AM,06:03 PM,13,17,17,17,16,39,80,0.1,1015,18,10,221,13,Lebanon
2020-04-07,17,12,0.0,12.9,4,100,05:24 PM,05:04 AM,05:17 AM,06:03 PM,10,15,16,15,10,32,66,0.1,1014,17,10,240,8,Lebanon
2020-04-08,17,15,0.0,12.9,5,100,06:35 PM,05:41 AM,05:16 AM,06:04 PM,9,16,16,16,10,14,65,0.0,1015,17,10,242,8,Lebanon
2020-04-09,17,13,0.0,10.6,4,83,07:48 PM,06:17 AM,05:15 AM,06:05 PM,11,15,16,15,15,47,72,0.9,1013,17,10,213,12,Lebanon
2020-04-10,16,11,0.0,8.1,3,76,08:58 PM,06:57 AM,05:13 AM,06:06 PM,10,13,14,13,29,79,75,18.0,1011,16,8,201,19,Lebanon
2020-04-11,16,11,0.0,8.1,4,68,10:07 PM,07:40 AM,05:12 AM,06:06 PM,11,14,15,14,27,73,78,13.8,1013,16,9,201,18,Lebanon
2020-04-12,20,15,0.0,13.0,5,61,11:12 PM,08:27 AM,05:11 AM,06:07 PM,13,17,18,17,10,1,75,0.0,1017,20,10,219,9,Lebanon
2020-04-13,20,14,0.0,13.0,5,53,No moonrise,09:19 AM,05:10 AM,06:08 PM,10,18,18,18,9,3,59,0.0,1017,20,10,179,7,Lebanon
2020-04-14,19,16,0.0,13.0,5,46,12:11 AM,10:14 AM,05:08 AM,06:09 PM,11,18,18,18,21,0,66,0.0,1016,19,10,96,14,Lebanon
2020-04-15,20,16,0.0,13.0,4,38,01:02 AM,11:12 AM,05:07 AM,06:09 PM,12,18,18,18,12,24,67,0.0,1017,20,10,218,8,Lebanon
2020-04-16,22,18,0.0,13.0,5,30,01:47 AM,12:09 PM,05:06 AM,06:10 PM,11,20,21,20,12,49,57,2.1,1011,22,10,123,8,Lebanon
2020-04-17,19,16,0.0,12.0,4,23,02:25 AM,01:07 PM,05:05 AM,06:11 PM,13,17,18,17,25,55,75,2.7,1010,19,10,210,17,Lebanon
2020-04-18,21,12,0.0,13.1,6,15,02:59 AM,02:03 PM,05:03 AM,06:12 PM,14,19,19,19,9,11,73,0.0,1013,21,10,208,6,Lebanon
