date_time,Liberia_maxtempC,Liberia_mintempC,Liberia_totalSnow_cm,Liberia_sunHour,Liberia_uvIndex,Liberia_moon_illumination,Liberia_moonrise,Liberia_moonset,Liberia_sunrise,Liberia_sunset,Liberia_DewPointC,Liberia_FeelsLikeC,Liberia_HeatIndexC,Liberia_WindChillC,Liberia_WindGustKmph,Liberia_cloudcover,Liberia_humidity,Liberia_precipMM,Liberia_pressure,Liberia_tempC,Liberia_visibility,Liberia_winddirDegree,Liberia_windspeedKmph,Liberia_location
2020-01-01,30,26,0.0,7.3,6,37,11:43 AM,11:57 PM,06:54 AM,06:39 PM,23,31,31,28,14,54,76,1.8,1011,30,10,268,10,Liberia
2020-01-02,30,25,0.0,5.9,6,44,12:22 PM,No moonset,06:54 AM,06:40 PM,23,30,30,27,15,56,78,1.2,1012,30,10,243,11,Liberia
2020-01-03,31,24,0.0,11.6,7,51,01:01 PM,12:39 AM,06:54 AM,06:40 PM,22,30,30,27,14,19,75,0.0,1012,31,10,205,10,Liberia
2020-01-04,31,23,0.0,11.6,7,59,01:40 PM,01:23 AM,06:55 AM,06:41 PM,17,28,28,26,15,4,60,0.0,1012,31,10,106,10,Liberia
2020-01-05,30,23,0.0,11.6,7,66,02:21 PM,02:07 AM,06:55 AM,06:41 PM,20,28,28,26,15,0,69,0.0,1012,30,10,168,10,Liberia
2020-01-06,29,23,0.0,11.6,7,73,03:05 PM,02:54 AM,06:56 AM,06:42 PM,21,28,28,26,16,3,73,0.0,1011,29,10,201,11,Liberia
2020-01-07,29,24,0.0,11.6,7,80,03:53 PM,03:43 AM,06:56 AM,06:42 PM,21,29,29,26,18,4,73,0.0,1011,29,10,242,12,Liberia
2020-01-08,29,25,0.0,11.6,7,88,04:44 PM,04:36 AM,06:56 AM,06:43 PM,22,30,30,27,20,10,75,0.0,1011,29,10,237,14,Liberia
2020-01-09,29,25,0.0,11.6,7,95,05:40 PM,05:32 AM,06:57 AM,06:43 PM,22,30,30,27,18,15,76,0.0,1011,29,10,236,13,Liberia
2020-01-10,30,26,0.0,10.2,6,100,06:39 PM,06:31 AM,06:57 AM,06:44 PM,23,31,31,28,19,33,78,0.0,1012,30,10,266,14,Liberia
2020-01-11,30,27,0.0,7.4,6,100,07:40 PM,07:30 AM,06:57 AM,06:44 PM,23,31,31,28,15,64,75,4.1,1012,30,10,205,11,Liberia
2020-01-12,29,26,0.0,5.9,6,83,08:40 PM,08:28 AM,06:58 AM,06:45 PM,23,31,31,28,16,62,78,5.4,1012,29,10,252,11,Liberia
2020-01-13,30,26,0.0,7.4,6,76,09:39 PM,09:24 AM,06:58 AM,06:45 PM,24,31,31,27,19,49,81,1.7,1010,30,10,275,13,Liberia
2020-01-14,31,26,0.0,10.2,6,69,10:34 PM,10:16 AM,06:58 AM,06:46 PM,24,31,31,27,16,35,80,0.1,1010,31,10,242,12,Liberia
2020-01-15,30,25,0.0,7.4,6,61,11:29 PM,11:06 AM,06:59 AM,06:46 PM,23,31,31,27,18,47,80,2.1,1011,30,10,284,13,Liberia
2020-01-16,31,26,0.0,11.6,7,54,No moonrise,11:54 AM,06:59 AM,06:47 PM,24,32,32,28,16,20,78,0.0,1011,31,10,193,12,Liberia
2020-01-17,29,27,0.0,8.8,6,47,12:21 AM,12:41 PM,06:59 AM,06:47 PM,23,31,31,28,18,36,77,0.2,1012,29,10,270,13,Liberia
2020-01-18,29,25,0.0,11.6,7,40,01:13 AM,01:28 PM,06:59 AM,06:48 PM,23,31,31,27,18,18,80,0.0,1012,29,10,240,13,Liberia
2020-01-19,29,25,0.0,7.2,6,32,02:06 AM,02:17 PM,07:00 AM,06:48 PM,23,30,30,27,18,49,80,0.6,1011,29,10,279,13,Liberia
2020-01-20,29,26,0.0,5.7,6,25,03:00 AM,03:07 PM,07:00 AM,06:48 PM,23,31,31,27,15,70,78,2.1,1010,29,9,270,11,Liberia
2020-01-21,30,26,0.0,5.7,6,18,03:55 AM,04:00 PM,07:00 AM,06:49 PM,23,31,31,28,14,66,76,4.9,1011,30,9,196,10,Liberia
2020-01-22,30,26,0.0,8.7,6,11,04:50 AM,04:54 PM,07:00 AM,06:49 PM,24,32,32,28,13,46,78,3.2,1011,30,10,256,9,Liberia
2020-01-23,30,26,0.0,10.1,6,3,05:45 AM,05:48 PM,07:00 AM,06:50 PM,24,32,32,28,16,59,81,6.5,1011,30,9,265,11,Liberia
