date_time,Lithuania_maxtempC,Lithuania_mintempC,Lithuania_totalSnow_cm,Lithuania_sunHour,Lithuania_uvIndex,Lithuania_moon_illumination,Lithuania_moonrise,Lithuania_moonset,Lithuania_sunrise,Lithuania_sunset,Lithuania_DewPointC,Lithuania_FeelsLikeC,Lithuania_HeatIndexC,Lithuania_WindChillC,Lithuania_WindGustKmph,Lithuania_cloudcover,Lithuania_humidity,Lithuania_precipMM,Lithuania_pressure,Lithuania_tempC,Lithuania_visibility,Lithuania_winddirDegree,Lithuania_windspeedKmph,Lithuania_location
2020-01-01,2,-4,0.0,7.6,1,37,12:00 PM,10:54 PM,08:42 AM,04:02 PM,-2,-4,1,-4,31,64,80,0.2,1021,2,9,294,20,Lithuania
2020-01-02,3,-3,0.0,6.8,1,44,12:13 PM,No moonset,08:41 AM,04:04 PM,0,-2,2,-2,31,63,83,0.2,1020,3,10,267,20,Lithuania
2020-01-03,2,-3,0.0,7.6,1,51,12:27 PM,12:03 AM,08:41 AM,04:05 PM,-4,-3,1,-3,27,29,69,0.0,1015,2,10,233,16,Lithuania
2020-01-04,3,-5,6.5,2.9,1,59,12:41 PM,01:13 AM,08:41 AM,04:06 PM,-0,-4,1,-4,31,91,86,9.7,1005,3,6,256,21,Lithuania
2020-01-05,-0,-5,0.0,4.8,1,66,12:56 PM,02:23 AM,08:40 AM,04:07 PM,-6,-6,-1,-6,26,35,71,0.0,1019,-0,10,310,17,Lithuania
2020-01-06,2,-2,0.3,2.9,1,73,01:14 PM,03:37 AM,08:40 AM,04:09 PM,-2,-4,0,-4,24,92,86,4.9,1024,2,8,249,15,Lithuania
2020-01-07,1,-3,0.0,2.9,1,80,01:37 PM,04:51 AM,08:39 AM,04:10 PM,-0,-3,1,-3,18,89,94,0.5,1025,1,7,234,12,Lithuania
2020-01-08,1,-6,0.0,4.8,1,88,02:08 PM,06:06 AM,08:39 AM,04:11 PM,-2,-5,-1,-5,22,66,92,0.9,1022,1,8,212,14,Lithuania
2020-01-09,3,-3,0.0,2.9,1,95,02:50 PM,07:19 AM,08:38 AM,04:13 PM,1,-2,1,-2,20,87,97,2.1,1017,3,5,250,12,Lithuania
2020-01-10,3,-2,0.0,2.9,1,100,03:46 PM,08:24 AM,08:38 AM,04:14 PM,2,-1,2,-1,19,100,98,15.1,1012,3,5,188,11,Lithuania
2020-01-11,5,-1,0.0,2.9,1,100,04:57 PM,09:17 AM,08:37 AM,04:16 PM,2,0,2,0,14,76,94,25.5,1019,5,6,132,9,Lithuania
2020-01-12,3,-0,0.0,6.8,1,83,06:19 PM,09:57 AM,08:36 AM,04:18 PM,-1,-3,1,-3,31,67,85,0.1,1021,3,9,229,19,Lithuania
2020-01-13,4,-2,0.0,2.9,1,76,07:46 PM,10:27 AM,08:35 AM,04:19 PM,2,-1,3,-1,22,100,92,7.3,1015,4,8,249,14,Lithuania
2020-01-14,3,1,0.0,4.9,1,69,09:13 PM,10:51 AM,08:34 AM,04:21 PM,1,-1,2,-1,23,80,89,0.6,1018,3,9,206,14,Lithuania
2020-01-15,4,1,0.0,7.9,1,61,10:39 PM,11:10 AM,08:33 AM,04:23 PM,-1,-3,2,-3,33,66,81,0.0,1019,4,10,198,21,Lithuania
2020-01-16,4,-3,0.0,4.9,1,54,No moonrise,11:28 AM,08:32 AM,04:24 PM,1,-1,3,-1,26,64,83,0.2,1022,4,10,243,16,Lithuania
2020-01-17,3,-2,0.0,8.0,1,47,12:04 AM,11:45 AM,08:31 AM,04:26 PM,-0,-2,1,-2,19,39,90,0.0,1030,3,8,217,11,Lithuania
2020-01-18,2,-3,0.0,8.0,1,40,01:28 AM,12:02 PM,08:30 AM,04:28 PM,-4,-3,1,-3,29,49,71,0.0,1022,2,10,190,17,Lithuania
2020-01-19,3,-5,0.0,3.0,1,32,02:50 AM,12:22 PM,08:29 AM,04:30 PM,0,-0,1,-0,9,93,90,0.0,1027,3,10,186,6,Lithuania
2020-01-20,1,-3,0.0,4.9,1,25,04:11 AM,12:48 PM,08:28 AM,04:32 PM,-0,-3,0,-3,21,68,94,0.0,1037,1,6,265,13,Lithuania
2020-01-21,6,-1,0.0,3.0,2,18,05:29 AM,01:20 PM,08:26 AM,04:34 PM,3,0,4,0,41,99,87,0.3,1026,6,9,274,26,Lithuania
2020-01-22,4,0,0.3,3.0,1,11,06:39 AM,02:02 PM,08:25 AM,04:36 PM,-0,-2,3,-2,38,93,78,2.3,1013,4,6,298,26,Lithuania
2020-01-23,2,-3,0.0,3.0,1,3,07:39 AM,02:54 PM,08:24 AM,04:37 PM,-3,-5,-0,-5,29,60,80,0.0,1024,2,10,298,18,Lithuania
2020-01-24,4,-2,0.0,3.1,1,0,08:25 AM,03:57 PM,08:22 AM,04:39 PM,2,-1,3,-1,36,100,88,1.6,1015,4,8,255,23,Lithuania
2020-01-25,5,-0,1.3,3.1,1,0,09:01 AM,05:05 PM,08:21 AM,04:41 PM,0,-1,3,-1,31,78,80,2.3,1011,5,8,279,20,Lithuania
2020-01-26,3,-2,0.0,3.1,1,4,09:28 AM,06:16 PM,08:19 AM,04:43 PM,-0,-2,1,-2,19,78,91,0.0,1018,3,6,247,12,Lithuania
2020-01-27,2,-4,2.3,3.1,1,11,09:49 AM,07:28 PM,08:18 AM,04:45 PM,-0,-2,1,-2,15,97,92,3.3,1014,2,6,219,10,Lithuania
2020-01-28,3,-6,0.0,3.1,1,18,10:05 AM,08:39 PM,08:16 AM,04:47 PM,-0,-3,1,-3,19,94,91,0.0,1006,3,8,172,12,Lithuania
2020-01-29,2,-1,5.8,3.1,1,26,10:20 AM,09:48 PM,08:14 AM,04:50 PM,1,-1,2,-1,16,99,97,7.1,996,2,3,134,11,Lithuania
2020-01-30,2,0,0.6,3.1,1,33,10:33 AM,10:57 PM,08:13 AM,04:52 PM,0,-3,1,-3,19,98,94,1.2,1000,2,7,281,13,Lithuania
2020-01-31,4,-0,0.9,3.2,1,37,10:46 AM,No moonset,08:11 AM,04:54 PM,2,0,2,0,10,99,96,1.4,999,4,4,172,6,Lithuania
2020-02-01,5,1,0.0,3.2,1,49,11:01 AM,12:07 AM,08:09 AM,04:56 PM,3,1,3,1,19,95,96,5.3,999,5,7,224,12,Lithuania
2020-02-02,6,-3,0.3,3.2,1,57,11:17 AM,01:17 AM,08:08 AM,04:58 PM,3,0,4,0,33,98,89,13.0,992,6,7,251,23,Lithuania
