date_time,Luxembourg_maxtempC,Luxembourg_mintempC,Luxembourg_totalSnow_cm,Luxembourg_sunHour,Luxembourg_uvIndex,Luxembourg_moon_illumination,Luxembourg_moonrise,Luxembourg_moonset,Luxembourg_sunrise,Luxembourg_sunset,Luxembourg_DewPointC,Luxembourg_FeelsLikeC,Luxembourg_HeatIndexC,Luxembourg_WindChillC,Luxembourg_WindGustKmph,Luxembourg_cloudcover,Luxembourg_humidity,Luxembourg_precipMM,Luxembourg_pressure,Luxembourg_tempC,Luxembourg_visibility,Luxembourg_winddirDegree,Luxembourg_windspeedKmph,Luxembourg_location
2020-01-01,4,-0,0.0,8.1,1,37,12:09 PM,11:21 PM,08:32 AM,04:45 PM,0,-0,2,-0,10,7,88,0.0,1033,4,8,81,6,Luxembourg
2020-01-02,3,-1,0.0,3.1,1,44,12:27 PM,No moonset,08:32 AM,04:46 PM,0,-1,1,-1,11,68,91,0.0,1029,3,8,154,7,Luxembourg
2020-01-03,7,1,0.0,3.1,2,51,12:46 PM,12:25 AM,08:32 AM,04:47 PM,5,1,5,1,33,99,94,1.9,1024,7,6,231,20,Luxembourg
2020-01-04,4,1,0.0,4.9,1,59,01:04 PM,01:30 AM,08:32 AM,04:49 PM,1,-0,3,-0,20,59,89,0.3,1033,4,10,282,12,Luxembourg
2020-01-05,6,2,0.0,8.2,1,66,01:24 PM,02:35 AM,08:32 AM,04:50 PM,2,3,4,3,6,32,89,0.0,1035,6,10,243,4,Luxembourg
2020-01-06,4,1,0.0,8.2,1,73,01:48 PM,03:43 AM,08:31 AM,04:51 PM,1,1,2,1,10,15,90,0.0,1029,4,7,132,6,Luxembourg
2020-01-07,5,1,0.0,5.0,1,80,02:15 PM,04:53 AM,08:31 AM,04:52 PM,2,0,3,0,19,72,93,0.2,1028,5,7,234,11,Luxembourg
2020-01-08,7,1,0.0,3.1,2,88,02:51 PM,06:03 AM,08:31 AM,04:53 PM,5,2,5,2,20,99,97,0.3,1026,7,4,188,12,Luxembourg
2020-01-09,10,5,0.0,3.1,2,95,03:37 PM,07:12 AM,08:30 AM,04:55 PM,8,6,9,6,27,100,97,14.1,1019,10,7,199,17,Luxembourg
2020-01-10,7,4,0.0,3.1,2,100,04:35 PM,08:15 AM,08:30 AM,04:56 PM,4,2,6,2,37,84,84,10.2,1019,7,9,251,24,Luxembourg
2020-01-11,5,2,0.0,8.3,2,100,05:44 PM,09:09 AM,08:29 AM,04:57 PM,1,2,3,2,9,24,89,0.0,1032,5,10,231,5,Luxembourg
2020-01-12,5,0,0.0,6.8,1,83,07:02 PM,09:53 AM,08:29 AM,04:59 PM,1,-1,3,-1,23,54,91,0.0,1027,5,8,212,14,Luxembourg
2020-01-13,6,2,0.0,3.3,1,76,08:22 PM,10:28 AM,08:28 AM,05:00 PM,3,1,4,1,22,93,92,0.3,1020,6,6,194,14,Luxembourg
2020-01-14,7,3,0.0,3.3,2,69,09:44 PM,10:57 AM,08:27 AM,05:01 PM,3,2,6,2,38,93,78,2.7,1012,7,6,201,23,Luxembourg
2020-01-15,9,5,0.0,8.7,2,61,11:04 PM,11:22 AM,08:27 AM,05:03 PM,4,4,7,4,32,64,81,0.7,1015,9,9,204,19,Luxembourg
2020-01-16,8,4,0.0,5.1,2,54,No moonrise,11:45 AM,08:26 AM,05:04 PM,4,4,5,4,16,57,93,0.1,1025,8,6,163,9,Luxembourg
2020-01-17,7,5,0.0,3.3,2,47,12:22 AM,12:07 PM,08:25 AM,05:06 PM,4,3,6,3,23,72,89,0.9,1019,7,8,190,13,Luxembourg
2020-01-18,4,1,0.3,3.3,1,40,01:40 AM,12:30 PM,08:24 AM,05:07 PM,0,-2,2,-2,26,82,86,0.7,1026,4,8,269,17,Luxembourg
2020-01-19,3,0,1.6,3.3,1,32,02:57 AM,12:57 PM,08:24 AM,05:09 PM,-1,-3,1,-3,22,72,87,2.5,1035,3,8,178,13,Luxembourg
2020-01-20,3,-1,0.0,8.7,2,25,04:12 AM,01:28 PM,08:23 AM,05:10 PM,-2,-3,1,-3,23,7,85,0.0,1044,3,10,41,14,Luxembourg
2020-01-21,5,-1,0.0,8.7,2,18,05:25 AM,02:04 PM,08:22 AM,05:12 PM,-2,-1,1,-1,13,2,81,0.0,1042,5,10,45,8,Luxembourg
2020-01-22,4,-1,0.0,8.7,2,11,06:31 AM,02:50 PM,08:21 AM,05:14 PM,-4,-1,1,-1,15,13,67,0.0,1036,4,10,36,8,Luxembourg
