date_time,Madagascar_maxtempC,Madagascar_mintempC,Madagascar_totalSnow_cm,Madagascar_sunHour,Madagascar_uvIndex,Madagascar_moon_illumination,Madagascar_moonrise,Madagascar_moonset,Madagascar_sunrise,Madagascar_sunset,Madagascar_DewPointC,Madagascar_FeelsLikeC,Madagascar_HeatIndexC,Madagascar_WindChillC,Madagascar_WindGustKmph,Madagascar_cloudcover,Madagascar_humidity,Madagascar_precipMM,Madagascar_pressure,Madagascar_tempC,Madagascar_visibility,Madagascar_winddirDegree,Madagascar_windspeedKmph,Madagascar_location
2020-01-01,26,18,0.0,9.5,5,37,10:27 AM,11:08 PM,05:16 AM,06:30 PM,18,23,23,22,10,68,81,26.0,1010,26,6,201,6,Madagascar
2020-01-02,19,18,0.0,8.2,4,44,11:15 AM,11:43 PM,05:16 AM,06:31 PM,18,19,19,19,11,88,95,24.6,1012,19,8,39,8,Madagascar
2020-01-03,22,18,0.0,12.0,4,51,12:03 PM,No moonset,05:17 AM,06:31 PM,17,19,20,19,13,63,88,12.8,1014,22,9,211,10,Madagascar
2020-01-04,24,18,0.0,9.5,5,59,12:51 PM,12:16 AM,05:18 AM,06:31 PM,18,20,21,20,13,75,88,38.4,1013,24,8,219,7,Madagascar
2020-01-05,27,17,0.0,10.7,5,66,01:41 PM,12:52 AM,05:18 AM,06:32 PM,17,20,21,20,14,58,84,27.9,1012,27,7,117,9,Madagascar
2020-01-06,27,17,0.0,12.0,5,73,02:32 PM,01:29 AM,05:19 AM,06:32 PM,16,22,22,20,16,56,81,22.3,1013,27,8,102,10,Madagascar
2020-01-07,24,17,0.0,13.1,5,80,03:27 PM,02:10 AM,05:20 AM,06:32 PM,17,20,21,20,11,55,83,8.4,1014,24,10,113,8,Madagascar
2020-01-08,25,17,0.0,9.5,5,88,04:24 PM,02:55 AM,05:20 AM,06:32 PM,17,20,21,20,11,73,84,43.2,1014,25,8,101,7,Madagascar
2020-01-09,26,16,0.0,10.7,5,95,05:24 PM,03:46 AM,05:21 AM,06:33 PM,17,20,20,20,13,61,86,13.5,1013,26,8,106,9,Madagascar
2020-01-10,27,16,0.0,13.1,5,100,06:22 PM,04:41 AM,05:22 AM,06:33 PM,15,22,22,21,12,28,76,0.0,1014,27,8,112,9,Madagascar
