date_time,Malawi_maxtempC,Malawi_mintempC,Malawi_totalSnow_cm,Malawi_sunHour,Malawi_uvIndex,Malawi_moon_illumination,Malawi_moonrise,Malawi_moonset,Malawi_sunrise,Malawi_sunset,Malawi_DewPointC,Malawi_FeelsLikeC,Malawi_HeatIndexC,Malawi_WindChillC,Malawi_WindGustKmph,Malawi_cloudcover,Malawi_humidity,Malawi_precipMM,Malawi_pressure,Malawi_tempC,Malawi_visibility,Malawi_winddirDegree,Malawi_windspeedKmph,Malawi_location
2020-01-01,27,20,0.0,8.1,5,37,10:27 AM,11:02 PM,05:20 AM,06:16 PM,19,24,24,23,9,72,80,28.0,1009,27,8,133,6,Malawi
2020-01-02,27,21,0.0,8.1,5,44,11:14 AM,11:38 PM,05:21 AM,06:16 PM,19,25,25,23,8,75,79,15.9,1010,27,9,112,5,Malawi
2020-01-03,24,20,0.0,8.1,5,51,11:59 AM,No moonset,05:21 AM,06:17 PM,19,21,22,21,9,80,89,30.6,1012,24,8,150,5,Malawi
2020-01-04,27,20,0.0,8.1,5,59,12:45 PM,12:14 AM,05:22 AM,06:17 PM,19,25,25,23,7,76,81,26.6,1012,27,8,91,4,Malawi
2020-01-05,24,20,0.0,9.4,5,66,01:34 PM,12:51 AM,05:22 AM,06:17 PM,19,24,24,22,8,67,82,7.1,1011,24,10,119,5,Malawi
2020-01-06,26,20,0.0,8.1,5,73,02:23 PM,01:31 AM,05:23 AM,06:18 PM,19,24,24,23,11,78,80,22.4,1010,26,8,269,6,Malawi
2020-01-07,29,21,0.0,10.7,6,80,03:17 PM,02:13 AM,05:24 AM,06:18 PM,19,25,25,24,10,64,76,24.0,1010,29,7,232,6,Malawi
2020-01-08,26,21,0.0,9.4,5,88,04:12 PM,03:00 AM,05:24 AM,06:18 PM,18,24,24,22,12,73,78,16.2,1011,26,9,273,8,Malawi
2020-01-09,30,21,0.0,8.1,6,95,05:11 PM,03:52 AM,05:25 AM,06:19 PM,19,26,26,25,6,79,72,13.5,1009,30,9,179,4,Malawi
2020-01-10,28,19,0.0,10.7,5,100,06:10 PM,04:48 AM,05:25 AM,06:19 PM,19,25,25,23,8,67,77,10.4,1010,28,9,198,5,Malawi
2020-01-11,25,20,0.0,9.4,5,100,07:08 PM,05:49 AM,05:26 AM,06:19 PM,19,24,24,22,12,61,81,16.7,1011,25,8,136,7,Malawi
2020-01-12,25,20,0.0,12.9,5,83,08:03 PM,06:51 AM,05:27 AM,06:19 PM,19,23,23,22,10,50,83,27.1,1012,25,8,260,6,Malawi
2020-01-13,25,20,0.0,8.1,5,76,08:55 PM,07:53 AM,05:27 AM,06:19 PM,19,23,23,22,6,80,83,12.4,1010,25,9,224,4,Malawi
2020-01-14,25,20,0.0,8.1,5,69,09:44 PM,08:53 AM,05:28 AM,06:20 PM,19,24,24,22,9,78,84,30.0,1009,25,8,117,6,Malawi
2020-01-15,26,20,0.0,9.4,5,61,10:29 PM,09:52 AM,05:28 AM,06:20 PM,19,24,24,22,11,70,85,23.0,1010,26,8,142,7,Malawi
2020-01-16,26,20,0.0,8.1,5,54,11:13 PM,10:48 AM,05:29 AM,06:20 PM,19,23,23,22,13,77,84,8.2,1010,26,10,283,9,Malawi
2020-01-17,25,20,0.0,8.1,5,47,11:57 PM,11:44 AM,05:29 AM,06:20 PM,20,24,24,22,15,83,84,17.8,1009,25,8,299,10,Malawi
2020-01-18,25,20,0.0,9.4,5,40,No moonrise,12:39 PM,05:30 AM,06:20 PM,19,23,23,22,15,75,87,22.1,1008,25,8,291,11,Malawi
2020-01-19,25,20,0.0,10.6,5,32,12:41 AM,01:36 PM,05:31 AM,06:20 PM,19,23,23,22,31,69,84,6.0,1008,25,9,305,22,Malawi
2020-01-20,26,20,0.0,10.6,5,25,01:29 AM,02:32 PM,05:31 AM,06:20 PM,19,24,24,22,19,56,83,7.1,1008,26,10,265,13,Malawi
2020-01-21,22,18,0.0,9.3,5,18,02:17 AM,03:29 PM,05:32 AM,06:20 PM,17,20,21,20,11,66,84,0.3,1011,22,10,184,9,Malawi
2020-01-22,23,16,0.0,10.6,5,11,03:09 AM,04:25 PM,05:32 AM,06:20 PM,16,19,20,19,9,60,81,0.6,1011,23,10,176,7,Malawi
2020-01-23,28,17,0.0,12.9,6,3,04:03 AM,05:19 PM,05:33 AM,06:20 PM,16,23,23,22,8,32,73,0.2,1011,28,10,179,6,Malawi
2020-01-24,28,17,0.0,12.9,5,0,04:57 AM,06:10 PM,05:33 AM,06:20 PM,16,23,23,22,10,30,75,1.3,1013,28,10,133,7,Malawi
2020-01-25,27,18,0.0,11.9,5,0,05:51 AM,06:57 PM,05:34 AM,06:20 PM,17,23,23,22,9,55,77,1.2,1013,27,10,122,7,Malawi
2020-01-26,28,18,0.0,11.9,5,4,06:42 AM,07:41 PM,05:34 AM,06:20 PM,18,24,24,22,9,64,77,4.3,1012,28,9,97,6,Malawi
2020-01-27,29,19,0.0,10.6,6,11,07:33 AM,08:21 PM,05:35 AM,06:20 PM,19,25,25,23,9,64,76,12.1,1011,29,9,128,5,Malawi
2020-01-28,23,19,0.0,8.0,5,18,08:20 AM,08:59 PM,05:35 AM,06:20 PM,18,20,21,20,10,79,88,13.7,1012,23,8,137,8,Malawi
2020-01-29,23,19,0.0,8.0,5,26,09:07 AM,09:36 PM,05:36 AM,06:20 PM,18,21,21,21,7,74,87,11.3,1013,23,10,131,5,Malawi
2020-01-30,23,19,0.0,10.6,5,33,09:53 AM,10:11 PM,05:36 AM,06:20 PM,19,21,22,21,11,71,88,14.2,1014,23,9,98,8,Malawi
2020-01-31,26,19,0.0,8.0,5,37,10:38 AM,10:47 PM,05:37 AM,06:20 PM,19,22,22,21,12,92,86,43.5,1014,26,7,132,8,Malawi
2020-02-01,25,17,0.0,8.0,5,49,11:25 AM,11:25 PM,05:37 AM,06:19 PM,18,21,21,21,13,72,84,22.9,1013,25,7,137,8,Malawi
2020-02-02,25,18,0.0,8.0,5,57,12:13 PM,No moonset,05:38 AM,06:19 PM,18,22,22,21,10,75,83,9.1,1013,25,9,106,7,Malawi
2020-02-03,25,19,0.0,9.3,5,64,01:04 PM,12:05 AM,05:38 AM,06:19 PM,19,21,22,21,8,78,86,10.1,1014,25,9,98,6,Malawi
2020-02-04,26,19,0.0,8.0,5,72,01:57 PM,12:49 AM,05:39 AM,06:19 PM,18,23,23,22,14,72,82,5.0,1012,26,10,90,10,Malawi
2020-02-05,27,19,0.0,10.6,5,79,02:53 PM,01:38 AM,05:39 AM,06:19 PM,19,24,24,22,12,52,82,12.0,1012,27,9,76,8,Malawi
2020-02-06,25,19,0.0,8.0,5,87,03:52 PM,02:31 AM,05:39 AM,06:18 PM,19,23,23,22,11,72,84,18.5,1012,25,9,148,7,Malawi
2020-02-07,27,19,0.0,10.6,5,95,04:51 PM,03:29 AM,05:40 AM,06:18 PM,19,24,24,23,10,69,80,23.5,1012,27,8,48,6,Malawi
2020-02-08,26,20,0.0,9.3,5,100,05:48 PM,04:31 AM,05:40 AM,06:18 PM,19,23,23,22,10,69,83,39.8,1012,26,7,60,5,Malawi
2020-02-09,25,20,0.0,9.3,5,100,06:42 PM,05:35 AM,05:41 AM,06:17 PM,19,21,22,21,6,62,85,24.7,1013,25,9,166,4,Malawi
2020-02-10,26,19,0.0,9.3,5,83,07:34 PM,06:37 AM,05:41 AM,06:17 PM,19,22,22,21,8,69,88,30.7,1012,26,7,77,5,Malawi
2020-02-11,26,19,0.0,9.3,5,75,08:22 PM,07:39 AM,05:41 AM,06:17 PM,19,23,23,22,9,69,82,19.8,1011,26,8,228,5,Malawi
2020-02-12,25,19,0.0,8.0,5,68,09:09 PM,08:38 AM,05:42 AM,06:16 PM,19,22,22,22,10,79,88,38.6,1010,25,7,189,7,Malawi
2020-02-13,21,19,0.0,10.6,5,60,09:54 PM,09:37 AM,05:42 AM,06:16 PM,19,20,20,20,3,65,93,26.0,1010,21,6,221,2,Malawi
2020-02-14,20,16,0.0,8.0,4,53,10:39 PM,10:33 AM,05:42 AM,06:16 PM,18,19,19,19,19,96,94,10.2,1011,20,8,65,13,Malawi
2020-02-15,20,19,0.0,8.0,4,45,11:27 PM,11:31 AM,05:43 AM,06:15 PM,18,19,19,19,9,81,94,24.7,1013,20,8,192,6,Malawi
2020-02-16,26,19,0.0,10.6,5,38,No moonrise,12:28 PM,05:43 AM,06:15 PM,19,23,23,22,7,61,85,14.5,1013,26,9,217,4,Malawi
2020-02-17,26,19,0.0,7.9,5,30,12:15 AM,01:25 PM,05:43 AM,06:14 PM,19,23,23,22,10,80,87,32.5,1012,26,6,97,6,Malawi
2020-02-18,26,20,0.0,7.9,5,22,01:06 AM,02:20 PM,05:44 AM,06:14 PM,19,23,23,22,13,76,85,11.4,1013,26,10,93,9,Malawi
2020-02-19,26,19,0.0,7.9,5,15,01:58 AM,03:15 PM,05:44 AM,06:13 PM,19,24,24,22,12,75,85,31.2,1012,26,8,109,7,Malawi
2020-02-20,27,20,0.0,9.2,5,7,02:51 AM,04:06 PM,05:44 AM,06:13 PM,19,23,23,22,9,69,85,22.9,1012,27,8,167,5,Malawi
2020-02-21,28,20,0.0,7.9,5,0,03:45 AM,04:54 PM,05:44 AM,06:12 PM,20,24,24,23,10,78,83,18.1,1011,28,9,152,6,Malawi
2020-02-22,28,20,0.0,10.6,6,0,04:36 AM,05:38 PM,05:45 AM,06:12 PM,20,25,25,24,8,65,81,11.5,1010,28,9,99,5,Malawi
2020-02-23,28,20,0.0,10.5,6,0,05:27 AM,06:19 PM,05:45 AM,06:11 PM,20,26,26,24,8,69,81,8.0,1009,28,9,86,6,Malawi
2020-02-24,26,20,0.0,7.9,5,0,06:15 AM,06:58 PM,05:45 AM,06:11 PM,19,25,25,23,15,80,81,15.8,1010,26,8,137,9,Malawi
2020-02-25,23,18,0.0,9.2,5,8,07:03 AM,07:35 PM,05:45 AM,06:10 PM,18,21,21,21,17,82,84,4.4,1012,23,10,156,13,Malawi
2020-02-26,22,18,0.0,9.2,5,15,07:49 AM,08:10 PM,05:46 AM,06:10 PM,17,20,20,20,9,68,86,4.5,1013,22,9,209,6,Malawi
2020-02-27,26,19,0.0,7.9,5,23,08:34 AM,08:46 PM,05:46 AM,06:09 PM,19,23,23,22,6,72,84,25.7,1013,26,7,231,4,Malawi
2020-02-28,25,20,0.0,7.9,5,30,09:20 AM,09:23 PM,05:46 AM,06:09 PM,19,23,23,22,15,83,84,22.2,1012,25,8,269,9,Malawi
2020-02-29,24,19,0.0,7.9,5,38,10:07 AM,10:01 PM,05:46 AM,06:08 PM,19,22,22,21,8,78,86,49.8,1013,24,8,172,5,Malawi
2020-03-01,24,18,0.0,7.9,5,44,10:56 AM,10:42 PM,05:46 AM,06:08 PM,17,20,21,20,16,74,83,1.1,1013,24,10,155,12,Malawi
2020-03-02,25,17,0.0,10.5,5,51,11:47 AM,11:28 PM,05:47 AM,06:07 PM,16,20,21,20,12,63,80,3.2,1014,25,10,154,9,Malawi
2020-03-03,26,17,0.0,10.5,5,58,12:40 PM,No moonset,05:47 AM,06:06 PM,17,21,21,20,10,53,83,19.6,1015,26,9,107,6,Malawi
2020-03-04,22,18,0.0,11.8,5,65,01:36 PM,12:17 AM,05:47 AM,06:06 PM,17,19,20,19,10,66,85,2.8,1016,22,10,112,7,Malawi
2020-03-05,24,16,0.0,7.9,5,73,02:33 PM,01:12 AM,05:47 AM,06:05 PM,16,19,20,19,10,71,84,0.8,1016,24,9,162,7,Malawi
2020-03-06,26,16,0.0,12.6,5,80,03:31 PM,02:11 AM,05:47 AM,06:05 PM,16,21,21,20,12,41,79,0.5,1015,26,10,159,8,Malawi
2020-03-07,24,17,0.0,7.9,5,87,04:25 PM,03:13 AM,05:48 AM,06:04 PM,17,20,21,20,13,70,83,0.9,1014,24,9,148,10,Malawi
