date_time,Mali_maxtempC,Mali_mintempC,Mali_totalSnow_cm,Mali_sunHour,Mali_uvIndex,Mali_moon_illumination,Mali_moonrise,Mali_moonset,Mali_sunrise,Mali_sunset,Mali_DewPointC,Mali_FeelsLikeC,Mali_HeatIndexC,Mali_WindChillC,Mali_WindGustKmph,Mali_cloudcover,Mali_humidity,Mali_precipMM,Mali_pressure,Mali_tempC,Mali_visibility,Mali_winddirDegree,Mali_windspeedKmph,Mali_location
2020-01-01,32,14,0.0,11.6,6,37,11:36 AM,11:43 PM,06:53 AM,06:17 PM,-9,23,23,23,26,10,12,0.0,1014,32,10,43,16,Mali
2020-01-02,32,14,0.0,11.6,6,44,12:12 PM,No moonset,06:54 AM,06:18 PM,-8,22,22,22,26,5,14,0.0,1015,32,10,54,16,Mali
2020-01-03,30,13,0.0,11.6,6,51,12:48 PM,12:27 AM,06:54 AM,06:18 PM,-9,21,21,21,25,18,14,0.0,1016,30,10,54,16,Mali
2020-01-04,29,12,0.0,11.6,6,59,01:26 PM,01:13 AM,06:54 AM,06:19 PM,-10,20,20,20,22,6,14,0.0,1016,29,10,50,14,Mali
2020-01-05,30,13,0.0,11.6,6,66,02:04 PM,02:00 AM,06:55 AM,06:19 PM,-9,21,21,21,20,3,13,0.0,1014,30,10,48,12,Mali
2020-01-06,31,14,0.0,11.6,6,73,02:46 PM,02:48 AM,06:55 AM,06:20 PM,-8,21,21,22,20,0,14,0.0,1013,31,10,33,12,Mali
2020-01-07,34,14,0.0,11.6,6,80,03:32 PM,03:40 AM,06:56 AM,06:20 PM,-6,22,22,23,13,0,14,0.0,1012,34,10,66,8,Mali
2020-01-08,35,16,0.0,11.6,7,88,04:22 PM,04:34 AM,06:56 AM,06:21 PM,-5,24,24,25,14,2,15,0.0,1012,35,10,27,9,Mali
2020-01-09,34,17,0.0,11.6,7,95,05:17 PM,05:32 AM,06:56 AM,06:22 PM,-3,25,25,25,20,6,17,0.0,1013,34,10,71,12,Mali
2020-01-10,34,17,0.0,11.6,7,100,06:16 PM,06:31 AM,06:56 AM,06:22 PM,-4,25,25,25,25,6,16,0.0,1013,34,10,71,16,Mali
2020-01-11,33,17,0.0,11.6,7,100,07:18 PM,07:30 AM,06:57 AM,06:23 PM,-3,25,25,25,22,4,16,0.0,1014,33,10,40,13,Mali
2020-01-12,34,17,0.0,11.6,7,83,08:19 PM,08:26 AM,06:57 AM,06:23 PM,-3,25,25,25,22,9,16,0.0,1013,34,10,34,13,Mali
2020-01-13,32,16,0.0,11.6,6,76,09:20 PM,09:20 AM,06:57 AM,06:24 PM,-5,23,23,24,27,1,15,0.0,1014,32,10,41,18,Mali
2020-01-14,32,14,0.0,11.6,6,69,10:18 PM,10:10 AM,06:57 AM,06:24 PM,-3,22,22,23,23,0,18,0.0,1013,32,10,52,15,Mali
