date_time,Mexico_maxtempC,Mexico_mintempC,Mexico_totalSnow_cm,Mexico_sunHour,Mexico_uvIndex,Mexico_moon_illumination,Mexico_moonrise,Mexico_moonset,Mexico_sunrise,Mexico_sunset,Mexico_DewPointC,Mexico_FeelsLikeC,Mexico_HeatIndexC,Mexico_WindChillC,Mexico_WindGustKmph,Mexico_cloudcover,Mexico_humidity,Mexico_precipMM,Mexico_pressure,Mexico_tempC,Mexico_visibility,Mexico_winddirDegree,Mexico_windspeedKmph,Mexico_location
2020-01-01,21,14,0.0,11.0,5,37,11:53 AM,11:56 PM,07:11 AM,06:09 PM,6,16,17,16,15,6,51,0.0,1015,21,10,187,13,Mexico
2020-01-02,19,12,0.0,11.0,5,44,12:27 PM,No moonset,07:11 AM,06:10 PM,6,14,16,14,21,12,57,0.0,1013,19,10,186,17,Mexico
2020-01-03,21,11,0.0,8.6,4,51,01:01 PM,12:44 AM,07:11 AM,06:11 PM,2,16,16,16,8,34,45,0.0,1018,21,10,174,6,Mexico
2020-01-04,17,11,0.0,11.0,4,59,01:36 PM,01:32 AM,07:12 AM,06:11 PM,4,14,14,14,9,18,52,0.0,1023,17,10,101,8,Mexico
2020-01-05,23,11,0.0,11.0,5,66,02:13 PM,02:21 AM,07:12 AM,06:12 PM,-10,16,16,16,7,0,18,0.0,1025,23,10,138,6,Mexico
2020-01-06,21,10,0.0,11.0,5,73,02:53 PM,03:14 AM,07:12 AM,06:12 PM,-7,16,16,16,5,18,19,0.0,1020,21,10,160,4,Mexico
2020-01-07,19,13,0.0,11.0,5,80,03:38 PM,04:08 AM,07:12 AM,06:13 PM,-6,15,16,15,10,17,24,0.0,1022,19,10,124,9,Mexico
2020-01-08,24,9,0.0,11.0,5,88,04:27 PM,05:05 AM,07:13 AM,06:14 PM,2,16,16,16,6,7,42,0.0,1021,24,10,65,5,Mexico
2020-01-09,26,15,0.0,11.0,6,95,05:23 PM,06:04 AM,07:13 AM,06:14 PM,2,20,20,20,4,0,32,0.0,1019,26,10,126,3,Mexico
2020-01-10,27,14,0.0,11.0,6,100,06:23 PM,07:04 AM,07:13 AM,06:15 PM,5,20,20,20,4,3,40,0.0,1017,27,10,156,4,Mexico
2020-01-11,24,17,0.0,11.0,6,100,07:26 PM,08:01 AM,07:13 AM,06:16 PM,3,20,20,20,4,3,34,0.0,1016,24,10,131,4,Mexico
2020-01-12,23,13,0.0,11.0,5,83,08:30 PM,08:55 AM,07:13 AM,06:16 PM,6,18,18,18,5,24,48,0.1,1017,23,10,148,4,Mexico
2020-01-13,26,14,0.0,11.0,6,76,09:33 PM,09:46 AM,07:13 AM,06:17 PM,6,20,21,20,4,4,43,0.0,1018,26,10,84,4,Mexico
