date_time,Monaco_maxtempC,Monaco_mintempC,Monaco_totalSnow_cm,Monaco_sunHour,Monaco_uvIndex,Monaco_moon_illumination,Monaco_moonrise,Monaco_moonset,Monaco_sunrise,Monaco_sunset,Monaco_DewPointC,Monaco_FeelsLikeC,Monaco_HeatIndexC,Monaco_WindChillC,Monaco_WindGustKmph,Monaco_cloudcover,Monaco_humidity,Monaco_precipMM,Monaco_pressure,Monaco_tempC,Monaco_visibility,Monaco_winddirDegree,Monaco_windspeedKmph,Monaco_location
2020-01-01,12,5,0.0,8.7,4,37,11:57 AM,11:21 PM,08:04 AM,05:03 PM,5,11,11,11,5,15,60,0.0,1030,12,10,174,4,Monaco
2020-01-02,14,10,0.0,8.7,4,44,12:19 PM,No moonset,08:04 AM,05:04 PM,6,11,12,11,7,15,66,0.0,1032,14,10,203,6,Monaco
2020-01-03,12,9,0.0,3.4,3,51,12:41 PM,12:20 AM,08:04 AM,05:05 PM,6,11,11,11,8,66,70,0.0,1028,12,10,137,6,Monaco
2020-01-04,14,9,0.0,8.7,4,59,01:04 PM,01:21 AM,08:04 AM,05:06 PM,5,11,12,11,12,7,61,0.0,1024,14,10,180,9,Monaco
2020-01-05,14,9,0.0,8.7,4,66,01:29 PM,02:22 AM,08:04 AM,05:07 PM,3,12,13,12,9,1,50,0.0,1027,14,10,139,7,Monaco
2020-01-06,12,11,0.0,8.7,4,73,01:56 PM,03:26 AM,08:04 AM,05:08 PM,4,11,12,11,9,9,59,0.0,1030,12,10,75,7,Monaco
2020-01-07,11,7,0.0,8.7,4,80,02:28 PM,04:30 AM,08:04 AM,05:09 PM,6,9,10,9,10,35,72,0.0,1024,11,10,60,9,Monaco
2020-01-08,14,11,0.0,8.7,4,88,03:08 PM,05:37 AM,08:04 AM,05:10 PM,2,12,13,12,10,4,49,0.0,1028,14,10,192,8,Monaco
2020-01-09,14,11,0.0,8.7,4,95,03:56 PM,06:42 AM,08:03 AM,05:11 PM,4,13,13,13,5,4,57,0.0,1028,14,10,172,4,Monaco
2020-01-10,12,10,0.0,8.7,4,100,04:55 PM,07:45 AM,08:03 AM,05:12 PM,3,10,11,10,15,13,57,0.0,1024,12,10,154,11,Monaco
2020-01-11,14,11,0.0,8.7,4,100,06:02 PM,08:40 AM,08:03 AM,05:14 PM,3,12,12,12,9,10,54,0.0,1026,14,10,250,6,Monaco
2020-01-12,14,10,0.0,8.7,4,83,07:15 PM,09:28 AM,08:03 AM,05:15 PM,3,12,12,12,7,5,53,0.0,1028,14,10,207,5,Monaco
2020-01-13,11,8,0.0,3.4,3,76,08:31 PM,10:07 AM,08:02 AM,05:16 PM,6,10,11,10,6,88,73,1.1,1025,11,8,101,5,Monaco
2020-01-14,11,9,0.0,3.4,3,69,09:47 PM,10:41 AM,08:02 AM,05:17 PM,6,10,11,10,6,79,70,1.8,1024,11,8,129,5,Monaco
2020-01-15,12,10,0.0,3.4,3,61,11:01 PM,11:12 AM,08:01 AM,05:18 PM,6,11,11,11,8,83,71,2.7,1025,12,8,131,6,Monaco
2020-01-16,12,11,0.0,8.7,4,54,No moonrise,11:40 AM,08:01 AM,05:20 PM,5,11,12,11,9,28,63,0.4,1028,12,10,163,7,Monaco
2020-01-17,13,7,0.0,5.2,3,47,12:14 AM,12:07 PM,08:00 AM,05:21 PM,7,11,11,11,10,79,71,7.6,1024,13,7,249,7,Monaco
2020-01-18,12,8,0.0,8.7,3,40,01:27 AM,12:35 PM,08:00 AM,05:22 PM,3,10,11,10,11,39,57,5.4,1022,12,10,277,9,Monaco
2020-01-19,11,9,0.0,8.7,3,32,02:38 AM,01:06 PM,07:59 AM,05:23 PM,-2,7,10,7,20,33,45,0.0,1025,11,10,38,16,Monaco
2020-01-20,11,5,0.0,5.3,2,25,03:49 AM,01:41 PM,07:59 AM,05:25 PM,-1,6,9,6,34,75,45,0.2,1034,11,10,29,28,Monaco
2020-01-21,14,10,0.0,8.7,3,18,04:57 AM,02:22 PM,07:58 AM,05:26 PM,-1,10,12,10,28,35,40,0.0,1037,14,10,35,21,Monaco
2020-01-22,14,12,0.0,8.7,4,11,06:01 AM,03:09 PM,07:57 AM,05:27 PM,2,11,12,11,23,20,48,0.0,1031,14,10,57,17,Monaco
2020-01-23,14,12,0.0,8.7,4,3,06:58 AM,04:03 PM,07:56 AM,05:29 PM,6,11,13,11,24,20,66,0.0,1027,14,10,76,18,Monaco
2020-01-24,13,7,0.0,3.7,3,0,07:48 AM,05:02 PM,07:56 AM,05:30 PM,5,10,12,10,18,61,61,1.1,1024,13,8,51,13,Monaco
