date_time,Morocco_maxtempC,Morocco_mintempC,Morocco_totalSnow_cm,Morocco_sunHour,Morocco_uvIndex,Morocco_moon_illumination,Morocco_moonrise,Morocco_moonset,Morocco_sunrise,Morocco_sunset,Morocco_DewPointC,Morocco_FeelsLikeC,Morocco_HeatIndexC,Morocco_WindChillC,Morocco_WindGustKmph,Morocco_cloudcover,Morocco_humidity,Morocco_precipMM,Morocco_pressure,Morocco_tempC,Morocco_visibility,Morocco_winddirDegree,Morocco_windspeedKmph,Morocco_location
2020-01-01,18,15,0.0,10.0,5,37,12:45 PM,No moonset,08:33 AM,06:28 PM,10,16,16,16,11,1,65,0.0,1029,18,10,224,8,Morocco
2020-01-02,18,9,0.0,10.0,5,44,01:14 PM,12:27 AM,08:33 AM,06:29 PM,12,14,15,14,9,0,78,0.0,1030,18,10,218,7,Morocco
2020-01-03,17,13,0.0,10.0,4,51,01:41 PM,01:21 AM,08:33 AM,06:30 PM,11,15,15,15,11,4,81,0.0,1031,17,10,165,8,Morocco
2020-01-04,15,11,0.0,10.0,3,59,02:09 PM,02:15 AM,08:33 AM,06:31 PM,9,13,13,13,13,44,78,0.0,1030,15,10,107,9,Morocco
2020-01-05,15,11,0.0,10.0,4,66,02:39 PM,03:11 AM,08:33 AM,06:32 PM,10,13,13,13,10,16,81,0.0,1026,15,10,194,7,Morocco
2020-01-06,16,12,0.0,9.9,3,73,03:13 PM,04:09 AM,08:33 AM,06:32 PM,10,14,14,14,11,55,81,0.0,1026,16,10,118,8,Morocco
2020-01-07,18,11,0.0,10.0,4,80,03:50 PM,05:09 AM,08:33 AM,06:33 PM,8,13,13,13,15,5,71,0.0,1027,18,10,62,9,Morocco
2020-01-08,17,9,0.0,10.0,4,88,04:34 PM,06:10 AM,08:33 AM,06:34 PM,7,13,14,13,9,3,64,0.0,1027,17,10,155,6,Morocco
2020-01-09,16,12,0.0,10.0,4,95,05:26 PM,07:12 AM,08:33 AM,06:35 PM,9,14,14,14,11,14,75,0.0,1027,16,10,250,8,Morocco
2020-01-10,16,13,0.0,10.0,3,100,06:24 PM,08:13 AM,08:33 AM,06:36 PM,10,14,14,14,11,46,79,0.0,1027,16,10,239,8,Morocco
2020-01-11,17,10,0.0,10.0,4,100,07:30 PM,09:10 AM,08:33 AM,06:37 PM,7,12,13,12,24,5,69,0.0,1025,17,10,111,15,Morocco
2020-01-12,18,10,0.0,10.1,4,83,08:38 PM,10:01 AM,08:33 AM,06:38 PM,7,11,13,11,31,0,67,0.0,1026,18,10,66,19,Morocco
2020-01-13,16,12,0.0,6.7,3,76,09:48 PM,10:46 AM,08:33 AM,06:39 PM,8,13,13,13,9,50,69,0.0,1025,16,10,186,6,Morocco
2020-01-14,16,11,0.0,5.0,3,69,10:57 PM,11:27 AM,08:33 AM,06:40 PM,6,13,13,13,12,75,62,0.0,1023,16,10,159,7,Morocco
2020-01-15,20,12,0.0,10.1,5,61,No moonrise,12:03 PM,08:33 AM,06:40 PM,3,15,15,15,15,27,46,0.0,1025,20,10,159,8,Morocco
2020-01-16,18,12,0.0,10.1,4,54,12:05 AM,12:37 PM,08:32 AM,06:41 PM,3,14,15,14,13,18,46,0.0,1027,18,10,193,7,Morocco
2020-01-17,18,13,0.0,10.1,5,47,01:11 AM,01:11 PM,08:32 AM,06:42 PM,4,15,15,15,14,6,49,0.0,1031,18,10,87,8,Morocco
2020-01-18,18,13,0.0,10.0,4,40,02:16 AM,01:46 PM,08:32 AM,06:43 PM,7,15,15,15,11,23,59,0.0,1031,18,10,206,6,Morocco
2020-01-19,15,12,0.0,5.1,3,32,03:22 AM,02:23 PM,08:31 AM,06:44 PM,9,12,14,12,32,72,74,4.9,1024,15,9,293,21,Morocco
2020-01-20,12,10,0.0,8.3,3,25,04:26 AM,03:04 PM,08:31 AM,06:45 PM,6,10,11,10,15,72,69,0.7,1012,12,10,245,10,Morocco
2020-01-21,13,9,0.0,6.7,3,18,05:30 AM,03:49 PM,08:31 AM,06:46 PM,6,10,11,10,11,51,72,0.1,1011,13,10,204,7,Morocco
2020-01-22,15,10,0.0,6.7,3,11,06:30 AM,04:39 PM,08:30 AM,06:47 PM,8,11,12,11,28,51,74,1.3,1014,15,10,214,18,Morocco
2020-01-23,17,11,0.0,6.7,3,3,07:27 AM,05:33 PM,08:30 AM,06:48 PM,9,12,13,12,32,65,74,4.1,1016,17,9,207,20,Morocco
2020-01-24,18,12,0.0,8.4,3,0,08:17 AM,06:30 PM,08:29 AM,06:49 PM,10,13,14,13,30,60,76,3.6,1018,18,10,212,19,Morocco
2020-01-25,16,13,0.0,5.1,3,0,09:02 AM,07:28 PM,08:29 AM,06:50 PM,10,13,14,13,40,74,75,6.9,1019,16,10,220,26,Morocco
2020-01-26,16,12,0.0,8.4,3,4,09:41 AM,08:25 PM,08:28 AM,06:51 PM,10,12,13,12,18,47,81,1.4,1025,16,10,225,11,Morocco
2020-01-27,17,11,0.0,10.2,4,11,10:15 AM,09:22 PM,08:28 AM,06:52 PM,9,13,13,13,13,6,78,0.0,1026,17,10,105,9,Morocco
2020-01-28,18,11,0.0,10.3,4,18,10:45 AM,10:17 PM,08:27 AM,06:53 PM,9,13,14,13,17,1,72,0.0,1025,18,10,69,10,Morocco
2020-01-29,18,13,0.0,8.4,4,26,11:14 AM,11:12 PM,08:27 AM,06:54 PM,7,15,16,15,11,33,58,0.0,1025,18,10,176,6,Morocco
2020-01-30,20,15,0.0,10.0,4,33,11:42 AM,No moonset,08:26 AM,06:55 PM,7,17,16,17,10,39,53,0.0,1026,20,10,172,5,Morocco
2020-01-31,20,13,0.0,10.3,5,37,12:09 PM,12:06 AM,08:25 AM,06:56 PM,8,16,16,16,17,12,58,0.0,1026,20,10,73,9,Morocco
2020-02-01,20,14,0.0,10.3,5,49,12:38 PM,01:00 AM,08:25 AM,06:57 PM,9,16,16,16,18,5,62,0.0,1025,20,10,78,10,Morocco
2020-02-02,24,14,0.0,10.3,5,57,01:09 PM,01:56 AM,08:24 AM,06:58 PM,11,17,18,17,16,0,69,0.0,1025,24,10,69,9,Morocco
2020-02-03,22,16,0.0,10.4,5,64,01:44 PM,02:53 AM,08:23 AM,06:59 PM,11,19,19,19,11,6,60,0.0,1026,22,10,164,6,Morocco
2020-02-04,21,11,0.0,10.8,5,72,02:24 PM,03:53 AM,08:22 AM,07:00 PM,12,17,17,17,12,0,68,0.0,1026,21,10,104,7,Morocco
2020-02-05,20,16,0.0,10.8,5,79,03:11 PM,04:54 AM,08:22 AM,07:01 PM,13,18,18,18,6,1,71,0.0,1022,20,10,204,5,Morocco
2020-02-06,22,16,0.0,10.1,4,87,04:05 PM,05:55 AM,08:21 AM,07:02 PM,11,18,18,18,11,30,64,0.0,1019,22,10,211,6,Morocco
2020-02-07,18,14,0.0,10.8,5,95,05:08 PM,06:53 AM,08:20 AM,07:03 PM,12,16,16,16,20,38,78,0.0,1023,18,10,245,13,Morocco
