date_time,Nepal_maxtempC,Nepal_mintempC,Nepal_totalSnow_cm,Nepal_sunHour,Nepal_uvIndex,Nepal_moon_illumination,Nepal_moonrise,Nepal_moonset,Nepal_sunrise,Nepal_sunset,Nepal_DewPointC,Nepal_FeelsLikeC,Nepal_HeatIndexC,Nepal_WindChillC,Nepal_WindGustKmph,Nepal_cloudcover,Nepal_humidity,Nepal_precipMM,Nepal_pressure,Nepal_tempC,Nepal_visibility,Nepal_winddirDegree,Nepal_windspeedKmph,Nepal_location
2020-01-01,15,8,0.0,8.7,4,37,11:09 AM,10:54 PM,06:54 AM,05:20 PM,-0,10,10,10,4,7,49,0.0,1024,15,10,169,3,Nepal
2020-01-02,16,7,0.0,7.1,3,44,11:40 AM,11:45 PM,06:55 AM,05:21 PM,1,10,10,10,5,24,52,0.8,1024,16,10,135,3,Nepal
2020-01-03,12,7,0.0,4.0,2,51,12:10 PM,No moonset,06:55 AM,05:21 PM,4,9,9,9,5,56,70,1.8,1020,12,10,133,3,Nepal
2020-01-04,13,6,0.0,7.1,3,59,12:41 PM,12:36 AM,06:55 AM,05:22 PM,5,9,9,9,5,53,80,7.2,1018,13,10,132,3,Nepal
2020-01-05,14,5,0.0,5.6,2,66,01:14 PM,01:29 AM,06:55 AM,05:23 PM,3,8,8,8,5,64,73,1.2,1018,14,10,159,4,Nepal
2020-01-06,14,5,0.0,8.7,4,73,01:49 PM,02:22 AM,06:55 AM,05:23 PM,2,8,8,8,4,14,69,0.0,1018,14,10,115,3,Nepal
2020-01-07,15,5,0.0,8.7,4,80,02:28 PM,03:19 AM,06:56 AM,05:24 PM,4,8,8,8,4,22,73,0.0,1018,15,10,190,2,Nepal
2020-01-08,14,5,0.0,5.6,3,88,03:13 PM,04:17 AM,06:56 AM,05:25 PM,5,9,9,9,4,54,75,3.4,1017,14,10,104,2,Nepal
2020-01-09,13,4,0.0,7.1,3,95,04:04 PM,05:18 AM,06:56 AM,05:26 PM,6,9,9,9,6,53,82,7.3,1017,13,9,187,4,Nepal
2020-01-10,13,4,0.0,7.1,2,100,05:01 PM,06:18 AM,06:56 AM,05:26 PM,4,8,8,8,4,36,78,0.5,1020,13,10,220,3,Nepal
2020-01-11,16,5,0.0,8.7,4,100,06:04 PM,07:17 AM,06:56 AM,05:27 PM,5,9,9,9,4,11,74,0.0,1019,16,10,163,3,Nepal
2020-01-12,18,7,0.0,8.7,4,83,07:10 PM,08:11 AM,06:56 AM,05:28 PM,6,11,11,11,4,7,71,0.0,1017,18,10,170,2,Nepal
2020-01-13,17,5,0.0,8.7,4,76,08:16 PM,09:01 AM,06:56 AM,05:29 PM,6,11,11,11,5,9,73,0.0,1014,17,10,169,3,Nepal
2020-01-14,19,9,0.0,8.7,4,69,09:23 PM,09:45 AM,06:56 AM,05:30 PM,6,13,13,13,5,4,65,0.0,1016,19,10,244,3,Nepal
2020-01-15,19,9,0.0,8.7,4,61,10:27 PM,10:26 AM,06:56 AM,05:30 PM,5,13,13,13,5,4,61,0.0,1017,19,10,275,3,Nepal
2020-01-16,17,8,0.0,8.7,3,54,11:30 PM,11:04 AM,06:56 AM,05:31 PM,5,12,12,12,5,34,65,0.1,1018,17,10,166,3,Nepal
2020-01-17,8,6,0.0,5.6,2,47,No moonrise,11:42 AM,06:56 AM,05:32 PM,6,7,8,7,10,70,91,40.2,1018,8,8,65,6,Nepal
2020-01-18,15,7,0.0,7.1,3,40,12:32 AM,12:19 PM,06:55 AM,05:33 PM,5,10,10,10,8,47,72,3.2,1020,15,10,108,5,Nepal
2020-01-19,15,7,0.0,7.1,3,32,01:34 AM,12:59 PM,06:55 AM,05:34 PM,4,10,10,10,6,43,66,3.1,1019,15,10,172,4,Nepal
2020-01-20,14,6,0.0,8.7,4,25,02:35 AM,01:42 PM,06:55 AM,05:34 PM,2,9,9,9,4,11,66,0.1,1018,14,10,169,3,Nepal
2020-01-21,16,7,0.0,8.7,4,18,03:37 AM,02:27 PM,06:55 AM,05:35 PM,2,10,11,10,4,17,56,0.0,1021,16,10,217,3,Nepal
2020-01-22,18,7,0.0,8.7,5,11,04:36 AM,03:18 PM,06:55 AM,05:36 PM,2,13,13,13,5,1,48,0.0,1021,18,10,198,4,Nepal
