date_time,Oman_maxtempC,Oman_mintempC,Oman_totalSnow_cm,Oman_sunHour,Oman_uvIndex,Oman_moon_illumination,Oman_moonrise,Oman_moonset,Oman_sunrise,Oman_sunset,Oman_DewPointC,Oman_FeelsLikeC,Oman_HeatIndexC,Oman_WindChillC,Oman_WindGustKmph,Oman_cloudcover,Oman_humidity,Oman_precipMM,Oman_pressure,Oman_tempC,Oman_visibility,Oman_winddirDegree,Oman_windspeedKmph,Oman_location
2020-01-01,24,21,0.0,8.7,6,37,11:10 AM,11:02 PM,06:48 AM,05:30 PM,14,24,24,23,8,15,58,0.0,1015,24,10,121,6,Oman
2020-01-02,26,21,0.0,8.7,6,44,11:43 AM,11:52 PM,06:48 AM,05:31 PM,14,25,25,23,15,5,54,0.0,1017,26,10,124,10,Oman
2020-01-03,26,22,0.0,8.7,6,51,12:15 PM,No moonset,06:48 AM,05:32 PM,13,25,25,24,8,6,53,0.0,1019,26,10,145,6,Oman
2020-01-04,26,22,0.0,8.7,6,59,12:47 PM,12:41 AM,06:48 AM,05:32 PM,16,26,26,24,15,2,60,0.0,1017,26,10,121,11,Oman
2020-01-05,27,23,0.0,8.7,7,66,01:22 PM,01:32 AM,06:49 AM,05:33 PM,16,26,26,25,14,5,57,0.0,1013,27,10,126,9,Oman
2020-01-06,25,23,0.0,8.7,6,73,01:59 PM,02:24 AM,06:49 AM,05:34 PM,17,26,26,24,14,20,65,0.1,1014,25,10,271,11,Oman
2020-01-07,23,22,0.0,8.7,5,80,02:40 PM,03:19 AM,06:49 AM,05:34 PM,14,25,25,22,26,32,59,0.1,1016,23,10,317,22,Oman
2020-01-08,23,20,0.0,8.7,6,88,03:26 PM,04:16 AM,06:49 AM,05:35 PM,13,21,23,21,21,4,58,0.0,1017,23,10,182,17,Oman
2020-01-09,23,20,0.0,8.7,6,95,04:18 PM,05:16 AM,06:49 AM,05:36 PM,14,23,23,22,27,6,62,0.0,1016,23,10,128,22,Oman
2020-01-10,24,20,0.0,7.2,5,100,05:17 PM,06:15 AM,06:50 AM,05:37 PM,15,25,25,22,34,31,62,0.1,1014,24,10,127,27,Oman
2020-01-11,25,20,0.0,8.7,6,100,06:19 PM,07:14 AM,06:50 AM,05:37 PM,17,25,25,23,33,31,69,16.2,1010,25,9,196,25,Oman
2020-01-12,21,18,0.0,8.7,4,83,07:24 PM,08:09 AM,06:50 AM,05:38 PM,10,19,19,19,47,44,57,14.1,1014,21,9,287,39,Oman
2020-01-13,19,18,0.0,7.2,4,76,08:29 PM,08:59 AM,06:50 AM,05:39 PM,9,19,19,19,18,45,53,0.5,1017,19,10,314,14,Oman
2020-01-14,21,18,0.0,8.7,5,69,09:33 PM,09:46 AM,06:50 AM,05:39 PM,10,19,19,19,11,11,54,0.0,1016,21,10,214,9,Oman
2020-01-15,18,11,0.0,5.6,4,61,10:35 PM,10:28 AM,06:50 AM,05:40 PM,12,17,18,17,34,72,67,11.6,1018,18,9,142,24,Oman
2020-01-16,19,15,0.0,8.7,5,54,11:36 PM,11:09 AM,06:50 AM,05:41 PM,6,18,18,18,18,6,46,0.1,1022,19,10,319,14,Oman
2020-01-17,20,18,0.0,8.7,5,47,No moonrise,11:48 AM,06:50 AM,05:42 PM,8,19,19,19,12,0,48,0.0,1021,20,10,248,9,Oman
2020-01-18,21,17,0.0,8.7,5,40,12:35 AM,12:28 PM,06:50 AM,05:42 PM,8,19,19,19,9,0,47,0.0,1019,21,10,172,6,Oman
2020-01-19,23,18,0.0,8.7,6,32,01:36 AM,01:09 PM,06:50 AM,05:43 PM,10,21,22,21,11,0,52,0.0,1018,23,10,119,8,Oman
2020-01-20,24,19,0.0,8.7,6,25,02:35 AM,01:54 PM,06:50 AM,05:44 PM,11,21,23,21,10,1,52,0.0,1017,24,10,223,7,Oman
2020-01-21,23,21,0.0,7.2,5,18,03:36 AM,02:41 PM,06:49 AM,05:44 PM,14,24,24,22,12,26,62,0.1,1016,23,10,70,9,Oman
2020-01-22,23,21,0.0,8.7,5,11,04:34 AM,03:33 PM,06:49 AM,05:45 PM,16,24,24,22,34,16,70,0.1,1018,23,10,123,27,Oman
2020-01-23,23,20,0.0,8.7,6,3,05:30 AM,04:26 PM,06:49 AM,05:46 PM,17,24,24,22,36,3,72,0.0,1017,23,10,126,29,Oman
2020-01-24,24,21,0.0,8.7,6,0,06:22 AM,05:21 PM,06:49 AM,05:47 PM,16,25,25,22,13,22,66,0.0,1017,24,10,162,10,Oman
2020-01-25,23,22,0.0,5.6,5,0,07:10 AM,06:16 PM,06:49 AM,05:47 PM,17,25,25,22,9,56,73,0.6,1017,23,10,309,8,Oman
2020-01-26,22,20,0.0,4.1,5,4,07:53 AM,07:11 PM,06:48 AM,05:48 PM,14,21,23,21,22,67,64,2.5,1016,22,10,313,18,Oman
2020-01-27,20,16,0.0,4.1,4,11,08:32 AM,08:03 PM,06:48 AM,05:49 PM,8,19,19,19,32,50,50,2.1,1018,20,10,295,26,Oman
2020-01-28,20,18,0.0,8.7,5,18,09:08 AM,08:54 PM,06:48 AM,05:49 PM,8,19,19,19,17,12,49,0.0,1019,20,10,176,13,Oman
2020-01-29,21,18,0.0,8.7,5,26,09:42 AM,09:44 PM,06:47 AM,05:50 PM,6,19,19,19,7,1,41,0.0,1018,21,10,117,6,Oman
2020-01-30,22,18,0.0,8.7,6,33,10:14 AM,10:33 PM,06:47 AM,05:51 PM,8,20,21,20,7,1,46,0.0,1018,22,10,113,5,Oman
2020-01-31,22,19,0.0,8.7,6,37,10:46 AM,11:23 PM,06:47 AM,05:51 PM,10,21,22,21,17,0,51,0.0,1017,22,10,310,13,Oman
2020-02-01,22,19,0.0,8.7,6,49,11:19 AM,No moonset,06:46 AM,05:52 PM,10,21,22,21,13,1,52,0.0,1017,22,10,161,10,Oman
2020-02-02,23,19,0.0,8.7,6,57,11:54 AM,12:13 AM,06:46 AM,05:53 PM,13,21,23,21,16,6,59,0.0,1018,23,10,127,11,Oman
2020-02-03,24,21,0.0,8.7,6,64,12:32 PM,01:06 AM,06:46 AM,05:53 PM,13,25,25,22,15,3,58,0.0,1018,24,10,272,12,Oman
2020-02-04,21,18,0.0,8.7,5,72,01:15 PM,02:01 AM,06:45 AM,05:54 PM,11,20,20,20,20,2,56,0.0,1017,21,10,217,16,Oman
2020-02-05,22,18,0.0,8.7,6,79,02:03 PM,02:58 AM,06:45 AM,05:55 PM,10,20,21,20,5,1,51,0.0,1017,22,10,117,4,Oman
2020-02-06,22,19,0.0,8.7,6,87,02:58 PM,03:57 AM,06:44 AM,05:55 PM,10,21,22,21,8,0,51,0.0,1019,22,10,268,6,Oman
2020-02-07,23,19,0.0,8.7,6,95,03:59 PM,04:56 AM,06:44 AM,05:56 PM,11,21,22,21,7,0,53,0.0,1018,23,10,194,5,Oman
2020-02-08,23,20,0.0,8.7,6,100,05:03 PM,05:53 AM,06:43 AM,05:57 PM,12,23,23,22,15,0,55,0.0,1019,23,10,101,11,Oman
2020-02-09,24,20,0.0,8.7,6,100,06:10 PM,06:47 AM,06:43 AM,05:57 PM,14,24,24,22,26,3,60,0.0,1019,24,10,123,19,Oman
2020-02-10,25,21,0.0,8.7,6,83,07:16 PM,07:37 AM,06:42 AM,05:58 PM,15,25,25,23,24,6,61,0.0,1016,25,10,122,19,Oman
2020-02-11,24,22,0.0,8.7,6,75,08:21 PM,08:22 AM,06:41 AM,05:58 PM,16,25,25,23,20,6,65,0.0,1015,24,10,118,15,Oman
2020-02-12,22,17,0.0,4.2,5,68,09:25 PM,09:05 AM,06:41 AM,05:59 PM,17,21,23,21,24,56,73,1.1,1019,22,10,277,19,Oman
2020-02-13,21,19,0.0,11.6,5,60,10:27 PM,09:46 AM,06:40 AM,06:00 PM,11,20,20,20,28,1,57,0.0,1021,21,10,300,23,Oman
2020-02-14,22,18,0.0,11.6,6,53,11:29 PM,10:26 AM,06:39 AM,06:00 PM,11,20,21,20,18,0,56,0.0,1019,22,10,294,14,Oman
2020-02-15,23,19,0.0,11.6,6,45,No moonrise,11:09 AM,06:39 AM,06:01 PM,10,21,22,21,21,0,50,0.0,1017,23,10,294,15,Oman
2020-02-16,24,19,0.0,11.6,6,38,12:30 AM,11:53 AM,06:38 AM,06:01 PM,11,21,23,21,14,0,50,0.0,1018,24,10,224,9,Oman
2020-02-17,25,20,0.0,11.6,6,30,01:31 AM,12:39 PM,06:37 AM,06:02 PM,10,24,24,22,8,7,47,0.0,1018,25,10,177,6,Oman
2020-02-18,24,19,0.0,11.6,6,22,02:29 AM,01:29 PM,06:37 AM,06:03 PM,10,23,23,22,8,2,48,0.0,1018,24,10,231,5,Oman
2020-02-19,25,20,0.0,11.6,6,15,03:26 AM,02:21 PM,06:36 AM,06:03 PM,10,23,23,23,11,0,46,0.0,1015,25,10,299,7,Oman
2020-02-20,26,21,0.0,11.6,6,7,04:18 AM,03:15 PM,06:35 AM,06:04 PM,12,25,25,24,19,0,50,0.0,1013,26,10,112,12,Oman
2020-02-21,26,22,0.0,11.6,6,0,05:07 AM,04:10 PM,06:35 AM,06:04 PM,15,26,26,24,16,5,56,0.0,1014,26,10,140,10,Oman
2020-02-22,25,22,0.0,11.6,6,0,05:51 AM,05:04 PM,06:34 AM,06:05 PM,18,25,25,24,19,5,72,0.0,1018,25,10,110,14,Oman
2020-02-23,25,22,0.0,11.6,6,0,06:31 AM,05:57 PM,06:33 AM,06:05 PM,19,26,26,24,11,9,74,0.0,1018,25,10,119,8,Oman
2020-02-24,26,22,0.0,10.2,6,0,07:08 AM,06:48 PM,06:32 AM,06:06 PM,18,26,26,24,6,23,70,0.0,1016,26,10,88,4,Oman
2020-02-25,27,22,0.0,11.6,7,8,07:42 AM,07:38 PM,06:31 AM,06:06 PM,17,26,26,25,14,11,61,0.0,1014,27,10,126,9,Oman
2020-02-26,29,23,0.0,11.6,7,15,08:14 AM,08:27 PM,06:31 AM,06:07 PM,16,27,27,26,20,1,55,0.0,1012,29,10,131,11,Oman
2020-02-27,25,23,0.0,11.6,6,23,08:46 AM,09:17 PM,06:30 AM,06:07 PM,16,26,26,24,22,18,62,0.0,1012,25,10,299,15,Oman
2020-02-28,23,21,0.0,11.6,6,30,09:19 AM,10:07 PM,06:29 AM,06:08 PM,14,25,25,22,28,3,60,0.0,1010,23,10,296,23,Oman
2020-02-29,25,20,0.0,11.6,6,38,09:52 AM,10:58 PM,06:28 AM,06:08 PM,13,24,24,23,15,0,54,0.0,1011,25,10,185,10,Oman
2020-03-01,25,22,0.0,11.6,6,44,10:28 AM,11:51 PM,06:27 AM,06:09 PM,14,25,25,23,14,0,56,0.0,1012,25,10,133,11,Oman
2020-03-02,26,22,0.0,11.6,6,51,11:08 AM,No moonset,06:26 AM,06:09 PM,15,26,26,24,17,2,57,0.0,1013,26,10,115,11,Oman
2020-03-03,26,20,0.0,11.6,6,58,11:53 AM,12:46 AM,06:25 AM,06:10 PM,15,25,25,24,15,2,56,0.0,1013,26,10,270,10,Oman
2020-03-04,23,21,0.0,11.6,6,65,12:43 PM,01:43 AM,06:24 AM,06:10 PM,13,25,25,22,27,0,55,0.0,1012,23,10,307,21,Oman
2020-03-05,23,21,0.0,11.6,6,73,01:39 PM,02:40 AM,06:24 AM,06:10 PM,9,22,23,22,25,0,47,0.0,1014,23,10,196,19,Oman
2020-03-06,24,20,0.0,11.6,6,80,02:41 PM,03:37 AM,06:23 AM,06:11 PM,8,23,23,22,15,0,40,0.0,1014,24,10,240,10,Oman
2020-03-07,25,20,0.0,11.6,6,87,03:46 PM,04:31 AM,06:22 AM,06:11 PM,9,23,23,23,13,0,42,0.0,1014,25,10,191,8,Oman
