date_time,Panama_maxtempC,Panama_mintempC,Panama_totalSnow_cm,Panama_sunHour,Panama_uvIndex,Panama_moon_illumination,Panama_moonrise,Panama_moonset,Panama_sunrise,Panama_sunset,Panama_DewPointC,Panama_FeelsLikeC,Panama_HeatIndexC,Panama_WindChillC,Panama_WindGustKmph,Panama_cloudcover,Panama_humidity,Panama_precipMM,Panama_pressure,Panama_tempC,Panama_visibility,Panama_winddirDegree,Panama_windspeedKmph,Panama_location
2020-01-01,28,23,0.0,8.7,6,37,11:27 AM,11:39 PM,06:33 AM,06:10 PM,23,28,28,25,12,60,88,19.6,1011,28,8,340,7,Panama
2020-01-02,29,23,0.0,7.3,6,44,12:05 PM,No moonset,06:33 AM,06:10 PM,22,28,28,25,12,44,87,13.9,1011,29,9,300,7,Panama
2020-01-03,29,22,0.0,8.7,6,51,12:43 PM,12:23 AM,06:34 AM,06:11 PM,22,28,28,25,10,45,84,0.7,1013,29,7,298,6,Panama
2020-01-04,30,23,0.0,8.7,6,59,01:22 PM,01:07 AM,06:34 AM,06:11 PM,22,29,29,26,10,37,83,1.1,1014,30,6,291,6,Panama
2020-01-05,30,22,0.0,11.6,6,66,02:02 PM,01:53 AM,06:35 AM,06:12 PM,21,28,28,26,14,19,81,0.0,1015,30,7,219,9,Panama
2020-01-06,30,22,0.0,7.3,6,73,02:45 PM,02:40 AM,06:35 AM,06:12 PM,22,28,28,25,15,46,83,1.7,1013,30,8,213,10,Panama
2020-01-07,30,22,0.0,7.3,6,80,03:33 PM,03:32 AM,06:35 AM,06:13 PM,22,28,28,25,13,52,84,2.9,1012,30,6,207,8,Panama
2020-01-08,30,22,0.0,8.7,6,88,04:25 PM,04:25 AM,06:36 AM,06:14 PM,23,28,28,25,13,54,85,3.9,1012,30,7,212,8,Panama
2020-01-09,30,23,0.0,11.6,6,95,05:22 PM,05:23 AM,06:36 AM,06:14 PM,22,28,28,26,14,26,82,0.0,1011,30,7,224,10,Panama
2020-01-10,31,22,0.0,11.6,6,100,06:21 PM,06:22 AM,06:36 AM,06:15 PM,22,29,29,26,14,21,80,0.0,1009,31,9,183,9,Panama
