date_time,Papua%20New%20Guinea_maxtempC,Papua%20New%20Guinea_mintempC,Papua%20New%20Guinea_totalSnow_cm,Papua%20New%20Guinea_sunHour,Papua%20New%20Guinea_uvIndex,Papua%20New%20Guinea_moon_illumination,Papua%20New%20Guinea_moonrise,Papua%20New%20Guinea_moonset,Papua%20New%20Guinea_sunrise,Papua%20New%20Guinea_sunset,Papua%20New%20Guinea_DewPointC,Papua%20New%20Guinea_FeelsLikeC,Papua%20New%20Guinea_HeatIndexC,Papua%20New%20Guinea_WindChillC,Papua%20New%20Guinea_WindGustKmph,Papua%20New%20Guinea_cloudcover,Papua%20New%20Guinea_humidity,Papua%20New%20Guinea_precipMM,Papua%20New%20Guinea_pressure,Papua%20New%20Guinea_tempC,Papua%20New%20Guinea_visibility,Papua%20New%20Guinea_winddirDegree,Papua%20New%20Guinea_windspeedKmph,Papua%20New%20Guinea_location
2020-01-01,30,25,0.0,10.6,6,37,10:42 AM,11:14 PM,05:54 AM,06:34 PM,23,31,31,27,12,65,79,5.7,1010,30,10,141,8,Papua%20New%20Guinea
2020-01-02,30,25,0.0,11.9,6,44,11:27 AM,11:52 PM,05:55 AM,06:35 PM,23,31,31,27,10,58,80,8.8,1010,30,9,171,7,Papua%20New%20Guinea
2020-01-03,30,25,0.0,9.3,6,51,12:11 PM,No moonset,05:55 AM,06:35 PM,23,30,30,27,10,73,77,5.8,1008,30,9,135,7,Papua%20New%20Guinea
2020-01-04,29,25,0.0,9.3,6,59,12:56 PM,12:29 AM,05:56 AM,06:35 PM,23,30,30,27,11,73,81,21.8,1007,29,8,131,6,Papua%20New%20Guinea
2020-01-05,31,25,0.0,11.9,6,66,01:42 PM,01:08 AM,05:57 AM,06:36 PM,23,31,31,27,11,55,79,7.3,1007,31,9,134,7,Papua%20New%20Guinea
2020-01-06,31,25,0.0,8.0,6,73,02:29 PM,01:48 AM,05:57 AM,06:36 PM,23,31,31,28,9,70,77,7.6,1008,31,9,132,6,Papua%20New%20Guinea
2020-01-07,31,26,0.0,11.9,6,80,03:20 PM,02:31 AM,05:58 AM,06:36 PM,23,31,31,28,11,53,76,4.4,1008,31,10,116,8,Papua%20New%20Guinea
2020-01-08,31,25,0.0,11.9,6,88,04:13 PM,03:18 AM,05:58 AM,06:37 PM,23,31,31,28,13,47,79,16.1,1007,31,9,123,8,Papua%20New%20Guinea
2020-01-09,29,25,0.0,10.6,6,95,05:11 PM,04:09 AM,05:59 AM,06:37 PM,24,30,30,27,18,68,86,36.6,1007,29,7,285,11,Papua%20New%20Guinea
2020-01-10,30,24,0.0,10.6,6,100,06:09 PM,05:05 AM,05:59 AM,06:37 PM,23,30,30,27,11,68,83,20.1,1007,30,9,172,7,Papua%20New%20Guinea
2020-01-11,29,25,0.0,9.1,6,100,07:09 PM,06:04 AM,06:00 AM,06:38 PM,23,30,30,27,10,72,81,22.7,1006,29,8,185,6,Papua%20New%20Guinea
2020-01-12,28,25,0.0,9.1,6,83,08:06 PM,07:05 AM,06:00 AM,06:38 PM,24,30,30,26,24,70,85,28.7,1005,28,8,213,13,Papua%20New%20Guinea
2020-01-13,28,25,0.0,6.2,6,76,09:00 PM,08:06 AM,06:01 AM,06:38 PM,23,29,29,26,7,80,81,7.6,1006,28,10,224,5,Papua%20New%20Guinea
2020-01-14,24,19,0.0,6.2,5,69,09:51 PM,09:06 AM,06:01 AM,06:38 PM,22,25,25,23,25,81,91,76.0,1008,24,7,345,15,Papua%20New%20Guinea
2020-01-15,27,24,0.0,11.6,6,61,10:39 PM,10:03 AM,06:02 AM,06:39 PM,21,27,27,25,12,49,78,1.0,1008,27,10,188,7,Papua%20New%20Guinea
2020-01-16,29,25,0.0,7.5,6,54,11:26 PM,10:58 AM,06:02 AM,06:39 PM,23,30,30,27,19,73,80,13.2,1008,29,9,193,11,Papua%20New%20Guinea
2020-01-17,31,24,0.0,6.2,6,47,No moonrise,11:52 AM,06:03 AM,06:39 PM,22,30,30,27,28,80,76,15.7,1007,31,8,279,17,Papua%20New%20Guinea
2020-01-18,31,24,0.0,10.2,6,40,12:11 AM,12:45 PM,06:03 AM,06:39 PM,22,31,31,27,25,49,75,4.0,1007,31,9,285,16,Papua%20New%20Guinea
2020-01-19,31,25,0.0,10.2,6,32,12:58 AM,01:40 PM,06:04 AM,06:39 PM,23,31,31,28,24,50,75,8.4,1008,31,9,251,15,Papua%20New%20Guinea
2020-01-20,31,25,0.0,10.2,6,25,01:46 AM,02:34 PM,06:04 AM,06:40 PM,22,31,31,28,15,36,75,1.6,1010,31,10,197,10,Papua%20New%20Guinea
2020-01-21,31,25,0.0,10.2,6,18,02:35 AM,03:30 PM,06:05 AM,06:40 PM,23,31,31,28,13,32,75,0.9,1010,31,10,191,9,Papua%20New%20Guinea
2020-01-22,31,26,0.0,10.2,6,11,03:27 AM,04:25 PM,06:05 AM,06:40 PM,23,31,31,28,18,53,77,3.7,1011,31,10,323,12,Papua%20New%20Guinea
2020-01-23,31,25,0.0,11.6,6,3,04:20 AM,05:20 PM,06:05 AM,06:40 PM,22,31,31,28,14,31,73,0.3,1010,31,10,238,10,Papua%20New%20Guinea
2020-01-24,31,26,0.0,10.2,6,0,05:15 AM,06:13 PM,06:06 AM,06:40 PM,23,32,32,28,10,38,73,0.5,1010,31,10,139,7,Papua%20New%20Guinea
2020-01-25,30,26,0.0,6.2,6,0,06:08 AM,07:02 PM,06:06 AM,06:40 PM,23,31,31,28,8,67,76,5.0,1009,30,9,154,5,Papua%20New%20Guinea
2020-01-26,30,25,0.0,10.2,6,4,06:59 AM,07:48 PM,06:07 AM,06:40 PM,23,31,31,28,11,61,77,6.1,1009,30,9,136,8,Papua%20New%20Guinea
2020-01-27,31,25,0.0,8.9,6,11,07:49 AM,08:30 PM,06:07 AM,06:40 PM,23,31,31,28,9,50,73,1.3,1008,31,10,149,6,Papua%20New%20Guinea
2020-01-28,32,26,0.0,11.6,7,18,08:36 AM,09:11 PM,06:08 AM,06:40 PM,22,32,32,29,9,19,69,0.0,1008,32,10,129,6,Papua%20New%20Guinea
2020-01-29,31,25,0.0,6.2,6,26,09:22 AM,09:49 PM,06:08 AM,06:40 PM,23,32,32,28,10,75,76,5.0,1008,31,9,175,6,Papua%20New%20Guinea
2020-01-30,30,26,0.0,6.2,6,33,10:06 AM,10:26 PM,06:08 AM,06:40 PM,23,31,31,27,17,72,76,10.6,1009,30,9,240,10,Papua%20New%20Guinea
2020-01-31,30,25,0.0,10.2,7,37,10:50 AM,11:04 PM,06:09 AM,06:40 PM,22,30,30,27,10,42,71,0.2,1009,30,10,105,6,Papua%20New%20Guinea
2020-02-01,31,25,0.0,10.2,7,49,11:34 AM,11:43 PM,06:09 AM,06:40 PM,21,30,30,28,9,46,68,0.6,1009,31,10,145,6,Papua%20New%20Guinea
2020-02-02,28,25,0.0,6.2,6,57,12:20 PM,No moonset,06:09 AM,06:40 PM,23,30,30,26,25,72,82,20.7,1009,28,8,193,14,Papua%20New%20Guinea
2020-02-03,29,25,0.0,6.2,6,64,01:08 PM,12:23 AM,06:10 AM,06:40 PM,23,30,30,27,23,76,80,14.3,1009,29,9,328,14,Papua%20New%20Guinea
2020-02-04,30,25,0.0,6.2,6,72,01:59 PM,01:07 AM,06:10 AM,06:40 PM,23,31,31,27,14,77,79,9.4,1009,30,9,179,9,Papua%20New%20Guinea
2020-02-05,31,26,0.0,7.5,6,79,02:54 PM,01:55 AM,06:10 AM,06:39 PM,22,31,31,28,11,74,74,8.6,1009,31,9,200,7,Papua%20New%20Guinea
2020-02-06,26,24,0.0,6.1,6,87,03:51 PM,02:48 AM,06:11 AM,06:39 PM,23,28,28,25,22,78,87,78.5,1009,26,8,339,14,Papua%20New%20Guinea
2020-02-07,29,25,0.0,6.1,6,95,04:50 PM,03:45 AM,06:11 AM,06:39 PM,23,30,30,27,11,73,81,18.0,1009,29,9,206,7,Papua%20New%20Guinea
2020-02-08,28,25,0.0,6.1,6,100,05:49 PM,04:46 AM,06:11 AM,06:39 PM,23,29,29,26,22,71,85,18.9,1008,28,9,190,12,Papua%20New%20Guinea
2020-02-09,26,25,0.0,7.5,6,100,06:46 PM,05:48 AM,06:12 AM,06:39 PM,23,28,28,25,25,64,88,39.3,1007,26,8,308,17,Papua%20New%20Guinea
2020-02-10,27,19,0.0,6.1,5,83,07:40 PM,06:49 AM,06:12 AM,06:39 PM,22,27,27,24,19,68,83,32.7,1008,27,9,297,13,Papua%20New%20Guinea
2020-02-11,28,25,0.0,6.1,6,75,08:31 PM,07:50 AM,06:12 AM,06:38 PM,23,29,29,26,30,66,81,13.3,1009,28,9,267,18,Papua%20New%20Guinea
2020-02-12,25,17,0.0,6.1,5,68,09:20 PM,08:48 AM,06:12 AM,06:38 PM,23,26,26,23,23,74,88,60.4,1008,25,8,236,13,Papua%20New%20Guinea
2020-02-13,29,24,0.0,6.1,6,60,10:07 PM,09:44 AM,06:12 AM,06:38 PM,23,30,30,26,27,82,83,74.8,1008,29,8,324,17,Papua%20New%20Guinea
2020-02-14,29,24,0.0,6.1,6,53,10:55 PM,10:39 AM,06:13 AM,06:38 PM,23,30,30,26,27,83,83,15.8,1009,29,9,328,16,Papua%20New%20Guinea
2020-02-15,28,24,0.0,6.1,6,45,11:43 PM,11:35 AM,06:13 AM,06:37 PM,23,29,29,26,24,79,83,17.7,1009,28,9,336,14,Papua%20New%20Guinea
2020-02-16,31,24,0.0,11.6,7,38,No moonrise,12:30 PM,06:13 AM,06:37 PM,22,30,30,27,17,25,74,3.1,1009,31,10,236,11,Papua%20New%20Guinea
2020-02-17,31,25,0.0,8.9,6,30,12:32 AM,01:26 PM,06:13 AM,06:37 PM,22,30,30,27,14,40,73,4.4,1009,31,10,160,9,Papua%20New%20Guinea
2020-02-18,31,25,0.0,10.2,6,22,01:24 AM,02:21 PM,06:13 AM,06:36 PM,22,30,30,28,17,36,73,1.6,1008,31,10,222,12,Papua%20New%20Guinea
2020-02-19,31,25,0.0,7.5,6,15,02:16 AM,03:16 PM,06:14 AM,06:36 PM,22,31,31,28,15,50,74,2.1,1007,31,10,181,11,Papua%20New%20Guinea
2020-02-20,30,25,0.0,6.1,6,7,03:10 AM,04:08 PM,06:14 AM,06:36 PM,23,30,30,27,24,78,77,13.9,1008,30,9,207,14,Papua%20New%20Guinea
2020-02-21,28,25,0.0,7.5,6,0,04:02 AM,04:58 PM,06:14 AM,06:35 PM,22,29,29,26,13,73,79,12.5,1009,28,9,258,8,Papua%20New%20Guinea
2020-02-22,31,26,0.0,8.9,6,0,04:54 AM,05:45 PM,06:14 AM,06:35 PM,23,32,32,28,12,63,72,0.9,1009,31,10,174,8,Papua%20New%20Guinea
