date_time,Paraguay_maxtempC,Paraguay_mintempC,Paraguay_totalSnow_cm,Paraguay_sunHour,Paraguay_uvIndex,Paraguay_moon_illumination,Paraguay_moonrise,Paraguay_moonset,Paraguay_sunrise,Paraguay_sunset,Paraguay_DewPointC,Paraguay_FeelsLikeC,Paraguay_HeatIndexC,Paraguay_WindChillC,Paraguay_WindGustKmph,Paraguay_cloudcover,Paraguay_humidity,Paraguay_precipMM,Paraguay_pressure,Paraguay_tempC,Paraguay_visibility,Paraguay_winddirDegree,Paraguay_windspeedKmph,Paraguay_location
2020-01-01,37,25,0.0,11.6,7,37,11:38 AM,No moonset,06:03 AM,07:45 PM,20,35,35,32,12,39,57,2.6,1005,37,10,233,9,Paraguay
2020-01-02,36,26,0.0,11.6,8,44,12:28 PM,12:21 AM,06:04 AM,07:45 PM,18,33,33,31,18,11,51,0.0,1007,36,10,173,13,Paraguay
2020-01-03,35,24,0.0,11.6,8,51,01:19 PM,12:53 AM,06:05 AM,07:45 PM,15,30,30,30,20,7,46,0.0,1008,35,10,164,14,Paraguay
2020-01-04,37,24,0.0,11.6,8,59,02:10 PM,01:25 AM,06:05 AM,07:45 PM,16,33,33,31,13,29,47,0.0,1007,37,10,150,9,Paraguay
2020-01-05,39,25,0.0,11.6,8,66,03:03 PM,01:58 AM,06:06 AM,07:46 PM,16,34,34,33,13,9,44,0.0,1002,39,10,158,8,Paraguay
2020-01-06,38,26,0.0,9.1,7,73,03:58 PM,02:34 AM,06:07 AM,07:46 PM,19,33,33,31,21,37,53,0.7,1001,38,10,140,14,Paraguay
2020-01-07,39,24,0.0,11.6,8,80,04:55 PM,03:14 AM,06:08 AM,07:46 PM,20,34,34,31,10,27,56,0.0,1005,39,10,181,7,Paraguay
2020-01-08,39,26,0.0,11.6,8,88,05:55 PM,03:58 AM,06:08 AM,07:46 PM,21,35,35,32,16,15,57,0.0,1004,39,10,39,11,Paraguay
2020-01-09,40,29,0.0,11.6,9,95,06:55 PM,04:49 AM,06:09 AM,07:46 PM,21,39,39,35,17,25,50,0.2,1003,40,10,111,12,Paraguay
2020-01-10,40,26,0.0,10.4,8,100,07:54 PM,05:46 AM,06:10 AM,07:46 PM,22,38,38,34,15,50,58,6.0,1004,40,9,158,10,Paraguay
