date_time,Rwanda_maxtempC,Rwanda_mintempC,Rwanda_totalSnow_cm,Rwanda_sunHour,Rwanda_uvIndex,Rwanda_moon_illumination,Rwanda_moonrise,Rwanda_moonset,Rwanda_sunrise,Rwanda_sunset,Rwanda_DewPointC,Rwanda_FeelsLikeC,Rwanda_HeatIndexC,Rwanda_WindChillC,Rwanda_WindGustKmph,Rwanda_cloudcover,Rwanda_humidity,Rwanda_precipMM,Rwanda_pressure,Rwanda_tempC,Rwanda_visibility,Rwanda_winddirDegree,Rwanda_windspeedKmph,Rwanda_location
2020-01-01,27,16,0.0,12.5,6,37,10:50 AM,11:12 PM,05:56 AM,06:10 PM,15,23,23,22,9,14,70,0.0,1012,27,10,216,6,Rwanda
2020-01-02,28,16,0.0,12.5,6,44,11:32 AM,11:52 PM,05:57 AM,06:10 PM,15,23,23,22,9,20,68,0.2,1013,28,10,166,6,Rwanda
2020-01-03,27,17,0.0,11.8,5,51,12:13 PM,No moonset,05:57 AM,06:11 PM,15,22,22,22,8,40,70,0.4,1014,27,10,183,5,Rwanda
2020-01-04,24,17,0.0,7.8,5,59,12:56 PM,12:32 AM,05:58 AM,06:11 PM,17,21,21,20,5,63,83,15.6,1014,24,8,215,3,Rwanda
2020-01-05,24,16,0.0,7.8,5,66,01:39 PM,01:14 AM,05:58 AM,06:12 PM,17,20,20,20,5,65,86,17.5,1013,24,7,224,3,Rwanda
2020-01-06,24,16,0.0,9.2,5,73,02:25 PM,01:57 AM,05:58 AM,06:12 PM,17,19,20,19,7,65,85,20.2,1013,24,8,223,4,Rwanda
2020-01-07,25,15,0.0,10.5,5,80,03:15 PM,02:43 AM,05:59 AM,06:13 PM,16,19,20,19,8,59,81,7.7,1013,25,7,170,5,Rwanda
2020-01-08,21,15,0.0,10.5,4,88,04:08 PM,03:34 AM,05:59 AM,06:13 PM,16,18,18,18,5,70,91,6.2,1014,21,8,257,3,Rwanda
2020-01-09,25,15,0.0,7.6,5,95,05:05 PM,04:28 AM,06:00 AM,06:13 PM,16,20,21,20,7,80,82,11.5,1013,25,8,216,4,Rwanda
2020-01-10,25,15,0.0,10.4,5,100,06:04 PM,05:26 AM,06:00 AM,06:14 PM,16,19,20,19,7,56,83,13.0,1013,25,7,198,4,Rwanda
