date_time,San%20Marino_maxtempC,San%20Marino_mintempC,San%20Marino_totalSnow_cm,San%20Marino_sunHour,San%20Marino_uvIndex,San%20Marino_moon_illumination,San%20Marino_moonrise,San%20Marino_moonset,San%20Marino_sunrise,San%20Marino_sunset,San%20Marino_DewPointC,San%20Marino_FeelsLikeC,San%20Marino_HeatIndexC,San%20Marino_WindChillC,San%20Marino_WindGustKmph,San%20Marino_cloudcover,San%20Marino_humidity,San%20Marino_precipMM,San%20Marino_pressure,San%20Marino_tempC,San%20Marino_visibility,San%20Marino_winddirDegree,San%20Marino_windspeedKmph,San%20Marino_location
2020-01-01,9,6,0.0,8.7,3,37,11:37 AM,11:00 PM,07:45 AM,04:42 PM,-0,6,7,6,13,4,58,0.0,1031,9,10,295,8,San%20Marino
2020-01-02,9,6,0.0,8.7,3,44,11:59 AM,12:00 AM,07:45 AM,04:43 PM,4,6,7,6,14,4,78,0.0,1032,9,10,298,9,San%20Marino
2020-01-03,10,6,0.0,8.7,2,51,12:21 PM,No moonset,07:45 AM,04:44 PM,2,7,8,7,9,46,67,0.0,1028,10,10,282,5,San%20Marino
2020-01-04,10,8,0.0,6.9,2,59,12:43 PM,01:00 AM,07:45 AM,04:45 PM,6,7,9,7,18,57,79,0.0,1023,10,10,292,12,San%20Marino
2020-01-05,11,7,0.0,8.7,3,66,01:08 PM,02:01 AM,07:45 AM,04:46 PM,3,8,9,8,15,6,68,0.0,1028,11,10,181,10,San%20Marino
2020-01-06,9,7,0.0,8.7,3,73,01:35 PM,03:05 AM,07:45 AM,04:47 PM,0,6,8,6,14,20,59,0.0,1031,9,10,155,9,San%20Marino
2020-01-07,7,5,0.0,6.9,2,80,02:07 PM,04:10 AM,07:45 AM,04:48 PM,1,4,6,4,12,19,72,0.0,1026,7,10,293,8,San%20Marino
2020-01-08,9,5,0.0,8.7,3,88,02:47 PM,05:16 AM,07:45 AM,04:49 PM,2,4,6,4,19,5,74,0.0,1028,9,10,292,13,San%20Marino
2020-01-09,9,6,0.0,8.7,3,95,03:35 PM,06:22 AM,07:44 AM,04:50 PM,-1,7,7,7,9,4,57,0.0,1028,9,10,201,5,San%20Marino
2020-01-10,12,7,0.0,8.7,3,100,04:33 PM,07:24 AM,07:44 AM,04:51 PM,4,8,9,8,15,21,72,0.0,1025,12,10,221,9,San%20Marino
2020-01-11,9,6,0.0,6.9,2,100,05:40 PM,08:19 AM,07:44 AM,04:53 PM,4,5,7,5,21,41,82,0.0,1026,9,10,298,14,San%20Marino
2020-01-12,9,7,0.0,3.4,2,83,06:53 PM,09:07 AM,07:43 AM,04:54 PM,4,7,8,7,14,51,75,0.0,1029,9,10,189,9,San%20Marino
2020-01-13,9,6,0.0,8.7,3,76,08:09 PM,09:47 AM,07:43 AM,04:55 PM,3,7,7,7,8,14,75,0.0,1027,9,10,175,5,San%20Marino
2020-01-14,8,5,0.0,8.7,3,69,09:26 PM,10:21 AM,07:43 AM,04:56 PM,3,6,7,6,9,24,77,0.0,1025,8,10,192,6,San%20Marino
2020-01-15,9,6,0.0,8.7,2,61,10:40 PM,10:51 AM,07:42 AM,04:57 PM,4,8,8,8,7,28,76,0.0,1026,9,10,256,5,San%20Marino
2020-01-16,9,7,0.0,8.7,2,54,11:54 PM,11:19 AM,07:42 AM,04:59 PM,5,6,8,6,15,42,80,0.0,1028,9,10,291,10,San%20Marino
2020-01-17,10,7,0.0,7.0,2,47,No moonrise,11:46 AM,07:41 AM,05:00 PM,4,7,8,7,14,43,75,0.0,1025,10,10,241,9,San%20Marino
2020-01-18,10,7,0.0,5.3,2,40,01:06 AM,12:14 PM,07:40 AM,05:01 PM,6,6,9,6,27,69,82,5.7,1020,10,7,234,19,San%20Marino
2020-01-19,9,7,0.0,3.6,2,32,02:18 AM,12:45 PM,07:40 AM,05:02 PM,3,4,8,4,40,80,70,5.7,1025,9,10,50,30,San%20Marino
2020-01-20,9,8,0.0,3.6,2,25,03:29 AM,01:20 PM,07:39 AM,05:04 PM,3,4,8,4,37,88,71,0.6,1036,9,9,55,28,San%20Marino
2020-01-21,7,5,0.0,8.7,2,18,04:37 AM,02:00 PM,07:38 AM,05:05 PM,2,5,6,5,13,48,73,0.0,1040,7,10,204,10,San%20Marino
2020-01-22,8,5,0.0,5.3,2,11,05:41 AM,02:48 PM,07:38 AM,05:06 PM,1,6,6,6,7,50,72,0.0,1034,8,10,192,4,San%20Marino
2020-01-23,9,6,0.0,8.7,3,3,06:38 AM,03:42 PM,07:37 AM,05:08 PM,3,6,7,6,9,8,77,0.0,1030,9,10,284,6,San%20Marino
2020-01-24,10,5,0.0,8.7,3,0,07:28 AM,04:40 PM,07:36 AM,05:09 PM,4,7,7,7,8,26,81,0.0,1027,10,10,177,5,San%20Marino
2020-01-25,8,7,0.0,3.7,2,0,08:09 AM,05:42 PM,07:35 AM,05:10 PM,6,6,8,6,10,91,89,4.3,1023,8,6,276,8,San%20Marino
