date_time,Saudi%20Arabia_maxtempC,Saudi%20Arabia_mintempC,Saudi%20Arabia_totalSnow_cm,Saudi%20Arabia_sunHour,Saudi%20Arabia_uvIndex,Saudi%20Arabia_moon_illumination,Saudi%20Arabia_moonrise,Saudi%20Arabia_moonset,Saudi%20Arabia_sunrise,Saudi%20Arabia_sunset,Saudi%20Arabia_DewPointC,Saudi%20Arabia_FeelsLikeC,Saudi%20Arabia_HeatIndexC,Saudi%20Arabia_WindChillC,Saudi%20Arabia_WindGustKmph,Saudi%20Arabia_cloudcover,Saudi%20Arabia_humidity,Saudi%20Arabia_precipMM,Saudi%20Arabia_pressure,Saudi%20Arabia_tempC,Saudi%20Arabia_visibility,Saudi%20Arabia_winddirDegree,Saudi%20Arabia_windspeedKmph,Saudi%20Arabia_location
2020-01-01,20,13,0.0,8.7,5,37,10:59 AM,10:50 PM,06:37 AM,05:16 PM,2,16,17,16,19,5,38,0.0,1017,20,10,62,13,Saudi%20Arabia
2020-01-02,23,13,0.0,8.7,5,44,11:32 AM,11:40 PM,06:37 AM,05:16 PM,4,17,18,17,28,8,41,0.0,1017,23,10,134,20,Saudi%20Arabia
2020-01-03,28,16,0.0,8.7,6,51,12:03 PM,No moonset,06:37 AM,05:17 PM,5,21,21,22,32,4,36,0.0,1015,28,10,181,20,Saudi%20Arabia
2020-01-04,27,19,0.0,8.7,5,59,12:35 PM,12:30 AM,06:38 AM,05:18 PM,8,23,23,23,32,26,37,1.6,1013,27,10,244,21,Saudi%20Arabia
2020-01-05,17,14,0.0,5.6,4,66,01:09 PM,01:21 AM,06:38 AM,05:18 PM,8,16,16,16,22,59,58,3.5,1014,17,10,135,16,Saudi%20Arabia
2020-01-06,16,10,0.0,8.7,4,73,01:46 PM,02:14 AM,06:38 AM,05:19 PM,3,12,13,12,14,1,55,0.0,1020,16,10,44,10,Saudi%20Arabia
2020-01-07,18,10,0.0,8.7,4,80,02:27 PM,03:10 AM,06:38 AM,05:20 PM,-1,14,14,14,16,9,38,0.0,1021,18,10,116,11,Saudi%20Arabia
2020-01-08,22,12,0.0,8.7,5,88,03:13 PM,04:07 AM,06:38 AM,05:20 PM,2,16,17,16,29,17,37,0.0,1016,22,10,165,19,Saudi%20Arabia
2020-01-09,19,14,0.0,8.7,5,95,04:05 PM,05:07 AM,06:39 AM,05:21 PM,4,16,16,16,20,24,45,0.0,1013,19,10,136,13,Saudi%20Arabia
2020-01-10,18,11,0.0,8.7,5,100,05:04 PM,06:07 AM,06:39 AM,05:22 PM,3,14,14,14,21,8,52,0.0,1011,18,10,195,15,Saudi%20Arabia
2020-01-11,15,9,0.0,8.7,4,100,06:06 PM,07:05 AM,06:39 AM,05:23 PM,-1,9,12,9,34,6,41,0.0,1016,15,10,318,26,Saudi%20Arabia
2020-01-12,15,7,0.0,8.7,4,83,07:12 PM,08:00 AM,06:39 AM,05:23 PM,-3,8,11,8,29,1,41,0.0,1023,15,10,326,21,Saudi%20Arabia
2020-01-13,17,7,0.0,8.7,4,76,08:17 PM,08:50 AM,06:39 AM,05:24 PM,-5,12,12,12,10,2,32,0.0,1021,17,10,275,6,Saudi%20Arabia
2020-01-14,17,11,0.0,8.7,4,69,09:22 PM,09:36 AM,06:39 AM,05:25 PM,-3,12,13,12,25,3,33,0.0,1020,17,10,330,18,Saudi%20Arabia
2020-01-15,15,6,0.0,8.7,4,61,10:24 PM,10:17 AM,06:39 AM,05:26 PM,-3,9,11,9,21,3,38,0.0,1026,15,10,200,14,Saudi%20Arabia
2020-01-16,18,9,0.0,8.7,4,54,11:25 PM,10:57 AM,06:39 AM,05:26 PM,1,12,13,12,20,8,45,0.0,1024,18,10,148,13,Saudi%20Arabia
2020-01-17,20,11,0.0,8.7,5,47,No moonrise,11:36 AM,06:39 AM,05:27 PM,2,14,15,14,33,7,42,0.0,1020,20,10,161,22,Saudi%20Arabia
2020-01-18,24,12,0.0,8.7,5,40,12:25 AM,12:15 PM,06:39 AM,05:28 PM,-1,17,18,17,27,13,29,0.0,1015,24,10,195,17,Saudi%20Arabia
2020-01-19,21,15,0.0,8.7,5,32,01:26 AM,12:57 PM,06:39 AM,05:29 PM,3,18,18,18,20,20,39,0.0,1017,21,10,59,15,Saudi%20Arabia
2020-01-20,19,12,0.0,8.7,5,25,02:26 AM,01:41 PM,06:39 AM,05:29 PM,2,15,15,15,18,3,42,0.0,1020,19,10,47,13,Saudi%20Arabia
2020-01-21,20,12,0.0,8.7,5,18,03:27 AM,02:28 PM,06:38 AM,05:30 PM,2,15,16,15,27,11,42,0.0,1017,20,10,147,19,Saudi%20Arabia
2020-01-22,21,13,0.0,8.7,5,11,04:25 AM,03:19 PM,06:38 AM,05:31 PM,1,16,17,16,39,6,35,0.0,1014,21,10,231,28,Saudi%20Arabia
2020-01-23,16,11,0.0,8.7,4,3,05:22 AM,04:13 PM,06:38 AM,05:32 PM,-4,11,13,11,24,16,31,0.0,1019,16,10,180,19,Saudi%20Arabia
2020-01-24,16,8,0.0,8.7,4,0,06:13 AM,05:08 PM,06:38 AM,05:32 PM,-3,11,12,11,15,2,36,0.0,1020,16,10,86,10,Saudi%20Arabia
2020-01-25,16,10,0.0,8.7,4,0,07:01 AM,06:04 PM,06:37 AM,05:33 PM,-3,11,13,11,31,1,34,0.0,1020,16,10,267,22,Saudi%20Arabia
2020-01-26,14,5,0.0,8.7,4,4,07:44 AM,06:58 PM,06:37 AM,05:34 PM,-3,6,10,6,33,0,43,0.0,1026,14,10,337,25,Saudi%20Arabia
2020-01-27,16,6,0.0,8.7,4,11,08:22 AM,07:51 PM,06:37 AM,05:34 PM,-3,10,11,10,19,0,39,0.0,1026,16,10,292,13,Saudi%20Arabia
2020-01-28,18,8,0.0,8.7,4,18,08:57 AM,08:42 PM,06:37 AM,05:35 PM,-6,12,13,12,12,0,27,0.0,1022,18,10,208,7,Saudi%20Arabia
2020-01-29,22,10,0.0,8.7,5,26,09:31 AM,09:33 PM,06:36 AM,05:36 PM,-7,15,15,15,24,8,22,0.0,1018,22,10,201,15,Saudi%20Arabia
2020-01-30,20,11,0.0,8.7,5,33,10:02 AM,10:22 PM,06:36 AM,05:37 PM,-5,14,15,14,27,1,25,0.0,1021,20,10,308,18,Saudi%20Arabia
2020-01-31,20,10,0.0,8.7,5,37,10:34 AM,11:12 PM,06:35 AM,05:37 PM,-4,15,15,15,16,5,28,0.0,1018,20,10,92,10,Saudi%20Arabia
2020-02-01,24,15,0.0,8.7,6,49,11:07 AM,No moonset,06:35 AM,05:38 PM,-2,19,20,19,35,14,26,0.0,1016,24,10,196,24,Saudi%20Arabia
2020-02-02,19,10,0.0,8.7,5,57,11:42 AM,12:03 AM,06:35 AM,05:39 PM,-6,14,14,14,19,6,26,0.0,1021,19,10,33,12,Saudi%20Arabia
2020-02-03,19,10,0.0,8.7,4,64,12:19 PM,12:56 AM,06:34 AM,05:39 PM,-4,14,14,14,14,5,29,0.0,1023,19,10,49,9,Saudi%20Arabia
2020-02-04,21,11,0.0,8.7,5,72,01:02 PM,01:52 AM,06:34 AM,05:40 PM,-1,15,16,15,24,11,32,0.0,1019,21,10,138,17,Saudi%20Arabia
2020-02-05,23,13,0.0,8.7,5,79,01:50 PM,02:49 AM,06:33 AM,05:41 PM,1,17,17,17,32,28,33,0.0,1018,23,10,157,22,Saudi%20Arabia
2020-02-06,22,15,0.0,8.7,5,87,02:45 PM,03:49 AM,06:33 AM,05:41 PM,2,19,19,19,30,22,33,0.0,1018,22,10,154,20,Saudi%20Arabia
2020-02-07,28,17,0.0,8.7,6,95,03:46 PM,04:47 AM,06:32 AM,05:42 PM,2,21,21,22,24,10,29,0.0,1016,28,10,182,16,Saudi%20Arabia
2020-02-08,28,19,0.0,8.7,6,100,04:51 PM,05:45 AM,06:32 AM,05:43 PM,2,23,23,23,30,12,24,0.0,1016,28,10,254,20,Saudi%20Arabia
2020-02-09,23,16,0.0,8.7,5,100,05:58 PM,06:37 AM,06:31 AM,05:43 PM,0,19,19,19,21,12,29,0.0,1018,23,10,57,16,Saudi%20Arabia
2020-02-10,17,13,0.0,8.7,5,83,07:05 PM,07:27 AM,06:30 AM,05:44 PM,-0,14,15,14,22,12,36,0.0,1018,17,10,56,17,Saudi%20Arabia
2020-02-11,15,7,0.0,8.7,4,75,08:10 PM,08:11 AM,06:30 AM,05:45 PM,-1,9,11,9,24,4,46,0.0,1021,15,10,154,18,Saudi%20Arabia
2020-02-12,14,3,0.0,8.7,3,68,09:15 PM,08:53 AM,06:29 AM,05:45 PM,-12,5,8,5,23,1,23,0.0,1028,14,10,59,17,Saudi%20Arabia
2020-02-13,17,4,0.0,8.7,4,60,10:17 PM,09:34 AM,06:28 AM,05:46 PM,-13,10,10,10,11,0,19,0.0,1028,17,10,78,6,Saudi%20Arabia
2020-02-14,22,9,0.0,8.7,5,53,11:20 PM,10:14 AM,06:28 AM,05:47 PM,-9,15,15,15,15,0,19,0.0,1023,22,10,142,8,Saudi%20Arabia
