date_time,Senegal_maxtempC,Senegal_mintempC,Senegal_totalSnow_cm,Senegal_sunHour,Senegal_uvIndex,Senegal_moon_illumination,Senegal_moonrise,Senegal_moonset,Senegal_sunrise,Senegal_sunset,Senegal_DewPointC,Senegal_FeelsLikeC,Senegal_HeatIndexC,Senegal_WindChillC,Senegal_WindGustKmph,Senegal_cloudcover,Senegal_humidity,Senegal_precipMM,Senegal_pressure,Senegal_tempC,Senegal_visibility,Senegal_winddirDegree,Senegal_windspeedKmph,Senegal_location
2020-01-01,24,16,0.0,11.2,6,37,12:15 PM,No moonset,07:35 AM,06:51 PM,13,24,24,22,50,13,52,0.0,1013,24,10,45,27,Senegal
2020-01-02,23,17,0.0,11.2,6,44,12:51 PM,12:20 AM,07:35 AM,06:52 PM,11,24,24,22,46,45,48,0.0,1014,23,10,86,27,Senegal
2020-01-03,25,17,0.0,11.2,6,51,01:27 PM,01:07 AM,07:36 AM,06:53 PM,13,24,24,22,42,37,51,0.0,1014,25,10,40,24,Senegal
2020-01-04,23,21,0.0,11.2,6,59,02:03 PM,01:53 AM,07:36 AM,06:53 PM,12,25,25,23,48,20,49,0.0,1015,23,10,43,29,Senegal
2020-01-05,22,13,0.0,11.2,6,66,02:41 PM,02:40 AM,07:36 AM,06:54 PM,12,21,23,21,52,8,52,0.0,1015,22,10,35,32,Senegal
2020-01-06,22,14,0.0,11.2,6,73,03:23 PM,03:30 AM,07:37 AM,06:54 PM,12,20,23,20,55,2,53,0.0,1014,22,10,30,35,Senegal
2020-01-07,22,15,0.0,11.2,6,80,04:07 PM,04:22 AM,07:37 AM,06:55 PM,11,20,22,20,54,2,51,0.0,1014,22,10,27,36,Senegal
2020-01-08,22,13,0.0,11.2,6,88,04:57 PM,05:17 AM,07:37 AM,06:56 PM,11,20,23,20,53,10,51,0.0,1014,22,10,30,36,Senegal
2020-01-09,21,14,0.0,11.2,6,95,05:53 PM,06:15 AM,07:38 AM,06:56 PM,10,20,22,20,56,13,49,0.0,1015,21,10,30,39,Senegal
2020-01-10,22,13,0.0,11.2,6,100,06:52 PM,07:14 AM,07:38 AM,06:57 PM,11,20,22,20,59,0,51,0.0,1016,22,10,32,39,Senegal
2020-01-11,22,13,0.0,11.2,6,100,07:54 PM,08:13 AM,07:38 AM,06:57 PM,11,20,22,20,52,14,51,0.0,1015,22,10,31,33,Senegal
2020-01-12,21,11,0.0,11.2,6,83,08:56 PM,09:09 AM,07:38 AM,06:58 PM,12,20,22,20,50,9,55,0.0,1015,21,10,25,30,Senegal
2020-01-13,23,17,0.0,11.2,6,76,09:57 PM,10:02 AM,07:38 AM,06:58 PM,13,21,23,21,47,1,57,0.0,1014,23,10,68,27,Senegal
2020-01-14,22,17,0.0,11.2,6,69,10:57 PM,10:51 AM,07:39 AM,06:59 PM,12,21,24,21,47,14,55,0.0,1012,22,10,77,25,Senegal
2020-01-15,22,16,0.0,11.6,6,61,11:54 PM,11:37 AM,07:39 AM,07:00 PM,13,21,24,21,49,9,59,0.0,1014,22,10,71,27,Senegal
2020-01-16,22,14,0.0,10.2,5,54,No moonrise,12:21 PM,07:39 AM,07:00 PM,13,20,23,20,52,40,58,0.0,1014,22,10,21,28,Senegal
2020-01-17,25,21,0.0,11.6,6,47,12:50 AM,01:05 PM,07:39 AM,07:01 PM,13,25,25,23,46,17,55,0.0,1014,25,10,73,24,Senegal
2020-01-18,25,21,0.0,11.6,6,40,01:46 AM,01:49 PM,07:39 AM,07:01 PM,13,24,24,23,45,6,53,0.0,1014,25,10,120,22,Senegal
2020-01-19,22,16,0.0,11.6,6,32,02:42 AM,02:34 PM,07:39 AM,07:02 PM,13,21,24,21,46,11,54,0.0,1013,22,10,121,23,Senegal
2020-01-20,22,13,0.0,11.6,6,25,03:39 AM,03:22 PM,07:39 AM,07:02 PM,13,21,23,21,36,27,57,0.0,1011,22,10,152,18,Senegal
2020-01-21,23,21,0.0,8.7,5,18,04:36 AM,04:13 PM,07:39 AM,07:03 PM,15,25,25,22,34,36,62,0.0,1011,23,10,138,18,Senegal
2020-01-22,22,15,0.0,11.6,5,11,05:33 AM,05:06 PM,07:39 AM,07:04 PM,16,21,23,21,42,29,69,0.0,1013,22,10,141,22,Senegal
2020-01-23,22,13,0.0,11.6,6,3,06:27 AM,06:00 PM,07:39 AM,07:04 PM,16,20,23,20,49,18,68,0.0,1013,22,10,14,25,Senegal
2020-01-24,22,12,0.0,11.6,6,0,07:20 AM,06:54 PM,07:39 AM,07:05 PM,17,21,23,21,60,7,69,0.0,1012,22,10,144,30,Senegal
2020-01-25,23,22,0.0,8.7,5,0,08:08 AM,07:47 PM,07:39 AM,07:05 PM,16,25,25,23,70,26,67,0.2,1013,23,10,59,35,Senegal
2020-01-26,23,13,0.0,11.6,6,4,08:53 AM,08:38 PM,07:39 AM,07:06 PM,17,21,23,21,64,15,67,0.0,1014,23,10,18,31,Senegal
2020-01-27,25,23,0.0,11.6,6,11,09:34 AM,09:27 PM,07:39 AM,07:06 PM,16,25,25,24,52,17,63,0.0,1013,25,10,144,25,Senegal
2020-01-28,23,15,0.0,11.6,6,18,10:12 AM,10:14 PM,07:39 AM,07:07 PM,17,21,24,21,49,0,71,0.0,1012,23,10,132,25,Senegal
2020-01-29,24,22,0.0,11.6,6,26,10:49 AM,11:00 PM,07:39 AM,07:07 PM,16,25,25,23,34,2,64,0.0,1012,24,10,301,17,Senegal
2020-01-30,27,23,0.0,11.6,7,33,11:25 AM,11:46 PM,07:39 AM,07:08 PM,14,26,26,25,40,0,50,0.0,1013,27,10,117,19,Senegal
2020-01-31,25,23,0.0,11.6,6,37,12:00 PM,No moonset,07:39 AM,07:08 PM,14,26,26,24,66,0,51,0.0,1013,25,10,34,31,Senegal
