date_time,Slovak%20Republic_maxtempC,Slovak%20Republic_mintempC,Slovak%20Republic_totalSnow_cm,Slovak%20Republic_sunHour,Slovak%20Republic_uvIndex,Slovak%20Republic_moon_illumination,Slovak%20Republic_moonrise,Slovak%20Republic_moonset,Slovak%20Republic_sunrise,Slovak%20Republic_sunset,Slovak%20Republic_DewPointC,Slovak%20Republic_FeelsLikeC,Slovak%20Republic_HeatIndexC,Slovak%20Republic_WindChillC,Slovak%20Republic_WindGustKmph,Slovak%20Republic_cloudcover,Slovak%20Republic_humidity,Slovak%20Republic_precipMM,Slovak%20Republic_pressure,Slovak%20Republic_tempC,Slovak%20Republic_visibility,Slovak%20Republic_winddirDegree,Slovak%20Republic_windspeedKmph,Slovak%20Republic_location
2020-01-01,10,3,0.0,8.7,2,37,11:32 AM,11:19 PM,07:14 AM,05:06 PM,1,4,6,4,18,37,67,0.7,1017,10,10,209,11,Slovak%20Republic
2020-01-02,14,6,0.0,3.7,3,44,11:59 AM,No moonset,07:14 AM,05:07 PM,10,8,11,8,28,95,93,13.9,1006,14,8,168,18,Slovak%20Republic
2020-01-03,15,9,0.0,3.7,3,51,12:26 PM,12:13 AM,07:14 AM,05:08 PM,10,10,12,10,33,86,85,1.8,1006,15,9,220,22,Slovak%20Republic
2020-01-04,9,5,0.0,8.7,3,59,12:55 PM,01:08 AM,07:14 AM,05:09 PM,1,4,7,4,24,11,67,0.0,1023,9,10,297,16,Slovak%20Republic
2020-01-05,13,3,0.0,8.7,3,66,01:25 PM,02:04 AM,07:14 AM,05:10 PM,3,6,7,6,16,0,71,0.0,1026,13,10,232,9,Slovak%20Republic
2020-01-06,10,6,0.0,5.4,2,73,01:59 PM,03:03 AM,07:14 AM,05:10 PM,6,7,8,7,11,48,86,0.0,1021,10,10,189,7,Slovak%20Republic
2020-01-07,11,4,0.0,8.7,3,80,02:37 PM,04:03 AM,07:14 AM,05:11 PM,0,4,7,4,22,1,65,0.0,1026,11,10,285,13,Slovak%20Republic
2020-01-08,13,4,0.0,8.7,3,88,03:23 PM,05:05 AM,07:14 AM,05:12 PM,2,5,8,5,24,11,67,0.0,1027,13,10,196,13,Slovak%20Republic
2020-01-09,14,7,0.0,3.7,3,95,04:16 PM,06:07 AM,07:14 AM,05:13 PM,8,7,10,7,41,75,81,1.7,1022,14,9,173,25,Slovak%20Republic
2020-01-10,20,12,0.0,3.8,4,100,05:17 PM,07:08 AM,07:14 AM,05:14 PM,16,17,17,17,44,95,89,2.7,1015,20,10,170,27,Slovak%20Republic
