date_time,Spain_maxtempC,Spain_mintempC,Spain_totalSnow_cm,Spain_sunHour,Spain_uvIndex,Spain_moon_illumination,Spain_moonrise,Spain_moonset,Spain_sunrise,Spain_sunset,Spain_DewPointC,Spain_FeelsLikeC,Spain_HeatIndexC,Spain_WindChillC,Spain_WindGustKmph,Spain_cloudcover,Spain_humidity,Spain_precipMM,Spain_pressure,Spain_tempC,Spain_visibility,Spain_winddirDegree,Spain_windspeedKmph,Spain_location
2020-01-01,13,8,0.0,8.7,4,37,12:38 PM,No moonset,08:38 AM,05:59 PM,1,10,10,10,4,7,52,0.0,1031,13,10,120,3,Spain
2020-01-02,13,7,0.0,8.7,3,44,01:03 PM,12:09 AM,08:38 AM,05:59 PM,0,9,10,9,5,21,55,0.0,1030,13,10,115,3,Spain
2020-01-03,11,6,0.0,9.6,2,51,01:27 PM,01:07 AM,08:38 AM,06:00 PM,1,8,8,8,2,58,62,0.0,1032,11,10,136,1,Spain
2020-01-04,14,6,0.0,9.6,3,59,01:52 PM,02:05 AM,08:38 AM,06:01 PM,3,8,10,8,12,2,65,0.0,1034,14,10,38,9,Spain
2020-01-05,15,8,0.0,9.6,4,66,02:18 PM,03:05 AM,08:38 AM,06:02 PM,4,10,11,10,6,1,63,0.0,1030,15,10,71,5,Spain
2020-01-06,15,8,0.0,9.7,4,73,02:48 PM,04:06 AM,08:38 AM,06:03 PM,3,12,11,12,3,0,57,0.0,1029,15,10,136,3,Spain
2020-01-07,14,9,0.0,9.7,4,80,03:23 PM,05:09 AM,08:38 AM,06:04 PM,-0,12,12,12,5,1,45,0.0,1031,14,10,126,4,Spain
2020-01-08,15,7,0.0,9.7,4,88,04:04 PM,06:13 AM,08:38 AM,06:05 PM,-3,10,10,10,6,7,40,0.0,1029,15,10,117,4,Spain
2020-01-09,12,8,0.0,9.7,3,95,04:54 PM,07:18 AM,08:37 AM,06:06 PM,4,9,9,9,9,15,71,0.0,1026,12,10,152,6,Spain
2020-01-10,11,7,0.0,9.7,3,100,05:53 PM,08:19 AM,08:37 AM,06:07 PM,1,7,9,7,15,11,58,0.0,1030,11,10,157,12,Spain
2020-01-11,13,6,0.0,9.7,3,100,06:59 PM,09:15 AM,08:37 AM,06:08 PM,2,9,9,9,6,0,62,0.0,1032,13,10,114,5,Spain
2020-01-12,13,5,0.0,9.7,3,83,08:11 PM,10:04 AM,08:37 AM,06:09 PM,-2,9,9,9,4,2,47,0.0,1031,13,10,148,3,Spain
2020-01-13,8,3,0.0,8.2,2,76,09:24 PM,10:45 AM,08:37 AM,06:10 PM,-1,5,6,5,7,42,60,0.0,1026,8,10,222,5,Spain
2020-01-14,6,2,0.0,6.6,1,69,10:37 PM,11:22 AM,08:36 AM,06:11 PM,1,2,4,2,11,43,76,0.0,1023,6,10,231,8,Spain
2020-01-15,8,5,0.0,4.9,2,61,11:50 PM,11:54 AM,08:36 AM,06:12 PM,4,4,6,4,11,98,83,1.1,1024,8,7,193,8,Spain
2020-01-16,12,8,0.0,9.8,2,54,No moonrise,12:24 PM,08:35 AM,06:13 PM,4,8,9,8,12,51,73,0.0,1026,12,10,182,9,Spain
2020-01-17,11,7,0.0,8.2,2,47,01:00 AM,12:54 PM,08:35 AM,06:14 PM,1,6,8,6,23,52,64,1.1,1030,11,8,240,16,Spain
2020-01-18,9,6,0.0,4.9,2,40,02:10 AM,01:25 PM,08:35 AM,06:15 PM,5,6,7,6,13,86,84,7.6,1028,9,8,212,9,Spain
2020-01-19,8,3,0.0,9.8,2,32,03:19 AM,01:59 PM,08:34 AM,06:16 PM,-4,2,6,2,34,45,53,0.6,1023,8,10,100,25,Spain
2020-01-20,6,2,0.0,4.9,1,25,04:27 AM,02:36 PM,08:33 AM,06:18 PM,-8,-2,4,-2,43,63,41,1.9,1025,6,8,39,31,Spain
2020-01-21,8,4,0.0,4.9,2,18,05:34 AM,03:19 PM,08:33 AM,06:19 PM,-0,1,6,1,52,79,65,6.1,1020,8,9,47,37,Spain
2020-01-22,10,6,0.0,4.9,2,11,06:36 AM,04:07 PM,08:32 AM,06:20 PM,3,3,7,3,34,74,73,14.1,1018,10,9,66,23,Spain
2020-01-23,8,5,0.0,4.9,2,3,07:33 AM,05:01 PM,08:32 AM,06:21 PM,3,4,6,4,14,63,77,0.4,1019,8,10,69,10,Spain
2020-01-24,7,1,0.0,5.0,2,0,08:22 AM,05:59 PM,08:31 AM,06:22 PM,4,4,6,4,12,85,85,6.4,1020,7,10,111,9,Spain
2020-01-25,10,6,0.0,5.0,2,0,09:05 AM,06:59 PM,08:30 AM,06:24 PM,5,6,8,6,16,81,83,12.2,1018,10,9,151,11,Spain
2020-01-26,10,7,0.0,10.0,2,4,09:41 AM,08:00 PM,08:30 AM,06:25 PM,5,6,8,6,14,51,81,1.2,1022,10,10,238,10,Spain
2020-01-27,9,3,0.0,5.0,2,11,10:12 AM,09:00 PM,08:29 AM,06:26 PM,4,3,6,3,24,69,87,0.0,1024,9,10,236,17,Spain
