date_time,Sudan_maxtempC,Sudan_mintempC,Sudan_totalSnow_cm,Sudan_sunHour,Sudan_uvIndex,Sudan_moon_illumination,Sudan_moonrise,Sudan_moonset,Sudan_sunrise,Sudan_sunset,Sudan_DewPointC,Sudan_FeelsLikeC,Sudan_HeatIndexC,Sudan_WindChillC,Sudan_WindGustKmph,Sudan_cloudcover,Sudan_humidity,Sudan_precipMM,Sudan_pressure,Sudan_tempC,Sudan_visibility,Sudan_winddirDegree,Sudan_windspeedKmph,Sudan_location
2020-01-01,32,18,0.0,8.7,7,37,10:51 AM,10:54 PM,06:16 AM,05:30 PM,3,24,24,24,29,0,27,0.0,1012,32,10,184,18,Sudan
2020-01-02,34,20,0.0,8.7,7,44,11:27 AM,11:40 PM,06:17 AM,05:31 PM,0,27,27,27,28,5,19,0.0,1011,34,10,240,16,Sudan
2020-01-03,29,18,0.0,8.7,6,51,12:02 PM,No moonset,06:17 AM,05:31 PM,-1,22,22,23,45,2,20,0.0,1015,29,10,350,33,Sudan
2020-01-04,27,16,0.0,8.7,6,59,12:38 PM,12:26 AM,06:17 AM,05:32 PM,-2,21,20,21,41,10,22,0.0,1016,27,10,351,31,Sudan
2020-01-05,25,14,0.0,8.7,5,66,01:16 PM,01:14 AM,06:18 AM,05:32 PM,-7,18,19,18,39,6,19,0.0,1016,25,10,226,29,Sudan
2020-01-06,26,14,0.0,8.7,6,73,01:56 PM,02:04 AM,06:18 AM,05:33 PM,-8,19,19,19,31,3,16,0.0,1015,26,10,138,21,Sudan
2020-01-07,30,16,0.0,8.7,6,80,02:40 PM,02:56 AM,06:18 AM,05:34 PM,-10,22,22,22,32,4,11,0.0,1015,30,10,179,21,Sudan
2020-01-08,28,18,0.0,8.7,6,88,03:29 PM,03:51 AM,06:19 AM,05:34 PM,-9,22,22,22,40,0,12,0.0,1015,28,10,94,27,Sudan
2020-01-09,25,14,0.0,8.7,6,95,04:23 PM,04:48 AM,06:19 AM,05:35 PM,-5,19,20,19,38,0,20,0.0,1016,25,10,178,27,Sudan
2020-01-10,24,12,0.0,8.7,5,100,05:22 PM,05:48 AM,06:19 AM,05:35 PM,-7,17,18,17,39,0,19,0.0,1017,24,10,223,26,Sudan
2020-01-11,24,12,0.0,8.7,5,100,06:23 PM,06:46 AM,06:19 AM,05:36 PM,-7,16,18,16,39,0,21,0.0,1018,24,10,13,26,Sudan
2020-01-12,27,13,0.0,8.7,6,83,07:26 PM,07:43 AM,06:19 AM,05:37 PM,-3,18,19,18,37,0,24,0.0,1017,27,10,20,24,Sudan
2020-01-13,29,15,0.0,8.7,6,76,08:28 PM,08:36 AM,06:20 AM,05:37 PM,-4,21,21,21,34,0,20,0.0,1015,29,10,23,21,Sudan
2020-01-14,33,17,0.0,8.7,7,69,09:28 PM,09:25 AM,06:20 AM,05:38 PM,-0,24,24,25,31,0,22,0.0,1013,33,10,38,19,Sudan
2020-01-15,35,19,0.0,8.7,7,61,10:26 PM,10:11 AM,06:20 AM,05:38 PM,3,26,26,26,30,0,26,0.0,1011,35,10,32,18,Sudan
2020-01-16,35,21,0.0,8.7,7,54,11:23 PM,10:55 AM,06:20 AM,05:39 PM,2,27,27,28,27,0,20,0.0,1010,35,10,94,16,Sudan
2020-01-17,32,20,0.0,8.7,7,47,No moonrise,11:38 AM,06:20 AM,05:40 PM,1,25,25,25,41,0,22,0.0,1013,32,10,349,27,Sudan
2020-01-18,29,17,0.0,8.7,6,40,12:19 AM,12:22 PM,06:20 AM,05:40 PM,-1,22,22,22,41,0,23,0.0,1016,29,10,221,29,Sudan
2020-01-19,28,15,0.0,8.7,6,32,01:15 AM,01:07 PM,06:20 AM,05:41 PM,1,21,21,21,42,0,28,0.0,1016,28,10,140,29,Sudan
2020-01-20,29,15,0.0,8.7,6,25,02:12 AM,01:54 PM,06:20 AM,05:41 PM,-5,21,21,21,42,0,19,0.0,1017,29,10,98,29,Sudan
2020-01-21,27,13,0.0,8.7,6,18,03:10 AM,02:44 PM,06:20 AM,05:42 PM,-7,19,20,19,40,0,18,0.0,1017,27,10,95,27,Sudan
2020-01-22,25,13,0.0,8.7,5,11,04:06 AM,03:37 PM,06:20 AM,05:42 PM,-6,18,19,18,42,0,19,0.0,1016,25,10,137,28,Sudan
2020-01-23,24,11,0.0,8.7,5,3,05:02 AM,04:30 PM,06:20 AM,05:43 PM,-7,16,17,16,40,0,20,0.0,1018,24,10,8,27,Sudan
2020-01-24,25,12,0.0,8.7,5,0,05:55 AM,05:25 PM,06:20 AM,05:43 PM,-5,17,18,17,38,0,22,0.0,1019,25,10,14,25,Sudan
2020-01-25,26,13,0.0,8.7,6,0,06:43 AM,06:18 PM,06:20 AM,05:44 PM,-6,18,19,18,40,0,19,0.0,1019,26,10,17,26,Sudan
2020-01-26,27,14,0.0,8.7,6,4,07:29 AM,07:10 PM,06:20 AM,05:45 PM,-3,20,21,20,40,0,22,0.0,1018,27,10,21,26,Sudan
2020-01-27,28,15,0.0,8.7,6,11,08:10 AM,07:59 PM,06:20 AM,05:45 PM,-5,21,21,21,34,0,19,0.0,1015,28,10,58,21,Sudan
2020-01-28,29,16,0.0,8.7,6,18,08:48 AM,08:47 PM,06:20 AM,05:46 PM,-4,22,22,22,29,0,18,0.0,1014,29,10,309,17,Sudan
2020-01-29,30,17,0.0,8.7,6,26,09:25 AM,09:34 PM,06:20 AM,05:46 PM,-1,23,23,24,35,0,20,0.0,1014,30,10,181,21,Sudan
2020-01-30,30,18,0.0,8.7,6,33,10:00 AM,10:20 PM,06:20 AM,05:47 PM,-1,23,23,24,32,0,20,0.0,1014,30,10,228,21,Sudan
2020-01-31,30,18,0.0,8.7,6,37,10:35 AM,11:07 PM,06:20 AM,05:47 PM,-4,24,24,24,35,0,17,0.0,1014,30,10,303,22,Sudan
2020-02-01,29,16,0.0,8.7,6,49,11:11 AM,11:54 PM,06:19 AM,05:48 PM,-5,22,22,23,37,0,16,0.0,1015,29,10,261,23,Sudan
2020-02-02,30,16,0.0,8.7,6,57,11:50 AM,No moonset,06:19 AM,05:48 PM,-6,23,23,23,32,0,15,0.0,1014,30,10,221,20,Sudan
2020-02-03,31,17,0.0,8.7,6,64,12:30 PM,12:44 AM,06:19 AM,05:48 PM,-5,24,24,24,35,0,15,0.0,1014,31,10,260,21,Sudan
2020-02-04,30,17,0.0,8.7,6,72,01:16 PM,01:37 AM,06:19 AM,05:49 PM,-9,23,23,24,35,0,11,0.0,1014,30,10,258,21,Sudan
2020-02-05,30,16,0.0,8.7,6,79,02:07 PM,02:31 AM,06:18 AM,05:49 PM,-11,22,22,22,31,0,10,0.0,1013,30,10,260,18,Sudan
2020-02-06,32,19,0.0,8.7,7,87,03:03 PM,03:30 AM,06:18 AM,05:50 PM,-10,25,25,25,29,1,9,0.0,1014,32,10,103,17,Sudan
2020-02-07,36,22,0.0,8.7,7,95,04:03 PM,04:28 AM,06:18 AM,05:50 PM,-3,28,28,29,32,0,12,0.0,1013,36,10,20,20,Sudan
2020-02-08,34,22,0.0,8.7,7,100,05:06 PM,05:27 AM,06:18 AM,05:51 PM,-5,27,27,28,47,0,12,0.0,1015,34,10,14,33,Sudan
2020-02-09,31,18,0.0,8.7,6,100,06:10 PM,06:22 AM,06:17 AM,05:51 PM,-5,23,23,24,44,0,15,0.0,1016,31,10,9,32,Sudan
2020-02-10,28,16,0.0,8.7,6,83,07:13 PM,07:15 AM,06:17 AM,05:51 PM,-6,22,22,22,46,0,16,0.0,1017,28,10,137,34,Sudan
2020-02-11,26,13,0.0,8.7,5,75,08:14 PM,08:03 AM,06:16 AM,05:52 PM,-8,18,19,18,43,0,17,0.0,1018,26,10,139,31,Sudan
2020-02-12,28,14,0.0,8.7,6,68,09:14 PM,08:50 AM,06:16 AM,05:52 PM,-8,21,21,21,41,0,16,0.0,1016,28,10,14,27,Sudan
2020-02-13,30,15,0.0,8.7,6,60,10:12 PM,09:35 AM,06:16 AM,05:53 PM,-5,22,22,22,32,0,18,0.0,1015,30,10,142,20,Sudan
2020-02-14,33,18,0.0,8.7,7,53,11:10 PM,10:19 AM,06:15 AM,05:53 PM,-1,25,25,24,20,0,20,0.0,1012,33,10,211,11,Sudan
2020-02-15,34,20,0.0,8.7,7,45,No moonrise,11:05 AM,06:15 AM,05:53 PM,3,27,27,27,24,0,23,0.0,1010,34,10,337,14,Sudan
2020-02-16,36,21,0.0,8.7,7,38,12:08 AM,11:52 AM,06:14 AM,05:54 PM,3,28,28,28,35,0,22,0.0,1010,36,10,330,22,Sudan
2020-02-17,33,20,0.0,8.7,7,30,01:05 AM,12:41 PM,06:14 AM,05:54 PM,-1,26,26,27,37,0,17,0.0,1011,33,10,262,24,Sudan
2020-02-18,32,19,0.0,8.7,7,22,02:02 AM,01:33 PM,06:14 AM,05:54 PM,-4,25,25,25,35,0,15,0.0,1013,32,10,182,23,Sudan
2020-02-19,32,20,0.0,8.7,7,15,02:57 AM,02:25 PM,06:13 AM,05:55 PM,-2,25,25,26,38,2,17,0.0,1013,32,10,93,27,Sudan
2020-02-20,30,18,0.0,8.7,6,7,03:50 AM,03:19 PM,06:13 AM,05:55 PM,-3,23,23,24,39,0,18,0.0,1014,30,10,14,28,Sudan
2020-02-21,31,18,0.0,8.7,6,0,04:39 AM,04:12 PM,06:12 AM,05:55 PM,-6,24,24,24,35,0,14,0.0,1013,31,10,95,24,Sudan
2020-02-22,33,18,0.0,8.7,7,0,05:25 AM,05:04 PM,06:12 AM,05:55 PM,-6,25,25,25,38,2,13,0.0,1013,33,10,11,25,Sudan
2020-02-23,34,20,0.0,8.7,7,0,06:07 AM,05:54 PM,06:11 AM,05:56 PM,-5,26,26,26,39,0,13,0.0,1012,34,10,94,25,Sudan
2020-02-24,31,19,0.0,8.7,7,0,06:46 AM,06:42 PM,06:10 AM,05:56 PM,-6,24,24,25,42,8,14,0.0,1012,31,10,260,30,Sudan
2020-02-25,27,16,0.0,8.7,6,8,07:24 AM,07:29 PM,06:10 AM,05:56 PM,-6,21,21,21,41,6,17,0.0,1016,27,10,140,31,Sudan
2020-02-26,30,16,0.0,8.7,6,15,07:59 AM,08:15 PM,06:09 AM,05:57 PM,-7,22,22,23,36,2,14,0.0,1015,30,10,15,25,Sudan
2020-02-27,34,18,0.0,8.7,7,23,08:34 AM,09:02 PM,06:09 AM,05:57 PM,-4,25,25,26,34,0,14,0.0,1013,34,10,56,22,Sudan
2020-02-28,34,20,0.0,8.7,7,30,09:10 AM,09:49 PM,06:08 AM,05:57 PM,-8,26,26,27,34,0,11,0.0,1011,34,10,212,20,Sudan
2020-02-29,35,20,0.0,8.7,7,38,09:47 AM,10:37 PM,06:08 AM,05:57 PM,-7,28,28,28,39,0,10,0.0,1010,35,10,134,24,Sudan
2020-03-01,35,21,0.0,8.7,7,44,10:26 AM,11:27 PM,06:07 AM,05:58 PM,-6,27,27,28,41,1,11,0.0,1011,35,10,53,27,Sudan
2020-03-02,34,20,0.0,8.7,7,51,11:09 AM,No moonset,06:06 AM,05:58 PM,-5,27,27,27,36,1,12,0.0,1012,34,10,140,23,Sudan
